Onset;Note;Duration (s)
2.310385488;1;1.24807
3.55845805;2;1.10891
4.667369615;3;1.10279
5.77015873;4;0.998458
6.76861678;5;1.0449
7.813514739;6;1.0507
8.864217687;7;1.07392
9.93814059;8;1.09714
11.03528345;9;1.15519
12.19047619;10;1.12036
13.310839;11;1.08553
14.39637188;12;1.15519
15.55156463;13;1.15519
16.70675737;14;1.3429
18.04965986;15;1.22871
19.27836735;16;1.02043
20.29879819;17;1.13902
21.43782313;18;0.992653
22.43047619;19;1.0534
23.48387755;20;0.908685
24.39256236;21;1.07392
25.46648526;22;1.00862
26.47510204;23;1.12515
27.60024943;24;0.995125
28.59537415;25;1.07392
29.66929705;26;1.01007
30.67936508;27;0.963628
31.6429932;28;1.03329
32.67628118;29;0.957823
33.63410431;30;1.02168
34.65578231;31;1.0507
35.70648526;32;1.25388
36.96036281;33;7.40717
44.36752835;34;0.969433
45.33696145;35;0.753197
46.09015873;36;0.274286
46.36444444;37;0.510839
46.87528345;38;0.476009
47.35129252;39;0.464399
47.81569161;40;0.539864
48.35555556;41;0.267029
48.62258503;42;0.113197
48.73578231;43;0.101587
48.83736962;44;0.264127
49.1014966;45;0.258322
49.35981859;46;0.725624
50.08544218;47;0.278639
50.36408163;48;0.986848
51.35092971;49;1.21615
52.56707483;50;0.240907
52.80798186;51;0.203175
53.01115646;52;0.2322
53.24335601;53;0.425578
53.66893424;54;0.2478
53.91673469;55;0.267029
54.18376417;56;0.946213
55.12997732;57;0.940408
56.07038549;58;0.249615
56.32;59;0.22059
56.54058957;60;0.2322
56.77278912;61;0.238005
57.01079365;62;0.458594
57.46938776;63;0.226395
57.69578231;64;0.261224
57.9570068;65;0.888163
58.84517007;66;0.458594
59.30376417;67;0.505034
59.80879819;68;0.22059
60.02938776;69;0.223537
60.25292517;70;0.220544
60.47346939;71;0.217687
60.69115646;72;0.226395
60.91755102;73;0.17415
61.09170068;74;0.505034
61.59673469;75;0.20898
61.80571429;76;0.191565
61.99727891;77;0.191565
62.18884354;78;0.20898
62.39782313;79;0.191565
62.58938776;80;0.237256
62.82664399;81;0.215533
63.04217687;82;0.2322
63.27437642;83;0.211882
63.4862585;84;0.225374
63.71163265;85;0.201293
63.91292517;86;0.217438
64.13036281;87;0.209229
64.33959184;88;0.229297
64.56888889;89;0.223492
64.79238095;90;0.281542
65.0739229;91;0.975238
66.049161;92;2.13624
68.18539683;93;0.661769
68.84716553;94;0.679184
69.52634921;95;0.177052
69.70340136;96;0.156735
69.86013605;97;0.136417
69.99655329;98;0.18576
70.18231293;99;0.148027
70.33034014;100;0.182857
70.51319728;101;0.17415
70.68734694;102;0.13932
70.82666667;103;0.156735
70.98340136;104;0.17415
71.15755102;105;0.13932
71.29687075;106;0.191565
71.48843537;107;0.191565
71.68;108;0.156735
71.83673469;109;0.191565
72.02829932;110;0.148027
72.17632653;111;0.150204
72.32653061;112;0.177778
72.50430839;113;0.15093
72.6552381;114;0.148027
72.80326531;115;0.165442
