Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
2.217505668;1.1;0.824308;0;49.5
3.041814058;1.2;0.592109;72.7883;65.4
3.633922902;1.3;0.602698;101.333;70.5
4.236621315;1.4;0.709229;99.5523;74.5
4.94585034;2.1;0.545669;84.5989;62.3
5.491519274;2.2;0.615329;109.957;68.2
6.106848072;2.3;0.615329;97.5088;64.9
6.72217687;2.4;0.568889;97.5088;67.1
7.291065759;3.1;0.626939;105.469;58.7
7.918004535;3.2;0.592109;95.7031;72
8.510113378;3.3;0.638549;101.333;67.2
9.148662131;3.4;0.696599;93.9631;65.5
9.84526077;4.1;0.615329;86.1328;61.9
10.46058957;4.2;0.626939;97.5088;66.9
11.08752834;4.3;0.643061;95.7031;70
11.73058957;4.4;0.564376;93.3037;72.5
12.29496599;5.1;0.812698;106.312;68.6
13.1076644;5.2;0.603719;73.8281;71.4
13.71138322;5.3;0.592109;99.384;64.5
14.30349206;5.4;0.626939;101.333;70.8
14.93043084;6.1;0.545669;95.7031;70.3
15.47609977;6.2;0.708209;109.957;74.7
16.18430839;6.3;0.719819;84.7208;65.9
16.90412698;6.4;0.615329;83.3543;75.3
17.51945578;7.1;0.673379;97.5088;67.9
18.19283447;7.2;0.696599;89.1029;69.3
18.88943311;7.3;0.661769;86.1328;62.7
19.55120181;7.4;0.859138;90.6661;67.2
20.41034014;8.1;0.673379;69.8374;60.4
21.08371882;8.2;0.612653;89.1029;66.3
21.69637188;8.3;0.645828;97.9347;61.5
22.34219955;8.4;0.738435;92.904;61.8
23.08063492;9.1;0.708209;81.2529;54.4
23.78884354;9.2;0.476009;84.7208;64.3
24.26485261;9.3;0.599819;126.048;62.8
24.8646712;9.4;0.58458;100.03;65.1
25.4492517;10.1;0.591927;102.638;60.7
26.04117914;10.2;0.580499;101.364;69.6
26.621678;10.3;0.568889;103.359;63.8
27.19056689;10.4;0.487619;105.469;66.1
27.67818594;11.1;0.487619;123.047;59.1
28.16580499;11.2;0.580499;123.047;66.5
28.74630385;11.3;0.580499;103.359;63.8
29.32680272;11.4;0.591859;103.359;66.4
29.91866213;12.1;0.580748;101.375;60
30.49941043;12.2;0.603719;103.315;66.4
31.10312925;12.3;0.534059;99.384;64.2
31.63718821;12.4;0.557007;112.347;67.1
32.19419501;13.1;0.545941;107.719;63.5
32.74013605;13.2;0.568889;109.902;68.3
33.30902494;13.3;0.522449;105.469;65.9
33.83147392;13.4;0.650159;114.844;73.4
34.48163265;14.1;0.487619;92.2852;70.2
34.9692517;14.2;0.603719;123.047;76
35.57297052;14.3;0.568889;99.384;68.2
36.14185941;14.4;0.580499;105.469;75.3
36.72235828;15.1;0.557279;103.359;71.1
37.27963719;15.2;0.492948;107.666;73.5
37.77258503;15.3;0.54034;121.717;75.4
38.31292517;15.4;0.595669;111.041;80
38.9085941;16.1;0.611769;100.727;72.6
39.52036281;16.2;0.560476;98.0763;77.6
40.080839;16.3;0.530862;107.052;74.4
40.61170068;16.4;0.664127;113.024;78
41.27582766;17.1;0.79873;90.3442;75.3
42.07455782;17.2;0.673379;75.1192;76
42.74793651;17.3;0.963628;89.1029;69.8
43.71156463;17.4;0.650159;62.2647;67.8
44.36172336;18.1;0.568889;92.2852;66.6
44.93061224;18.2;0.487619;105.469;72.7
45.41823129;18.3;0.487619;123.047;70.6
45.90585034;18.4;0.568889;123.047;70
46.47473923;19.1;0.476757;105.469;62.1
46.9514966;19.2;0.475261;125.85;68.1
47.42675737;19.3;0.509841;126.246;69.7
47.93659864;19.4;0.511837;117.684;64.3
48.44843537;20.1;0.604807;117.225;59.8
49.05324263;20.2;0.509751;99.2052;65.1
49.5629932;20.3;0.499229;117.705;63.1
50.06222222;20.4;0.673152;120.185;59.6
