Onset;Note;Duration (s);Bar
3.041814059;1;1.19481;1
4.236621315;2;1.2549;1
5.491519274;3;1.23066;2
6.722176871;4;1.19583;2
7.918004535;5;1.23066;3
9.148662132;6;1.31193;3
10.46058957;7;1.27;4
11.73058957;8;1.37707;4
13.1076644;9;1.19583;5
14.30349206;10;1.17261;5
15.47609977;11;1.42803;6
16.90412698;12;1.28871;6
18.19283447;13;1.35837;7
19.55120181;14;1.53252;7
21.08371882;15;1.25848;8
22.34219955;16;1.44664;8
23.78884354;17;1.07583;9
24.8646712;18;1.17651;9
26.04117914;19;1.14939;10
27.19056689;20;0.975238;10
28.16580499;21;1.161;11
29.32680272;22;1.17261;11
30.49941043;23;1.13778;12
31.63718821;24;1.10295;12
32.74013605;25;1.09134;13
33.83147392;26;1.13778;13
34.9692517;27;1.17261;14
36.14185941;28;1.13778;14
37.27963719;29;1.03329;15
38.31292517;30;1.20744;15
39.52036281;31;1.09134;16
40.61170068;32;1.46286;16
42.07455782;33;8.62912;17
50.70367347;34;1.1581;21
51.86176871;35;0.882358;21
52.74412698;36;0.301859;21
53.0459864;37;0.650159;22
53.69614513;38;0.545669;22
54.24181406;39;0.615329;22
54.85714286;40;0.661769;22
55.51891157;41;0.317823;23
55.83673469;42;0.143673;23
55.98040816;43;0.165442;23
56.14585034;44;0.265578;23
56.41142857;45;0.291701;23
56.70312925;46;0.766258;23
57.46938776;47;0.313469;23
57.78285714;48;1.18422;24
58.96707483;49;1.37578;24
60.34285714;50;0.243243;25
60.58609977;51;0.266145;25
60.8522449;52;0.274286;25
61.12653061;53;0.499229;25
61.62575964;54;0.2322;25
61.85795918;55;0.359909;25
62.21786848;56;1.12617;26
63.34403628;57;1.24227;26
64.58630386;58;0.288798;27
64.87510204;59;0.280091;27
65.15519274;60;0.216236;27
65.37142857;61;0.282993;27
65.65442177;62;0.545669;27
66.2000907;63;0.268481;27
66.46857143;64;0.346848;27
66.8154195;65;1.06812;28
67.88353742;66;0.626939;28
68.51047619;67;0.673379;28
69.18385488;68;0.314921;29
69.49877551;69;0.241043;29
69.73981859;70;0.281406;29
70.02122449;71;0.279909;29
70.30113379;72;0.229478;29
70.53061225;73;0.283583;29
70.81419501;74;0.726485;29
71.54068027;75;0.335238;29
71.87591837;76;0.256871;30
72.13278912;77;0.252517;30
72.38530612;78;0.226553;30
72.61185941;79;0.269773;30
72.88163265;80;0.249728;30
73.13136054;81;0.246599;30
73.37795918;82;0.252517;30
73.63047619;83;0.269932;31
73.90040816;84;0.274195;31
74.17460318;85;0.248254;31
74.42285714;86;0.263787;31
74.68664399;87;0.219478;31
74.90612245;88;0.291701;31
75.19782313;89;0.282993;31
75.48081633;90;0.390385;31
75.87120181;91;1.26549;32
77.13668934;92;2.47293;32
79.60961451;93;0.859138;33
80.46875283;94;0.986848;33
81.45560091;95;0.425215;34
81.88081633;96;0.169796;34
82.05061225;97;0.148027;34
82.19863946;98;0.217687;34
82.41632653;99;0.156735;34
82.57306122;100;0.171247;34
82.74430839;101;0.159637;34
82.90394558;102;0.204626;34
83.10857143;103;0.146576;34
83.25514739;104;0.179955;34
83.43510204;105;0.235102;34
83.67020408;106;0.223492;34
83.89369615;107;0.194467;35
84.08816327;108;0.156735;35
84.24489796;109;0.159637;35
84.40453515;110;0.193016;35
