Onset;Note;Duration (s)
1.175510204;1;1.2
2.375510204;2;1.21633
3.591836735;3;1.20816
4.8;4;1.11837
5.918367347;5;1.18367
7.102040816;6;1.15918
8.26122449;7;1.26531
9.526530612;8;1.19184
10.71836735;9;1.13469
11.85306122;10;1.2
13.05306122;11;1.15918
14.2122449;12;1.15102
15.36326531;13;1.2
16.56326531;14;1.28163
17.84489796;15;1.25494
19.09984127;16;1.25934
20.35918367;17;1.16145
21.52063492;18;1.24671
22.76734694;19;1.18367
23.95102041;20;1.13469
25.08571429;21;1.15102
26.23673469;22;1.15819
27.39492064;23;1.16948
28.56439909;24;1.14172
29.70612245;25;1.1102
30.81632653;26;1.12653
31.94285714;27;1.0449
32.9877551;28;1.06122
34.04897959;29;1.05537
35.10435374;30;1.06707
36.17142857;31;1.14286
37.31428571;32;1.33061
38.64489796;33;8.49796
47.14285714;34;1.0449
48.1877551;35;0.804898
48.99265306;36;0.370612
49.36326531;37;0.546939
49.91020408;38;0.563265
50.47346939;39;0.571429
51.04489796;40;0.571429
51.61632653;41;0.28898
51.90530612;42;0.143673
52.04897959;43;0.0897959
52.13877551;44;0.275918
52.41469388;45;0.287347
52.70204082;46;0.757551
53.45959184;47;0.336327
53.79591837;48;1.07755
54.87346939;49;1.2898
56.16326531;50;0.248866
56.41213152;51;0.221338
56.63346939;52;0.280816
56.91428571;53;0.506122
57.42040816;54;0.27102
57.69142857;55;0.324898
58.01632653;56;1.09388
59.11020408;57;1.00485
60.11505669;58;0.240862
60.35591837;59;0.248163
60.60408163;60;0.20898
60.81306122;61;0.280816
61.09387755;62;0.490658
61.58453515;63;0.299546
61.88408163;64;0.29551
62.17959184;65;0.987755
63.16734694;66;0.522449
63.68979592;67;0.457143
64.14693878;68;0.205714
64.35265306;69;0.267755
64.62040816;70;0.202449
64.82285714;71;0.263469
65.08632653;72;0.193673
65.28;73;0.238367
65.51836735;74;0.488435
66.00680272;75;0.239728
66.24653061;76;0.266485
66.51301587;77;0.21678
66.72979592;78;0.225306
66.95510204;79;0.192653
67.1477551;80;0.231837
67.37959184;81;0.225306
67.60489796;82;0.248163
67.85306122;83;0.248163
68.10122449;84;0.233469
68.33469388;85;0.223673
68.55836735;86;0.217143
68.7755102;87;0.213878
68.98938776;88;0.235102
69.2244898;89;0.20898
69.43346939;90;0.272653
69.70612245;91;0.979592
70.68571429;92;2
72.68571429;93;0.644898
73.33061225;94;0.710204
74.04081633;95;0.212245
74.25306122;96;0.20898
74.46204082;97;0.150204
74.6122449;98;0.150204
74.76244898;99;0.156735
74.91918367;100;0.199184
75.11836735;101;0.153469
75.27183674;102;0.169796
75.44163265;103;0.133878
75.5755102;104;0.153469
75.72897959;105;0.182857
75.91183674;106;0.194286
76.10612245;107;0.158367
76.2644898;108;0.182857
76.44734694;109;0.189388
76.63673469;110;0.150204
76.78693878;111;0.156735
76.94367347;112;0.182857
77.12653061;113;0.169796
77.29632653;114;0.195918
77.4922449;115;0.189388
77.68163265;116;0.163265
77.84489796;117;0.156735
78.00163265;118;0.206621
78.20825397;119;0.159093
78.36734694;120;0.195918
78.56326531;121;0.146939
78.71020408;122;0.166531
78.87673469;123;0.20898
79.08571429;124;0.146939
79.23265306;125;0.166531
79.39918367;126;0.156735
79.55591837;127;0.199184
79.75510204;128;0.140408
79.8955102;129;0.182857
80.07836735;130;0.199751
80.27811791;131;0.152902
80.43102041;132;0.156735
80.5877551;133;0.195918
80.78367347;134;0.156735
80.94040816;135;0.169796
81.11020408;136;0.222245
81.33244898;137;0.143469
81.47591837;138;0.169796
81.64571429;139;0.207347
81.85306122;140;0.158367
82.01142857;141;0.156735
82.16816327;142;0.207347
82.3755102;143;0.132245
82.5077551;144;0.143673
82.65142857;145;0.246531
82.89795918;146;0.158367
83.05632653;147;0.169796
83.22612245;148;0.141587
83.36770975;149;0.14576
83.51346939;150;0.182857
83.69632653;151;0.156735
83.85306122;152;0.182857
84.03591837;153;0.156735
84.19265306;154;0.19102
84.38367347;155;0.13551
84.51918367;156;0.156735
84.67591837;157;0.164898
84.84081633;158;0.174694
85.0155102;159;0.156735
85.1722449;160;0.166531
85.33877551;161;0.16
85.49877551;162;0.143673
85.64244898;163;0.202449
85.84489796;164;0.124082
85.96897959;165;0.20898
86.17795918;166;0.175714
86.35367347;167;0.124694
86.47836735;168;0.169796
86.64816327;169;0.176689
86.82485261;170;0.13678
86.96163265;171;0.182857
87.1444898;172;0.211701
87.35619048;173;0.127891
87.48408163;174;0.143673
87.6277551;175;0.16
87.7877551;176;0.127347
87.91510204;177;0.274286
88.18938776;178;0.169796
88.35918367;179;0.169796
88.52897959;180;0.156735
88.68571429;181;0.204082
88.88979592;182;0.171791
89.0615873;183;0.172698
89.23428571;184;0.243265
89.47755102;185;0.174694
89.6522449;186;0.182857
89.83510204;187;0.197551
90.03265306;188;0.246531
90.27918367;189;0.182857
90.46204082;190;0.313469
90.7755102;191;0.20898
90.9844898;192;0.182857
91.16734694;193;0.204082
91.37142857;194;0.174694
91.54612245;195;0.143673
91.68979592;196;0.195918
91.88571429;197;0.143673
92.02938776;198;0.143673
92.17306122;199;0.186122
92.35918367;200;0.205714
92.56489796;201;0.143673
92.70857143;202;0.197551
92.90612245;203;0.194286
93.10040816;204;0.130612
93.23102041;205;0.197551
93.42857143;206;0.155102
93.58367347;207;0.143673
93.72734694;208;0.182857
93.91020408;209;0.195918
94.10612245;210;0.169796
94.27591837;211;0.148571
94.4244898;212;0.151837
94.57632653;213;0.143673
94.72;214;0.193016
94.91301587;215;0.16254
95.07555556;216;0.16254
95.23809524;217;0.14966
95.3877551;218;0.194286
95.58204082;219;0.130612
95.71265306;220;0.187324
95.89997732;221;0.17839
96.07836735;222;0.143673
96.22204082;223;0.152245
96.37428571;224;0.174286
96.54857143;225;0.156735
96.70530612;226;0.192653
96.89795918;227;0.16
97.05795918;228;0.20898
97.26693878;229;0.120816
97.3877551;230;0.153469
97.54122449;231;0.182857
97.72408163;232;0.153469
97.87755102;233;0.16
98.03755102;234;0.156735
98.19428571;235;0.213878
98.40816327;236;0.177959
98.58612245;237;0.182857
98.76897959;238;0.268594
99.0375737;239;0.149365
99.18693878;240;0.156735
99.34367347;241;0.231837
99.5755102;242;0.133878
99.70938776;243;0.169796
99.87918367;244;0.194286
100.0734694;245;0.132245
100.2057143;246;0.130612
100.3363265;247;0.145306
100.4816327;248;0.155102
100.6367347;249;0.143673
100.7804082;250;0.196054
