Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
1.718276643;1.1;0.72254;0;49.3
2.440816326;1.2;0.653061;83.0404;66.9
3.093877551;1.3;0.530612;91.875;62.4
3.624489795;1.4;0.653061;113.077;70.1
4.27755102;2.1;0.587755;91.875;61.8
4.865306122;2.2;0.612245;102.083;69
5.47755102;2.3;0.644898;98;60.7
6.122448979;2.4;0.661224;93.038;63.3
6.783673469;3.1;0.636735;90.7407;60.5
7.420408163;3.2;0.563265;94.2308;68.5
7.983673469;3.3;0.693878;106.522;62.3
8.67755102;3.4;0.677551;86.4706;65.2
9.35510204;4.1;0.620408;88.5542;59.3
9.975510204;4.2;0.653061;96.7105;64.1
10.62857143;4.3;0.685714;91.875;63
11.31428571;4.4;0.612245;87.5;68.1
11.92653061;5.1;0.579592;98;60.9
12.50612245;5.2;0.563265;103.521;67.8
13.06938776;5.3;0.579592;106.522;61.1
13.64897959;5.4;0.606984;103.521;67.6
14.25596372;6.1;0.641995;98.8494;67.1
14.89795918;6.2;0.604082;93.4586;73.6
15.50204082;6.3;0.661224;99.3243;66.2
16.16326531;6.4;0.612245;90.7407;74.7
16.7755102;7.1;0.759184;98;67.2
17.53469388;7.2;0.636735;79.0323;69.8
18.17142857;7.3;0.791837;94.2308;66.5
18.96326531;7.4;0.718367;75.7732;66
19.68163265;8.1;0.693878;83.5227;56.3
20.3755102;8.2;0.677551;86.4706;60.6
21.05306122;8.3;0.644898;88.5542;48.2
21.69795918;8.4;0.563265;93.038;59.8
22.26122449;9.1;0.661224;106.522;54.4
22.92244898;9.2;0.440816;90.7407;66
23.36326531;9.3;0.677551;136.111;60.6
24.04081633;9.4;0.546939;88.5542;60.6
24.5877551;10.1;0.636735;109.701;54.1
25.2244898;10.2;0.653061;94.2308;61.8
25.87755102;10.3;0.553265;91.875;52.7
26.43081633;10.4;0.574082;108.447;54.2
27.00489796;11.1;0.562449;104.515;52.7
27.56734694;11.2;0.493424;106.676;65.1
28.06077098;11.3;0.556916;121.599;60.3
28.61768707;11.4;0.52517;107.736;67.9
29.14285714;12.1;0.571429;114.249;61
29.71428571;12.2;0.628571;105;62.7
30.34285714;12.3;0.644898;95.4545;58.6
30.9877551;12.4;0.546531;93.038;55.6
31.53428571;13.1;0.60449;109.783;54.5
32.13877551;13.2;0.563265;99.2573;64.7
32.70204082;13.3;0.587755;106.522;54
33.28979592;13.4;0.532268;102.083;62.7
33.82206349;14.1;0.626916;112.725;56.9
34.44897959;14.2;0.465306;95.7066;66.8
34.91428571;14.3;0.579592;128.947;63
35.49387755;14.4;0.538776;103.521;66.9
36.03265306;15.1;0.563265;111.364;59.5
36.59591837;15.2;0.457143;106.522;70.3
