Onset;Bar.Minim;Duration (s);Tempo (bpm);Intensity (dB)
1.718276643;1.1;1.3756;0;49.3
3.093877551;1.2;1.18367;43.6173;62.4
4.27755102;2.1;1.2;50.6897;61.8
5.47755102;2.2;1.30612;50;60.7
6.783673469;3.1;1.2;45.9375;60.5
7.983673469;3.2;1.37143;50;62.3
9.35510204;4.1;1.27347;43.75;59.3
10.62857143;4.2;1.29796;47.1154;63
11.92653061;5.1;1.14286;46.2264;60.9
13.06938776;5.2;1.18658;52.5;61.1
14.25596372;6.1;1.24608;50.5657;67.1
15.50204082;6.2;1.27347;48.1511;66.2
16.7755102;7.1;1.39592;47.1154;67.2
18.17142857;7.2;1.5102;42.9825;66.5
19.68163265;8.1;1.37143;39.7297;56.3
21.05306122;8.2;1.20816;43.75;48.2
22.26122449;9.1;1.10204;49.6622;54.4
23.36326531;9.2;1.22449;54.4444;60.6
24.5877551;10.1;1.2898;49;54.1
25.87755102;10.2;1.12735;46.519;52.7
27.00489796;11.1;1.05587;53.2223;52.7
28.06077098;11.2;1.08209;56.825;60.3
29.14285714;12.1;1.2;55.4484;61
30.34285714;12.2;1.19143;50;58.6
31.53428571;13.1;1.16776;50.3597;54.5
32.70204082;13.2;1.12002;51.3806;54
33.82206349;14.1;1.09222;53.5703;56.9
34.91428571;14.2;1.11837;54.9339;63
36.03265306;15.1;1.02041;53.6496;59.5
37.05306122;15.2;1.2;58.8;66
38.25306122;16.1;1.0259;50;64.4
39.27895692;16.2;1.14125;58.4855;68.1
40.42020408;17.1;1.49;52.5741;64.2
41.91020408;17.2;1.37959;40.2685;61.1
43.28979592;18.1;1.03324;43.4911;61.5
44.32303855;18.2;1.04839;58.0696;60.6
45.37142857;19.1;1.09388;57.2306;56.5
46.46530612;19.2;1.06939;54.8507;59.4
47.53469388;20.1;1.06122;56.1069;51.5
48.59591837;20.2;1.20816;56.5385;57.2
49.80408163;21.1;1.1102;49.6622;58.5
50.91428571;21.2;1.17551;54.0441;59.9
52.08979592;22.1;1.0812;51.0417;70
53.17099773;22.2;1.06574;55.4938;67.6
54.23673469;23.1;1.02875;56.2991;67.6
55.26548753;23.2;1.06104;58.323;73
56.32653061;24.1;0.979592;56.5481;71.4
57.30612245;24.2;1.01744;61.25;75.7
58.32356009;25.1;0.990726;58.9717;69.1
59.31428571;25.2;0.963265;60.5617;74.9
60.27755102;26.1;0.995918;62.2881;76
61.27346939;26.2;0.987755;60.2459;70.7
62.26122449;27.1;0.946939;60.7438;74.4
63.20816327;27.2;0.963265;63.3621;77.3
64.17142857;28.1;0.979592;62.2881;79.8
65.15102041;28.2;1.12653;61.25;76.5
66.27755102;29.1;0.979592;53.2609;69.6
67.25714286;29.2;1.12653;61.25;79.1
68.38367347;30.1;1.06939;53.2609;68.9
69.45306122;30.2;0.906122;56.1069;74.5
70.35918367;31.1;0.995646;66.2162;75
71.35482993;31.2;0.963537;60.2624;73
72.31836735;32.1;1.15102;62.2705;70.8
73.46938776;32.2;1.16735;52.1277;73.9
74.63673469;33.1;1.24898;51.3986;66.6
75.88571429;33.2;1.3551;48.0392;65.2
77.24081633;34.1;1.10204;44.2771;61.1
78.34285714;34.2;1.06939;54.4444;65.8
79.4122449;35.1;1.0449;56.1069;70.7
80.45714286;35.2;0.943742;57.4219;66.2
81.40088435;36.1;1.00728;63.5767;67.4
82.40816327;36.2;1.00408;59.5664;70.3
83.4122449;37.1;1.15918;59.7561;72.1
84.57142857;37.2;1.06122;51.7606;64.5
85.63265306;38.1;1.10204;56.5385;69.5
86.73469388;38.2;1.0449;54.4444;67.3
87.77959184;39.1;1.08571;57.4219;68.2
88.86530612;39.2;1.06122;55.2632;72.7
89.92653061;40.1;0.995918;56.5385;72
90.92244898;40.2;1.31429;60.2459;72.4
92.23673469;41.1;1.17551;45.6522;71.2
93.4122449;41.2;1.32245;51.0417;63.1
94.73469388;42.1;1.15918;45.3704;62.3
95.89387755;42.2;0.971429;51.7606;68.3
96.86530612;43.1;0.995918;61.7647;66.8
97.86122449;43.2;1.01268;60.2459;66
98.87390023;44.1;0.979161;59.249;67.4
99.85306122;44.2;0.938776;61.277;68.2
100.7918367;45.1;0.987755;63.913;69.5
101.7795918;45.2;1.10204;60.7438;70.2
102.8816327;46.1;1.06939;54.4444;69.5
103.9510204;46.2;0.995918;56.1069;68.6
104.9469388;47.1;0.969569;60.2459;70.3
105.9165079;47.2;1.02227;61.8832;70.9
106.9387755;48.1;1.02041;58.693;70
107.9591837;48.2;0.971429;58.8;71.8
108.9306122;49.1;1.00408;61.7647;71.9
109.9346939;49.2;1.12653;59.7561;72.5
111.0612245;50.1;1.06383;53.2609;69.6
112.1250567;50.2;0.870862;56.3999;71.9
112.9959184;51.1;0.995918;68.8973;72.1
113.9918367;51.2;0.903628;60.2459;73.4
114.8954649;52.1;0.982086;66.399;71.5
115.877551;52.2;0.84898;61.0944;73.5
116.7265306;53.1;0.906122;70.6731;74.2
117.6326531;53.2;0.95746;66.2162;71.9
118.5901134;54.1;0.941927;62.6658;75.9
119.5320408;54.2;0.886213;63.6992;73
120.418254;55.1;0.943175;67.7038;72.2
121.3614286;55.2;0.866259;63.6149;73
122.2276871;56.1;0.91517;69.2634;74.9
123.1428571;56.2;0.881633;65.5616;74.6
124.0244898;57.1;0.987755;68.0556;74
125.0122449;57.2;1.14286;60.7438;74.7
126.155102;58.1;1.21633;52.5;72.4
127.3714286;58.2;0.955533;49.3289;71.7
128.3269615;59.1;0.987324;62.7922;76
129.3142857;59.2;0.914286;60.7703;78.3
130.2285714;60.1;1.05306;65.625;77
131.2816327;60.2;0.971429;56.9767;71.8
132.2530612;61.1;1.1102;61.7647;68.3
133.3632653;61.2;1.21633;54.0441;73.2
134.5795918;62.1;1.14286;49.3289;71.3
135.722449;62.2;1.0449;52.5;76.8
136.7673469;63.1;1.05306;57.4219;74
137.8204082;63.2;1.08571;56.9767;77.9
138.9061224;64.1;0.963265;55.2632;75.1
139.8693878;64.2;0.955102;62.2881;75.8
140.8244898;65.1;1.0449;62.8205;73
141.8693878;65.2;1.24898;57.4219;79.5
143.1183673;66.1;1.2898;48.0392;78.8
144.4081633;66.2;1.32245;46.519;70
145.7306122;67.1;1.12653;45.3704;67.5
146.8571429;67.2;1.21633;53.2609;63.7
148.0734694;68.1;1.11837;49.3289;61.9
149.1918367;68.2;1.18367;53.6496;60.2
150.3755102;69.1;1.09388;50.6897;69
151.4693878;69.2;1.13469;54.8507;70.9
152.6040816;70.1;1.228;52.8777;72.5
153.8320862;70.2;1.15567;48.8598;70.9
154.9877551;71.1;1.20816;51.918;71.5
156.1959184;71.2;1.33878;49.6622;66.4
157.5346939;72.1;1.33878;44.8171;64.2
158.8734694;72.2;1.15918;44.8171;66.9
160.0326531;73.1;1.32245;51.7606;63
161.355102;73.2;1.26531;45.3704;67
162.6204082;74.1;1.26531;47.4194;62.1
163.8857143;74.2;1.11837;47.4194;68.9
165.0040816;75.1;1.25714;53.6496;67.9
166.2612245;75.2;1.38776;47.7273;61.9
167.6489796;76.1;1.55102;43.2353;59.1
169.2;76.2;1.42857;38.6842;46.6
170.6285714;77.1;1.90204;42;56.8
172.5306122;77.2;1.60032;31.5451;43.9
174.1309297;78.1;1.37111;37.4926;61.2
175.5020408;78.2;1.3551;43.7601;56.1
176.8571429;79.1;1.24082;44.2771;61.2
178.0979592;79.2;1.28163;48.3553;57.7
179.3795918;80.1;1.31429;46.8153;60.8
180.6938776;80.2;1.22449;45.6522;63.3
181.9183673;81.1;1.23265;49;63.8
183.1510204;81.2;1.40408;48.6755;65.6
184.555102;82.1;1.38776;42.7326;63.4
185.9428571;82.2;1.36327;43.2353;57.8
187.3061224;83.1;1.3551;44.012;56
188.6612245;83.2;1.33061;44.2771;59
189.9918367;84.1;1.31429;45.092;56.8
191.3061224;84.2;1.54286;45.6522;56.6
192.8489796;85.1;1.3551;38.8889;58.8
194.2040816;85.2;1.38776;44.2771;64.1
195.5918367;86.1;1.34694;43.2353;62.5
196.9387755;86.2;1.39592;44.5455;59.7
198.3346939;87.1;1.33878;42.9825;59
199.6734694;87.2;1.39592;44.8171;57.5
201.0693878;88.1;1.32245;42.9825;60.6
202.3918367;88.2;1.46939;45.3704;62
203.8612245;89.1;1.49388;40.8333;66.6
205.355102;89.2;1.41224;40.1639;62.3
206.7673469;90.1;1.36327;42.4855;59.7
208.1306122;90.2;1.5102;44.012;56.1
209.6408163;91.1;1.30612;39.7297;59.2
210.9469388;91.2;1.18367;45.9375;62.2
212.1306122;92.1;1.21633;50.6897;67.2
213.3469388;92.2;1.18367;49.3289;59.4
214.5306122;93.1;1.19184;50.6897;69.8
215.722449;93.2;1.22449;50.3425;64.1
216.9469388;94.1;1.15152;49;70.1
218.098458;94.2;1.20766;52.1051;65.4
219.3061224;95.1;1.15918;49.6827;66.5
220.4653061;95.2;1.17551;51.7606;68.8
221.6408163;96.1;1.15102;51.0417;73.3
222.7918367;96.2;1.11837;52.1277;73.4
223.9102041;97.1;1.1102;53.6496;70.2
225.0204082;97.2;1.16735;54.0441;72.4
226.1877551;98.1;1.21633;51.3986;69.5
227.4040816;98.2;1.2;49.3289;67.3
228.6040816;99.1;1.12891;50;67.1
229.7329932;99.2;1.19762;53.1485;68.8
230.9306122;100.1;1.23678;50.0994;70.1
232.1673923;100.2;1.22853;48.5131;63.6
233.3959184;101.1;1.23265;48.839;66
234.6285714;101.2;1.33061;48.6755;62.8
235.9591837;102.1;1.2;45.092;61.4
237.1591837;102.2;1.15918;50;65.7
238.3183673;103.1;1.2;51.7606;66
239.5183673;103.2;1.21633;50;64.2
240.7346939;104.1;1.2;49.3289;70.4
241.9346939;104.2;1.25714;50;67.8
243.1918367;105.1;1.11837;47.7273;68.5
244.3102041;105.2;1.15102;53.6496;70.2
245.4612245;106.1;1.17551;52.1277;70.2
246.6367347;106.2;1.20816;51.0417;68.4
247.844898;107.1;1.10204;49.6622;66.3
248.9469388;107.2;1.10204;54.4444;69.1
250.0489796;108.1;1.13469;54.4444;73.3
251.1836735;108.2;1.09388;52.8777;67
252.277551;109.1;1.20816;54.8507;74.5
253.4857143;109.2;1.02041;49.6622;66.5
254.5061224;110.1;1.07755;58.8;71.1
255.5836735;110.2;1.02041;55.6818;68.7
256.6040816;111.1;1.05306;58.8;73.7
257.6571429;111.2;1.07755;56.9767;72
258.7346939;112.1;1.05145;55.6818;73.9
259.7861451;112.2;1.04651;57.064;76
260.8326531;113.1;1.03673;57.3335;73.5
261.8693878;113.2;1.02041;57.874;78
262.8897959;114.1;1.0449;58.8;76
263.9346939;114.2;1.02041;57.4219;79.3
264.955102;115.1;1.0449;58.8;76.2
266;115.2;0.968912;57.4219;79.9
266.9689116;116.1;0.998435;61.9252;77.8
267.9673469;116.2;0.990408;60.094;78.3
268.9577551;117.1;0.98585;60.5811;75.1
269.9436054;117.2;1.03599;60.8612;78.3
270.9795918;118.1;1.01224;57.9158;81.2
271.9918367;118.2;1.00408;59.2742;78.2
272.9959184;119.1;1.00408;59.7561;79.4
274;119.2;1.07755;59.7561;78.9
275.077551;120.1;0.955102;55.6818;81.5
276.0326531;120.2;1.03673;62.8205;80.1
277.0693878;121.1;0.955102;57.874;82.3
278.0244898;121.2;1.07755;62.8205;80.1
279.1020408;122.1;1.01939;55.6818;77.2
280.1214286;122.2;1.07041;58.8589;81.2
281.1918367;123.1;1.05306;56.0534;80.8
282.244898;123.2;1.05306;56.9767;82.9
283.2979592;124.1;1.01224;56.9767;80.4
284.3102041;124.2;1.06122;59.2742;83.5
285.3714286;125.1;1.17551;56.5385;83.1
286.5469388;125.2;1.43673;51.0417;82.7
287.9836735;126.1;1.27347;41.7614;77.4
289.2571429;126.2;1.0449;47.1154;76.4
290.3020408;127.1;0.963265;57.4219;72.9
291.2653061;127.2;0.922449;62.2881;78.4
292.1877551;128.1;1.02041;65.0443;79.7
293.2081633;128.2;1.03673;58.8;78
294.244898;129.1;1.09388;57.874;80
295.3387755;129.2;1.12653;54.8507;77.7
296.4653061;130.1;1.06122;53.2609;73.9
297.5265306;130.2;1.03673;56.5385;78
298.5632653;131.1;0.979592;57.874;77.1
299.5428571;131.2;1.09388;61.25;78.8
300.6367347;132.1;1.01224;54.8507;79.7
301.6489796;132.2;0.946236;59.2742;77.9
302.5952154;133.1;1.08336;63.4091;79.3
303.6785714;133.2;1.64388;55.3835;81.7
305.322449;134.1;1.31429;36.4991;66.5
306.6367347;134.2;1.10204;45.6522;67.6
307.7387755;135.1;1.02041;54.4444;63.2
308.7591837;135.2;0.946939;58.8;71.1
309.7061224;136.1;1.02014;63.3621;73.8
310.7262585;136.2;1.02884;58.8157;76
311.755102;137.1;1.09388;58.3179;76.9
312.8489796;137.2;1.05306;54.8507;67.2
313.9020408;138.1;1.05306;56.9767;62.5
314.955102;138.2;0.987755;56.9767;60.6
315.9428571;139.1;0.906122;60.7438;66.5
316.8489796;139.2;0.955102;66.2162;70.9
317.8040816;140.1;1.02857;62.8205;75.5
318.8326531;140.2;1.37959;58.3333;67
320.2122449;141.1;1.26531;43.4911;73.1
321.477551;141.2;1.13469;47.4194;71.1
322.6122449;142.1;1.18367;52.8777;68.7
323.7959184;142.2;1.12653;50.6897;69.1
324.922449;143.1;1.21633;53.2609;67
326.1387755;143.2;1.18367;49.3289;68.7
327.322449;144.1;1.28163;50.6897;65.2
328.6040816;144.2;1.12653;46.8153;68.1
329.7306122;145.1;1.31429;53.2609;64.2
331.044898;145.2;1.13469;45.6522;69.2
