Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
2.16526077;1;2.38168;0;49.5
4.546938775;2;2.16327;25.1923;62.6
6.710204081;3;2.20408;27.7358;58.7
8.914285714;4;2.44898;27.2222;67.7
11.36326531;5;2.19592;24.5;65.2
13.55918367;6;2.75918;27.3234;72
16.31836735;7;2.72351;21.7456;58.5
19.04188209;8;2.49281;22.0304;56.6
21.53469388;9;2.20914;24.0692;48.8
23.7438322;10;2.18726;27.1599;61.4
25.93108844;11;2.25667;27.4316;57.8
28.1877551;12;2.35102;26.5879;66.9
30.53877551;13;2.1551;25.5208;58
32.69387755;14;2.16327;27.8409;70.7
34.85714286;15;2.19592;27.7358;75.8
37.05306122;16;2.44082;27.3234;69.1
39.49387755;17;2.84898;24.5819;68.7
42.34285714;18;2.20408;21.0602;68.8
44.54693878;19;2.33469;27.2222;63.8
46.88163265;20;2.2449;25.6993;55.7
49.12653061;21;2.20408;26.7273;68.2
51.33061224;22;2.08163;27.2222;70.6
53.4122449;23;2.10612;28.8235;70.2
55.51836735;24;2.07347;28.4884;77.8
57.59183673;25;2.05571;28.937;69.9
59.64755102;26;2.29531;29.1869;81.6
61.94285714;27;2.04082;26.1403;71.7
63.98367347;28;2.17143;29.4;80.9
66.15510204;29;2.18776;27.6316;75.3
68.34285714;30;1.90204;27.4254;72.6
70.24489796;31;2.04898;31.5451;80.4
72.29387755;32;2.35918;29.2829;74.2
74.65306122;33;2.63673;25.4325;70.8
77.28979592;34;2.25306;22.7554;62.4
79.54285714;35;2.16327;26.6304;73.5
81.70612245;36;2.17143;27.7358;75.1
83.87755102;37;2.08163;27.6316;72.3
85.95918367;38;1.95102;28.8235;66.6
87.91020408;39;2.06531;30.7531;74
89.9755102;40;2.11429;29.0514;77.2
92.08979592;41;2.34286;28.3784;75.3
94.43265306;42;2.03265;25.6098;65.5
96.46530612;43;1.93469;29.5181;74.4
98.4;44;1.78653;31.0127;73.8
100.1865306;45;2.12367;33.5846;75.8
102.3102041;46;1.94798;28.2529;79.2
104.2581859;47;1.73365;30.8011;80.4
105.9918367;48;1.78776;34.609;76.6
107.7795918;49;2.26939;33.5616;79.8
110.0489796;50;1.92653;26.4388;78.9
111.9755102;51;1.72245;31.1441;78.1
113.6979592;52;1.7551;34.8341;77.1
115.4530612;53;1.6898;34.186;76.6
117.1428571;54;1.68163;35.5072;76.7
118.8244898;55;1.77029;35.6796;77.1
120.5947846;56;1.73991;33.8927;77.3
122.3346939;57;2.16327;34.4846;79.1
124.4979592;58;1.95102;27.7358;73
126.4489796;59;1.79592;30.7531;76.7
128.244898;60;1.91837;33.4091;78.6
130.1632653;61;2.49796;31.2766;75.9
132.6612245;62;1.97551;24.0196;81.5
134.6367347;63;2.08163;30.3719;79.1
136.7183673;64;1.91837;28.8235;76.9
138.6367347;65;2.4;31.2766;79.4
141.0367347;66;2.41633;25;77.1
143.4530612;67;2.01633;24.8311;71.1
145.4693878;68;2.21224;29.7571;68.1
147.6816327;69;2.29388;27.1218;74.8
149.9755102;70;2.35102;26.1566;79
152.3265306;71;2.3102;25.5208;73
154.6367347;72;2.30204;25.9717;72.5
156.9387755;73;2.40816;26.0638;75.1
159.3469388;74;2.30204;24.9153;73.9
161.6489796;75;2.7102;26.0638;74.2
164.3591837;76;3.0449;22.1386;64.6
167.4040816;77;3.12653;19.7051;60.3
170.5306122;78;2.86531;19.1906;61
173.3959184;79;2.46531;20.9402;63.5
175.8612245;80;2.4898;24.3377;67.6
178.3510204;81;2.56327;24.0984;71.6
180.9142857;82;2.7102;23.4076;70
183.6244898;83;2.62857;22.1386;65.4
186.2530612;84;2.85714;22.8261;70.6
189.1102041;85;2.6449;21;66.7
191.755102;86;2.57143;22.6852;72.3
194.3265306;87;2.76735;23.3333;69.7
197.0938776;88;2.53061;21.6814;64.1
199.6244898;89;2.8898;23.7097;70.1
202.5142857;90;3.15918;20.7627;59.2
205.6734694;1;2.43483;18.9922;52.9
208.1082993;2;2.24227;24.6424;67.8
210.3505669;3;2.15556;26.7586;65.7
212.5061224;4;2.29388;27.8351;68
214.8;5;2.13061;26.1566;69.3
216.9306122;6;2.40816;28.1609;73.6
219.3387755;7;2.81633;24.9153;71.8
222.155102;8;2.32653;21.3043;61.8
224.4816327;9;2.2449;25.7895;51.8
226.7265306;10;2.13878;26.7273;60.4
228.8653061;11;2.20408;28.0534;58.7
231.0693878;12;2.25306;27.2222;68
233.322449;13;2.10612;26.6304;65.3
235.4285714;14;2.13061;28.4884;72.4
237.5591837;15;2.10612;28.1609;76
239.6653061;16;2.18776;28.4884;70
241.8530612;17;2.3102;27.4254;72.6
244.1632653;18;1.94286;25.9717;71.7
246.1061224;19;2.01633;30.8824;67.3
248.122449;20;2.22857;29.7571;63.8
250.3510204;21;2.0898;26.9231;64.9
252.4408163;22;1.99184;28.7109;68.1
254.4326531;23;2.00816;30.123;70.9
256.4408163;24;1.94286;29.878;80.1
258.3836735;25;2.05714;30.8824;71.2
260.4408163;26;2.2449;29.1667;81.8
262.6857143;27;1.95102;26.7273;74.6
264.6367347;28;2.02449;30.7531;82
266.6612245;29;2.04898;29.6371;76
268.7102041;30;1.86122;29.2829;74.6
270.5714286;31;2.01633;32.2368;81.2
272.5877551;32;2.18776;29.7571;76.9
274.7755102;33;2.84898;27.4254;70.8
277.6244898;34;2.26939;21.0602;65.6
279.8938776;35;2.11429;26.4388;76.5
282.0081633;36;2.23673;28.3784;79
284.244898;37;2.41116;26.8248;74
286.6560544;38;2.03782;24.8843;64.9
288.6938776;39;2.14161;29.4432;74.1
290.8354875;40;2.18492;28.0163;77.6
293.0204082;41;2.41934;27.461;77.3
295.4397506;42;2.01331;24.8001;68.7
297.4530612;43;1.93469;29.8017;75.6
299.3877551;44;1.77143;31.0127;72.1
301.1591837;45;2.03265;33.871;79.2
303.1918367;46;1.94286;29.5181;80.9
305.1346939;47;1.74694;30.8824;81.8
306.8816327;48;1.74694;34.3458;78
308.6285714;49;2.18776;34.3458;81
310.8163265;50;2.02449;27.4254;67.7
312.8408163;51;1.70612;29.6371;75.3
314.5469388;52;1.66531;35.1675;76.1
316.2122449;53;1.72245;36.0294;76.7
317.9346939;54;1.64898;34.8341;78.7
319.5836735;55;1.71429;36.3861;77.2
321.2979592;56;1.70612;35;79.2
323.0040816;57;2.26939;35.1675;80.6
325.2734694;58;1.98079;26.4388;74.4
327.254263;59;1.78243;30.2909;78.4
329.0366893;60;1.95923;33.662;79.2
330.9959184;61;2.52245;30.6243;76.3
333.5183673;62;1.98367;23.7864;82.1
335.5020408;63;2.13061;30.2469;77.7
337.6326531;64;1.91837;28.1609;77.4
339.5510204;65;2.70204;31.2766;80.9
342.2530612;66;2.63673;22.2054;81.3
344.8897959;67;2;22.7554;72.6
346.8897959;68;2.11429;30;69.9
349.0040816;69;2.28571;28.3784;76.9
351.2897959;70;2.35918;26.25;79.3
353.6489796;71;2.44082;25.4325;77
356.0897959;72;2.30204;24.5819;70.3
358.3918367;73;2.26939;26.0638;72.3
360.6612245;74;2.31837;26.4388;73.6
362.9795918;75;2.84082;25.8803;70.3
365.8204082;76;2.94694;21.1207;67.3
368.7673469;77;3.39932;20.3601;61.8
372.1666667;78;2.99252;17.6506;59.9
375.1591837;79;2.45714;20.05;70.8
377.6163265;80;2.45714;24.4186;70.3
380.0734694;81;2.44898;24.4186;71.4
382.522449;82;2.70204;24.5;73.8
385.2244898;83;2.65306;22.2054;66.8
387.877551;84;2.8812;22.6154;70.7
390.7587528;85;2.66166;20.8246;66.7
393.4204082;86;2.71694;22.5424;75
396.1373469;87;2.7851;22.0837;70.4
398.922449;88;2.47347;21.5432;66.7
401.3959184;89;2.66939;24.2574;70.2
404.0653061;90;3.31429;22.4771;60
407.3795918;91;3.53469;18.1034;59.9
410.9142857;92;2.91429;16.9746;64.5
413.8285714;93;2.6449;20.5882;65.3
416.4734694;94;2.302;22.6852;73
418.7754649;95;2.12388;26.0643;76.2
420.8993424;96;2.268;28.2502;79.5
423.1673469;97;2.13878;26.455;71.3
425.3061224;98;2.1522;28.0534;78.7
427.458322;99;2.10903;27.8785;72.4
429.5673469;100;2.18776;28.4492;79.1
431.755102;101;2;27.4254;76.7
433.755102;102;2.11599;30;80
435.8710884;103;2.20238;28.3556;77.5
438.0734694;104;2.25306;27.2432;79.5
440.3265306;105;2.39184;26.6304;77.7
442.7183673;106;2.48163;25.0853;72.6
445.2;107;2.26939;24.1776;66.7
447.4693878;108;2.28837;26.4388;78.7
449.7577551;109;2.21776;26.2196;76.8
451.9755102;110;2.17959;27.0544;77.3
454.155102;111;2.09796;27.5281;76.5
456.2530612;112;2.12245;28.5992;88.4
458.3755102;113;2.31837;28.2692;78.8
460.6938776;114;2.16871;25.8803;79.1
462.862585;115;2.17415;27.6662;81
465.0367347;116;2.19592;27.597;80.8
467.2326531;117;2.2449;27.3234;82.3
469.477551;118;1.98367;26.7273;88.4
471.4612245;119;1.94286;30.2469;86.9
473.4040816;120;1.97551;30.8824;86.5
475.3795918;121;1.95918;30.3719;81
477.3387755;122;2.00567;30.625;87.7
479.3444444;123;1.87109;29.9152;87.1
481.2155329;124;1.94454;32.0669;86.3
483.160068;125;2.17871;30.8557;80.7
485.3387755;126;2.16327;27.5393;81.7
487.5020408;127;1.9102;27.7358;83.3
489.4122449;128;2;31.4103;86.5
491.4122449;129;2.45714;30;79.7
493.8693878;130;2.04898;24.4186;84
495.9183673;131;2.06531;29.2829;83.4
497.9836735;132;1.98367;29.0514;80.9
499.9673469;133;2.96327;30.2469;82.6
