Onset;Bar.Minim;Duration (s);Tempo (bpm);Intensity (dB)
2.16526077;1.1;1.22485;0;49.5
3.390113378;1.2;1.15683;48.9855;67.8
4.546938775;2.1;1.09676;51.8661;62.6
5.643696145;2.2;1.06651;54.7067;60.5
6.710204081;3.1;1.10204;56.2584;58.7
7.812244897;3.2;1.10204;54.4444;67.4
8.914285714;4.1;1.19184;54.4444;67.7
10.10612245;4.2;1.25714;50.3425;69.9
11.36326531;5.1;1.06172;47.7273;65.2
12.42498866;5.2;1.13419;56.5119;64.3
13.55918367;6.1;1.20816;52.901;72
14.76734694;6.2;1.55102;49.6622;69
16.31836735;7.1;1.36327;38.6842;58.5
17.68163265;7.2;1.36025;44.012;59.9
19.04188209;8.1;1.22751;44.1096;56.6
20.26938776;8.2;1.26531;48.8796;55.2
21.53469388;9.1;1.11837;47.4194;48.8
22.65306122;9.2;1.09077;53.6496;60.9
23.7438322;10.1;1.19494;55.007;61.4
24.93877551;10.2;0.992313;50.2116;63.3
25.93108844;11.1;1.11381;60.4648;57.8
27.04489796;11.2;1.14286;53.8692;63.6
28.1877551;12.1;1.20816;52.5;66.9
29.39591837;12.2;1.14286;49.6622;63.6
30.53877551;13.1;1.03673;52.5;58
31.5755102;13.2;1.11837;57.874;64.9
32.69387755;14.1;1.06122;53.6496;70.7
33.75510204;14.2;1.10204;56.5385;74.4
34.85714286;15.1;1.09388;54.4444;75.8
35.95102041;15.2;1.10204;54.8507;71.1
37.05306122;16.1;1.1102;54.4444;69.1
38.16326531;16.2;1.33061;54.0441;69.5
39.49387755;17.1;1.56735;45.092;68.7
41.06122449;17.2;1.28163;38.2812;61.8
42.34285714;18.1;1.12741;46.8153;68.8
43.47027211;18.2;1.07667;53.2191;61.2
44.54693878;19.1;1.30612;55.7276;63.8
45.85306122;19.2;1.02857;45.9375;54.5
46.88163265;20.1;1.13016;58.3333;55.7
48.01179138;20.2;1.11474;53.0899;53.5
49.12653061;21.1;1.05306;53.8242;68.2
50.17959184;21.2;1.15102;56.9767;65.1
51.33061224;22.1;1.08571;52.1277;70.6
52.41632653;22.2;0.995918;55.2632;71.3
53.4122449;23.1;1.02041;60.2459;70.2
54.43265306;23.2;1.08571;58.8;74.1
55.51836735;24.1;0.982789;55.2632;77.8
56.50115646;24.2;1.09068;61.0507;75.9
57.59183673;25.1;1.0449;55.0115;69.9
58.63673469;25.2;1.01082;57.4219;78.4
59.64755102;26.1;1.13612;59.358;81.6
60.78367347;26.2;1.15918;52.8112;76.8
61.94285714;27.1;1.01224;51.7606;71.7
62.95510204;27.2;1.02857;59.2742;80.9
63.98367347;28.1;1.02041;58.3333;80.9
65.00408163;28.2;1.15102;58.8;76.4
66.15510204;29.1;1.00408;52.1277;75.3
67.15918367;29.2;1.18367;59.7561;76.1
68.34285714;30.1;0.979592;50.6897;72.6
69.32244898;30.2;0.922449;61.25;76.4
70.24489796;31.1;0.987755;65.0443;80.4
71.23265306;31.2;1.06122;60.7438;77
72.29387755;32.1;1.06122;56.5385;74.2
73.35510204;32.2;1.29796;56.5385;77.5
74.65306122;33.1;1.0449;46.2264;70.8
75.69795918;33.2;1.59184;57.4219;68.5
77.28979592;34.1;1.15102;37.6923;62.4
78.44081633;34.2;1.10204;52.1277;72.9
79.54285714;35.1;1.1102;54.4444;73.5
80.65306122;35.2;1.05306;54.0441;70
81.70612245;36.1;0.987755;56.9767;75.1
82.69387755;36.2;1.18367;60.7438;76.9
83.87755102;37.1;1.05306;50.6897;72.3
84.93061224;37.2;1.02857;56.9767;68.8
85.95918367;38.1;0.979592;58.3333;66.6
86.93877551;38.2;0.971429;61.25;72.7
87.91020408;39.1;0.979592;61.7647;74
88.88979592;39.2;1.08571;61.25;69.8
89.9755102;40.1;0.987755;55.2632;77.2
90.96326531;40.2;1.12653;60.7438;77.6
92.08979592;41.1;1.06939;53.2609;75.3
93.15918367;41.2;1.27347;56.1069;71.9
94.43265306;42.1;1.08571;47.1154;65.5
95.51836735;42.2;0.946939;55.2632;73.3
96.46530612;43.1;0.995918;63.3621;74.4
97.46122449;43.2;0.938776;60.2459;71
98.4;44.1;0.914286;63.913;73.8
99.31428571;44.2;0.872245;65.625;75.8
100.1865306;45.1;0.94;68.788;75.8
101.1265306;45.2;1.18367;63.8298;72.8
102.3102041;46.1;1.07755;50.6897;79.2
103.3877551;46.2;0.870431;55.6818;79.9
104.2581859;47.1;0.892834;68.9314;80.4
105.1510204;47.2;0.840816;67.2017;79.6
105.9918367;48.1;0.906122;71.3592;76.6
106.8979592;48.2;0.881633;66.2162;76.9
107.7795918;49.1;0.889796;68.0556;79.8
108.6693878;49.2;1.37959;67.4312;77.3
110.0489796;50.1;1.06939;43.4911;78.9
111.1183673;50.2;0.857143;56.1069;79.8
111.9755102;51.1;0.857143;70;78.1
112.8326531;51.2;0.865306;70;80.3
113.6979592;52.1;0.873469;69.3396;77.1
114.5714286;52.2;0.881633;68.6916;79
115.4530612;53.1;0.816327;68.0556;76.6
116.2693878;53.2;0.873469;73.5;77.9
117.1428571;54.1;0.832653;68.6916;76.7
117.9755102;54.2;0.84898;72.0588;75.8
118.8244898;55.1;0.930612;70.6731;77.1
119.755102;55.2;0.839683;64.4737;78.9
120.5947846;56.1;0.850113;71.4556;77.3
121.444898;56.2;0.889796;70.5788;84.4
122.3346939;57.1;0.955102;67.4312;79.1
123.2897959;57.2;1.20816;62.8205;79
124.4979592;58.1;1.04839;49.6622;73
125.5463492;58.2;0.90263;57.2306;73.7
126.4489796;59.1;0.906122;66.4724;76.7
127.355102;59.2;0.889796;66.2162;75.5
128.244898;60.1;0.930612;67.4312;78.6
129.1755102;60.2;0.987755;64.4737;81.5
130.1632653;61.1;1.20816;60.7438;75.9
131.3714286;61.2;1.2898;49.6622;74.2
132.6612245;62.1;1.03673;46.519;81.5
133.6979592;62.2;0.938776;57.874;78.9
134.6367347;63.1;0.963265;63.913;79.1
135.6;63.2;1.11837;62.2881;79.2
136.7183673;64.1;0.971429;53.6496;76.9
137.6897959;64.2;0.946939;61.7647;78.8
138.6367347;65.1;1.02857;63.3621;79.4
139.6653061;65.2;1.37143;58.3333;79.5
141.0367347;66.1;1.33061;43.75;77.1
142.3673469;66.2;1.08571;45.092;76
143.4530612;67.1;1.02857;55.2632;71.1
144.4816327;67.2;0.987755;58.3333;71
145.4693878;68.1;0.980499;60.7438;68.1
146.4498866;68.2;1.23175;61.1933;70.7
147.6816327;69.1;1.06122;48.7113;74.8
148.7428571;69.2;1.23265;56.5385;78.2
149.9755102;70.1;1.20816;48.6755;79
151.1836735;70.2;1.14286;49.6622;79.7
152.3265306;71.1;1.07667;52.5;73
153.4031973;71.2;1.23354;55.7276;73.9
154.6367347;72.1;1.15918;48.6406;72.5
155.7959184;72.2;1.14286;51.7606;73.8
156.9387755;73.1;1.13469;52.5;75.1
158.0734694;73.2;1.27347;52.8777;73.5
159.3469388;74.1;1.19184;47.1154;73.9
160.5387755;74.2;1.1102;50.3425;80.1
161.6489796;75.1;1.2;54.0441;74.2
162.8489796;75.2;1.5102;50;67.5
164.3591837;76.1;1.59184;39.7297;64.6
165.9510204;76.2;1.45306;37.6923;50.7
167.4040816;77.1;1.79592;41.2921;60.3
169.2;77.2;1.33061;33.4091;47.1
170.5306122;78.1;1.45306;45.092;61
171.9836735;78.2;1.41224;41.2921;63.2
173.3959184;79.1;1.29796;42.4855;63.5
174.6938776;79.2;1.16735;46.2264;67.5
175.8612245;80.1;1.24082;51.3986;67.6
177.1020408;80.2;1.24898;48.3553;71.2
178.3510204;81.1;1.27347;48.0392;71.6
179.6244898;81.2;1.2898;47.1154;70.3
180.9142857;82.1;1.29796;46.519;70
182.2122449;82.2;1.41224;46.2264;68.9
183.6244898;83.1;1.45306;42.4855;65.4
185.077551;83.2;1.17551;41.2921;71.1
186.2530612;84.1;1.20816;51.0417;70.6
187.4612245;84.2;1.64898;49.6622;66.8
189.1102041;85.1;1.4449;36.3861;66.7
190.555102;85.2;1.2;41.5254;74.1
191.755102;86.1;1.27347;50;72.3
193.0285714;86.2;1.29796;47.1154;74.6
194.3265306;87.1;1.38776;46.2264;69.7
195.7142857;87.2;1.37959;43.2353;66.1
197.0938776;88.1;1.20816;43.4911;64.1
198.3020408;88.2;1.32245;49.6622;67
199.6244898;89.1;1.64898;45.3704;70.1
201.2734694;89.2;1.24082;36.3861;66.4
202.5142857;90.1;1.37959;48.3553;59.2
203.8938776;90.2;1.77959;43.4911;60
205.6734694;1.1;1.25714;33.7156;52.9
206.9306122;1.2;1.17769;47.7273;72.3
208.1082993;2.1;1.15701;50.9473;67.8
209.2653061;2.2;1.08526;51.8579;67.1
210.3505669;3.1;1.02902;55.2863;65.7
211.3795918;3.2;1.12653;58.3076;68.1
212.5061224;4.1;1.1102;53.2609;68
213.6163265;4.2;1.18367;54.0441;71
214.8;5.1;1.01224;50.6897;69.3
215.8122449;5.2;1.11837;59.2742;67.8
216.9306122;6.1;1.06122;53.6496;73.6
217.9918367;6.2;1.34694;56.5385;70.7
219.3387755;7.1;1.47755;44.5455;71.8
220.8163265;7.2;1.33878;40.6077;64.8
222.155102;8.1;1.10204;44.8171;61.8
223.2571429;8.2;1.22449;54.4444;60.1
224.4816327;9.1;1.15102;49;51.8
225.6326531;9.2;1.09388;52.1277;61.1
226.7265306;10.1;1.10204;54.8507;60.4
227.8285714;10.2;1.03673;54.4444;60.7
228.8653061;11.1;1.1102;57.874;58.7
229.9755102;11.2;1.09388;54.0441;64.6
231.0693878;12.1;1.2;54.8507;68
232.2693878;12.2;1.05306;50;69.1
233.322449;13.1;1.06122;56.9767;65.3
234.3836735;13.2;1.0449;56.5385;70.8
235.4285714;14.1;1.06122;57.4219;72.4
236.4897959;14.2;1.06939;56.5385;78.6
237.5591837;15.1;1.01224;56.1069;76
238.5714286;15.2;1.09388;59.2742;71.3
239.6653061;16.1;1.03673;54.8507;70
240.7020408;16.2;1.15102;57.874;72
241.8530612;17.1;1.42857;52.1277;72.6
243.2816327;17.2;0.881633;42;67.5
244.1632653;18.1;0.955102;68.0556;71.7
245.1183673;18.2;0.987755;62.8205;66.2
246.1061224;19.1;0.995918;60.7438;67.3
247.1020408;19.2;1.02041;60.2459;61.8
248.122449;20.1;1.01224;58.8;63.8
249.1346939;20.2;1.21633;59.2742;56.9
250.3510204;21.1;1.03673;49.3289;64.9
251.3877551;21.2;1.05306;57.874;62.3
252.4408163;22.1;1.02857;56.9767;68.1
253.4693878;22.2;0.963265;58.3333;71
254.4326531;23.1;1.01224;62.2881;70.9
255.444898;23.2;0.995918;59.2742;74.8
256.4408163;24.1;0.955102;60.2459;80.1
257.3959184;24.2;0.987755;62.8205;78.5
258.3836735;25.1;1.00408;60.7438;71.2
259.3877551;25.2;1.05306;59.7561;79.4
260.4408163;26.1;1.12653;56.9767;81.8
261.5673469;26.2;1.11837;53.2609;80.2
262.6857143;27.1;0.955102;53.6496;74.6
263.6408163;27.2;0.995918;62.8205;81.7
264.6367347;28.1;0.889796;60.2459;82
265.5265306;28.2;1.13469;67.4312;78.6
266.6612245;29.1;1.00408;52.8777;76
267.6653061;29.2;1.0449;59.7561;77.6
268.7102041;30.1;0.979592;57.4219;74.6
269.6897959;30.2;0.881633;61.25;81.1
270.5714286;31.1;0.955102;68.0556;81.2
271.5265306;31.2;1.06122;62.8205;79.8
272.5877551;32.1;1.05306;56.5385;76.9
273.6408163;32.2;1.13469;56.9767;79.5
274.7755102;33.1;1.20816;52.8777;70.8
275.9836735;33.2;1.64082;49.6622;69.7
277.6244898;34.1;1.14286;36.5672;65.6
278.7673469;34.2;1.12653;52.5;74.9
279.8938776;35.1;1.0932;53.2609;76.5
280.9870748;35.2;1.02109;54.8849;76.7
282.0081633;36.1;1.01224;58.7608;79
283.0204082;36.2;1.22449;59.2742;80.4
284.244898;37.1;1.12653;49;74
285.3714286;37.2;1.28463;53.2609;71.4
286.6560544;38.1;1.07456;46.7062;64.9
287.7306122;38.2;0.963265;55.8369;71.9
288.6938776;39.1;1.02041;62.2881;74.1
289.7142857;39.2;1.1212;58.8;69.2
290.8354875;40.1;1.01757;53.514;77.6
291.8530612;40.2;1.16735;58.9638;76.1
293.0204082;41.1;1.13469;51.3986;77.3
294.155102;41.2;1.28465;52.8777;71.6
295.4397506;42.1;1.05005;46.7054;68.7
296.4897959;42.2;0.963265;57.1404;75.2
297.4530612;43.1;0.979592;62.2881;75.6
298.4326531;43.2;0.955102;61.25;71.1
299.3877551;44.1;0.873469;62.8205;72.1
300.2612245;44.2;0.897959;68.6916;77.3
301.1591837;45.1;0.914286;66.8182;79.2
302.0734694;45.2;1.11837;65.625;75.5
303.1918367;46.1;1.03673;53.6496;80.9
304.2285714;46.2;0.906122;57.874;81.2
305.1346939;47.1;0.832653;66.2162;81.8
305.9673469;47.2;0.914286;72.0588;81.5
306.8816327;48.1;0.906122;65.625;78
307.7877551;48.2;0.840816;66.2162;80.4
308.6285714;49.1;0.889796;71.3592;81
309.5183673;49.2;1.29796;67.4312;74.9
310.8163265;50.1;1.14286;46.2264;67.7
311.9591837;50.2;0.881633;52.5;74
312.8408163;51.1;0.857143;68.0556;75.3
313.6979592;51.2;0.84898;70;78.5
314.5469388;52.1;0.82449;70.6731;76.1
315.3714286;52.2;0.840816;72.7723;76.8
316.2122449;53.1;0.791837;71.3592;76.7
317.0040816;53.2;0.930612;75.7732;77.7
317.9346939;54.1;0.865306;64.4737;78.7
318.8;54.2;0.783673;69.3396;75.7
319.5836735;55.1;0.889796;76.5625;77.2
320.4734694;55.2;0.82449;67.4312;81.3
321.2979592;56.1;0.832653;72.7723;79.2
322.1306122;56.2;0.873469;72.0588;80.5
323.0040816;57.1;0.979592;68.6916;80.6
323.9836735;57.2;1.2898;61.25;80.5
325.2734694;58.1;1.11837;46.519;74.4
326.3918367;58.2;0.862426;53.6496;75.6
327.254263;59.1;0.917166;69.5712;78.4
328.1714286;59.2;0.865261;65.4189;78.9
329.0366893;60.1;0.971474;69.3433;79.2
330.0081633;60.2;0.987755;61.7618;81.1
330.9959184;61.1;1.2;60.7438;76.3
332.1959184;61.2;1.32245;50;72.6
333.5183673;62.1;1.03673;45.3704;82.1
334.555102;62.2;0.946939;57.874;79.2
335.5020408;63.1;1.02041;63.3621;77.7
336.522449;63.2;1.1102;58.8;80.3
337.6326531;64.1;0.971429;54.0441;77.4
338.6040816;64.2;0.946939;61.7647;80.7
339.5510204;65.1;1.09304;63.3621;80.9
340.644059;65.2;1.609;54.8928;81.5
342.2530612;66.1;1.57551;37.2902;81.3
343.8285714;66.2;1.06122;38.0829;77
344.8897959;67.1;1.00408;56.5385;72.6
345.8938776;67.2;0.995918;59.7561;74.1
346.8897959;68.1;1.01553;60.2459;69.9
347.9053288;68.2;1.09875;59.0823;71.3
349.0040816;69.1;1.04873;54.6074;76.9
350.0528118;69.2;1.23698;57.212;76.6
351.2897959;70.1;1.26531;48.5051;79.3
352.555102;70.2;1.09388;47.4194;79.1
353.6489796;71.1;1.11587;54.8507;77
354.7648526;71.2;1.32494;53.7696;72.5
356.0897959;72.1;1.11837;45.285;70.3
357.2081633;72.2;1.18367;53.6496;73.1
358.3918367;73.1;1.01224;50.6897;72.3
359.4040816;73.2;1.25714;59.2742;74.4
360.6612245;74.1;1.19184;47.7273;73.6
361.8530612;74.2;1.12653;50.3425;76.9
362.9795918;75.1;1.15918;53.2609;70.3
364.1387755;75.2;1.68163;51.7606;68.7
365.8204082;76.1;1.35705;35.6796;67.3
367.1774603;76.2;1.58989;44.2135;50.6
368.7673469;77.1;1.80408;37.7385;61.8
370.5714286;77.2;1.59524;33.2579;51.4
372.1666667;78.1;1.46599;37.6119;59.9
373.6326531;78.2;1.52653;40.9281;63.1
375.1591837;79.1;1.26531;39.3048;70.8
376.4244898;79.2;1.19184;47.4194;67.6
377.6163265;80.1;1.19184;50.3425;70.3
378.8081633;80.2;1.26531;50.3425;73
380.0734694;81.1;1.2;47.4194;71.4
381.2734694;81.2;1.24898;50;74.4
382.522449;82.1;1.29796;48.0392;73.8
383.8204082;82.2;1.40408;46.2264;70
385.2244898;83.1;1.49388;42.7326;66.8
386.7183673;83.2;1.15918;40.1639;69.3
387.877551;84.1;1.27347;51.7606;70.7
389.1510204;84.2;1.60773;47.1154;67.4
390.7587528;85.1;1.46982;37.3196;66.7
392.2285714;85.2;1.19184;40.8214;78.5
393.4204082;86.1;1.28163;50.3425;75
394.7020408;86.2;1.43531;46.8153;75.5
396.1373469;87.1;1.43;41.8029;70.4
397.5673469;87.2;1.3551;41.958;68.8
398.922449;88.1;1.25714;44.2771;66.7
400.1795918;88.2;1.21633;47.7273;66.9
401.3959184;89.1;1.42857;49.3289;70.2
402.8244898;89.2;1.24082;42;66.5
404.0653061;90.1;1.39592;48.3553;60
405.4612245;90.2;1.91837;42.9825;60.6
407.3795918;91.1;1.77143;31.2766;59.9
409.1510204;91.2;1.76327;33.871;65.9
410.9142857;92.1;1.38776;34.0278;64.5
412.3020408;92.2;1.52653;43.2353;61.9
413.8285714;93.1;1.29052;39.3048;65.3
415.119093;93.2;1.35438;46.4928;65.5
416.4734694;94.1;1.15918;44.3008;73
417.6326531;94.2;1.14281;51.7606;76.8
418.7754649;95.1;1.0776;52.5021;76.2
419.8530612;95.2;1.04628;55.6795;74.7
420.8993424;96.1;1.10066;57.346;79.5
422;96.2;1.16735;54.5129;75.9
423.1673469;97.1;1.07755;51.3986;71.3
424.244898;97.2;1.06122;55.6818;77.7
425.3061224;98.1;1.06122;56.5385;78.7
426.3673469;98.2;1.09098;56.5385;74.4
427.458322;99.1;1.00698;54.9967;72.4
428.4653061;99.2;1.10204;59.5839;77.6
429.5673469;100.1;1.00408;54.4444;79.1
430.5714286;100.2;1.18367;59.7561;75.7
431.755102;101.1;0.938776;50.6897;76.7
432.6938776;101.2;1.06122;63.913;77.3
433.755102;102.1;1.06122;56.5385;80
434.8163265;102.2;1.05476;56.5385;77.6
435.8710884;103.1;1.14116;56.8849;77.5
437.0122449;103.2;1.06122;52.5782;76.6
438.0734694;104.1;1.11837;56.5385;79.5
439.1918367;104.2;1.13469;53.6496;74.7
440.3265306;105.1;1.20816;52.8777;77.7
441.5346939;105.2;1.18367;49.6622;74.3
442.7183673;106.1;1.13469;50.6897;72.6
443.8530612;106.2;1.34694;52.8777;67.5
445.2;107.1;1.12653;44.5455;66.7
446.3265306;107.2;1.14286;53.2609;71.8
447.4693878;108.1;1.14286;52.5;78.7
448.6122449;108.2;1.14551;52.5;72
449.7577551;109.1;1.04585;52.3784;76.8
450.8036054;109.2;1.1719;57.3696;76.9
451.9755102;110.1;1.05306;51.1987;77.3
453.0285714;110.2;1.12653;56.9767;77.4
454.155102;111.1;1.03673;53.2609;76.5
455.1918367;111.2;1.06122;57.874;80
456.2530612;112.1;1.06122;56.5385;88.4
457.3142857;112.2;1.06122;56.5385;85.4
458.3755102;113.1;1.17551;56.5385;78.8
459.5510204;113.2;1.14286;51.0417;78
460.6938776;114.1;1.06939;52.5;79.1
461.7632653;114.2;1.09932;56.1069;77.3
462.862585;115.1;1.03129;54.5792;81
463.8938776;115.2;1.14286;58.1794;79.1
465.0367347;116.1;1.01921;52.5;80.8
466.055941;116.2;1.17671;58.8693;80.3
467.2326531;117.1;1.08571;50.9895;82.3
468.3183673;117.2;1.15918;55.2632;80.6
469.477551;118.1;0.930612;51.7606;88.4
470.4081633;118.2;1.05306;64.4737;81.7
471.4612245;119.1;0.873469;56.9767;86.9
472.3346939;119.2;1.06939;68.6916;82.2
473.4040816;120.1;0.897959;56.1069;86.5
474.3020408;120.2;1.07755;66.8182;80.4
475.3795918;121.1;0.897959;55.6818;81
476.277551;121.2;1.06122;66.8182;84.9
477.3387755;122.1;0.971429;56.5385;87.7
478.3102041;122.2;1.03424;61.7647;84.7
479.3444444;123.1;0.897392;58.0136;87.1
480.2418367;123.2;0.973696;66.8604;83.8
481.2155329;124.1;0.948345;61.6209;86.3
482.1638776;124.2;0.99619;63.2681;84.5
483.160068;125.1;1.04401;60.2294;80.7
484.2040816;125.2;1.13469;57.4705;82
485.3387755;126.1;1.16735;52.8777;81.7
486.5061224;126.2;0.995918;51.3986;85.7
487.5020408;127.1;0.995918;60.2459;83.3
488.4979592;127.2;0.914286;60.2459;81.1
489.4122449;128.1;0.971429;65.625;86.5
490.3836735;128.2;1.02857;61.7647;80.8
491.4122449;129.1;1.07755;58.3333;79.7
492.4897959;129.2;1.37959;55.6818;79.8
493.8693878;130.1;1.13469;43.4911;84
495.0040816;130.2;0.914286;52.8777;76.9
495.9183673;131.1;1.05306;65.625;83.4
496.9714286;131.2;1.01224;56.9767;79.8
497.9836735;132.1;1.00408;59.2742;80.9
498.9877551;132.2;0.979592;59.7561;83.5
499.9673469;133.1;1.11837;61.25;82.6
501.0857143;133.2;1.8449;53.6496;81.8
502.9306122;134.1;1.32245;32.5221;67.9
504.2530612;134.2;0.979592;45.3704;67.6
505.2326531;135.1;1.05306;61.25;70
506.2857143;135.2;0.946939;56.9767;72.4
507.2326531;136.1;0.987755;63.3621;75.7
508.2204082;136.2;0.979592;60.7438;73.9
509.2;137.1;0.988639;61.25;75.8
510.1886395;137.2;1.11748;60.6895;72.8
511.3061224;138.1;1.1102;53.6921;69.7
512.4163265;138.2;0.979592;54.0441;73.1
513.3959184;139.1;0.914286;61.25;75
514.3102041;139.2;1.02857;65.625;77.2
515.3387755;140.1;1.00408;58.3333;74.3
516.3428571;140.2;1.66531;59.7561;75.8
518.0081633;141.1;1.28163;36.0294;71.5
519.2897959;141.2;1.02041;46.8153;73.2
520.3102041;142.1;1.01224;58.8;67.9
521.322449;142.2;1.02857;59.2742;72.4
522.3510204;143.1;1.08571;58.3333;67.7
523.4367347;143.2;1.0449;55.2632;69.3
524.4816327;144.1;1.40408;57.4219;63.1
525.8857143;144.2;1.3551;42.7326;69.6
527.2408163;145.1;1.24082;44.2771;64.8
528.4816327;145.2;1.13469;48.3553;66.6
529.6163265;146.1;1.01463;52.8777;65.5
530.6309524;146.2;1.07517;59.1351;66.8
531.7061224;147.1;1.06939;55.8051;65.2
532.7755102;147.2;1.06939;56.1069;68.1
533.844898;148.1;1.06122;56.1069;63.6
534.9061224;148.2;1.38776;56.5385;61.3
536.2938776;149.1;1.26531;43.2353;67.6
537.5591837;149.2;1.07755;47.4194;64.9
538.6367347;150.1;1.03673;55.6818;69.1
539.6734694;150.2;1.27347;57.874;71.5
540.9469388;151.1;1.10204;47.1154;67.8
542.0489796;151.2;1.09388;54.4444;70.8
543.1428571;152.1;1.07755;54.8507;66.1
544.2204082;152.2;1.32245;55.6818;76.2
545.5428571;153.1;1.11837;45.3704;68.8
546.6612245;153.2;1.03673;53.6496;65.9
547.6979592;154.1;1.02857;57.874;69.8
548.7265306;154.2;1.16735;58.3333;77.1
549.8938776;155.1;1.03673;51.3986;74.4
550.9306122;155.2;1.12653;57.874;70.7
552.0571429;156.1;1.07755;53.2609;69.5
553.1346939;156.2;1.05306;55.6818;73.3
554.1877551;157.1;1.05306;56.9767;70.4
555.2408163;157.2;1.01224;56.9767;72.5
556.2530612;158.1;1.2;59.2742;71.9
557.4530612;158.2;1.07771;50;76.1
558.530771;159.1;1.42025;55.6736;64.9
559.9510204;159.2;1.18367;42.2461;69.6
561.1346939;160.1;1.20787;50.6897;67.8
562.3425624;160.2;1.32556;49.6743;64.5
563.6681179;161.1;1.78494;45.264;65.1
565.4530612;161.2;2.34286;33.6145;62.6
567.7959184;162.1;1.51737;25.6098;54.8
569.313288;162.2;1.29896;39.5421;68.2
570.6122449;163.1;1.23265;46.1909;60.8
571.844898;163.2;1.20816;48.6755;65.3
573.0530612;164.1;1.10204;49.6622;62.1
574.155102;164.2;1.40408;54.4444;69.1
575.5591837;165.1;1.33061;42.7326;60.2
576.8897959;165.2;1.39592;45.092;69.1
578.2857143;166.1;1.28163;42.9825;61.4
579.5673469;166.2;1.26531;46.8153;62.1
580.8326531;167.1;1.25714;47.4194;63.6
582.0897959;167.2;1.42857;47.7273;66.3
583.5183673;168.1;1.63279;42;51.7
585.1511565;168.2;1.37129;36.7469;60.5
586.522449;169.1;1.30286;43.7543;56.6
587.8253061;169.2;1.3068;46.0526;62.4
589.1321088;170.1;1.26789;45.9136;52.8
