Onset;Note;Duration (s)
2.171428571;1;1.32245
3.493877551;2;0.981769
4.475646259;3;0.359909
4.835555556;4;1.15628
5.991836735;5;1.11837
7.110204082;6;0.265034
7.375238095;7;0.148027
7.523265306;8;0.199184
7.72244898;9;0.262313
7.984761905;10;0.293288
8.278049887;11;0.934467
9.212517007;12;0.322177
9.534693878;13;1.24082
10.7755102;14;1.46721
12.24272109;15;0.296054
12.53877551;16;0.313469
12.8522449;17;0.257959
13.11020408;18;0.882721
13.99292517;19;0.24381
14.23673469;20;1.23265
15.46938776;21;1.32245
16.79183674;22;1.41551
18.20734694;23;1.21034
19.41768708;24;0.165442
19.58312925;25;0.261769
19.84489796;26;2.73794
22.58283447;27;1.35186
23.93469388;28;0.916463
24.85115646;29;0.308027
25.15918367;30;2.21714
27.37632653;31;1.04
28.41632653;32;0.292245
28.70857143;33;0.539864
29.24843537;34;0.392381
29.64081633;35;0.612245
30.25306122;36;1.74694
32;37;1.15102
33.15102041;38;0.860408
34.01142857;39;0.290612
34.30204082;40;1.01224
35.31428571;41;0.795646
36.10993197;42;0.265578
36.3755102;43;0.997007
37.37251701;44;0.853333
38.22585034;45;0.370068
38.59591837;46;1.09279
39.68870748;47;1.33986
41.02857143;48;1.94286
42.97142857;49;0.571429
43.54285714;50;0.465306
44.00816327;51;0.440816
44.44897959;52;0.514286
44.96326531;53;0.42449
45.3877551;54;0.489796
45.87755102;55;0.489796
46.36734694;56;0.44898
46.81632653;57;0.489796
47.30612245;58;0.497959
47.80408163;59;0.497959
48.30204082;60;0.514286
48.81632653;61;0.559728
49.37605442;62;0.525986
49.90204082;63;0.579592
50.48163265;64;0.514286
50.99591837;65;0.661224
51.65714286;66;0.39619
52.05333333;67;0.330884
52.38421769;68;0.358639
52.74285714;69;0.398912
53.14176871;70;0.330884
53.47265306;71;0.304762
53.77741497;72;0.540952
54.31836735;73;0.432653
54.75102041;74;0.514286
55.26530612;75;0.53805
55.80335601;76;0.307664
56.11102041;77;0.348299
56.45931973;78;0.373333
56.83265306;79;0.323265
57.15591837;80;0.426667
57.58258503;81;0.380227
57.96281179;82;1.6127
59.5755102;83;0.749932
60.32544218;84;0.352109
60.67755102;85;0.266122
60.94367347;86;0.245079
61.18875283;87;0.791111
61.97986395;88;0.297687
62.27755102;89;0.971429
63.24897959;90;1.34313
64.59210884;91;0.314014
64.90612245;92;0.243265
65.14938776;93;0.191565
65.34095238;94;0.783673
66.12462585;95;0.244785
66.36941043;96;1.07295
67.44235828;97;1.10295
68.54530612;98;1.72408
70.26938776;99;0.278639
70.54802721;100;0.227483
70.7755102;101;0.579592
71.35510204;102;1.02857
72.38367347;103;0.306395
72.69006803;104;0.311497
73.00156463;105;1.8944
74.89596372;106;2.56526
77.46122449;107;1.06122
78.52244898;108;0.689524
79.21197279;109;0.281542
79.49351474;110;1.00866
80.50217687;111;0.883764
81.38594104;112;0.240181
81.62612245;113;0.0914286
81.71755102;114;0.143673
81.86122449;115;0.20898
82.07020408;116;0.207347
82.27755102;117;0.759184
83.03673469;118;0.228571
83.26530612;119;1.05796
84.32326531;120;0.468571
84.79183674;121;0.628571
