Onset;Note;Duration (s)
1.804081633;1;1.3551
3.159183673;2;1.3629
4.522086168;3;1.12036
5.64244898;4;1.06812
6.710566893;5;1.10875
7.819319728;6;1.24227
9.061587302;7;1.19002
10.25160998;8;1.21905
11.4706576;9;1.08553
12.55619048;10;1.17261
13.72879819;11;1.19002
14.91882086;12;1.2771
16.19591837;13;1.29451
17.49043084;14;1.67764
19.16807256;15;1.27129
20.43936508;16;1.28871
21.72807256;17;1.05651
22.7845805;18;1.25968
24.04426304;19;1.12036
25.16462585;20;1.1632
26.32782313;21;1.24007
27.56789116;22;1.07392
28.64181406;23;1.21905
29.86086168;24;0.998458
30.85931973;25;1.07392
31.93324263;26;1.10875
33.04199547;27;0.928798
33.97079365;28;1.12617
35.09696145;29;1.01587
36.11283447;30;1.19583
37.30866213;31;1.1668
38.47546485;32;1.33515
39.81061225;33;8.13279
47.94340136;34;1.13778
49.08117914;35;0.878005
49.95918367;36;0.294603
50.25378685;37;0.632744
50.88653061;38;0.505034
51.39156463;39;0.597914
51.98947846;40;0.493424
52.48290249;41;0.297506
52.78040816;42;0.143673
52.92408163;43;0.13932
53.06340136;44;0.226395
53.28979592;45;0.244649
53.53444444;46;0.839433
54.37387755;47;0.309116
54.6829932;48;0.994059
55.67705215;49;1.36132
57.03836735;50;0.239456
57.27782313;51;0.217687
57.4955102;52;0.200272
57.69578231;53;0.510839
58.20662132;54;0.242358
58.44897959;55;0.268481
58.71746032;56;0.979592
59.69705215;57;1.02313
60.72018141;58;0.354104
61.07428571;59;0.20898
61.28326531;60;0.195918
61.47918367;61;0.210431
61.68961451;62;0.435374
62.12498866;63;0.229297
62.35428571;64;0.246712
62.60099773;65;1.01007
63.61106576;66;0.545669
64.15673469;67;0.534059
64.69079365;68;0.275737
64.96653061;69;0.223492
65.19002268;70;0.207528
65.39755102;71;0.251066
65.64861678;72;0.219138
65.8677551;73;0.238367
66.10612245;74;0.575782
66.68190476;75;0.309116
66.99102041;76;0.253968
67.24498866;77;0.255419
67.50040816;78;0.249615
67.75002268;79;0.272834
68.02285714;80;0.255419
68.27827664;81;0.280091
68.55836735;82;0.277188
68.83555556;83;0.284444
69.12;84;0.227143
69.34714286;85;0.256122
69.60326531;86;0.246485
69.84975057;87;0.223719
70.07346939;88;0.271383
70.34485261;89;0.277188
70.62204082;90;0.297506
70.91954649;91;1.00426
71.92380952;92;2.14785
74.07165533;93;0.655964
74.72761905;94;0.632744
75.36036281;95;0.18576
75.54612245;96;0.17415
75.72027211;97;0.226395
75.94666667;98;0.179955
76.12662132;99;0.17415
76.30077098;100;0.13932
76.4400907;101;0.18576
76.62585034;102;0.16254
76.78839002;103;0.156735
76.94512472;104;0.168345
77.11346939;105;0.15093
77.26439909;106;0.17415
77.43854875;107;0.18576
77.62430839;108;0.16254
77.78684807;109;0.203175
77.99002268;110;0.145125
78.13514739;111;0.16254
78.29768708;112;0.17415
78.47183674;113;0.17415
78.6459864;114;0.18576
78.83174603;115;0.17415
79.00589569;116;0.18576
79.19165533;117;0.15093
79.34258503;118;0.16254
79.50512472;119;0.17415
79.67927438;120;0.15093
79.83020408;121;0.156735
79.98693878;122;0.133515
80.12045352;123;0.15093
80.27138322;124;0.168345
80.43972789;125;0.179955
80.61968254;126;0.15093
80.77061225;127;0.156735
80.92734694;128;0.203175
81.13052154;129;0.15093
81.28145125;130;0.214785
81.49623583;131;0.145125
81.64136054;132;0.17415
81.8155102;133;0.214785
82.03029479;134;0.145125
82.1754195;135;0.17415
82.34956916;136;0.168345
82.51791383;137;0.168345
82.6862585;138;0.18576
82.87201814;139;0.24381
83.11582766;140;0.18576
83.3015873;141;0.18576
83.48734694;142;0.240726
83.72807256;143;0.154014
83.88208617;144;0.18576
84.06784581;145;0.191565
84.25941043;146;0.156735
84.41614513;147;0.15093
84.56707483;148;0.17415
84.74122449;149;0.17415
84.91537415;150;0.15093
85.06630386;151;0.16254
85.22884354;152;0.16254
85.39138322;153;0.15093
85.54231293;154;0.18576
85.72807256;155;0.15093
85.87900227;156;0.15093
86.02993197;157;0.20898
86.23891157;158;0.16254
86.40145125;159;0.12771
86.529161;160;0.17415
86.70331066;161;0.17415
86.87746032;162;0.13932
87.01678005;163;0.203175
87.21995465;164;0.145125
87.36507937;165;0.13932
87.50439909;166;0.226395
87.73079365;167;0.156735
87.88752835;168;0.16254
88.05006803;169;0.18576
88.23582766;170;0.15093
88.38675737;171;0.17415
88.56090703;172;0.15093
88.71183674;173;0.17415
88.8859864;174;0.13932
89.02530612;175;0.17415
89.19945578;176;0.13932
89.33877551;177;0.16254
89.50131519;178;0.307664
89.80897959;179;0.203175
90.0121542;180;0.18576
90.19791383;181;0.13932
90.33723356;182;0.13932
90.47655329;183;0.12771
90.60426304;184;0.18576
90.79002268;185;0.13932
90.9293424;186;0.18576
91.11510204;187;0.203175
91.31827664;188;0.156735
91.47501134;189;0.17415
91.649161;190;0.348299
91.99746032;191;0.15093
92.14839002;192;0.15093
92.29931973;193;0.191565
92.49088435;194;0.179955
92.670839;195;0.15093
92.82176871;196;0.168345
92.99011338;197;0.145125
93.1352381;198;0.15093
93.2861678;199;0.13932
93.42548753;200;0.16254
93.58802721;201;0.15093
93.73895692;202;0.17415
93.91310658;203;0.15093
94.06403628;204;0.13932
94.20335601;205;0.191565
94.39492064;206;0.145125
94.54004535;207;0.15093
94.69097506;208;0.19737
94.88834467;209;0.16254
95.05088435;210;0.13932
95.19020408;211;0.19737
95.3875737;212;0.15093
95.5385034;213;0.17415
95.71265306;214;0.20898
95.92163265;215;0.15093
96.07256236;216;0.12771
96.20027211;217;0.168345
96.36861678;218;0.179955
96.54857143;219;0.17415
96.72272109;220;0.156735
96.87945578;221;0.133515
97.01297052;222;0.19737
97.21034014;223;0.15093
97.36126984;224;0.15093
97.51219955;225;0.15093
97.66312925;226;0.15093
97.81405896;227;0.13932
97.95337869;228;0.19737
98.1507483;229;0.17415
98.32489796;230;0.13932
98.46421769;231;0.1161
98.58031746;232;0.16254
98.74285714;233;0.12771
98.87056689;234;0.13932
99.00988662;235;0.19737
99.20725624;236;0.19737
99.40462585;237;0.22059
99.62521542;238;0.278639
99.90385488;239;0.16254
100.0663946;240;0.18576
100.2521542;241;0.226395
100.4785488;242;0.121905
100.6004535;243;0.15093
100.7513832;244;0.16254
100.9139229;245;0.13932
101.0532426;246;0.13932
101.1925624;247;0.156735
101.3492971;248;0.121905
101.4712018;249;0.16254
101.6337415;250;0.156735
101.7904762;251;0.145125
101.9356009;252;0.19737
102.1329705;253;0.20898
102.3419501;254;0.13932
102.4812698;255;0.12771
102.6089796;256;0.145125
102.7541043;257;0.145125
102.899229;258;0.15093
103.0501587;259;0.156735
103.2068934;260;0.156735
103.3636281;261;0.16254
103.5261678;262;0.203175
103.7293424;263;0.145125
103.8744671;264;0.15093
104.0253968;265;0.19737
104.2227664;266;0.13932
104.3620862;267;0.13932
104.5014059;268;0.17415
104.6755556;269;0.13932
104.8148753;270;0.12771
104.942585;271;0.121905
105.0644898;272;0.156735
105.2212245;273;0.13932
105.3605442;274;0.217868
105.5784127;275;0.107211
105.6856236;276;0.13932
105.8249433;277;0.179955
106.004898;278;0.168345
106.1732426;279;0.15093
106.3241723;280;0.168345
106.492517;281;0.133515
106.6260317;282;0.16254
106.7885714;283;0.168345
106.9569161;284;0.145125
107.1020408;285;0.15093
107.2529705;286;0.2322
107.4851701;287;0.17415
107.6593197;288;0.15093
107.8102494;289;0.203175
108.013424;290;0.133515
108.1469388;291;0.1161
108.2630385;292;0.146327
108.4093651;293;0.155533
108.564898;294;0.10449
108.6693878;295;0.14585
108.8152381;296;0.132789
108.9480272;297;0.15093
109.0989569;298;0.146054
109.2450113;299;0.132585
109.3775964;300;0.18576
109.563356;301;0.15093
109.7142857;302;0.13932
109.8536054;303;0.15093
110.0045351;304;0.16254
110.1670748;305;0.12771
110.2947846;306;0.13932
110.4341043;307;0.17415
110.608254;308;0.13932
110.7475737;309;0.13932
110.8868934;310;0.203175
111.090068;311;0.145125
111.2351927;312;0.15093
111.3861224;313;0.18576
111.5718821;314;0.13932
111.7112018;315;0.13932
111.8505215;316;0.145125
111.9956463;317;0.145125
112.140771;318;0.13932
112.2800907;319;0.145125
112.4252154;320;0.156735
112.5819501;321;0.15093
112.7328798;322;0.115442
112.848322;323;0.151587
112.9999093;324;0.15093
113.150839;325;0.168345
113.3191837;326;0.121905
113.4410884;327;0.15093
113.5920181;328;0.166463
113.7584807;329;0.147007
113.9054875;330;0.17415
114.0796372;331;0.156735
114.2363719;332;0.145125
114.3814966;333;0.15093
114.5324263;334;0.191565
114.7239909;335;0.261224
114.9852154;336;0.24381
115.2290249;337;0.19737
115.4263946;338;0.203515
115.6299093;339;0.922653
116.5525624;340;0.313469
116.8660317;341;0.255419
117.1214512;342;0.22059
117.3420408;343;0.20898
117.5510204;344;0.22059
117.77161;345;0.22059
117.9921995;346;0.2322
118.2243991;347;0.19737
118.4217687;348;0.255419
118.6771882;349;0.238005
118.9151927;350;0.214785
119.1299773;351;0.214785
119.3447619;352;0.214785
119.5595465;353;0.230658
119.7902041;354;0.222132
120.0123356;355;0.238005
120.2503401;356;0.539864
120.7902041;357;0.516644
121.3068481;358;0.592109
121.8989569;359;0.969433
122.86839;360;0.354104
123.2224943;361;0.772063
123.9945578;362;0.301859
124.2964172;363;0.24381
124.5402268;364;0.227143
124.7673696;365;0.771315
125.5386848;366;0.238005
125.7766893;367;0.226395
126.0030839;368;0.236327
126.2394104;369;0.228073
126.467483;370;0.20898
126.6764626;371;0.255419
126.9318821;372;0.255419
127.1873016;373;0.812698
128;374;0.278639
128.2786395;375;0.719819
128.9984581;376;0.261224
129.2596825;377;0.864943
130.1246259;378;0.301859
130.4264853;379;0.719819
131.1463039;380;0.278639
131.4249433;381;0.260159
131.685102;382;0.26229
131.9473923;383;0.267029
132.2144218;384;0.516644
132.7310658;385;0.307664
133.0387302;386;0.249615
133.2883447;387;0.261224
133.5495692;388;0.238005
133.7875737;389;0.226395
134.0139683;390;0.290249
134.3042177;391;0.278639
134.5828571;392;0.24381
134.8266667;393;0.24381
135.0704762;394;0.284444
135.3549206;395;0.261224
135.6161451;396;0.2322
135.8483447;397;0.24381
136.0921542;398;0.249615
136.3417687;399;0.238005
136.5797732;400;0.267029
136.8468027;401;0.2322
137.0790023;402;0.267029
137.3460317;403;0.255419
137.6014512;404;0.255419
137.8568707;405;0.2322
138.0890703;406;0.301859
138.3909297;407;0.313469
138.7043991;408;0.255419
138.9598186;409;0.591247
139.5510658;410;0.383991
139.9350567;411;0.354104
140.289161;412;1.34095
141.6301134;413;0.278639
141.9087528;414;0.278639
142.1873923;415;0.207052
142.3944444;416;0.257347
142.6517914;417;0.290249
142.9420408;418;0.777869
143.7199093;419;0.261224
143.9811338;420;0.272834
144.2539683;421;0.228073
144.4820408;422;0.259546
144.7415873;423;0.238005
144.9795918;424;0.249615
145.2292063;425;0.241927
145.4711338;426;0.234082
145.7052154;427;0.255419
145.9606349;428;0.255419
146.2160544;429;0.214785
146.430839;430;0.238005
146.6688435;431;0.24424
146.9130839;432;0.254989
147.1680726;433;0.2322
147.4002721;434;0.278639
147.6789116;435;0.272834
147.951746;436;0.296054
148.2478005;437;0.255419
148.50322;438;0.24381
148.7470295;439;0.278639
149.0256689;440;0.824308
149.8499773;441;0.267029
150.1170068;442;0.812698
150.9297052;443;0.325079
151.2547846;444;0.928798
152.1835828;445;0.348299
152.5318821;446;0.789478
153.3213605;447;0.307664
153.6290249;448;0.586304
154.2153288;449;0.255419
154.4707483;450;0.290249
154.7609977;451;0.835918
155.5969161;452;0.342494
155.9394104;453;0.296054
156.2354649;454;0.290249
156.5257143;455;0.301859
156.8275737;456;0.319274
157.1468481;457;0.818503
157.9653515;458;0.319274
158.2846259;459;0.899773
159.1843991;460;0.319274
159.5036735;461;0.899773
160.4034467;462;0.336689
160.7401361;463;1.05651
161.796644;464;0.348299
162.1449433;465;0.690794
162.835737;466;1.20744
164.0431746;467;0.737234
164.7804082;468;0.748844
165.5292517;469;1.52091
167.0501587;470;0.725624
167.7757823;471;0.673379
168.449161;472;0.644354
169.0935147;473;0.754649
