Onset;Note;Duration (s)
5.591836735;1;1.15102
6.742857143;2;1.2
7.942857143;3;1.06122
9.004081633;4;1.14286
10.14693878;5;1.1102
11.25714286;6;1.1322
12.3893424;7;1.16984
13.55918367;8;1.2898
14.84897959;9;1.14286
15.99183674;10;1.19184
17.18367347;11;1.1102
18.29387755;12;1.25714
19.55102041;13;1.2
20.75102041;14;1.51837
22.26938776;15;1.25714
23.52653061;16;1.15102
24.67755102;17;0.963265
25.64081633;18;1.11837
26.75918367;19;1.03673
27.79591837;20;0.946939
28.74285714;21;0.946939
29.68979592;22;1.02857
30.71836735;23;1.0449
31.76326531;24;0.923084
32.68634921;25;0.864671
33.55102041;26;0.915624
34.46664399;27;0.896621
35.36326531;28;0.873469
36.23673469;29;0.897959
37.13469388;30;1.15102
38.28571429;31;1.2
39.48571429;32;1.77143
41.25714286;33;6.95259
48.20972789;34;0.802517
49.0122449;35;0.632018
49.64426304;36;0.225125
49.86938776;37;0.506304
50.37569161;38;0.407982
50.78367347;39;0.485986
51.26965986;40;0.452789
51.72244898;41;0.255419
51.97786848;42;0.10449
52.08235828;43;0.0972336
52.17959184;44;0.204626
52.38421769;45;0.203537
52.5877551;46;0.655601
53.24335601;47;0.266848
53.51020408;48;0.979592
54.48979592;49;1.33098
55.82077098;50;0.205465
56.02623583;51;0.224104
56.25034014;52;0.263946
56.51428571;53;0.421043
56.9353288;54;0.267029
57.20235828;55;0.267029
57.46938776;56;1.10204
58.57142857;57;1.05306
59.6244898;58;0.201723
59.82621315;59;0.239093
60.06530612;60;0.236916
60.30222222;61;0.220227
60.52244898;62;0.432653
60.95510204;63;0.217868
61.17297052;64;0.23195
61.40492064;65;0.978753
62.38367347;66;0.457143
62.84081633;67;0.514286
63.35510204;68;0.232744
63.58784581;69;0.265215
63.85306122;70;0.187574
64.04063492;71;0.22059
64.26122449;72;0.2322
64.49342404;73;0.186531
64.67995465;74;0.479229
65.15918367;75;0.239819
65.39900227;76;0.266304
65.66530612;77;0.186485
65.85179138;78;0.213515
66.06530612;79;0.192834
66.25814059;80;0.223492
66.48163265;81;0.252517
66.73414966;82;0.245442
66.97959184;83;0.242177
67.22176871;84;0.231293
67.45306122;85;0.221497
67.67455782;86;0.183288
67.85784581;87;0.188231
68.0460771;88;0.2322
68.27827664;89;0.24381
68.52208617;90;0.29424
68.81632653;91;1.12653
69.94285714;92;2.04898
71.99183674;93;0.644898
72.63673469;94;0.644898
73.28163265;95;0.244354
73.5259864;96;0.15093
73.6769161;97;0.159819
73.83673469;98;0.165261
74.00199547;99;0.1161
74.11809524;100;0.175782
74.29387755;101;0.149297
74.4431746;102;0.12771
74.57088435;103;0.196463
74.76734694;104;0.151837
74.91918367;105;0.12771
75.04689342;106;0.231247
75.27814059;107;0.175102
75.45324263;108;0.15093
75.60417234;109;0.216236
75.82040816;110;0.155283
75.97569161;111;0.13932
76.11501134;112;0.16254
76.27755102;113;0.18576
76.46331066;114;0.13932
76.60263039;115;0.183741
76.78637188;116;0.176168
76.96253968;117;0.13932
77.10185941;118;0.17161
77.27346939;119;0.211519
77.48498866;120;0.15093
77.63591837;121;0.200816
77.83673469;122;0.170703
78.00743764;123;0.15093
78.15836735;124;0.143673
78.30204082;125;0.169796
78.47183674;126;0.13932
78.61115646;127;0.18068
78.79183674;128;0.132789
78.92462585;129;0.17415
79.09877551;130;0.231837
79.33061225;131;0.162902
79.49351474;132;0.15093
79.64444444;133;0.175964
79.82040816;134;0.160726
79.98113379;135;0.17415
80.15528345;136;0.2039
80.35918367;137;0.144399
80.50358277;138;0.17415
80.67773243;139;0.195737
80.87346939;140;0.140952
81.01442177;141;0.19737
81.21179138;142;0.1678
81.37959184;143;0.157279
81.53687075;144;0.19737
81.73424036;145;0.208617
81.94285714;146;0.162902
82.10575964;147;0.13932
82.24507937;148;0.195737
82.44081633;149;0.164172
82.60498866;150;0.16254
82.76752835;151;0.146757
82.91428571;152;0.178322
83.09260771;153;0.16254
83.25514739;154;0.173424
83.42857143;155;0.174875
83.60344671;156;0.17415
83.77759637;157;0.157098
83.93469388;158;0.179592
84.11428571;159;0.16254
84.2768254;160;0.172154
84.44897959;161;0.210975
84.65995465;162;0.12771
84.7876644;163;0.167438
84.95510204;164;0.169252
85.12435374;165;0.17415
85.2985034;166;0.201565
85.50006803;167;0.204785
85.70485261;168;0.16254
85.86739229;169;0.157098
86.0244898;170;0.179592
86.20408163;171;0.15093
86.35501134;172;0.151111
86.50612245;173;0.197188
86.70331066;174;0.13932
86.84263039;175;0.169615
87.0122449;176;0.213515
87.22575964;177;0.18576
87.41151927;178;0.294603
87.70612245;179;0.181406
87.88752835;180;0.18576
88.07328798;181;0.212426
88.28571429;182;0.159093
88.44480726;183;0.19737
88.64217687;184;0.182313
88.8244898;185;0.224036
89.04852608;186;0.19737
89.24589569;187;0.223492
89.46938776;188;0.217687
89.68707483;189;0.18576
89.87283447;190;0.290431
90.16326531;191;0.290068
90.45333333;192;0.17415
90.62748299;193;0.139864
90.76734694;194;0.150385
90.91773243;195;0.17415
91.09188209;196;0.173424
91.26530612;197;0.140045
91.40535147;198;0.13932
91.5446712;199;0.161451
91.70612245;200;0.152018
91.85814059;201;0.12771
91.98585034;202;0.201905
92.1877551;203;0.169615
92.35736962;204;0.16254
92.5199093;205;0.190295
92.71020408;206;0.130431
92.84063492;207;0.142222
92.98285714;208;0.151837
93.13469388;209;0.116644
93.25133787;210;0.16254
93.41387755;211;0.161633
93.5755102;212;0.140227
93.71573696;213;0.15093
93.86666667;214;0.198639
94.06530612;215;0.14966
94.21496599;216;0.13932
94.35428571;217;0.176327
94.53061225;218;0.125533
94.65614513;219;0.1161
94.7722449;220;0.150204
94.92244898;221;0.128435
95.05088435;222;0.15093
95.20181406;223;0.136961
95.33877551;224;0.141678
95.48045352;225;0.12771
95.60816327;226;0.220408
95.82857143;227;0.197551
96.02612245;228;0.13932
96.16544218;229;0.144762
