Onset,Note,Duration (s),Bar
0.187755102,1,1.46122,1
1.648979592,2,0.931338,1
2.58031746,3,0.317642,1
2.897959184,4,1.24898,2
4.146938776,5,1.40553,2
5.552471655,6,0.18576,3
5.738231293,7,0.12771,3
5.865941043,8,0.134921,3
6.000861678,9,0.368662,3
6.36952381,10,0.286395,3
6.655918367,11,0.841224,3
7.497142857,12,0.364082,3
7.86122449,13,1.26531,4
9.126530612,14,1.62141,4
10.74793651,15,0.272472,5
11.02040816,16,0.235465,5
11.25587302,17,0.358231,5
11.61410431,18,0.942086,5
12.55619048,19,0.358095,5
12.91428571,20,1.09388,6
14.00816327,21,1.15918,6
15.16734694,22,1.35075,7
16.51809524,23,0.985397,7
17.50349206,24,0.193016,7
17.69650794,25,0.205533,7
17.90204082,26,2.4898,8
20.39183674,27,1.28689,9
21.67873016,28,0.995556,9
22.67428571,29,0.337959,9
23.0122449,30,2.21224,10
25.2244898,31,1.17551,11
26.4,32,0.449524,11
26.84952381,33,0.426667,11
27.27619048,34,0.413605,11
27.68979592,35,0.595918,12
28.28571429,36,1.97551,12
30.26122449,37,1.40408,13
31.66530612,38,0.873107,13
32.5384127,39,0.310567,13
32.84897959,40,1.05306,14
33.90204082,41,0.840816,14
34.74285714,42,0.293878,14
35.03673469,43,1.05306,15
36.08979592,44,0.837188,15
36.92698413,45,0.370975,15
37.29795918,46,1.23265,16
38.53061225,47,1.32245,16
39.85306122,48,1.90204,17
41.75510204,49,0.514286,17
42.26938776,50,0.595918,18
42.86530612,51,0.481633,18
43.34693878,52,0.571429,18
43.91836735,53,0.497959,18
44.41632653,54,0.587755,19
45.00408163,55,0.546939,19
45.55102041,56,0.612245,19
46.16326531,57,0.563265,19
46.72653061,58,0.542608,20
47.26913832,59,0.543107,20
47.8122449,60,0.56059,20
48.37283447,61,0.721043,20
49.09387755,62,0.555102,21
49.64897959,63,0.595918,21
50.24489796,64,0.555102,21
50.8,65,0.636735,21
51.43673469,66,0.423583,22
51.86031746,67,0.375873,22
52.23619048,68,0.359728,22
52.59591837,69,0.392018,22
52.98793651,70,0.365714,22
53.35365079,71,0.425941,22
53.77959184,72,0.600385,23
54.37997732,73,0.583288,23
54.96326531,74,0.595918,23
55.55918367,75,0.604082,23
56.16326531,76,0.548571,24
56.71183674,77,0.272834,24
56.9846712,78,0.321451,24
57.30612245,79,0.392562,24
57.69868481,80,0.409252,24
58.10793651,81,0.335057,24
58.4429932,82,1.63864,25
60.08163265,83,0.830113,25
60.91174603,84,0.288254,26
61.2,85,0.270476,26
61.47047619,86,0.309116,26
61.77959184,87,0.727075,26
62.50666667,88,0.366803,26
62.87346939,89,1.11837,27
63.99183674,90,1.35927,27
65.35111111,91,0.273379,28
65.6244898,92,0.315828,28
65.94031746,93,0.304581,28
66.24489796,94,0.741769,28
66.98666667,95,0.392925,28
67.37959184,96,1.04785,29
68.42743764,97,1.12358,29
69.55102041,98,1.59313,30
71.14414966,99,0.312358,30
71.45650794,100,0.282268,30
71.73877551,101,0.538776,31
72.27755102,102,1.10204,31
73.37959184,103,0.291519,31
73.67111111,104,0.369705,31
74.04081633,105,2.18776,32
76.22857143,106,2.44898,33
78.67755102,107,1.23265,34
79.91020408,108,0.851701,34
80.76190476,109,0.307483,34
81.06938776,110,1.19184,35
82.26122449,111,1.24898,35
83.51020408,112,0.309478,36
83.81968254,113,0.101587,36
83.92126984,114,0.176689,36
84.09795918,115,0.31093,36
84.40888889,116,0.268662,36
84.67755102,117,0.828481,36
85.50603175,118,0.249161,36
85.75519274,119,1.14277,37
86.89795918,120,0.599184,37
87.49714286,121,0.617143,37
88.11428571,122,1.14286,38
89.25714286,123,0.514286,38
89.77142857,124,0.538776,38
90.31020408,125,1.03673,39
91.34693878,126,0.538776,39
91.88571429,127,0.538776,39
92.4244898,128,1.06122,40
93.48571429,129,1.16735,40
94.65306122,130,1.24082,41
95.89387755,131,1.3551,41
97.24897959,132,0.610068,42
97.85904762,133,0.516463,42
98.3755102,134,0.479093,42
98.85460318,135,0.647438,42
99.50204082,136,1.09388,43
100.5959184,137,0.371701,43
100.967619,138,0.47746,43
101.4450794,139,0.650159,44
102.0952381,140,0.54966,44
102.644898,141,0.473469,44
103.1183673,142,0.538776,44
103.6571429,143,1.01224,45
104.6693878,144,0.506122,45
105.1755102,145,0.465125,45
105.6406349,146,0.555805,46
106.1964399,147,0.521927,46
106.7183673,148,0.415601,46
107.1339683,149,0.596644,46
107.7306122,150,0.457143,47
108.1877551,151,0.563265,47
108.7510204,152,0.457143,47
109.2081633,153,0.536599,47
109.7447619,154,0.55873,48
110.3034921,155,0.529161,48
110.8326531,156,0.489796,48
111.322449,157,0.546939,48
111.8693878,158,0.470839,49
112.3402268,159,0.516916,49
112.8571429,160,0.489796,49
113.3469388,161,0.604989,49
113.9519274,162,0.60415,50
114.5560771,163,0.437846,50
114.9939229,164,0.545669,50
115.5395918,165,0.505034,50
116.0446259,166,0.490522,51
116.5351474,167,0.507937,51
117.0430839,168,0.484717,51
117.5278005,169,0.476009,51
118.0038095,170,0.536961,52
118.540771,171,0.519547,52
119.0603175,172,0.510839,52
119.5711565,173,0.435374,52
120.0065306,174,0.551474,53
120.5580045,175,0.522449,53
121.0804535,176,0.511383,53
121.5918367,177,0.52771,53
122.1195465,178,1.26839,54
123.3879365,179,0.253968,54
123.6419048,180,0.259773,54
123.901678,181,0.24381,54
124.1454875,182,0.983946,55
125.1294331,183,0.576689,55
125.7061224,184,0.678639,55
126.3847619,185,0.268299,56
126.6530612,186,0.229478,56
126.8825397,187,0.284807,56
127.1673469,188,1.02041,56
128.1877551,189,0.546939,57
128.7346939,190,1.43927,57
130.1739683,191,0.369048,57
130.5430159,192,1.00238,58
131.5453968,193,0.299501,58
131.844898,194,0.238912,58
132.0838095,195,0.267211,58
132.3510204,196,0.860408,58
133.2114286,197,0.339592,59
133.5510204,198,0.239456,59
133.7904762,199,0.258503,59
134.0489796,200,0.259592,59
134.3085714,201,0.213333,59
134.5219048,202,0.264127,59
134.7860317,203,0.233651,59
135.0196825,204,0.893968,60
135.9136508,205,0.347574,60
136.2612245,206,0.708934,60
136.9701587,207,0.253968,60
137.224127,208,0.944762,61
138.1688889,209,0.35356,61
138.522449,210,0.92644,61
139.4488889,211,0.355193,61
139.8040816,212,0.90449,62
140.7085714,213,0.311837,62
141.0204082,214,0.522449,62
141.5428571,215,0.262857,62
141.8057143,216,0.284082,62
142.0897959,217,0.467664,63
142.5574603,218,0.355556,63
142.9130159,219,0.203175,63
143.1161905,220,0.426667,63
143.5428571,221,0.277551,63
143.8204082,222,0.291338,63
144.111746,223,0.288254,63
144.4,224,0.839365,64
145.2393651,225,0.327982,64
145.5673469,226,0.748844,64
146.3161905,227,0.328707,64
146.644898,228,0.788753,65
147.4336508,229,0.403084,65
147.8367347,230,8.90231,65
156.7390476,231,0.240544,68
156.9795918,232,0.277551,69
157.2571429,233,0.302041,69
157.5591837,234,0.246531,69
157.8057143,235,0.251429,69
158.0571429,236,0.226032,69
158.2831746,237,0.271927,69
158.555102,238,0.266485,69
158.8215873,239,0.34576,69
159.1673469,240,0.273923,70
159.4412698,241,0.281179,70
159.722449,242,0.815964,70
160.5384127,243,0.3922,70
160.9306122,244,0.938594,70
161.8692063,245,0.326712,71
162.1959184,246,0.932971,71
163.1288889,247,0.324172,71
163.4530612,248,1.10821,71
164.5612698,249,0.304036,72
164.8653061,250,0.346122,72
165.2114286,251,0.355918,72
165.5673469,252,0.595918,72
166.1632653,253,0.318005,72
166.4812698,254,0.650159,72
167.1314286,255,0.305306,73
167.4367347,256,0.273741,73
167.7104762,257,0.331315,73
168.0417914,258,0.594943,73
168.6367347,259,0.292789,73
168.9295238,260,0.690794,73
169.6203175,261,0.289887,74
169.9102041,262,0.817415,74
170.727619,263,0.358095,74
171.0857143,264,0.850794,74
171.9365079,265,0.300227,75
172.2367347,266,0.857868,75
173.0946032,267,0.309478,75
173.4040816,268,0.742857,75
174.1469388,269,2.8,76
176.9469388,270,2.80816,77
179.755102,271,0.659773,78
180.4148753,272,0.670839,78
181.0857143,273,0.587755,78
181.6734694,274,0.693878,78
182.3673469,275,0.685714,79
183.0530612,276,0.604082,79
183.6571429,277,0.604082,79
184.2612245,278,0.628571,79
184.8897959,279,0.628571,80
185.5183673,280,0.685714,80
186.2040816,281,0.644898,80
186.8489796,282,0.661224,80
187.5102041,283,0.586281,80
188.0964853,284,0.621882,80
188.7183673,285,0.612245,80
189.3306122,286,0.644898,80
189.9755102,287,0.653061,80
190.6285714,288,1.30612,80
191.9346939,289,0.832653,80
192.7673469,290,0.653061,81
193.4204082,291,0.661224,81
194.0816327,292,0.628571,81
194.7102041,293,0.685714,81
195.3959184,294,0.628571,82
196.0244898,295,0.313288,82
196.3377778,296,0.315283,82
196.6530612,297,0.677551,82
197.3306122,298,0.693878,82
198.0244898,299,0.563265,83
198.5877551,300,0.269388,83
198.8571429,301,0.367347,83
199.2244898,302,0.604082,83
199.8285714,303,0.595918,83
200.4244898,304,0.587755,84
201.0122449,305,0.587755,84
201.6,306,1.21633,84
202.8163265,307,0.599478,85
203.415805,308,0.608685,85
204.0244898,309,8.89796,85
212.922449,1,1.30612,1
214.2285714,2,0.943492,1
215.1720635,3,0.305488,1
215.477551,4,1.25714,2
216.7346939,5,1.32245,2
218.0571429,6,0.367166,3
218.4243084,7,0.107392,3
218.5317007,8,0.121859,3
218.6535601,9,0.378821,3
219.032381,10,0.322721,3
219.355102,11,0.876009,3
220.2311111,12,0.340317,3
220.5714286,13,1.30612,4
221.877551,14,1.72626,4
223.6038095,15,0.355374,5
223.9591837,16,0.315102,5
224.2742857,17,0.328345,5
224.6026304,18,1.00245,5
225.6050794,19,0.313288,5
225.9183673,20,1.30612,6
227.2244898,21,1.32245,6
228.5469388,22,1.3551,7
229.9020408,23,0.944943,7
230.8469841,24,0.223492,7
231.0704762,25,0.284626,7
231.355102,26,2.60408,8
233.9591837,27,1.31256,9
235.271746,28,1,9
236.271746,29,0.332336,9
236.6040816,30,2.19592,10
238.8,31,1.2,11
240,32,0.457143,11
240.4571429,33,0.446984,11
240.904127,34,0.361179,11
241.2653061,35,0.612245,12
241.877551,36,2,12
243.877551,37,1.15918,13
245.0367347,38,0.814694,13
245.8514286,39,0.311837,13
246.1632653,40,0.995918,14
247.1591837,41,0.825578,14
247.9847619,42,0.272313,14
248.2570748,43,1.00007,15
249.2571429,44,0.871111,15
250.128254,45,0.361542,15
250.4897959,46,1.1102,16
251.6,47,1.41249,16
253.0124943,48,1.98807,17
255.0005669,49,0.558617,17
255.5591837,50,0.553855,18
256.1130385,51,0.50737,18
256.6204082,52,0.563265,18
257.1836735,53,0.522449,18
257.7061224,54,0.628571,19
258.3346939,55,0.538776,19
258.8734694,56,0.628571,19
259.5020408,57,0.601905,19
260.1039456,58,0.522857,20
260.6268027,59,0.565034,20
261.1918367,60,0.530612,20
261.722449,61,0.685714,20
262.4081633,62,0.473469,21
262.8816327,63,0.595918,21
263.477551,64,0.506122,21
263.9836735,65,0.726531,21
264.7102041,66,0.371701,22
265.0819048,67,0.416508,22
265.4984127,68,0.362812,22
265.8612245,69,0.338141,22
266.1993651,70,0.446984,22
266.6463492,71,0.30059,22
266.9469388,72,0.604082,23
267.5510204,73,0.563265,23
268.1142857,74,0.516644,23
268.6309297,75,0.64254,23
269.2734694,76,0.440816,24
269.7142857,77,0.304762,24
270.0190476,78,0.365714,24
