Onset;Note;Duration (s)
0.930612245;1;1.32415
2.254761905;2;1.23912
3.493877551;3;1.29796
4.791836735;4;1.20902
6.000861678;5;1.2073
7.208163265;6;1.22449
8.432653061;7;1.28163
9.714285714;8;1.30612
11.02040816;9;1.12653
12.14693878;10;1.22449
13.37142857;11;1.21633
14.5877551;12;1.24898
15.83673469;13;1.38776
17.2244898;14;1.25714
18.48163265;15;1.17551
19.65714286;16;1.42857
21.08571429;17;1.18367
22.26938776;18;1.16735
23.43673469;19;1.18367
24.62040816;20;1.1673
25.78770975;21;1.15107
26.93877551;22;1.34694
28.28571429;23;1.33878
29.6244898;24;1.43673
31.06122449;25;1.1102
32.17142857;26;1.12361
33.29503401;27;1.11313
34.40816327;28;1.14286
35.55102041;29;1.15102
36.70204082;30;1.13469
37.83673469;31;1.24898
39.08571429;32;1.57551
40.66122449;33;8.43265
49.09387755;34;1.15102
50.24489796;35;0.839002
51.08390023;36;0.352834
51.43673469;37;0.612245
52.04897959;38;0.546939
52.59591837;39;0.563265
53.15918367;40;0.620408
53.77959184;41;0.311293
54.09088435;42;0.13932
54.23020408;43;0.149773
54.37997732;44;0.279796
54.65977324;45;0.303492
54.96326531;46;0.880726
55.84399093;47;0.319274
56.16326531;48;1.14286
57.30612245;49;1.44036
58.74648526;50;0.322903
59.06938776;51;0.257596
59.32698413;52;0.281179
59.60816327;53;0.473469
60.08163265;54;0.255419
60.33705215;55;0.324172
60.66122449;56;1.11837
61.77959184;57;1.09388
62.87346939;58;0.308027
63.1814966;59;0.26898
63.45047619;60;0.241859
63.6923356;61;0.299501
63.99183674;62;0.497959
64.48979592;63;0.282268
64.77206349;64;0.329977
65.10204082;65;1.14286
66.24489796;66;0.546939
66.79183674;67;0.587755
67.37959184;68;0.283356
67.66294785;69;0.255419
67.91836735;70;0.255419
68.17378685;71;0.253651
68.42743764;72;0.268798
68.69623583;73;0.291519
68.9877551;74;0.563265
69.55102041;75;0.329433
69.88045352;76;0.266485
70.14693878;77;0.267574
70.41451247;78;0.238549
70.65306122;79;0.27229
70.92535147;80;0.218798
71.14414966;81;0.326871
71.47102041;82;0.267755
71.73877551;83;0.266304
72.00507937;84;0.272472
72.27755102;85;0.215147
72.49269841;86;0.274649
72.76734694;87;0.30585
73.07319728;88;0.306395
73.37959184;89;0.320544
73.70013605;90;0.34068
74.04081633;91;1.13469
75.1755102;92;2.11429
77.28979592;93;0.653061
77.94285714;94;0.734694
78.67755102;95;0.398005
79.07555556;96;0.182857
79.2584127;97;0.145669
79.40408163;98;0.209887
79.61396825;99;0.182857
