Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
1.68;1.1;0.6975;0;59.1
2.3775;1.2;0.57;86.0215;82.9
2.9475;1.3;0.497125;105.263;72.3
3.444625;1.4;0.605375;120.694;76.4
4.05;2.1;0.5325;99.1121;73.5
4.5825;2.2;0.517083;112.676;78.7
5.099583333;2.3;0.480417;116.035;73.1
5.58;2.4;0.51;124.892;76.5
6.09;3.1;0.5175;117.647;69.7
6.6075;3.2;0.555;115.942;77.4
7.1625;3.3;0.525;108.108;73.5
7.6875;3.4;0.51;114.286;72.8
8.1975;4.1;0.51;117.647;75
8.7075;4.2;0.525;117.647;83.9
9.2325;4.3;0.6075;114.286;74.5
9.84;4.4;0.54;98.7654;75.4
10.38;5.1;0.57;111.111;72.3
10.95;5.2;0.555;105.263;78.5
11.505;5.3;0.5175;108.108;71
12.0225;5.4;0.5925;115.942;76.6
12.615;6.1;0.4725;101.266;72.4
13.0875;6.2;0.5025;126.984;75.4
13.59;6.3;0.5925;119.403;71.7
14.1825;6.4;0.5175;101.266;78.4
14.7;7.1;0.5625;115.942;71.4
15.2625;7.2;0.5475;106.667;73.6
15.81;7.3;0.6225;109.589;69.3
16.4325;7.4;0.6825;96.3855;73.2
17.115;8.1;0.4425;87.9121;67.1
17.5575;8.2;0.585417;135.593;72.4
18.14291667;8.3;0.524583;102.491;62.4
18.6675;8.4;0.5475;114.376;63.8
19.215;9.1;0.5325;109.589;65.6
19.7475;9.2;0.51;112.676;77.8
20.2575;9.3;0.51;117.647;75.6
20.7675;9.4;0.495;117.647;73.6
21.2625;10.1;0.506958;121.212;67.8
21.76945833;10.2;0.520542;118.353;73.6
22.29;10.3;0.4275;115.265;69.1
22.7175;10.4;0.42;140.351;70.2
23.1375;11.1;0.496021;142.857;73.5
23.63352083;11.2;0.426479;120.963;80.3
24.06;11.3;0.5175;140.687;76.1
24.5775;11.4;0.504833;115.942;75.8
25.08233333;12.1;0.477667;118.851;67.8
25.56;12.2;0.511792;125.611;74.1
26.07179167;12.3;0.508208;117.235;71.2
26.58;12.4;0.42;118.062;71.9
27;13.1;0.495;142.857;72.9
27.495;13.2;0.39;121.212;77.3
27.885;13.3;0.485208;153.846;73.2
28.37020833;13.4;0.392292;123.658;77.7
28.7625;14.1;0.4425;152.947;75
29.205;14.2;0.4425;135.593;78.4
29.6475;14.3;0.4575;135.593;75.6
30.105;14.4;0.45;131.148;78.6
30.555;15.1;0.405;133.333;76
30.96;15.2;0.4875;148.148;79.6
31.4475;15.3;0.3975;123.077;76.1
31.845;15.4;0.645;150.943;80.2
32.49;16.1;0.451333;93.0233;74.1
32.94133333;16.2;0.508667;132.939;80.9
33.45;16.3;0.54;117.955;75
33.99;16.4;0.675;111.111;80.7
34.665;17.1;0.7575;88.8889;74.7
35.4225;17.2;0.4275;79.2079;77
35.85;17.3;0.4125;140.351;72.6
36.2625;17.4;0.574583;145.455;73.1
36.83708333;18.1;0.550417;104.423;73.8
37.3875;18.2;0.48;109.008;70.6
37.8675;18.3;0.465;125;67.8
38.3325;18.4;0.472354;129.032;66.3
38.80485417;19.1;0.460521;127.023;65.2
39.265375;19.2;0.462125;130.287;69.7
39.7275;19.3;0.448979;129.835;65.5
40.17647917;19.4;0.473521;133.636;61.4
40.65;20.1;0.4575;126.71;62.9
41.1075;20.2;0.4575;131.148;68.7
41.565;20.3;0.4425;131.148;71.5
42.0075;20.4;0.465;135.593;66
42.4725;21.1;0.425917;129.032;72.7
