Onset;Note;Duration (s)
2.720666667;1;0.499333
3.22;2;0.704667
3.924666667;3;0.238
4.162666667;4;0.21
4.372666667;5;0.214667
4.587333333;6;0.494667
5.082;7;0.471333
5.553333333;8;0.499333
6.052666667;9;0.891333
6.944;10;0.196
7.14;11;0.247333
7.387333333;12;0.424667
7.812;13;0.443333
8.255333333;14;0.480667
8.736;15;0.639333
9.375333333;16;0.224
9.599333333;17;0.200667
9.8;18;0.247333
10.04733333;19;0.634667
10.682;20;0.252
10.934;21;0.200667
11.13466667;22;0.205333
11.34;23;0.634667
11.97466667;24;0.219333
12.194;25;0.196
12.39;26;0.228667
12.61866667;27;0.224
12.84266667;28;0.21926
13.06192708;29;0.43874
13.50066667;30;0.511208
14.011875;31;0.244323
14.25619792;32;0.294469
14.55066667;33;0.462
15.01266667;34;0.504
15.51666667;35;0.21
15.72666667;36;0.233333
15.96;37;0.466667
16.42666667;38;0.493375
16.92004167;39;0.939292
17.85933333;40;0.256667
18.116;41;0.289333
18.40533333;42;1.05282
19.45815625;43;0.309844
19.768;44;0.336
20.104;45;1.35333
21.45733333;46;0.28399
21.74132292;47;0.229344
21.97066667;48;0.238
22.20866667;49;0.256667
22.46533333;50;0.504
22.96933333;51;0.569333
23.53866667;52;0.266
23.80466667;53;0.238
24.04266667;54;0.233333
24.276;55;0.224
24.5;56;0.438667
24.93866667;57;0.238344
25.17701042;58;0.228323
25.40533333;59;0.225906
25.63123958;60;0.250531
25.88177083;61;0.508229
26.39;62;0.219333
26.60933333;63;0.256667
26.866;64;0.214667
27.08066667;65;0.214667
27.29533333;66;0.448
27.74333333;67;0.219333
27.96266667;68;0.214667
28.17733333;69;0.228667
28.406;70;0.233333
28.63933333;71;0.504
29.14333333;72;0.233333
29.37666667;73;0.219333
29.596;74;0.191333
29.78733333;75;0.219333
30.00666667;76;0.429333
30.436;77;0.241323
30.67732292;78;0.234677
30.912;79;0.421333
31.33333333;80;0.456
31.78933333;81;0.232385
32.02171875;82;0.238948
32.26066667;83;0.424667
32.68533333;84;0.480667
33.166;85;0.392
33.558;86;0.469823
34.02782292;87;0.513979
34.54180208;88;0.579531
35.12133333;89;0.541333
35.66266667;90;0.480667
36.14333333;91;0.410667
36.554;92;0.494667
37.04866667;93;0.499333
37.548;94;0.518
38.066;95;0.504
38.57;96;0.588
39.158;97;0.532
39.69;98;0.569333
40.25933333;99;0.578667
40.838;100;0.760667
41.59866667;101;2.27717
43.87583333;102;0.5555
44.43133333;103;0.648667
45.08;104;0.247333
45.32733333;105;0.200667
45.528;106;0.266
45.794;107;0.443333
46.23733333;108;0.469021
46.70635417;109;0.48525
47.19160417;110;0.693125
47.88472917;111;0.241146
48.125875;112;0.212208
48.33808333;113;0.213917
48.552;114;0.495896
49.04789583;115;0.446771
49.49466667;116;0.485198
49.97986458;117;0.653469
50.63333333;118;0.224
50.85733333;119;0.224094
51.08142708;120;0.237906
51.31933333;121;0.415333
51.73466667;122;0.508667
52.24333333;123;0.462
52.70533333;124;0.239042
52.944375;125;0.213625
53.158;126;0.216813
53.3748125;127;0.231187
53.606;128;0.238
53.844;129;0.242667
54.08666667;130;0.466667
54.55333333;131;0.606667
55.16;132;1.708
56.868;133;0.490844
57.35884375;134;0.45049
57.80933333;135;0.444667
58.254;136;0.443333
58.69733333;137;0.597333
59.29466667;138;0.191333
59.486;139;0.518
60.004;140;0.448
60.452;141;0.378
60.83;142;0.476
61.306;143;0.835333
62.14133333;144;0.448
62.58933333;145;0.46724
63.05657292;146;0.429417
63.48598958;147;0.45101
63.937;148;0.598333
64.53533333;149;0.205333
64.74066667;150;0.508667
65.24933333;151;0.564667
65.814;152;0.401333
66.21533333;153;0.555333
66.77066667;154;0.826
67.59666667;155;0.452667
68.04933333;156;0.228521
68.27785417;157;0.216781
68.49463542;158;0.366698
68.86133333;159;0.459417
69.32075;160;0.79125
70.112;161;0.415333
70.52733333;162;0.233333
70.76066667;163;0.219333
70.98;164;0.368667
71.34866667;165;0.532
71.88066667;166;0.842323
72.72298958;167;0.44101
73.164;168;0.844667
74.00866667;169;0.480667
74.48933333;170;0.816667
75.306;171;0.438667
75.74466667;172;0.835333
76.58;173;0.452667
77.03266667;174;0.830667
77.86333333;175;0.396667
78.26;176;0.882
79.142;177;0.424667
79.56666667;178;0.438667
80.00533333;179;0.406
80.41133333;180;0.424667
80.836;181;0.429333
81.26533333;182;0.424573
81.68990625;183;0.527427
82.21733333;184;2.63667
84.854;185;0.527333
85.38133333;186;0.676667
86.058;187;0.219333
86.27733333;188;0.205333
86.48266667;189;0.224
86.70666667;190;0.448
87.15466667;191;0.434
87.58866667;192;0.434
88.02266667;193;0.634667
88.65733333;194;0.224
88.88133333;195;0.200667
89.082;196;0.196
89.278;197;0.448
89.726;198;0.448
90.174;199;0.387333
90.56133333;200;0.639333
91.20066667;201;0.21
91.41066667;202;0.21
91.62066667;203;0.242667
91.86333333;204;0.620667
92.484;205;0.21
92.694;206;0.21
92.904;207;0.196
93.1;208;0.656552
93.75655208;209;0.202115
93.95866667;210;0.186667
94.14533333;211;0.191333
94.33666667;212;0.228667
94.56533333;213;0.21
94.77533333;214;0.438667
95.214;215;0.457333
95.67133333;216;1.106
96.77733333;217;0.233281
97.01061458;218;0.238052
97.24866667;219;0.252
97.50066667;220;0.21
97.71066667;221;0.429333
98.14;222;0.480667
98.62066667;223;0.625333
99.246;224;0.331333
99.57733333;225;0.289333
99.86666667;226;0.261333
100.128;227;0.228667
100.3566667;228;0.28
100.6366667;229;0.228667
100.8653333;230;0.443333
101.3086667;231;0.21
101.5186667;232;0.224
101.7426667;233;0.429333
102.172;234;0.242667
102.4146667;235;0.21
102.6246667;236;0.56
103.1846667;237;1.22267
104.4073333;238;1.00333
105.4106667;239;0.9935
106.4041667;240;0.9665
107.3706667;241;0.593719
107.9643854;242;7.00661
114.971;243;0.589667
115.5606667;244;0.471333
116.032;245;0.457333
116.4893333;246;0.42
116.9093333;247;0.186667
117.096;248;0.312667
117.4086667;249;0.312802
117.7214688;250;0.219198
117.9406667;251;0.322
118.2626667;252;0.294
118.5566667;253;0.256667
118.8133333;254;0.329427
119.1427604;255;0.41724
119.56;256;0.294
119.854;257;0.312667
120.1666667;258;0.282187
120.4488542;259;0.263813
120.7126667;260;0.233333
120.946;261;0.298667
121.2446667;262;0.224
121.4686667;263;0.275333
121.744;264;0.275333
122.0193333;265;0.228667
122.248;266;0.312667
122.5606667;267;0.410667
122.9713333;268;0.303333
123.2746667;269;0.312667
123.5873333;270;0.242667
123.83;271;0.270667
124.1006667;272;0.267812
124.3684792;273;0.260479
124.6289583;274;0.218375
124.8473333;275;0.256667
125.104;276;0.261333
125.3653333;277;0.261333
125.6266667;278;0.298667
125.9253333;279;0.401333
126.3266667;280;0.354667
126.6813333;281;0.410667
127.092;282;0.276906
127.3689063;283;0.28776
127.6566667;284;0.25401
127.9106771;285;0.240656
128.1513333;286;0.261333
128.4126667;287;0.270667
128.6833333;288;0.275333
128.9586667;289;0.238
129.1966667;290;0.308
129.5046667;291;0.270667
129.7753333;292;0.238
130.0133333;293;0.303333
130.3166667;294;0.261333
130.578;295;0.266
130.844;296;0.228667
131.0726667;297;0.312667
131.3853333;298;0.284667
131.67;299;0.368667
132.0386667;300;0.886667
