Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
0.621133787;0.3;0.502132;0;64.9
1.123265306;1.1;0.452789;119.491;71.1
1.576054422;1.2;0.481179;132.512;68.2
2.05723356;1.3;0.470839;124.694;69.8
2.528072562;2.1;0.458594;127.432;70.3
2.986666667;2.2;0.438277;130.835;66.1
3.424943311;2.3;0.445533;136.9;65.4
3.87047619;3.1;0.425215;134.67;70.4
4.29569161;3.2;0.455692;141.105;70.2
4.75138322;3.3;0.460499;131.668;68.2
5.211882086;4.1;0.433469;130.293;71.5
5.645351474;4.2;0.417959;138.418;67.3
6.063310658;4.3;0.426667;143.555;68.5
6.489977324;5.1;0.423764;140.625;69.1
6.913741497;5.2;0.464399;141.588;66.5
7.37814059;5.3;0.441179;129.199;70.6
7.819319728;6.1;0.420862;135.999;72.5
8.240181406;6.2;0.423764;142.565;68.3
8.663945578;6.3;0.470204;141.588;69.8
9.13414966;7.1;0.417959;127.604;70.9
9.552108844;7.2;0.417959;143.555;71.2
9.970068027;7.3;0.449887;143.555;66.6
10.41995465;8.1;0.400544;133.367;73.3
10.82049887;8.2;0.435374;149.796;68.8
11.25587302;8.3;0.426667;137.813;69.2
11.68253968;9.1;0.452789;140.625;66.9
12.1353288;9.2;0.444082;132.512;69.2
12.57941043;9.3;0.510839;135.11;71.9
13.09024943;10.1;0.510839;117.454;76.3
13.60108844;10.2;0.455692;117.454;71.1
14.05678005;10.3;0.432472;131.668;61.6
14.4892517;11.1;0.441179;138.737;64.3
14.93043084;11.2;0.417959;135.999;64.5
15.34839002;11.3;0.499229;143.555;69.3
15.84761905;12.1;0.464399;120.185;67.2
16.31201814;12.2;0.429569;129.199;68.1
16.7415873;12.3;0.493424;139.675;73.2
17.23501134;13.1;0.490522;121.599;74
17.72553288;13.2;0.467302;122.319;65.6
18.19283447;13.3;0.490522;128.397;68.1
18.68335601;14.1;0.519547;122.319;65
19.20290249;14.2;0.542766;115.485;58
19.74566893;14.3;0.505034;110.545;62.5
20.25070295;15.1;0.478912;118.804;66
20.72961451;15.2;0.499229;125.284;56.9
21.22884354;15.3;0.522449;120.185;66.1
21.75129252;16.1;0.432472;114.844;70.7
22.18376417;16.2;0.449887;138.737;64.8
22.63365079;16.3;0.449887;133.367;68.2
23.08353742;17.1;0.455692;133.367;70.2
23.53922903;17.2;0.432472;131.668;66.9
23.97170068;17.3;0.481814;138.737;71.6
24.45351474;18.1;0.423764;124.529;70.6
24.87727891;18.2;0.426667;141.588;69
25.30394558;18.3;0.446984;140.625;70.3
25.75092971;19.1;0.470204;134.233;73.4
26.22113379;19.2;0.420862;127.604;73.5
26.64199547;19.3;0.487619;142.565;75.6
27.12961451;20.1;0.415057;123.047;72.8
27.5446712;20.2;0.415057;144.559;67.4
27.95972789;20.3;0.426667;144.559;70.6
28.38639456;21.1;0.449887;140.625;72.6
28.83628118;21.2;0.409252;133.367;67.6
29.24553288;21.3;0.444082;146.609;66.8
29.68961451;22.1;0.464399;135.11;70.5
30.15401361;22.2;0.415057;129.199;68.2
30.5690703;22.3;0.423764;144.559;69.7
30.99283447;23.1;0.428685;141.588;75.4
31.42151927;23.2;0.430454;139.963;70.4
31.85197279;23.3;0.470204;139.388;73.3
32.32217687;24.1;0.455692;127.604;77.1
32.77786848;24.2;0.481814;131.668;71.1
33.25968254;24.3;0.415057;124.529;69.5
33.67473923;25.1;0.412154;144.559;68.8
34.08689342;25.2;0.432472;145.577;68.1
34.51936508;25.3;0.461497;138.737;69.2
34.98086168;26.1;0.470249;130.012;68.6
35.45111111;26.2;0.432426;127.592;61
35.88353742;26.3;0.481814;138.752;73.3
36.36535147;27.1;0.452789;124.529;73.6
36.81814059;27.2;0.476009;132.512;66
37.29414966;27.3;0.470204;126.048;66.4
37.76435374;28.1;0.46322;127.604;65.6
38.2275737;28.2;0.448163;129.528;59.2
38.67573696;28.3;0.420862;133.88;68.3
39.09659864;29.1;0.420862;142.565;70.2
39.51746032;29.2;0.458594;142.565;66.2
39.97605442;29.3;0.484717;130.835;68.8
40.46077098;30.1;0.435374;123.784;72.4
40.89614513;30.2;0.432472;137.813;72.1
41.32861678;30.3;0.442948;138.737;68.7
41.77156463;31.1;0.433605;135.456;69.7
42.20517007;31.2;0.455692;138.375;67.4
42.66086168;31.3;0.464399;131.668;70.5
43.12526077;32.1;0.415057;129.199;71.9
43.54031746;32.2;0.391837;144.559;69.8
43.9321542;32.3;0.464399;153.125;68.5
44.39655329;33.1;0.461497;129.199;65
44.85804989;33.2;0.445079;130.012;65.7
45.30312925;33.3;0.457596;134.807;66.9
45.76072562;34.1;0.435374;131.12;68.3
46.19609977;34.2;0.391837;137.813;69.8
46.58793651;34.3;0.403447;153.125;71.8
46.99138322;35.1;0.460476;148.719;69.1
47.45185941;35.2;0.456712;130.3;68.7
47.90857143;35.3;0.441179;131.374;70.2
48.34975057;36.1;0.429569;135.999;66.9
48.77931973;36.2;0.412154;139.675;69.3
49.19147392;36.3;0.400544;145.577;68.4
49.59201814;37.1;0.499229;149.796;70.1
50.09124717;37.2;0.436258;120.185;65.9
50.52750567;37.3;0.43449;137.533;63.8
50.96199547;38.1;0.461497;138.093;73.9
51.42349206;38.2;0.409252;130.012;65.9
51.83274376;38.3;0.446984;146.609;69.6
52.27972789;39.1;0.476009;134.233;69.1
52.75573696;39.2;0.435374;126.048;64.8
53.19111111;39.3;0.490522;137.813;64.9
53.68163265;40.1;0.377324;122.319;67
54.05895692;40.2;0.409252;159.014;68.3
54.46820862;40.3;0.519547;146.609;72.1
54.9877551;41.1;0.423764;115.485;72
55.41151927;41.2;0.415057;141.588;73
55.82657596;41.3;0.464399;144.559;70.6
56.29097506;42.1;0.455692;129.199;76.9
56.74666667;42.2;0.362812;131.668;72.7
57.10947846;42.3;0.464399;165.375;76.7
57.57387755;43.1;0.446893;129.199;69.6
58.02077098;43.2;0.40644;134.26;74.2
58.42721088;43.3;0.441179;147.623;76.4
58.86839002;44.1;0.417959;135.999;74.5
59.28634921;44.2;0.388934;143.555;70.2
59.67528345;44.3;0.455692;154.268;75.6
60.13097506;45.1;0.415057;131.668;72.8
60.54603175;45.2;0.403447;144.559;68.8
60.94947846;45.3;0.435374;148.719;74.3
61.38485261;46.1;0.435374;137.813;75.1
61.82022676;46.2;0.365714;137.813;70.1
62.18594104;46.3;0.441179;164.063;74.1
62.62712018;47.1;0.438277;135.999;73.2
63.06539683;47.2;0.429569;136.9;71.4
63.49496599;47.3;0.400544;139.675;73.5
63.8955102;48.1;0.412154;149.796;75.4
64.3076644;48.2;0.420862;145.577;72.2
64.72852608;48.3;0.420862;142.565;78.6
65.14938776;49.1;0.418503;142.565;75
65.56789116;49.2;0.435533;143.368;71.3
66.00342404;49.3;0.423061;137.762;74.1
66.42648526;50.1;0.430794;141.823;73
66.85727891;50.2;0.367392;139.278;67.3
67.2246712;50.3;0.441179;163.313;72
67.66585034;51.1;0.431156;135.999;70.5
68.0970068;51.2;0.393152;139.161;74.6
