Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
1.489342404;0.3;0.596825;0;64.8
2.0861678;1.1;0.55873;100.532;67.8
2.644897959;1.2;0.497052;107.386;63.9
3.141950113;1.3;0.526077;120.712;78.7
3.668027211;2.1;0.478912;114.052;70.6
4.146938776;2.2;0.406349;125.284;68.6
4.553287982;2.3;0.522449;147.656;69
5.075736961;3.1;0.449887;114.844;71.6
5.525623583;3.2;0.446259;133.367;69.8
5.971882086;3.3;0.464399;134.451;73.1
6.436281179;4.1;0.431746;129.199;71
6.868027211;4.2;0.380952;138.971;68.2
7.248979592;4.3;0.486168;157.5;70.4
7.735147392;5.1;0.42449;123.414;72.4
8.159637188;5.2;0.457143;141.346;73.1
8.616780045;5.3;0.428118;131.25;75.5
9.044897959;6.1;0.413605;140.148;76.5
9.458503401;6.2;0.428118;145.066;69.3
9.886621315;6.3;0.431746;140.148;74.8
10.31836735;7.1;0.409977;138.971;78.9
10.72834467;7.2;0.417234;146.35;71.2
11.14557823;7.3;0.431746;143.804;74
11.57732426;8.1;0.420862;138.971;77.4
11.99818594;8.2;0.428118;142.565;72
12.42630386;8.3;0.391837;140.148;73.5
12.81814059;9.1;0.413605;153.125;71.9
13.23174603;9.2;0.417234;145.066;71.3
13.64897959;9.3;0.478912;143.804;79.4
14.12789116;10.1;0.446259;125.284;81.5
14.57414966;10.2;0.44263;134.451;76.8
15.01678005;10.3;0.420862;135.553;62.6
15.43764172;11.1;0.448571;142.565;71.6
15.88621315;11.2;0.451202;133.758;72.7
16.33741497;11.3;0.486281;132.978;76
16.82369615;12.1;0.460658;123.385;80
17.28435374;12.2;0.420862;130.249;72
17.70521542;12.3;0.511565;142.565;79.4
18.21678005;13.1;0.453515;117.287;80.5
18.67029479;13.2;0.420862;132.3;74.1
19.09115646;13.3;0.547846;142.565;76.7
19.63900227;14.1;0.518821;109.52;77.7
20.15782313;14.2;0.497052;115.647;73.4
20.65487528;14.3;0.507937;120.712;64.9
21.16281179;15.1;0.460771;118.125;68
21.62358277;15.2;0.486168;130.217;64.5
22.10975057;15.3;0.493424;123.414;69.1
22.6031746;16.1;0.435374;121.599;75
23.03854875;16.2;0.456871;137.813;71.4
23.4954195;16.3;0.432018;131.328;72.5
23.92743764;17.1;0.420862;138.883;75
24.34829932;17.2;0.42449;142.565;73.2
24.77278912;17.3;0.431746;141.346;82.3
25.20453515;18.1;0.409977;138.971;73.5
25.61451247;18.2;0.36644;146.35;70.3
25.98095238;18.3;0.417234;163.738;71.4
26.39818594;19.1;0.409977;143.804;75
26.80816327;19.2;0.409977;146.35;70.7
27.21814059;19.3;0.377324;146.35;75.9
27.59546485;20.1;0.406349;159.014;75.4
28.00181406;20.2;0.42449;147.656;68.8
28.42630386;20.3;0.388209;141.346;74.2
28.81451247;21.1;0.373696;154.556;76.9
29.18820862;21.2;0.446259;160.558;73.5
29.63446712;21.3;0.417234;134.451;72.7
30.05170068;22.1;0.337415;143.804;72
30.38911565;22.2;0.44263;177.823;70.7
30.83174603;22.3;0.431746;135.553;72.5
31.26349206;23.1;0.373696;138.971;75
31.63718821;23.2;0.423878;160.558;75.6
32.06106576;23.3;0.439615;141.55;75.1
32.50068027;24.1;0.42449;136.483;73.2
32.92517007;24.2;0.36644;141.346;69
33.29160998;24.3;0.409977;163.738;82.8
33.7015873;25.1;0.406349;146.35;73
34.10793651;25.2;0.42449;147.656;75.1
34.5324263;25.3;0.431746;141.346;72.7
34.96417234;26.1;0.413605;138.971;74.7
35.37777778;26.2;0.446259;145.066;71.1
35.82403628;26.3;0.468027;134.451;66.7
36.29206349;27.1;0.435374;128.198;72.4
36.72743764;27.2;0.439002;137.813;64.7
37.16643991;27.3;0.406349;136.674;68.1
37.57278912;28.1;0.486168;147.656;69
38.05895692;28.2;0.50068;123.414;66.9
38.55963719;28.3;0.522449;119.837;66.6
39.08208617;29.1;0.464399;114.844;70.1
39.54648526;29.2;0.464399;129.199;68.4
40.01088435;29.3;0.468027;129.199;79.7
40.47891157;30.1;0.44263;128.198;72.6
40.92154195;30.2;0.439002;135.553;69.5
41.36054422;30.3;0.399093;136.674;69.4
41.75963719;31.1;0.449887;150.341;74.4
42.20952381;31.2;0.44263;133.367;69.6
42.6521542;31.3;0.420862;135.553;73.5
43.07301587;32.1;0.446122;142.565;79.6
43.51913832;32.2;0.395238;134.492;71.6
43.91437642;32.3;0.3922;151.807;73.8
44.30657596;33.1;0.439002;152.983;77.1
44.74557823;33.2;0.413605;136.674;77.7
45.15918367;33.3;0.42449;145.066;80.4
45.58367347;34.1;0.399093;141.346;77.3
45.98276644;34.2;0.406349;150.341;77.9
46.38911565;34.3;0.44263;147.656;77
46.83174603;35.1;0.394717;135.553;79.2
47.22646259;35.2;0.410726;152.008;70.1
47.63718821;35.3;0.446259;146.083;70.1
48.08344671;36.1;0.409977;134.451;81.2
48.49342404;36.2;0.38458;146.35;75.9
48.87800454;36.3;0.388209;156.014;75.8
49.26621315;37.1;0.456735;154.556;80.7
49.72294785;37.2;0.450295;131.367;68.6
50.17324263;37.3;0.486168;133.246;66.6
50.65941043;38.1;0.44263;123.414;68.9
51.10204082;38.2;0.404943;135.553;66.4
51.50698413;38.3;0.425896;148.169;72.8
51.93287982;39.1;0.453515;140.88;72.6
52.38639456;39.2;0.380952;132.3;73.8
52.76734694;39.3;0.388209;157.5;75.2
53.15555556;40.1;0.417234;154.556;78.9
53.57278912;40.2;0.399093;143.804;75.9
53.97188209;40.3;0.44263;150.341;78.3
54.41451247;41.1;0.413605;135.553;80.2
54.82811791;41.2;0.417234;145.066;77
55.24535147;41.3;0.439002;143.804;75.1
55.68435374;42.1;0.437574;136.674;76.2
56.12192744;42.2;0.407778;137.12;75.7
56.52970522;42.3;0.413605;147.139;75.8
56.94331066;43.1;0.439002;145.066;74.5
57.38231293;43.2;0.446259;136.674;76
57.82857143;43.3;0.388209;134.451;76.7
58.21678005;44.1;0.428118;154.556;77.2
58.64489796;44.2;0.417234;140.148;74.4
59.06213152;44.3;0.391837;143.804;80.3
59.45396825;45.1;0.42449;153.125;82.6
59.87845805;45.2;0.406349;141.346;75.4
60.28480726;45.3;0.42449;147.656;76.1
60.70929705;46.1;0.428118;141.346;74.2
61.13741497;46.2;0.414807;140.148;71.6
61.55222222;46.3;0.376122;144.645;74.7
61.92834467;47.1;0.337415;159.523;76.9
62.26575964;47.2;0.413605;177.823;81.6
62.67936508;47.3;0.431746;145.066;83.4
63.11111111;48.1;0.409977;138.971;76.7
63.52108844;48.2;0.337415;146.35;71
63.8585034;48.3;0.395465;177.823;80.5
64.25396825;49.1;0.420862;151.72;81.1
64.67482993;49.2;0.413605;142.565;75.3
65.08843537;49.3;0.417234;145.066;76
65.50566893;50.1;0.373696;143.804;76.5
65.87936508;50.2;0.38458;160.558;73.4
66.26394558;50.3;0.402721;156.014;76
66.66666667;51.1;0.42449;148.986;82.2
67.09115646;51.2;0.359184;141.346;79.6
67.45034014;51.3;0.44263;167.045;84.7
67.89297052;52.1;0.391837;135.553;83.1
68.28480726;52.2;0.391837;153.125;82
68.67664399;52.3;0.409977;153.125;86.9
69.08662132;53.1;0.41127;146.35;76
69.49789116;53.2;0.368776;145.89;77.2
69.86666667;53.3;0.435374;162.701;78.6
70.30204082;54.1;0.373696;137.813;78.6
70.67573696;54.2;0.373696;160.558;77.9
71.04943311;54.3;0.428118;160.558;83.8
71.47755102;55.1;0.413605;140.148;88.2
71.89115646;55.2;0.395465;145.066;82.1
72.28662132;55.3;0.380952;151.72;78.8
72.6675737;56.1;0.402721;157.5;77.4
73.07029479;56.2;0.373696;148.986;82.5
73.44399093;56.3;0.395465;160.558;85.9
73.83945578;57.1;0.388209;151.72;75.9
74.2276644;57.2;0.42449;154.556;81.9
74.6521542;57.3;0.417234;141.346;78.9
75.06938776;58.1;0.478912;143.804;80.3
75.54829932;58.2;0.439002;125.284;78.4
75.98730159;58.3;0.468027;136.674;76.6
76.4553288;59.1;0.492222;128.198;76.5
76.94755102;59.2;0.480113;121.896;66.2
77.4276644;59.3;0.536961;124.97;76
77.96462585;60.1;0.449887;111.74;69.6
78.41451247;60.2;0.399093;133.367;65.7
78.81360544;60.3;0.475283;150.341;67.1
79.28888889;61.1;0.428118;126.24;72.3
