Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
0.72;0.5;0.248;0;53.9
0.968;0.6;0.232;241.935;61.7
1.2;1.1;0.204;258.621;62.4
1.404;1.2;0.232;294.118;63
1.636;1.3;0.208;258.621;62.1
1.844;1.4;0.232;288.462;50.9
2.076;1.5;0.220021;258.621;60.9
2.296020833;1.6;0.231979;272.701;53.7
2.528;2.1;0.208;258.644;58.5
2.736;2.2;0.22;288.462;66
2.956;2.3;0.222552;272.727;63.2
3.178552083;2.4;0.209448;269.6;56.2
3.388;2.5;0.208;286.467;61.2
3.596;2.6;0.224;288.462;58.3
3.82;3.1;0.22;267.857;69.4
4.04;3.2;0.196;272.727;72.1
4.236;3.3;0.239375;306.122;67.3
4.475375;3.4;0.216625;250.653;58.3
4.692;3.5;0.22;276.976;59.4
4.912;3.6;0.228;272.727;51.4
5.14;4.1;0.208;263.158;63.6
5.348;4.2;0.22;288.462;68.1
5.568;4.3;0.208;272.727;65.3
5.776;4.4;0.196;288.462;60.1
5.972;4.5;0.196;306.122;63.7
6.168;4.6;0.228;306.122;62.4
6.396;5.1;0.204;263.158;65.1
6.6;5.2;0.228;294.118;71.3
6.828;5.3;0.196;263.158;64.5
7.024;5.4;0.2;306.122;56
7.224;5.5;0.218562;300;63.6
7.4425625;5.6;0.213437;274.521;54.1
7.656;6.1;0.22;281.113;65.3
7.876;6.2;0.228;272.727;67.8
8.104;6.3;0.184;263.158;65.1
8.288;6.4;0.216;326.087;61.2
8.504;6.5;0.196;277.778;68.1
8.7;6.6;0.228;306.122;66.4
8.928;7.1;0.204;263.158;71.4
9.132;7.2;0.224;294.118;74.8
9.356;7.3;0.196;267.857;68.5
9.552;7.4;0.208;306.122;65.5
9.76;7.5;0.212;288.462;68.1
9.972;7.6;0.212;283.019;62.6
10.184;8.1;0.208;283.019;70.4
10.392;8.2;0.196;288.462;70.8
10.588;8.3;0.228917;306.122;67.6
10.81691667;8.4;0.207083;262.104;59.2
11.024;8.5;0.22;289.738;66.7
11.244;8.6;0.18;272.727;59.9
11.424;9.1;0.228;333.333;65.8
11.652;9.2;0.204;263.158;57.4
11.856;9.3;0.216;294.118;67
12.072;9.4;0.208;277.778;57
12.28;9.5;0.222937;288.462;67.9
12.5029375;9.6;0.239094;269.134;57.8
12.74203125;10.1;0.225969;250.948;63.4
12.968;10.2;0.276;265.523;67.9
13.244;10.3;0.236;217.391;62.7
13.48;10.4;0.276;254.237;59.4
13.756;10.5;0.204;217.391;56.3
