Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
0.434285714;0.5;0.203175;0;65.3
0.637460317;0.6;0.228571;295.313;62.7
0.866031746;1.1;0.218413;262.5;65.8
1.084444444;1.2;0.248889;274.709;63.8
1.333333333;1.3;0.220952;241.071;62.7
1.554285714;1.4;0.213333;271.552;54
1.767619048;1.5;0.246349;281.25;68.9
2.013968254;1.6;0.246349;243.557;58.9
2.26031746;2.1;0.246349;243.557;62.2
2.506666667;2.2;0.228571;243.557;69.1
2.735238095;2.3;0.228571;262.5;62.1
2.963809524;2.4;0.208254;262.5;58.8
3.172063492;2.5;0.208254;288.11;59.4
3.38031746;2.6;0.251429;288.11;61.6
3.631746032;3.1;0.210794;238.636;68.6
3.842539683;3.2;0.232721;284.639;69.7
4.075260771;3.3;0.236145;257.819;61.4
4.311405896;3.4;0.219388;254.081;55.5
4.530793651;3.5;0.231111;273.488;60.2
4.761904762;3.6;0.259048;259.615;50.3
5.020952381;4.1;0.218413;231.618;62.7
5.239365079;4.2;0.210136;274.709;70.1
5.449501134;4.3;0.229229;285.529;63.8
5.678730159;4.4;0.205714;261.747;60.1
5.884444444;4.5;0.200635;291.667;65.4
6.085079365;4.6;0.256508;299.051;66.8
6.341587302;5.1;0.210794;233.911;64.5
6.552380952;5.2;0.215873;284.639;69.8
6.768253968;5.3;0.213333;277.941;64.6
6.981587302;5.4;0.256508;281.25;56.8
7.238095238;5.5;0.253968;233.911;64.7
7.492063492;5.6;0.24127;236.25;58.1
7.733333333;6.1;0.215873;248.684;64.7
7.949206349;6.2;0.23873;277.941;65.7
8.187936508;6.3;0.200635;251.33;63.5
8.388571429;6.4;0.215873;299.051;60.1
8.604444444;6.5;0.177778;277.941;61.4
8.782222222;6.6;0.24127;337.5;61.1
9.023492063;7.1;0.210794;248.684;68.2
9.234285714;7.2;0.223492;284.639;71.3
9.457777778;7.3;0.226757;268.466;68.8
9.684535147;7.4;0.199909;264.6;66.8
9.884444444;7.5;0.233651;300.136;65.4
10.11809524;7.6;0.220952;256.793;61.9
10.33904762;8.1;0.176689;271.552;69.6
10.51573696;8.2;0.211882;339.579;69.8
10.72761905;8.3;0.23966;283.176;65.1
10.96727891;8.4;0.215465;250.355;60.3
