Onset;Note;Duration (s);Bar
2.082539683;1;0.446984;1
2.52952381;2;0.662381;2
3.191904762;3;0.196032;2
3.387936508;4;0.187937;2
3.575873016;5;0.187937;2
3.763809524;6;0.40127;3
4.165079365;7;0.442925;3
4.608004535;8;0.433492;3
5.041496599;9;0.632154;4
5.673650794;10;0.182857;4
5.856507937;11;0.187937;4
6.044444444;12;0.193016;4
6.237460317;13;0.421587;5
6.659047619;14;0.406417;5
7.065464853;15;0.431678;5
7.497142857;16;0.624762;6
8.121904762;17;0.193016;6
8.314920635;18;0.193016;6
8.507936508;19;0.218413;6
8.726349206;20;0.614603;7
9.340952381;21;0.187937;7
9.528888889;22;0.198095;7
9.726984127;23;0.177778;7
9.904761905;24;0.604218;8
10.50897959;25;0.183084;8
10.69206349;26;0.200431;8
10.89249433;27;0.19068;8
11.0831746;28;0.187937;9
11.27111111;29;0.193016;9
11.46412698;30;0.405397;9
11.86952381;31;0.478413;9
12.34793651;32;0.944762;10
13.29269841;33;0.199955;10
13.49265306;34;0.196236;10
13.68888889;35;0.193016;11
13.88190476;36;0.211406;11
14.09331066;37;0.438753;11
14.53206349;38;0.441905;11
14.97396825;39;0.96;12
15.93396825;40;0.259048;12
16.19301587;41;0.284444;12
16.47746032;42;1.01587;13
17.49333333;43;0.269206;13
17.76253968;44;0.294603;13
18.05714286;45;1.32063;14
19.37777778;46;0.223492;14
19.60126984;47;0.198095;14
19.79936508;48;0.193016;15
19.99238095;49;0.213333;15
20.20571429;50;0.444399;15
20.65011338;51;0.480045;15
21.13015873;52;0.289524;16
21.41968254;53;0.198095;16
21.61777778;54;0.16254;16
21.78031746;55;0.228571;16
22.00888889;56;0.467302;16
22.47619048;57;0.208254;17
22.68444444;58;0.223492;17
22.90793651;59;0.182857;17
23.09079365;60;0.218413;17
23.30920635;61;0.431746;17
23.74095238;62;0.202336;18
23.94328798;63;0.173537;18
24.1168254;64;0.182857;18
24.29968254;65;0.208254;18
24.50793651;66;0.426667;18
24.93460318;67;0.223492;19
25.15809524;68;0.172698;19
25.33079365;69;0.218413;19
25.54920635;70;0.198095;19
25.74730159;71;0.44941;19
26.19671202;72;0.196803;20
26.39351474;73;0.186803;20
26.58031746;74;0.198095;20
26.7784127;75;0.228571;20
27.00698413;76;0.416508;20
27.42349206;77;0.224195;21
27.64768708;78;0.197392;21
27.84507937;79;0.426667;21
28.27174603;80;0.451746;21
28.72349206;81;0.157778;22
28.88126984;82;0.24381;22
29.12507937;83;0.370794;22
29.49587302;84;0.406349;22
29.90222222;85;0.421587;23
30.32380952;86;0.426667;23
30.75047619;87;0.457143;23
31.20761905;88;0.487619;24
31.6952381;89;0.431746;24
32.12698413;90;0.419229;24
32.54621315;91;0.418866;25
32.96507937;92;0.446984;25
33.41206349;93;0.452064;25
33.86412698;94;0.457868;26
34.32199547;95;0.411474;26
34.73346939;96;0.497007;26
35.23047619;97;0.502857;27
35.73333333;98;0.416508;27
36.14984127;99;0.548571;27
36.6984127;100;0.696576;28
37.39498866;101;1.87866;28
39.27365079;102;0.533333;29
39.80698413;103;0.746667;30
40.55365079;104;0.211224;30
40.76487528;105;0.169728;30
40.93460318;106;0.203175;30
41.13777778;107;0.472381;31
41.61015873;108;0.421587;31
42.03174603;109;0.482993;31
42.51473923;110;0.736054;32
43.25079365;111;0.193991;32
43.44478458;112;0.176803;32
43.6215873;113;0.238957;32
43.86054422;114;0.463469;33
44.32401361;115;0.470907;33
44.79492064;116;0.497778;33
45.29269841;117;0.71619;34
46.00888889;118;0.218413;34
46.22730159;119;0.206644;34
46.43394558;120;0.214943;34
46.64888889;121;0.450839;35
47.09972789;122;0.51932;35
47.61904762;123;0.48254;35
48.1015873;124;0.277755;36
48.3793424;125;0.24542;36
48.62476191;126;0.203175;36
48.82793651;127;0.198095;36
49.02603175;128;0.177778;36
49.20380952;129;0.259048;36
49.46285714;130;0.47746;37
49.94031746;131;0.543492;37
50.48380952;132;1.70667;37
52.19047619;133;0.55873;38
52.74920635;134;0.528254;39
53.27746032;135;0.452064;39
53.72952381;136;0.528254;39
54.25777778;137;0.69839;40
54.9561678;138;0.185419;40
55.1415873;139;0.40127;40
55.54285714;140;0.446984;41
55.98984127;141;0.492698;41
56.48253968;142;0.452064;41
56.93460318;143;0.939683;42
57.87428571;144;0.411429;42
58.28571429;145;0.40127;43
58.68698413;146;0.452064;43
59.13904762;147;0.48254;43
59.6215873;148;0.645079;44
60.26666667;149;0.193016;44
60.45968254;150;0.467302;44
60.92698413;151;0.442812;45
61.36979592;152;0.430839;45
61.80063492;153;0.48254;45
62.2831746;154;0.848254;46
63.13142857;155;0.421587;46
63.55301587;156;0.208254;47
63.76126984;157;0.187937;47
63.94920635;158;0.355556;47
64.30476191;159;0.426667;47
64.73142857;160;0.761905;48
65.49333333;161;0.413628;48
65.90696145;162;0.205578;49
66.11253968;163;0.178254;49
66.29079365;164;0.350476;49
66.64126984;165;0.487619;49
67.12888889;166;0.791927;50
67.92081633;167;0.401723;50
68.32253968;168;0.873651;51
69.19619048;169;0.465737;51
69.66192744;170;0.72712;52
70.38904762;171;0.443311;52
70.83235828;172;0.86288;53
71.6952381;173;0.441905;53
72.13714286;174;0.761905;54
72.89904762;175;0.426621;54
73.32566893;176;0.759705;55
74.08537415;177;0.398435;55
74.48380952;178;0.426667;56
74.91047619;179;0.405102;56
75.31557823;180;0.403243;56
75.71882086;181;0.415782;57
76.13460318;182;0.416508;57
76.55111111;183;0.479524;57
77.03063492;184;2.27451;58
79.30514739;185;0.567868;59
79.87301587;186;0.655238;60
80.52825397;187;0.193016;60
80.72126984;188;0.193016;60
80.91428571;189;0.203175;60
81.11746032;190;0.416508;61
81.53396825;191;0.370794;61
81.90476191;192;0.452064;61
82.3568254;193;0.634921;62
82.99174603;194;0.187937;62
83.17968254;195;0.182857;62
83.36253968;196;0.203175;62
83.56571429;197;0.411429;63
83.97714286;198;0.417982;63
84.39512472;199;0.542018;63
84.93714286;200;0.634921;64
85.57206349;201;0.228571;64
85.80063492;202;0.177778;64
85.9784127;203;0.24381;64
86.22222222;204;0.670476;65
86.89269841;205;0.213333;65
87.10603175;206;0.213333;65
87.31936508;207;0.289524;65
87.60888889;208;0.756825;66
88.36571429;209;0.24381;66
88.60952381;210;0.193016;66
88.80253968;211;0.228571;66
89.03111111;212;0.177778;67
89.20888889;213;0.228571;67
89.43746032;214;0.426667;67
89.86412698;215;0.452064;67
90.31619048;216;0.929524;68
91.24571429;217;0.182857;68
91.42857143;218;0.198095;68
91.62666667;219;0.213333;69
91.84;220;0.213333;69
92.05333333;221;0.421587;69
92.47492064;222;0.501202;69
92.97612245;223;0.646735;70
93.62285714;224;0.406349;70
94.02920635;225;0.193016;70
94.22222222;226;0.218413;70
94.44063492;227;0.218413;70
94.65904762;228;0.227098;71
94.88614513;229;0.235125;71
95.12126984;230;0.431587;71
95.55285714;231;0.243968;71
95.7968254;232;0.203175;71
96;233;0.360635;72
96.36063492;234;0.223492;72
96.58412698;235;0.24381;72
96.82793651;236;0.472381;72
97.30031746;237;0.944762;73
98.24507937;238;0.812698;73
99.05777778;239;0.88381;74
99.9415873;240;0.914286;75
100.855873;241;0.62059;75
101.4764626;242;5.31211;76
106.7885714;243;0.569456;78
107.3580272;244;0.50737;78
107.8653968;245;0.370794;79
108.2361905;246;0.247438;79
108.4836281;247;0.284444;79
108.7680726;248;0.214785;79
108.9828571;249;0.214785;79
109.1976417;250;0.22059;79
109.4182313;251;0.315011;80
109.7332426;252;0.219048;80
109.9522902;253;0.19737;80
110.1496599;254;0.296054;80
110.4457143;255;0.290249;80
110.7359637;256;0.304036;80
111.04;257;0.305488;81
111.3454875;258;0.243084;81
111.5885714;259;0.235669;81
111.8242404;260;0.194626;81
112.0188662;261;0.191565;81
112.2104308;262;0.249615;81
112.4600454;263;0.29678;82
112.7568254;264;0.253968;82
113.0107937;265;0.259048;82
113.2698413;266;0.299683;82
113.5695238;267;0.272109;82
113.8416327;268;0.296054;82
114.1376871;269;0.353333;83
114.4910204;270;0.272154;83
114.7631746;271;0.253084;83
115.0162585;272;0.183741;83
115.2;273;0.261224;83
115.4612245;274;0.20898;83
115.6702041;275;0.261224;84
115.9314286;276;0.20898;84
116.1404082;277;0.301859;84
116.4422676;278;0.226395;84
116.6686621;279;0.255419;84
116.9240816;280;0.267029;84
117.1911111;281;0.383129;85
117.5742404;282;0.249615;85
117.8238549;283;0.20898;85
118.0328345;284;0.19737;85
118.2302041;285;0.249615;85
118.4798186;286;0.24381;85
118.7236281;287;0.325079;86
119.0487075;288;0.209705;86
119.2584127;289;0.219864;86
119.4782766;290;0.252517;86
119.7307937;291;0.194467;86
119.9252608;292;0.24381;86
120.1690703;293;0.354104;87
120.5231746;294;0.241088;87
120.764263;295;0.221134;87
120.9853968;296;0.216961;87
121.2023583;297;0.346848;87
121.5492063;298;0.284444;87
121.8336508;299;0.360635;88
122.1942857;300;0.865556;88
123.0598413;301;0.328095;88
123.3879365;302;0.342517;88
123.7304535;303;0.515896;89
124.2463492;304;1.19873;89
125.4450794;305;0.38966;89
125.8347392;306;0.441179;89
126.2759184;245;0.433923;79
126.7098413;246;0.262676;79
126.972517;247;0.249615;79
127.2221315;248;0.214785;79
127.4369161;249;0.261224;79
127.6981406;250;0.17415;79
127.8722902;251;0.335964;80
128.208254;252;0.23873;80
128.4469841;253;0.274286;80
128.7212698;254;0.264127;80
128.9853968;255;0.289524;80
129.2749206;256;0.292426;80
129.5673469;257;0.352653;81
129.92;258;0.216236;81
130.1362358;259;0.268957;81
130.4051927;260;0.183832;81
130.5890249;261;0.22059;81
130.8096145;262;0.191565;81
131.0011791;263;0.300408;82
131.3015873;264;0.253968;82
131.5555556;265;0.26;82
131.8155556;266;0.230522;82
132.0460771;267;0.363288;82
132.4093651;268;0.252041;82
132.6614059;269;0.4078;83
133.0692063;270;0.248163;83
133.3173696;271;0.259773;83
133.5771429;272;0.210431;83
133.7875737;273;0.226395;83
134.0139683;274;0.261224;83
134.2751927;275;0.24381;84
134.5190023;276;0.22059;84
134.7395918;277;0.330884;84
135.0704762;278;0.269206;84
135.3396825;279;0.253968;84
135.5936508;280;0.295329;84
135.8889796;281;0.403696;85
136.2926757;282;0.258073;85
136.5507483;283;0.214785;85
136.7655329;284;0.279705;85
137.0452381;285;0.167279;85
137.212517;286;0.290249;85
137.5027664;287;0.278957;86
137.7817234;288;0.231066;86
138.0127891;289;0.298322;86
138.3111111;290;0.161088;86
138.4721995;291;0.24381;86
138.7160091;292;0.278639;86
138.9946485;293;0.291701;87
139.2863492;294;0.230748;87
139.5170975;295;0.26195;87
139.7790476;296;0.225669;87
140.0047166;297;0.284444;87
140.289161;298;0.297506;87
140.5866667;299;0.406349;88
140.9930159;300;0.838095;88
141.8311111;301;0.330159;88
142.1612698;302;0.380952;88
142.5422222;303;0.55873;89
143.1009524;304;1.29016;89
144.3911111;305;0.443356;89
144.8344671;306;0.506485;89
145.3409524;307;0.441905;90
145.7828571;308;0.298957;90
146.0818141;309;0.256145;90
146.3379592;310;0.19737;90
146.5353288;311;0.226395;90
146.7617234;312;0.22059;90
146.9823129;313;0.290431;91
147.2727438;314;0.239683;91
147.5124263;315;0.23805;91
147.7504762;316;0.16644;91
147.9169161;317;0.290249;91
148.2071655;318;0.318549;91
148.5257143;319;0.284444;92
148.8101587;320;0.253968;92
149.064127;321;0.208254;92
149.272381;322;0.233651;92
149.5060317;323;0.24381;92
149.7498413;324;0.26619;92
150.0160317;325;0.22195;93
150.2379819;326;0.248367;93
150.4863492;327;0.330159;93
150.8165079;328;0.269206;93
151.0857143;329;0.355873;93
151.4415873;330;0.375465;93
151.8170522;331;0.345488;94
152.1625397;332;0.289524;94
152.4520635;333;0.266961;94
152.7190249;334;0.225737;94
152.9447619;335;0.233651;94
153.1784127;336;0.259048;94
153.4374603;337;0.248889;95
153.6863492;338;0.253968;95
153.9403175;339;0.240181;95
154.1804989;340;0.22059;95
154.4010884;341;0.272834;95
154.6739229;342;0.301859;95
154.9757823;343;0.371519;96
155.3473016;344;0.279365;96
155.6266667;345;0.233651;96
155.8603175;346;0.183583;96
156.0439002;347;0.263401;96
156.3073016;348;0.24381;96
156.5511111;349;0.284444;97
156.8355556;350;0.23873;97
157.0742857;351;0.23873;97
157.3130159;352;0.23873;97
157.551746;353;0.210431;97
157.7621769;354;0.287347;97
158.0495238;355;0.218413;98
158.2679365;356;0.23873;98
158.5066667;357;0.256939;98
158.7636054;358;0.182789;98
158.9463946;359;0.332336;98
159.2787302;360;0.184308;98
159.4630385;361;0.491247;99
159.9542857;362;1.46503;99
161.4193197;363;0.292426;100
161.711746;364;0.309841;100
162.0215873;365;0.279365;100
162.3009524;366;0.255238;100
162.5561905;367;0.359365;100
162.9155556;368;0.340317;100
163.255873;369;0.411429;101
163.6673016;370;0.24381;101
163.9111111;371;0.218413;101
164.1295238;372;0.221315;101
164.350839;373;0.327256;101
164.6780952;374;0.233651;101
164.911746;375;0.198095;102
165.1098413;376;0.233651;102
165.3434921;377;0.290249;102
165.6337415;378;0.203175;102
165.8369161;379;0.267029;102
166.1039456;380;0.330884;102
166.4348299;381;0.342494;103
166.7773243;382;0.288073;103
167.0653968;383;0.245986;103
167.3113832;384;0.214785;103
167.5261678;385;0.168345;103
167.6945125;386;0.226395;103
167.920907;387;0.134966;103
168.055873;388;0.253968;104
168.3098413;389;0.279365;104
168.5892063;390;0.279116;104
168.868322;391;0.201973;104
169.0702948;392;0.306213;104
169.3765079;393;0.314581;104
169.6910884;394;0.355896;105
170.0469841;395;0.248889;105
170.295873;396;0.179229;105
170.475102;397;0.24381;105
170.7189116;398;0.290249;105
171.009161;399;0.214785;105
171.2239456;400;0.214785;106
171.4387302;401;0.24381;106
171.6825397;402;0.342494;106
172.025034;403;0.278639;106
172.3036735;404;0.319229;106
172.6229025;405;0.334558;106
172.9574603;406;0.483651;107
173.4411111;407;0.354444;107
173.7955556;408;0.214785;107
174.0103401;409;0.290249;107
174.3005896;410;0.272834;107
174.573424;411;0.13932;107
174.7127438;412;0.16254;107
174.8752834;413;0.336689;108
175.2119728;414;0.398889;108
175.6108617;415;1.06469;108
176.6755556;416;0.405624;108
177.0811791;417;0.441179;108
177.5223583;307;0.499229;90
178.0215873;308;0.309841;90
178.3314286;309;0.269206;90
178.6006349;310;0.264127;90
178.8647619;311;0.219116;90
179.0838776;312;0.197392;90
179.2812698;313;0.330159;91
179.6114286;314;0.241111;91
179.8525397;315;0.248435;91
180.1009751;316;0.292676;91
180.3936508;317;0.251791;91
180.6454422;318;0.301859;91
180.9473016;319;0.330884;92
181.2781859;320;0.263401;92
181.5415873;321;0.259048;92
181.8006349;322;0.223492;92
182.024127;323;0.188662;92
182.2127891;324;0.287234;92
182.5000227;325;0.341882;93
182.8419048;326;0.259048;93
183.1009524;327;0.269206;93
183.3701587;328;0.386825;93
183.7569841;329;0.359841;93
184.1168254;330;0.518095;93
184.6349206;331;0.335238;94
184.9701587;332;0.350476;94
185.3206349;333;0.247438;94
185.5680726;334;0.275737;94
185.8438095;335;0.194467;94
186.0382766;336;0.261224;94
186.2995011;337;0.336689;95
186.6361905;338;0.272834;95
186.9090249;339;0.226395;95
187.1354195;340;0.255419;95
187.390839;341;0.312018;95
187.7028571;342;0.296009;95
187.9988662;343;0.364308;96
188.3631746;344;0.279365;96
188.6425397;345;0.233651;96
188.8761905;346;0.174875;96
189.0510658;347;0.256871;96
189.3079365;348;0.279365;96
189.5873016;349;0.299683;97
189.8869841;350;0.273923;97
190.160907;351;0.228934;97
