Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
2.847346939;0.5;0.261224;0;61.6
3.108571429;0.6;0.299728;229.688;62
3.40829932;1.1;0.222721;200.182;68.2
3.631020408;1.2;0.235102;269.395;62.9
3.866122449;1.3;0.252517;255.208;65.3
4.118639456;1.4;0.24381;237.608;54.1
4.36244898;1.5;0.287347;246.094;68.1
4.649795918;1.6;0.297506;208.807;63.4
4.947301587;2.1;0.294603;201.677;66.6
5.241904762;2.2;0.236553;203.664;67.7
5.47845805;2.3;0.233651;253.643;63.7
5.712108844;2.4;0.253061;256.793;61.7
5.965170068;2.5;0.19102;237.097;68.4
6.156190476;2.6;0.253968;314.103;67.2
6.41015873;3.1;0.259773;236.25;74.1
6.669931973;3.2;0.248163;230.971;74.5
6.918095238;3.3;0.248163;241.776;67.9
7.166258503;3.4;0.249615;241.776;61.2
7.415873016;3.5;0.246712;240.371;69.4
7.662585034;3.6;0.256508;243.199;64.9
7.919092971;4.1;0.274649;233.911;70.2
8.193741497;4.2;0.258322;218.461;68.9
8.452063492;4.3;0.22059;232.268;62.7
8.672653061;4.4;0.236553;271.998;63.5
8.909206349;4.5;0.198821;253.643;69.7
9.108027211;4.6;0.260975;301.779;70.4
9.369002268;5.1;0.235351;229.907;71.9
9.604353741;5.2;0.269932;254.938;72.8
9.874285714;5.3;0.235102;222.278;68.9
10.10938776;5.4;0.241633;255.208;62.7
10.35102041;5.5;0.222041;248.311;72
10.57306122;5.6;0.245986;270.221;70.1
10.81904762;6.1;0.256871;243.916;75.8
11.07591837;6.2;0.210431;233.581;73.6
11.28634921;6.3;0.277188;285.129;70.3
11.56353742;6.4;0.216689;216.459;75
11.78022676;6.5;0.227392;276.894;74.4
12.00761905;6.6;0.264127;263.861;70.2
12.27174603;7.1;0.214785;227.163;76.7
12.48653061;7.2;0.2322;279.35;77.4
12.71873016;7.3;0.246712;258.398;76.3
12.96544218;7.4;0.232925;243.199;80
13.19836735;7.5;0.228571;257.593;73.3
13.42693878;7.6;0.226395;262.5;71.4
13.65333333;8.1;0.217687;265.024;77.8
13.87102041;8.2;0.239456;275.625;81.2
14.11047619;8.3;0.230748;250.568;75.7
14.34122449;8.4;0.246712;260.024;73.7
14.58793651;8.5;0.223492;243.199;76.8
14.81142857;8.6;0.247891;268.466;68.7
15.05931973;9.1;0.239728;242.042;76.7
15.29904762;9.2;0.213333;250.284;68.9
15.51238095;9.3;0.230748;281.25;72.2
15.74312925;9.4;0.236553;260.024;64.7
15.97968254;9.5;0.242358;253.643;76.6
16.22204082;9.6;0.283583;247.567;64.1
16.50562358;10.1;0.369478;211.578;75.3
16.87510204;10.2;0.333061;162.391;71.3
17.20816327;10.3;0.198095;180.147;65.2
17.4062585;10.4;0.188662;302.885;62.8
17.59492064;10.5;0.238005;318.029;67.3
17.83292517;10.6;0.229297;252.096;63.2
18.06222222;11.1;0.236553;261.669;71.2
18.29877551;11.2;0.22059;253.643;62.8
18.51936508;11.3;0.245261;271.998;70
18.76462585;11.4;0.232925;244.638;65.9
18.99755102;11.5;0.254694;257.593;71.5
19.2522449;11.6;0.274286;235.577;59.9
19.52653061;12.1;0.239456;218.75;74.9
19.7659864;12.2;0.269932;250.568;72.8
20.03591837;12.3;0.226395;222.278;67.7
20.26231293;12.4;0.237279;265.024;59.6
20.49959184;12.5;0.25034;252.867;75.1
20.74993197;12.6;0.252517;239.674;77.5
21.00244898;13.1;0.296054;237.608;81.7
21.2985034;13.2;0.330884;202.665;80.1
21.62938776;13.3;0.261224;181.332;74
21.89061225;13.4;0.261224;229.688;69
22.15183674;13.5;0.278639;229.688;74.2
22.43047619;13.6;0.269932;215.332;72.6
22.70040816;14.1;0.330884;222.278;75.4
23.03129252;14.2;0.357007;181.332;73.4
23.38829932;14.3;0.339592;168.064;66.7
23.72789116;14.4;0.365714;176.683;61.3
24.09360544;14.5;0.322177;164.063;68.8
24.41578231;14.6;0.226395;186.233;73.5
24.64217687;15.1;0.226395;265.024;76.3
24.86857143;15.2;0.223764;265.024;75.8
25.0923356;15.3;0.229025;268.139;70.2
25.32136054;15.4;0.24381;261.98;61.7
25.56517007;15.5;0.269932;246.094;72.9
25.83510204;15.6;0.278639;222.278;63.6
26.1137415;16.1;0.269932;215.332;76.1
26.38367347;16.2;0.20898;222.278;74
26.59265306;16.3;0.261224;287.109;70.6
26.85387755;16.4;0.24381;229.688;66.9
27.09768708;16.5;0.226395;246.094;69.7
27.32408163;16.6;0.252517;265.024;67.2
27.57659864;17.1;0.252517;237.608;70.3
27.82911565;17.2;0.235102;237.608;67.8
28.06421769;17.3;0.226395;255.208;68.4
28.29061225;17.4;0.252517;265.024;61.6
28.54312925;17.5;0.252517;237.608;70.5
28.79564626;17.6;0.24381;237.608;61.3
29.03945578;18.1;0.261224;246.094;71.7
29.30068027;18.2;0.221905;229.688;71.1
29.52258503;18.3;0.230884;270.386;66.6
29.75346939;18.4;0.235102;259.87;64.3
29.98857143;18.5;0.20898;255.208;72.2
30.19755102;18.6;0.235102;287.109;73.6
30.43265306;19.1;0.278639;255.208;72.8
30.71129252;19.2;0.24381;215.332;73.7
30.95510204;19.3;0.226395;246.094;72.7
31.1814966;19.4;0.24381;265.024;64.3
31.42530612;19.5;0.252517;246.094;72.1
31.67782313;19.6;0.24381;237.608;64.9
31.92163265;20.1;0.24381;246.094;75.1
32.16544218;20.2;0.222857;246.094;73.9
32.38829932;20.3;0.238639;269.231;70.5
32.62693878;20.4;0.228571;251.425;75.5
32.8555102;20.5;0.206803;262.5;76.6
33.06231293;20.6;0.24381;290.132;77.1
33.30612245;21.1;0.269932;246.094;83.6
33.57605442;21.2;0.227982;222.278;79.7
33.80403628;21.3;0.207392;263.179;73.7
34.01142857;21.4;0.221519;289.307;69.2
34.23294785;21.5;0.242154;270.857;75.1
34.47510204;21.6;0.236803;247.776;70.6
34.71190476;22.1;0.239932;253.375;79.8
34.95183674;22.2;0.234036;250.071;75.1
35.18587302;22.3;0.244875;256.371;74
35.4307483;22.4;0.226395;245.023;69.2
35.65714286;22.5;0.20898;265.024;80.3
35.86612245;22.6;0.24381;287.109;71.3
36.10993197;23.1;0.213333;246.094;82.3
36.32326531;23.2;0.230748;281.25;79.8
36.55401361;23.3;0.235102;260.024;77.3
36.78911565;23.4;0.244059;255.208;73.4
37.0331746;23.5;0.252268;245.842;76.6
37.28544218;23.6;0.269932;237.843;66
37.55537415;24.1;0.278639;222.278;74.6
37.83401361;24.2;0.278639;215.332;72
38.11265306;24.3;0.24381;215.332;66.3
38.35646259;24.4;0.252517;246.094;56.2
38.60897959;24.5;0.252517;237.608;69.2
38.8614966;24.6;0.24381;237.608;62.2
39.10530612;25.1;0.226395;246.094;73.7
39.33170068;25.2;0.24517;265.024;64.3
39.57687075;25.3;0.216327;244.728;67
39.79319728;25.4;0.232925;277.358;59.5
40.02612245;25.5;0.254694;257.593;69.5
40.28081633;25.6;0.274286;235.577;56.5
40.55510204;26.1;0.287347;218.75;69.7
40.84244898;26.2;0.256871;208.807;68.5
41.09931973;26.3;0.252517;233.581;64.9
41.35183674;26.4;0.269932;237.608;59.5
41.62176871;26.5;0.24381;222.278;77.4
41.86557823;26.6;0.237279;246.094;74.8
42.10285714;27.1;0.261224;252.867;75.7
42.36408163;27.2;0.311293;229.688;76.5
42.67537415;27.3;0.226395;192.745;72.5
42.90176871;27.4;0.278639;265.024;69.3
43.18040816;27.5;0.24381;215.332;74
43.42421769;27.6;0.357007;246.094;70.8
43.78122449;28.1;0.296054;168.064;70.9
44.07727891;28.2;0.287347;202.665;68.1
44.36462585;28.3;0.409252;208.807;66.2
44.77387755;28.4;0.400544;146.609;59.1
45.17442177;28.5;0.269932;149.796;59.3
45.44435374;28.6;0.261224;222.278;65.2
45.70557823;29.1;0.226395;229.688;69.5
45.93197279;29.2;0.261224;265.024;66.9
46.19319728;29.3;0.261224;229.688;66.1
46.45442177;29.4;0.235102;229.688;55.6
46.68952381;29.5;0.296054;255.208;68.2
46.98557823;29.6;0.287347;202.665;72.4
47.27292517;30.1;0.252517;208.807;71.8
47.52544218;30.2;0.255692;237.608;73.9
47.78113379;30.3;0.249342;234.658;69.7
48.03047619;30.4;0.252517;240.633;71.8
48.2829932;30.5;0.20898;237.608;73.5
48.49197279;30.6;0.261224;287.109;75
48.75319728;31.1;0.232925;229.688;75.8
48.98612245;31.2;0.263401;257.593;77.2
49.24952381;31.3;0.235102;227.789;72.8
49.48462585;31.4;0.252517;255.208;66.9
49.73714286;31.5;0.261224;237.608;71.4
49.99836735;31.6;0.226395;229.688;69.1
50.22476191;32.1;0.261224;265.024;76.5
50.4859864;32.2;0.256825;229.688;78.4
50.74281179;32.3;0.230794;233.622;74.5
50.97360544;32.4;0.24381;259.973;71.7
51.21741497;32.5;0.217687;246.094;76.3
51.43510204;32.6;0.24381;275.625;70.9
51.67891157;33.1;0.252517;246.094;71.8
51.93142857;33.2;0.24381;237.608;69.7
52.1752381;33.3;0.226395;246.094;67.3
52.40163265;33.4;0.261224;265.024;63.1
52.66285714;33.5;0.269932;229.688;68.5
52.93278912;33.6;0.304762;222.278;72.9
53.23755102;34.1;0.304762;196.875;74.9
53.54231293;34.2;0.224218;196.875;75.6
53.76653061;34.3;0.202449;267.597;74.4
53.96897959;34.4;0.24381;296.371;75.5
54.21278912;34.5;0.20898;246.094;76.2
54.42176871;34.6;0.291701;287.109;76.7
54.71346939;35.1;0.241633;205.69;78
54.95510204;35.2;0.274286;248.311;75.2
55.22938776;35.3;0.272109;218.75;72.4
55.5014966;35.4;0.287347;220.5;73.2
55.78884354;35.5;0.217687;208.807;75.3
56.00653061;35.6;0.24381;275.625;67.4
56.25034014;36.1;0.278639;246.094;78.3
56.52897959;36.2;0.235102;215.332;78.7
56.76408163;36.3;0.226395;255.208;76.5
56.99047619;36.4;0.222971;265.024;78.3
57.21344671;36.5;0.238526;269.094;78.3
57.45197279;36.6;0.261156;251.545;77.8
57.71312925;37.1;0.261293;229.747;77.3
57.97442177;37.2;0.24381;229.628;75.1
58.21823129;37.3;0.269932;246.094;74
58.48816327;37.4;0.287347;222.278;72.2
58.7755102;37.5;0.339592;208.807;69.1
59.11510204;37.6;0.383129;176.683;64.4
59.49823129;38.1;0.304762;156.605;71.1
59.8029932;38.2;0.304762;196.875;67.9
60.1077551;38.3;0.182857;196.875;72.7
60.29061225;38.4;0.226395;328.125;76.2
60.5170068;38.5;0.200272;265.024;76.5
60.71727891;38.6;0.235102;299.592;74.7
60.95238095;39.1;0.252517;255.208;78.1
61.20489796;39.2;0.269932;237.608;76.1
61.47482993;39.3;0.191565;222.278;72.2
61.66639456;39.4;0.206576;313.21;74.3
61.87297052;39.5;0.383356;290.45;71.2
62.25632653;39.6;0.141497;156.512;78.8
62.39782313;40.1;0.226395;424.038;79.1
62.62421769;40.2;0.203968;265.024;77.3
62.82818594;40.3;0.222698;294.163;80.4
63.05088435;40.4;0.191565;269.423;79.6
63.24244898;40.5;0.261224;313.21;83.4
63.50367347;40.6;0.226531;229.688;84.8
63.73020408;41.1;0.234966;264.865;81.7
63.96517007;41.2;0.210431;255.356;78.7
64.17560091;41.3;0.233651;285.129;74.7
64.4092517;41.4;0.182857;256.793;71.7
64.59210884;41.5;0.269932;328.125;73.9
64.86204082;41.6;0.269932;222.278;75
65.13197279;42.1;0.24381;222.278;79.6
65.37578231;42.2;0.200272;246.094;77.3
65.57605442;42.3;0.217687;299.592;78.2
65.7937415;42.4;0.226395;275.625;80.7
66.02013605;42.5;0.252517;265.024;80.3
66.27265306;42.6;0.23288;237.608;79.9
66.50553288;43.1;0.219909;257.644;78.4
66.72544218;43.2;0.182857;272.84;74.4
66.90829932;43.3;0.235102;328.125;74.8
67.14340136;43.4;0.20898;255.208;75
67.35238095;43.5;0.235102;287.109;78.2
67.58748299;43.6;0.226395;255.208;76.8
67.81387755;44.1;0.217687;265.024;76.9
68.03156463;44.2;0.182857;275.625;76.2
68.21442177;44.3;0.226395;328.125;78.6
68.44081633;44.4;0.200272;265.024;80.7
68.64108844;44.5;0.278639;299.592;82
68.91972789;44.6;0.235102;215.332;79.3
69.15482993;45.1;0.287347;255.208;80
69.44217687;45.2;0.200272;208.807;76.9
69.64244898;45.3;0.20898;299.592;78.3
69.85142857;45.4;0.226395;287.109;75.4
70.07782313;45.5;0.230748;265.024;76.7
70.30857143;45.6;0.317823;260.024;77.7
