Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
0.910657596;1;1.37868;0;71.1
2.289342404;2;1.17914;43.5197;69.2
3.468480726;3;1.24082;50.8846;73.7
4.709297052;4;1.17914;48.3553;71.7
5.888435374;5;1.16463;50.8846;70.9
7.053061224;6;1.16825;51.5187;69.1
8.221315193;7;1.17914;51.3587;75.1
9.400453515;8;1.20274;50.8846;72
10.60319728;9;1.22447;49.8859;67.1
11.8276644;10;1.2771;49.0009;68
13.10476191;11;1.2517;46.9815;72.1
14.35646259;12;1.28073;47.9348;66.6
15.63718821;13;1.33515;46.8484;72.7
16.9723356;14;1.46213;44.9389;68.3
18.43446712;15;1.40771;41.036;67.7
19.84217687;16;1.2517;42.6224;74.9
21.09387755;17;1.27347;47.9348;73.3
22.36734694;18;1.20091;47.1154;72.7
23.56825397;19;1.24807;49.9622;75.4
24.81632653;20;1.18639;48.0741;72.9
26.00272109;21;1.17914;50.5734;79
27.18185941;22;1.19728;50.8846;77
28.37913832;23;1.24807;50.1136;75.9
29.62721088;24;1.28073;48.0741;68.3
30.90793651;25;1.24932;46.8484;70.2
32.15725624;26;1.31213;48.0261;66.1
33.46938776;27;1.33515;45.7271;65.2
34.80453515;28;1.44036;44.9389;65.6
36.24489796;29;1.24444;41.6562;74.3
37.4893424;30;1.2517;48.2143;74.2
38.74104308;31;1.24807;47.9348;70.3
39.98911565;32;1.28798;48.0741;71.3
41.27709751;33;1.29524;46.5845;72.8
42.5723356;34;1.17551;46.3235;73.3
43.74784581;35;1.34603;51.0417;74.4
45.09387755;36;1.24807;44.5755;69.1
46.34195011;37;1.49973;48.0741;70.7
47.84167801;38;1.29029;40.0073;69
49.13197279;39;1.34603;46.501;72.9
50.47800454;40;1.27347;44.5755;76.9
51.75147392;41;1.23719;47.1154;75.8
52.98866213;42;1.24807;48.4971;68.2
54.23673469;43;1.34603;48.0741;76.4
55.58276644;44;1.33152;44.5755;72.3
56.91428571;45;1.54921;45.0613;73.4
58.46349206;46;1.21905;38.7295;68.4
59.68253968;47;1.20091;49.2188;74
60.88344671;48;1.14649;49.9622;72.8
62.02993197;49;1.18639;52.3339;75.9
63.21632653;50;1.12472;50.5734;75.8
64.34104308;51;1.17188;53.3468;77.5
65.51292517;52;1.07029;51.1997;79.7
66.58321996;53;1.19073;56.0593;78.2
67.77394558;54;1.10224;50.3894;77.2
68.87619048;55;1.1102;54.4344;80.8
69.98639456;56;1.13197;54.0441;80.4
71.11836735;57;1.12834;53.0048;80.5
72.24671202;58;1.10295;53.1752;78.3
73.34965986;59;1.32063;54.3997;78.5
74.67029479;60;1.17914;45.4327;69.8
75.84943311;61;1.16825;50.8846;72.5
77.01768708;62;1.14286;51.3587;72.3
78.16054422;63;1.14286;52.5;70.8
79.30340136;64;1.15374;52.5;69.4
80.45714286;65;1.15374;52.0047;77.5
81.61088435;66;1.16825;52.0047;76.3
82.77913832;67;1.20816;51.3587;70.5
83.98730159;68;1.39683;49.6622;72.9
85.38412698;69;1.23719;42.9545;68.8
86.62131519;70;1.47664;48.4971;68.4
88.09795918;71;1.30975;40.6327;69
89.40770975;72;1.40045;45.8102;69.3
90.80816327;73;1.43311;42.8433;65.1
92.24126984;74;1.50567;41.8671;67.7
93.74693878;75;1.68707;39.8494;66.6
95.43401361;76;2.57959;35.5645;66.7
98.01360544;77;2.00998;23.2595;64.9
100.0235828;78;2.60803;29.8511;66.8
102.63161;79;1.88358;23.0059;66.6
104.5151927;80;1.90113;31.8542;69.2
106.4163265;81;1.69454;31.5601;69.4
108.1108617;82;1.93227;35.4079;74.3
110.0431293;83;1.80086;31.0516;76.1
111.8439909;84;2.15147;33.3174;76
113.9954649;85;2.56145;27.8879;77.2
116.5569161;86;2.86259;23.4242;72.5
119.4195011;87;3.06576;20.9601;65.1
122.4852608;88;1.8576;19.571;60.2
124.3428571;79;1.25968;32.2998;67
125.6025397;80;1.94467;47.6311;66.7
127.5472109;81;1.82277;30.8535;69.7
129.3699773;82;1.96789;32.917;72.5
131.3378685;83;1.81116;30.4895;77
133.1490249;84;1.77052;33.128;78.5
134.9195465;85;1.87501;33.8883;82.9
136.7945578;86;1.79955;31.9998;74.2
138.5941043;87;1.8576;33.3417;67.7
140.4517007;88;1.93887;32.2998;67
142.3905669;89;2.65288;30.9459;65.4
145.0434467;90;2.19429;22.6169;66.1
147.2377324;91;1.9229;27.3438;67.5
149.1606349;92;1.77488;31.2028;69.8
150.9355102;93;1.9737;33.8052;74.8
152.9092063;94;1.89823;30.3998;72.7
154.8074376;95;1.89605;31.6084;74.8
156.7034921;96;1.98603;31.6447;75
158.6895238;97;1.85397;30.211;69.8
160.5434921;98;1.84381;32.363;71
162.3873016;99;1.84381;32.5413;68.3
164.2311111;100;2.35683;32.5413;66.5
166.5879365;101;1.98095;25.458;65.5
168.5688889;102;1.81841;30.2885;74.7
170.3873016;103;1.94032;32.9958;74
172.327619;104;1.97079;30.9228;78.9
174.2984127;105;1.88125;30.4446;72.7
176.1796599;106;1.80492;31.8937;79.4
177.9845805;107;2.1551;33.2425;77.4
180.1396825;108;2.83356;27.8409;69.2
182.9732426;90;2.10794;21.1748;62.5
185.0811791;91;2.05209;28.4639;69.4
187.1332653;92;1.86265;29.2385;70
188.9959184;93;2.02018;32.2121;73.1
191.0160998;94;1.90907;29.7003;74
192.9251701;95;1.95918;31.4289;75.4
194.8843537;96;1.97732;30.625;75.6
196.861678;97;1.87937;30.344;69.7
198.7410431;98;1.98667;31.9257;70
200.7277098;99;2.0732;30.2013;67.2
202.800907;100;2.54744;28.9408;65.2
205.3483447;101;2.11832;23.5531;64.9
207.4666667;102;1.91927;28.3243;72.5
209.385941;103;2.00998;31.2618;74.3
211.3959184;104;1.98095;29.8511;76
213.3768707;105;1.83018;30.2885;72.2
215.2070522;106;1.8959;32.7836;79.6
217.1029478;107;2.14059;31.6473;74.9
219.2435374;108;1.88299;28.0297;73.1
221.1265306;109;1.88662;31.8642;77.3
223.0131519;110;2.11519;31.8029;70.5
225.1283447;111;1.98821;28.3662;73.2
227.1165533;112;2.17383;30.1779;70.6
229.2903855;113;1.96585;27.601;68.5
231.2562358;114;2.16236;30.5211;76
233.4185941;115;2.38005;27.7475;62.3
235.7986395;1;1.32063;25.2096;66.9
237.1192744;2;1.24082;45.4327;70
