Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
0.28952381;0.3;0.510476;0;63.5
0.8;1.1;0.470771;117.537;67.5
1.270770975;1.2;0.476531;127.451;62.7
1.747301587;1.3;0.503333;125.91;68.5
2.250634921;2.1;0.456667;119.205;69.4
2.707301587;2.2;0.434286;131.387;62.8
3.141587302;2.3;0.434286;138.158;66.6
3.575873016;3.1;0.456372;138.158;72.4
4.032244898;3.2;0.427438;131.472;64.5
4.45968254;3.3;0.446984;140.371;72.9
4.906666667;4.1;0.451519;134.233;74.2
5.358185941;4.2;0.404354;132.885;64
5.762539683;4.3;0.439365;148.385;65.6
6.201904762;5.1;0.421587;136.561;74.3
6.623492063;5.2;0.416508;142.319;65.9
7.04;5.3;0.439365;144.055;71
7.479365079;6.1;0.444444;136.561;67.3
7.923809524;6.2;0.375873;135;66.8
8.29968254;6.3;0.40127;159.628;77.5
8.700952381;7.1;0.444444;149.525;80.9
9.145396825;7.2;0.403401;135;75.9
9.548798186;7.3;0.3839;148.735;76.3
9.932698413;8.1;0.39619;156.291;77.5
10.32888889;8.2;0.406349;151.442;73.2
10.7352381;8.3;0.378413;147.656;70.2
11.11365079;9.1;0.413968;158.557;71.2
11.52761905;9.2;0.446984;144.939;71.1
11.97460318;9.3;0.416508;134.233;69.4
12.39111111;10.1;0.500317;144.055;67.6
12.89142857;10.2;0.45551;119.924;65.9
13.34693878;10.3;0.438458;131.72;66.9
13.78539683;11.1;0.388571;136.843;70.9
14.17396825;11.2;0.444444;154.412;67.5
14.6184127;11.3;0.446984;135;68.4
15.06539683;12.1;0.426667;134.233;68.7
15.49206349;12.2;0.424127;140.625;67.4
15.91619048;12.3;0.444444;141.467;65.2
16.36063492;13.1;0.474921;135;68.4
16.83555556;13.2;0.464762;126.337;70.5
17.30031746;13.3;0.535805;129.098;68.9
17.83612245;14.1;0.577619;111.981;66.8
18.4137415;14.2;0.671973;103.875;60.9
19.08571429;14.3;0.502857;89.2893;67.8
19.58857143;15.1;0.495238;119.318;68.3
20.08380952;15.2;0.507937;121.154;59
20.59174603;15.3;0.510295;118.125;70.9
21.10204082;16.1;0.441633;117.579;72.5
21.54367347;16.2;0.434739;135.86;67.7
21.9784127;16.3;0.452064;138.014;74.1
22.43047619;17.1;0.446984;132.725;75.8
22.87746032;17.2;0.474921;134.233;69.2
23.35238095;17.3;0.416508;126.337;70.1
23.76888889;18.1;0.445079;144.055;70.2
24.21396825;18.2;0.410794;134.807;68.3
