Onset;Note;Duration (s)
0.130612245;1;0.244898
0.375510204;2;0.244898
0.620408163;3;0.22034
0.840748299;4;0.230272
1.071020408;5;0.450612
1.521632653;6;0.542041
2.063673469;7;0.238367
2.302040816;8;0.251429
2.553469388;9;0.437551
2.991020408;10;0.440816
3.431836735;11;0.235102
3.666938776;12;0.20898
3.875918367;13;0.466939
4.342857143;14;0.502857
4.845714286;15;0.222041
5.067755102;16;0.238367
5.306122449;17;0.401633
5.707755102;18;0.434286
6.142040816;19;0.226689
6.368730159;20;0.210862
6.579591837;21;0.466939
7.046530612;22;0.493061
7.539591837;23;0.244898
7.784489796;24;0.21551
8;25;0.417959
8.417959184;26;0.42449
8.84244898;27;0.222041
9.064489796;28;0.195918
9.260408163;29;0.440816
9.70122449;30;0.453878
10.15510204;31;0.21551
10.37061225;32;0.199184
10.56979592;33;0.427755
10.99755102;34;0.427755
11.42530612;35;0.404898
11.83020408;36;0.437551
12.2677551;37;0.470204
12.73795918;38;0.486531
13.2244898;39;0.884898
14.10938776;40;0.43102
14.54040816;41;0.391837
14.9322449;42;0.473469
15.40571429;43;0.492245
15.89795918;44;0.46449
16.36244898;45;0.463651
16.82609977;46;0.483288
17.30938776;47;0.574694
17.88408163;48;0.646531
18.53061225;49;0.607347
19.13795918;50;2.03755
21.1755102;51;0.515918
21.69142857;52;0.613878
22.30530612;53;0.225306
22.53061225;54;0.205442
22.73605442;55;0.24517
22.98122449;56;0.440816
23.42204082;57;0.483265
23.90530612;58;0.486531
24.39183674;59;0.656327
25.04816327;60;0.20898
25.25714286;61;0.20898
25.46612245;62;0.218776
25.68489796;63;0.45102
26.13591837;64;0.463265
26.59918367;65;0.470204
27.06938776;66;0.656327
27.72571429;67;0.20898
27.93469388;68;0.225306
28.16;69;0.21551
28.3755102;70;0.408163
28.78367347;71;0.21551
28.99918367;72;0.199184
29.19836735;73;0.218776
29.41714286;74;0.222041
29.63918367;75;0.414694
30.05387755;76;0.195918
30.24979592;77;0.202449
30.4522449;78;0.222041
30.67428571;79;0.186122
30.86040816;80;0.218776
31.07918367;81;0.189388
31.26857143;82;0.463673
31.7322449;83;0.434286
32.16653061;84;0.476735
32.64326531;85;0.427755
33.07102041;86;0.225306
33.29632653;87;0.205714
33.50204082;88;0.231837
33.73387755;89;0.225306
33.95918367;90;0.4
34.35918367;91;0.484898
34.84408163;92;0.457143
35.30122449;93;0.551837
35.85306122;94;0.277551
36.13061225;95;0.231837
36.36244898;96;0.512653
36.87510204;97;0.564898
37.44;98;0.277551
37.71755102;99;0.293878
38.01142857;100;0.574694
38.58612245;101;0.561633
39.1477551;102;0.244898
39.39265306;103;0.254694
39.64734694;104;0.212245
39.85959184;105;0.251429
40.11102041;106;0.493061
40.60408163;107;0.519184
41.12326531;108;0.259569
41.38283447;109;0.226961
41.60979592;110;0.444082
42.05387755;111;0.450612
42.5044898;112;0.241633
42.74612245;113;0.230771
42.97689342;114;0.458209
43.43510204;115;0.48
43.91510204;116;0.26449
44.17959184;117;0.221633
44.40122449;118;0.431429
44.83265306;119;0.440816
45.27346939;120;0.235102
45.50857143;121;0.225306
45.73387755;122;0.466939
46.20081633;123;0.466939
46.6677551;124;0.225306
46.89306122;125;0.218776
47.11183674;126;0.450612
47.56244898;127;0.476735
48.03918367;128;0.222041
48.26122449;129;0.218776
48.48;130;0.499592
48.97959184;131;0.538776
49.51836735;132;0.235102
49.75346939;133;0.212948
49.96641723;134;0.436848
50.40326531;135;0.453878
50.85714286;136;0.244898
51.10204082;137;0.218776
51.32081633;138;0.460408
51.78122449;139;0.515918
52.29714286;140;0.241633
52.53877551;141;0.186122
52.72489796;142;0.182857
52.9077551;143;0.228571
53.13632653;144;0.244422
53.3807483;145;0.193129
53.57387755;146;0.238322
53.81219955;147;0.176372
53.98857143;148;0.264875
54.25344671;149;0.206485
54.45993197;150;0.193175
54.65310658;151;0.223016
54.87612245;152;0.205102
55.08122449;153;0.239138
55.32036281;154;0.235556
55.55591837;155;0.189388
55.74530612;156;0.213175
55.95848073;157;0.213197
56.17167801;158;0.217302
56.38897959;159;0.228277
56.61725624;160;0.222812
56.84006803;161;0.22288
57.06294785;162;0.215578
57.27852608;163;0.262698
57.54122449;164;0.218413
57.75963719;165;0.202812
57.96244898;166;0.21551
58.17795918;167;0.212449
58.39040816;168;0.224331
58.61473923;169;0.235873
58.85061225;170;0.225306
59.07591837;171;0.208481
59.28439909;172;0.2139
59.49829932;173;0.217891
59.71619048;174;0.231565
59.9477551;175;0.225306
60.17306122;176;0.20898
60.38204082;177;0.23102
60.61306122;178;0.213061
60.82612245;179;0.195918
61.02204082;180;0.242789
61.26482993;181;0.217619
61.48244898;182;0.228571
61.71102041;183;0.218776
61.92979592;184;0.257959
62.1877551;185;0.241633
62.42938776;186;0.212245
62.64163265;187;0.241633
62.88326531;188;0.267755
63.15102041;189;0.261224
63.4122449;190;0.205714
63.61795918;191;0.212245
63.83020408;192;0.26449
64.09469388;193;0.212245
64.30693878;194;0.199002
64.50594104;195;0.215692
64.72163265;196;0.218844
64.94047619;197;0.228503
65.16897959;198;0.229546
65.39852608;199;0.234127
65.63265306;200;0.234195
65.86684807;201;0.198481
66.0653288;202;0.204059
66.26938776;203;0.179592
66.44897959;204;0.223401
66.67238095;205;0.230794
66.9031746;206;0.203424
67.10659864;207;0.214762
67.32136054;208;0.208435
67.52979592;209;0.21551
67.74530612;210;0.216735
67.96204082;211;0.279592
68.24163265;212;0.212245
68.45387755;213;0.222041
68.67591837;214;0.186122
68.86204082;215;0.156735
69.01877551;216;0.267755
69.28653061;217;0.225306
69.51183674;218;0.251429
69.76326531;219;0.261224
70.0244898;220;0.205941
70.23043084;221;0.198957
70.42938776;222;0.205714
70.63510204;223;0.21551
70.85061225;224;0.233787
71.08439909;225;0.209184
71.29358277;226;0.223152
71.51673469;227;0.225306
71.74204082;228;0.222041
71.96408163;229;0.199184
72.16326531;230;0.212245
72.3755102;231;0.221406
72.5969161;232;0.210907
72.80782313;233;0.203696
73.01151927;234;0.219048
73.23056689;235;0.250748
73.48131519;236;0.22644
73.7077551;237;0.192653
73.90040816;238;0.186122
74.08653061;239;0.195918
74.28244898;240;0.204785
74.48723356;241;0.252358
74.73959184;242;0.20898
74.94857143;243;0.192653
75.14122449;244;0.20449
75.34571429;245;0.190612
75.53632653;246;0.222041
75.75836735;247;0.225306
75.98367347;248;0.248163
76.23183674;249;0.195918
76.4277551;250;0.244898
76.67265306;251;0.179592
76.8522449;252;0.207846
77.0600907;253;0.22644
77.28653061;254;0.274286
77.56081633;255;0.169796
77.73061225;256;0.225079
77.95569161;257;0.202676
78.15836735;258;0.241633
78.4;259;0.235102
78.63510204;260;0.241633
78.87673469;261;0.222041
79.09877551;262;0.189388
79.28816327;263;0.238367
79.52653061;264;0.20898
79.7355102;265;0.225306
79.96081633;266;0.212268
80.1730839;267;0.251406
80.4244898;268;0.499592
80.92408163;269;0.542041
81.46612245;270;0.241633
81.7077551;271;0.21551
81.92326531;272;0.200635
82.12390023;273;0.211383
82.33528345;274;0.237778
82.57306122;275;0.261224
82.83428571;276;0.20898
