Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
2.197333333;1.1;0.693333;0;82.8
2.890666666;1.2;0.672;86.5385;85.7
3.562666666;1.3;0.490667;89.2857;79.1
4.053333333;1.4;0.458667;122.283;84.8
4.512;2.1;0.501333;130.814;82.3
5.013333333;2.2;0.597333;119.681;84.7
5.610666666;2.3;0.512;100.446;77.1
6.122666666;2.4;0.429646;117.188;83.4
6.5523125;3.1;0.477021;139.65;82.1
7.029333333;3.2;0.608;125.781;85.8
7.637333333;3.3;0.470167;98.6842;78.2
8.1075;3.4;0.511167;127.614;80.3
8.618666666;4.1;0.48;117.379;72.2
9.098666666;4.2;0.437333;125;77.9
9.536;4.3;0.449625;137.195;76.8
9.985625;4.4;0.484375;133.445;78.3
10.47;5.1;0.580667;123.871;87.4
11.05066667;5.2;0.634333;103.33;81.5
11.685;5.3;0.421667;94.5875;73
12.10666667;5.4;0.418333;142.292;75.1
12.525;6.1;0.512146;143.426;74.4
13.03714583;6.2;0.509521;117.154;81.6
13.54666667;6.3;0.501333;117.758;78.2
14.048;6.4;0.426667;119.681;75.9
14.47466667;7.1;0.490667;140.625;79.3
14.96533333;7.2;0.469333;122.283;84.6
15.43466667;7.3;0.565333;127.841;78.5
16;7.4;0.48;106.132;77.6
16.48;8.1;0.493396;125;77.8
16.97339583;8.2;0.455938;121.606;77.4
17.42933333;8.3;0.416;131.597;77.6
17.84533333;8.4;0.469667;144.231;80.7
18.315;9.1;0.522333;127.75;83.8
18.83733333;9.2;0.533333;114.869;81.1
19.37066667;9.3;0.512;112.5;83.5
19.88266667;9.4;0.448667;117.188;82.2
20.33133333;10.1;0.468667;133.73;84.6
20.8;10.2;0.546583;128.023;80.2
21.34658333;10.3;0.466625;109.773;83
21.81320833;10.4;0.488583;128.583;81.5
22.30179167;11.1;0.492875;122.804;85.1
22.79466667;11.2;0.469333;121.735;81.9
23.264;11.3;0.512;127.841;82.9
23.776;11.4;0.469333;117.188;81.3
