Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
0.394739229;1;2.27465;0;79.8
2.669387755;2;1.95918;26.3777;77.2
4.628571428;3;2.00333;30.625;78.3
6.631904761;4;1.96401;29.9501;74.7
8.595918367;5;2.04442;30.5497;78
10.64034014;6;1.89789;29.3482;76.6
12.53823129;7;1.9998;31.614;74.3
14.53802721;8;1.83748;30.0031;68.8
16.3755102;9;1.98367;32.6534;78.8
18.35918367;10;1.93444;30.2469;77.4
20.29362812;11;1.91045;31.0167;76
22.20408163;12;1.91773;31.4062;72.1
24.12181406;13;1.96798;31.287;72.6
26.08979592;14;1.91551;30.4881;71.2
28.00530612;15;1.88041;31.3232;72.9
29.88571429;16;1.95918;31.908;82.9
31.84489796;17;1.9102;30.625;83.7
33.75510204;18;1.91147;31.4103;81.1
35.66657596;19;1.89261;31.3894;79.6
37.55918367;20;2.00816;31.7023;70.9
39.56734694;21;1.82857;29.878;73.1
41.39591837;22;1.82041;32.8125;79.7
43.21632653;23;1.87762;32.9596;82.8
45.09394558;24;1.86116;31.9554;81.4
46.95510204;25;2.68186;32.238;79.5
49.63696145;26;2.09365;22.3725;78.3
51.73061224;27;2.08163;28.6581;77.1
53.8122449;28;1.9568;28.8235;76.5
55.76904762;29;2.13299;30.6623;75.2
57.90204082;30;2.12245;28.1295;75.6
60.0244898;31;2.0898;28.2692;85
62.11428571;32;1.85442;28.7109;81
63.96870748;33;1.88435;32.3551;80.9
65.85306122;34;2.22891;31.8412;82.2
68.08197279;35;2.08129;26.919;83.2
70.16326531;36;1.86927;28.8282;82.5
72.03253968;37;1.8695;32.098;79.9
73.90204082;38;1.86939;32.0941;75
75.77142857;39;1.91837;32.0961;75.3
77.68979592;40;1.96735;31.2766;80.8
79.65714286;41;1.91837;30.4979;80.8
81.5755102;42;2.13878;31.2766;81
83.71428571;43;1.97551;28.0534;70.5
85.68979592;44;2.00658;30.3719;62.5
87.69637188;45;1.84243;29.9017;63.1
89.53879819;46;1.82447;32.5658;64.6
91.36326531;47;1.80939;32.8863;68
93.17265306;48;1.8151;33.1604;69.1
94.9877551;49;1.92653;33.056;73.9
96.91428571;50;2.07347;31.1441;77.6
98.9877551;51;2.17959;28.937;74.3
101.1673469;52;2.78367;27.5281;71.4
103.9510204;53;2.31837;21.5543;63.9
106.2693878;54;2.09796;25.8803;72.7
108.3673469;55;2.3102;28.5992;79.6
110.677551;56;2.20408;25.9717;73.2
112.8816327;57;2.65993;27.2222;70.4
115.5415646;58;2.90741;22.557;71.9
118.4489796;59;2.35458;20.6369;65.2
120.8035601;60;2.12998;25.4822;74.9
122.9335374;61;2.46238;28.1693;69.2
125.3959184;62;2.14694;24.3667;64.7
127.5428571;63;2.22041;27.9468;69.4
129.7632653;64;2.05714;27.0221;74.2
131.8204082;65;2.29388;29.1667;68.8
134.1142857;66;2.3102;26.1566;73.4
136.4244898;67;2.23673;25.9717;72.3
138.6612245;68;2.39184;26.8248;73.4
141.0530612;69;2.8;25.0853;71.7
143.8530612;70;2.08991;21.4286;68.9
145.9429705;71;2.34274;28.7094;74
148.2857143;72;2.00336;25.611;70.4
150.2890703;73;2.03746;29.9497;67.3
152.3265306;74;2.57959;29.4484;72.1
154.9061224;75;3.22615;23.2595;74.1
158.1322676;76;1.97385;18.598;63.7
160.1061224;77;1.9407;30.3974;68.6
162.0468254;78;1.87971;30.9166;69.8
163.9265306;79;1.84268;31.9199;72
165.7692063;80;1.81252;32.5613;73.6
167.5817234;81;1.78971;33.1031;70.6
169.3714286;82;1.83673;33.5251;74.4
171.2081633;83;1.78955;32.6667;74.8
