Onset;Note;Duration (s);Bar
0.394739229;1;0.655964;1
1.050702948;2;0.838821;1
1.88952381;3;0.148027;1
2.03755102;4;0.174694;1
2.212244898;5;0.147483;1
2.359727891;6;0.148027;1
2.507755102;7;0.161633;1
2.669387755;8;0.134422;2
2.803809524;9;0.156735;2
2.960544218;10;0.165986;2
3.126530612;11;0.730884;2
3.857414966;12;0.156735;2
4.01414966;13;0.140952;2
4.155102041;14;0.16381;2
4.318911565;15;0.148027;2
4.466938776;16;0.161633;2
4.628571429;17;0.160544;3
4.789115646;18;0.148027;3
4.937142857;19;0.179524;3
5.116666667;20;0.67381;3
5.79047619;21;0.17415;3
5.96462585;22;0.165986;3
6.130612245;23;0.730884;3
6.861496599;24;0.165442;4
7.026938776;25;0.132245;4
7.159183673;26;0.16381;4
7.322993197;27;0.156735;4
7.479727891;28;0.136599;4
7.616326531;29;0.185578;4
7.801904762;30;0.13932;4
7.94122449;31;0.164898;4
8.106122449;32;0.148571;4
8.254693878;33;0.156735;4
8.411428571;34;0.18449;4
8.595918367;35;0.538776;5
9.134693878;36;0.269388;5
9.404081633;37;0.253061;5
9.657142857;38;0.234558;5
9.89170068;39;0.279728;5
10.17142857;40;0.181769;5
10.35319728;41;0.287143;5
10.64034014;42;0.226599;6
10.86693878;43;0.487619;6
11.35455782;44;0.245442;6
11.6;45;0.242177;6
11.84217687;46;0.253696;6
12.09587302;47;0.199093;6
12.29496599;48;0.243265;6
12.53823129;49;0.226939;7
12.76517007;50;0.487619;7
13.25278912;51;0.232925;7
13.48571429;52;0.211156;7
13.69687075;53;0.557279;7
14.25414966;54;0.283878;7
14.53802721;55;0.203741;8
14.74176871;56;0.268594;8
15.01036281;57;0.210317;8
15.22068027;58;0.261293;8
15.48197279;59;0.226327;8
15.70829932;60;0.218231;8
15.92653061;61;0.22585;8
16.15238095;62;0.223129;8
16.3755102;63;0.255782;9
16.63129252;64;0.27483;9
16.90612245;65;0.273741;9
17.17986395;66;0.240544;9
17.42040816;67;0.203537;9
17.62394558;68;0.148027;9
17.77197279;69;0.138231;9
17.91020408;70;0.140408;9
18.05061225;71;0.130612;9
18.18122449;72;0.177959;9
18.35918367;73;0.17034;10
18.52952381;74;0.0696599;10
18.59918367;75;0.0783673;10
18.67755102;76;0.148639;10
18.82619048;77;0.278027;10
19.10421769;78;0.234558;10
19.33877551;79;0.157279;10
19.49605442;80;0.148027;10
19.64408163;81;0.144104;10
19.78818594;82;0.160658;10
19.94884354;83;0.165442;10
20.11428571;84;0.179342;10
20.29362812;85;0.142834;11
20.43646259;86;0.0696599;11
20.50612245;87;0.0696599;11
20.57578231;88;0.175238;11
20.75102041;89;0.225306;11
20.97632653;90;0.223673;11
21.2;91;0.202993;11
21.4029932;92;0.0609524;11
21.46394558;93;0.0783673;11
21.54231293;94;0.184331;11
21.72664399;95;0.224921;11
21.95156463;96;0.252517;11
22.20408163;97;0.156735;12
22.36081633;98;0.0870748;12
22.44789116;99;0.0870748;12
22.53496599;100;0.150748;12
22.68571429;101;0.154014;12
22.83972789;102;0.13932;12
22.97904762;103;0.171973;12
23.15102041;104;0.158912;12
23.30993197;105;0.10449;12
23.41442177;106;0.0609524;12
23.47537415;107;0.149116;12
23.6244898;108;0.155646;12
23.78013605;109;0.182857;12
23.9629932;110;0.158821;12
24.12181406;111;0.145941;13
24.2677551;112;0.10449;13
24.3722449;113;0.0609524;13
24.43319728;114;0.179048;13
24.6122449;115;0.177959;13
24.79020408;116;0.17415;13
24.96435374;117;0.14585;13
25.11020408;118;0.167619;13
25.27782313;119;0.10449;13
25.38231293;120;0.0609524;13
25.44326531;121;0.183832;13
25.62709751;122;0.147052;13
25.77414966;123;0.13932;13
25.91346939;124;0.176327;13
26.08979592;125;0.18068;14
26.27047619;126;0.0783673;14
26.34884354;127;0.0696599;14
26.4185034;128;0.170408;14
26.58891157;129;0.160476;14
26.74938776;130;0.130612;14
26.88;131;0.189388;14
27.06938776;132;0.150204;14
27.21959184;133;0.0783673;14
27.29795918;134;0.0522449;14
27.35020408;135;0.168163;14
27.51836735;136;0.154014;14
27.67238095;137;0.148027;14
27.82040816;138;0.184898;14
28.00530612;139;0.163401;15
28.16870748;140;0.0696599;15
28.23836735;141;0.0522449;15
28.29061225;142;0.174694;15
28.46530612;143;0.147483;15
28.61278912;144;0.0870748;15
28.69986395;145;0.0609524;15
28.76081633;146;0.161633;15
28.92244898;147;0.169252;15
29.09170068;148;0.0696599;15
29.16136054;149;0.0783673;15
29.23972789;150;0.164354;15
29.40408163;151;0.157823;15
29.56190476;152;0.0783673;15
29.64027211;153;0.0783673;15
