Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
0.671904761;1.1;0.651633;0;76.2
1.323537414;1.2;0.580499;92.0764;81.3
1.904036281;1.3;0.475329;103.359;71.1
2.379365079;1.4;0.406258;126.228;70.3
2.785623582;2.1;0.504172;147.689;72.4
3.289795918;2.2;0.428209;119.007;74.4
3.718004535;2.3;0.415147;140.119;69.6
4.133151927;2.4;0.417959;144.527;70.4
4.551111111;3.1;0.452381;143.555;71.2
5.003492063;3.2;0.461429;132.632;70.5
5.464920634;3.3;0.502426;130.031;64.9
5.967346938;3.4;0.441746;119.421;70.8
6.40909297;4.1;0.464989;135.825;64.6
6.874081632;4.2;0.469342;129.035;70.3
7.343424036;4.3;0.462472;127.838;70.6
7.805895691;4.4;0.449342;129.738;70.7
8.255238095;5.1;0.536599;133.528;74.8
8.791836734;5.2;0.489796;111.815;72.6
9.281632653;5.3;0.481633;122.5;69
9.763265306;5.4;0.432653;124.576;68.5
10.19591837;6.1;0.471429;138.679;73
10.66734694;6.2;0.47551;127.273;67.3
11.14285714;6.3;0.44898;126.18;67
11.59183673;6.4;0.436258;133.636;69.4
12.02809524;7.1;0.421383;137.533;69.7
12.44947846;7.2;0.514558;142.388;72.6
12.96403628;7.3;0.529841;116.605;68.2
13.49387755;7.4;0.450068;113.241;70.2
13.94394558;8.1;0.447891;133.313;66.5
14.39183673;8.2;0.429637;133.961;68
14.82147392;8.3;0.476485;139.653;69.6
15.29795918;8.4;0.458912;125.922;72.6
15.75687075;9.1;0.510045;130.744;78.5
16.2669161;9.2;0.479909;117.637;75.6
16.7468254;9.3;0.505828;125.024;72.6
17.25265306;9.4;0.461633;118.617;72
17.71428571;10.1;0.462472;129.973;71.8
18.17675737;10.2;0.471315;129.738;76.3
18.64807256;10.3;0.450068;127.303;70.8
19.09814059;10.4;0.461043;133.313;72.6
19.55918367;11.1;0.471905;130.14;71.5
20.03108844;11.2;0.442381;127.144;73.1
20.47346939;11.3;0.473469;135.63;68.9
20.94693878;11.4;0.49381;126.724;71.9
21.4407483;12.1;0.440317;121.504;69.6
21.88106576;12.2;0.486213;136.265;73.9
22.36727891;12.3;0.432721;123.403;73
22.8;12.4;0.473469;138.657;72.7
23.27346939;13.1;0.440816;126.724;68.8
23.71428571;13.2;0.465306;136.111;77.3
24.17959184;13.3;0.440816;128.947;70.8
24.62040816;13.4;0.490907;136.111;74.1
25.11131519;14.1;0.413832;122.223;72.4
25.52514739;14.2;0.45127;144.986;70.6
25.97641723;14.3;0.431746;132.958;71.8
26.40816327;14.4;0.468345;138.971;77.1
26.87650794;15.1;0.465873;128.111;72.9
27.34238095;15.2;0.445374;128.79;74.4
27.7877551;15.3;0.416327;134.718;74
28.20408163;15.4;0.457143;144.118;74.9
28.66122449;16.1;0.473469;131.25;78.6
29.13469388;16.2;0.44898;126.724;74.7
29.58367347;16.3;0.471338;133.636;76.9
30.05501134;16.4;0.434785;127.297;74.9
30.48979592;17.1;0.45746;137.999;76
30.94725624;17.2;0.473152;131.159;73.8
31.42040816;17.3;0.470204;126.809;75.9
31.89061224;17.4;0.449365;127.604;72.7
32.33997732;18.1;0.43034;133.522;74.6
32.77031746;18.2;0.470499;139.425;74.9
33.24081633;18.3;0.432653;127.524;77.4
33.67346939;18.4;0.473469;138.679;71.6
34.14693878;19.1;0.483447;126.724;72.5
34.63038549;19.2;0.455397;124.109;71.8
35.08578231;19.3;0.456689;131.753;75.8
35.54247166;19.4;0.433039;131.38;72.9
35.9755102;20.1;0.489796;138.556;77.2
36.46530612;20.2;0.484218;122.5;69.8
36.94952381;20.3;0.453583;123.911;75.6
37.40310658;20.4;0.524172;132.28;73.2
37.92727891;21.1;0.496122;114.466;73.8
38.42340136;21.2;0.458912;120.938;69.1
38.88231293;21.3;0.492109;130.744;77.3
39.37442177;21.4;0.462313;121.924;77.2
39.83673469;22.1;0.496576;129.782;74.2
40.33331066;22.2;0.450363;120.827;75.7
40.78367347;22.3;0.465306;133.226;73.3
41.24897959;22.4;0.457347;128.947;74.9
41.70632653;23.1;0.46941;131.191;73.2
42.17573696;23.2;0.460998;127.82;75.8
42.63673469;23.3;0.471814;130.152;74.1
43.10854875;23.4;0.459161;127.169;75.6
43.56770975;24.1;0.46356;130.673;73.7
44.03126984;24.2;0.466531;129.433;76.3
44.49780045;24.3;0.459456;128.609;72.9
44.95725624;24.4;0.471678;130.589;75.2
45.42893424;25.1;0.43229;127.205;73.7
45.86122449;25.2;0.506122;138.796;74.5
46.36734694;25.3;0.566145;118.548;79.8
46.93349206;25.4;0.511406;105.98;72.7
47.44489796;26.1;0.466825;117.324;69.6
