Onset;Bar.Minim;Duration (s);Tempo (bpm);Intensity (dB)
1.004081632;1.1;1.04109;0;75.5
2.045170068;1.2;0.795646;57.632;74.1
2.840816326;2.1;0.857143;75.4104;72.7
3.697959183;2.2;0.808163;70;71.7
4.506122448;3.1;0.840816;74.2424;75.1
5.346938775;3.2;0.900159;71.3592;69
6.247097505;4.1;0.765556;66.6549;68.5
7.012653061;4.2;0.799592;78.3745;72.1
7.812244897;5.1;0.979592;75.0383;80.5
8.791836734;5.2;0.823923;61.25;73.1
9.615759637;6.1;0.835896;72.8223;81.2
10.45165533;6.2;0.849864;71.7793;71.5
11.30151927;7.1;0.857188;70.5995;81.4
12.15870748;7.2;0.901474;69.9963;74.3
13.06018141;8.1;0.886122;66.5577;71.5
13.94630385;8.2;0.880612;67.7107;82.8
14.8269161;9.1;0.952517;68.1344;78.3
15.77943311;9.2;0.880227;62.991;74.4
16.65965986;10.1;0.875034;68.1643;75.2
17.53469388;10.2;0.848957;68.5688;73.8
18.38365079;11.1;0.897982;70.675;76.5
19.28163265;11.2;0.895261;66.8165;74.5
20.17689342;12.1;0.838141;67.0196;73.6
21.01503401;12.2;0.880227;71.587;82.1
21.89526077;13.1;0.87483;68.1643;75
22.7700907;13.2;0.891927;68.5848;82
23.66201814;14.1;0.835941;67.2701;76.3
24.49795918;14.2;0.824172;71.7754;75
25.32213152;15.1;0.920453;72.8003;76.4
26.24258503;15.2;0.894921;65.1853;75.8
27.13750567;16.1;0.937823;67.0451;85.4
28.0753288;16.2;0.84712;63.9779;82.9
28.92244898;17.1;0.847347;70.8282;81.4
29.76979592;17.2;0.916871;70.8092;81.4
30.68666667;18.1;0.850295;65.44;75
31.53696145;18.2;0.865261;70.5638;78.6
32.40222222;19.1;0.85059;69.3433;78
33.25281179;19.2;0.905261;70.5393;76.1
34.15807256;20.1;0.903152;66.2792;75.7
35.06122449;20.2;0.857143;66.434;73.5
35.91836735;21.1;0.922449;70;74.2
36.84081633;21.2;0.848118;65.0443;77.3
37.68893424;22.1;0.864422;70.7449;78
38.55335601;22.2;0.818073;69.4106;78.6
39.37142857;23.1;0.895941;73.3431;79.8
40.26736961;23.2;0.818345;66.9687;81.1
41.08571429;24.1;0.832653;73.3187;79.2
41.91836735;24.2;0.82449;72.0588;80.1
42.74285714;25.1;0.898934;72.7723;79.5
43.64179138;25.2;1.01943;66.7457;81.2
44.66122449;26.1;0.807302;58.8562;79
45.46852608;26.2;0.898821;74.3217;79.6
46.36734694;27.1;0.857143;66.7541;78.2
47.2244898;27.2;0.903197;70;82.1
48.12768707;28.1;0.939592;66.4307;78
49.06727891;28.2;0.922132;63.8575;81.7
49.98941043;29.1;0.98576;65.0666;80.7
50.97517007;29.2;0.898481;60.8668;73.6
51.87365079;30.1;0.886417;66.7794;77.6
52.76006803;30.2;0.954059;67.6882;81
53.71412698;31.1;1.02016;62.8892;85.8
