Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
0.576;1;1.83467;0;76.3
2.410666666;2;1.76;32.7035;71.6
4.170666666;3;1.856;34.0909;71.6
6.026666666;4;1.71733;32.3276;67.8
7.744;5;1.81333;34.9379;78.4
9.557333333;6;1.74933;33.0882;71.4
11.30666667;7;1.824;34.2988;71.2
13.13066667;8;1.73289;32.8947;69.1
14.86355208;9;1.77645;34.6243;80.4
16.64;10;1.65333;33.7753;73.2
18.29333333;11;1.728;36.2903;73.6
20.02133333;12;1.664;34.7222;67.6
21.68533333;13;1.792;36.0577;73.5
23.47733333;14;1.71862;33.4821;75.7
25.19595833;15;1.75871;34.9116;74.7
26.95466667;16;1.71733;34.1159;74.3
28.672;17;1.67467;34.9379;78.2
30.34666667;18;1.71733;35.828;78.6
32.064;19;1.74933;34.9379;76.6
33.81333333;20;1.76;34.2988;75.1
35.57333333;21;1.728;34.0909;75.1
37.30133333;22;1.71082;34.7222;76.9
39.01215625;23;1.78784;35.0708;80.2
40.8;24;1.728;33.56;77.4
42.528;25;2.21867;34.7222;79.1
44.74666667;26;1.94133;27.0433;73.5
46.688;27;1.87733;30.9066;76.7
48.56533333;28;1.856;31.9602;80.5
50.42133333;29;1.96893;32.3276;81.3
52.39026042;30;1.90307;30.4734;76
54.29333333;31;1.86456;31.528;83.6
56.15789583;32;1.78344;32.1791;82.8
57.94133333;33;1.792;33.6429;81.1
59.73333333;34;2.05867;33.4821;80.7
61.792;35;1.856;29.1451;83.9
63.648;36;1.78133;32.3276;83.2
65.42933333;37;2.10133;33.6826;82.7
67.53066667;38;1.792;28.5533;70
69.32266667;39;1.81111;33.4821;80.4
71.13378125;40;1.76849;33.1288;79
72.90227083;41;1.81773;33.9273;81.4
74.72;42;1.87733;33.0082;81.2
76.59733333;43;1.77067;31.9602;71
78.368;44;1.84533;33.8855;62.3
80.21333333;45;1.77067;32.5145;65.1
81.984;46;1.792;33.8855;67.3
83.776;47;1.76;33.4821;64.3
85.536;48;1.77067;34.0909;65.8
87.30666667;49;1.84533;33.8855;69.5
89.152;50;1.94133;32.5145;72.4
91.09333333;51;1.984;30.9066;69.5
93.07733333;52;2.19733;30.2419;63.7
95.27466667;53;2.22933;27.3058;60.9
97.504;54;2.144;26.9139;71.5
99.648;55;2.13333;27.9851;75.4
101.7813333;56;2.15921;28.125;78.2
103.9405417;57;2.13946;27.788;71.9
106.08;58;2.35733;28.0445;70.6
108.4373333;59;2.304;25.4525;64.3
110.7413333;60;2.048;26.0417;70.6
112.7893333;61;2.25067;29.2969;75.8
115.04;62;2.016;26.6588;68
117.056;63;2.19733;29.7619;72.2
119.2533333;64;2.00533;27.3058;70
121.2586667;65;2.25067;29.9202;77
123.5093333;66;2.18622;26.6588;76
125.6955521;67;2.40045;27.4446;76.4
128.096;68;2.3435;24.9953;67.5
130.4395;69;2.85117;25.6027;70
133.2906667;70;2.16533;21.044;67.2
135.456;71;2.38933;27.7094;72.2
137.8453333;72;2.13333;25.1116;71.2
139.9786667;73;1.97822;28.125;73.7
141.9568854;74;2.30978;30.3303;78.5
144.2666667;75;3.04;25.9765;66.6
147.3066667;76;1.65333;19.7368;61.9
148.96;77;1.61067;36.2903;71.8
150.5706667;78;1.568;37.2517;76
152.1386667;79;1.57244;38.2653;77.7
153.7111042;80;1.5849;38.1573;84.3
155.296;81;1.52533;37.8574;78.2
156.8213333;82;1.52533;39.3357;79.9
158.3466667;83;1.52533;39.3357;77.3
159.872;84;1.54667;39.3357;77
161.4186667;85;1.536;38.7931;80.1
162.9546667;86;1.54667;39.0625;82.3
164.5013333;87;1.54667;38.7931;83.1
166.048;88;1.52533;38.7931;80.5
167.5733333;89;1.55733;39.3357;80.6
169.1306667;90;1.73867;38.5274;80.3
170.8693333;91;1.86667;34.5092;83.9
172.736;92;1.57867;32.1429;81.1
174.3146667;93;1.62033;38.0068;75
175.935;94;1.697;37.0294;76.1
177.632;95;2.60267;35.3565;71.9
180.2346667;96;2.048;23.0533;67.3
182.2826667;97;2.016;29.2969;72.3
184.2986667;98;1.74293;29.7619;74.6
186.0415938;99;1.73441;34.4248;85.9
187.776;100;1.68533;34.594;79.6
189.4613333;101;1.81333;35.6013;84.1
191.2746667;102;1.70667;33.0882;78
192.9813333;103;1.77117;35.1562;73.5
194.7525;104;1.935;33.876;81.5
196.6875;105;2.68317;31.0078;76.7
199.3706667;106;2.016;22.3616;66
201.3866667;107;2.17833;29.7619;68.4
203.565;108;2.20567;27.544;61.4
205.7706667;109;2.16533;27.2027;63.2
207.936;110;2.304;27.7094;63.6
210.24;111;1.952;26.0417;60.6
212.192;112;1.91729;30.7377;72.3
214.1092917;113;1.89071;31.2941;74.8
216;114;2.176;31.7341;77.8
218.176;115;1.92;27.5735;81.9
220.096;116;1.784;31.25;80.8
221.88;117;1.81067;33.6323;80.5
223.6906667;118;1.75439;33.137;80.8
225.4450521;119;1.90428;34.2;83.8
227.3493333;120;1.84149;31.508;84.3
229.1908229;121;1.85418;32.5823;83
231.045;122;1.86;32.3594;78.4
232.905;123;2.25;32.2581;69.8
235.155;124;1.94367;26.6667;71.9
237.0986667;125;2.02667;30.8695;69.6
239.1253333;126;2.03733;29.6053;71.4
241.1626667;127;2.272;29.4503;72.7
243.4346667;128;2.19783;26.4085;71.4
245.6325;129;2.3675;27.2996;75.5
248;130;2.34667;25.3432;68.3
250.3466667;131;2.80083;25.5682;80
253.1475;132;1.9229;21.4222;66
255.0703958;133;1.7596;31.2029;68.2
256.83;134;1.82806;34.0986;70.9
258.6580625;135;1.8006;32.8216;64.4
260.4586667;136;1.80535;33.3221;75.1
262.2640208;137;1.78848;33.2345;72.4
264.0525;138;1.76859;33.5481;72.3
265.8210938;139;1.75521;33.9253;69.1
267.5763021;140;1.81191;34.184;71.8
269.3882083;141;1.74779;33.1143;74.1
271.136;142;1.792;34.329;75.4
272.928;143;1.73867;33.4821;82
274.6666667;144;1.74524;34.5092;78.6
276.4119063;145;1.76701;34.3792;78.5
278.1789167;146;1.73575;33.9557;76.4
279.9146667;147;1.81796;34.5672;77.1
281.732625;148;1.82738;33.0041;74.5
283.56;149;1.77333;32.834;73.7
285.3333333;150;1.80417;33.8346;79.8
287.1375;151;1.74783;33.2564;81.5
288.8853333;152;2.304;34.3282;84.5
291.1893333;153;1.856;26.0417;73.4
293.0453333;154;1.8566;32.3276;77.2
294.9019375;155;1.94073;32.3171;77.5
296.8426667;156;1.92807;30.9162;80.2
298.7707396;157;1.89755;31.1192;79.7
300.6682917;158;1.85971;31.6197;84.9
302.528;159;1.7545;32.2631;79.4
304.2825;160;1.7775;34.1978;79.5
306.06;161;2.04667;33.7553;80.2
308.1066667;162;1.91333;29.316;82.8
310.02;163;1.83597;31.3589;82.3
311.8559688;164;2.0427;32.6803;82.9
313.8986667;165;1.74633;29.3729;69.3
315.645;166;1.78433;34.3577;83.7
317.4293333;167;1.83467;33.626;80.8
319.264;168;1.8185;32.7035;82.4
321.0825;169;2.03309;32.9942;82.2
323.1155938;170;1.76974;29.5117;71
324.8853333;171;1.85967;33.9033;72.3
326.745;172;1.81639;32.2638;73.8
328.5613854;173;1.93361;33.0326;73.7
330.495;174;2.82767;31.03;66.6
333.3226667;175;1.49333;21.2189;66.7
334.816;176;1.472;40.1786;70.8
336.288;177;1.61067;40.7609;74.3
337.8986667;178;1.57867;37.2517;79.7
339.4773333;179;1.51467;38.0068;74.2
340.992;180;1.49333;39.6127;73.2
342.4853333;181;1.55733;40.1786;77.6
344.0426667;182;1.64733;38.5274;76.5
345.69;183;1.6425;36.4225;72.5
347.3325;184;1.6595;36.5297;75.5
348.992;185;1.71733;36.1555;80.6
350.7093333;186;1.70817;34.9379;85.1
352.4175;187;1.71654;35.1254;81.5
354.1340417;188;1.9669;34.954;82.5
356.1009375;189;1.60528;30.5049;79.9
357.7062188;190;1.53645;37.3766;81.4
359.2426667;191;1.568;39.0511;80.2
360.8106667;192;1.49933;38.2653;80.1
362.31;193;1.52369;40.0178;82.8
363.8336875;194;1.44631;39.3782;77.5
365.28;195;1.49333;41.4848;79.6
366.7733333;196;1.49333;40.1786;81.8
368.2666667;197;1.97333;40.1786;83.5
370.24;198;0;30.4054;80.7
