Onset;Note;Duration (s)
7.744;1;0.48776
8.231760417;2;0.63224
8.864;3;0.112
8.976;4;0.162135
9.138135417;5;0.133865
9.272;6;0.128
9.4;7;0.157333
9.557333333;8;0.114667
9.672;9;0.12
9.792;10;0.192
9.984;11;0.624
10.608;12;0.112
10.72;13;0.181333
10.90133333;14;0.114667
11.016;15;0.12
11.136;16;0.170667
11.30666667;17;0.141333
11.448;18;0.136
11.584;19;0.170667
11.75466667;20;0.597333
12.352;21;0.128
12.48;22;0.181333
12.66133333;23;0.610667
13.272;24;0.144
13.416;25;0.173333
13.58933333;26;0.122667
13.712;27;0.128
13.84;28;0.186667
14.02666667;29;0.117333
14.144;30;0.152
14.296;31;0.136
14.432;32;0.112
14.544;33;0.144
14.688;34;0.175552
14.86355208;35;0.688448
15.552;36;0.233771
15.78577083;37;0.214229
16;38;0.213333
16.21333333;39;0.218667
16.432;40;0.208
16.64;41;0.224
16.864;42;0.408
17.272;43;0.210667
17.48266667;44;0.197333
17.68;45;0.197333
17.87733333;46;0.210667
18.088;47;0.205333
18.29333333;48;0.194667
18.488;49;0.416
18.904;50;0.268323
19.17232292;51;0.187677
19.36;52;0.4
19.76;53;0.261333
20.02133333;54;0.186667
20.208;55;0.24
20.448;56;0.192
20.64;57;0.217094
20.85709375;58;0.190906
21.048;59;0.221333
21.26933333;60;0.178667
21.448;61;0.237333
21.68533333;62;0.178667
21.864;63;0.248
22.112;64;0.469333
22.58133333;65;0.202667
22.784;66;0.234667
23.01866667;67;0.458667
23.47733333;68;0.170667
23.648;69;0.128
23.776;70;0.128
23.904;71;0.16
24.064;72;0.12
24.184;73;0.168
24.352;74;0.112
24.464;75;0.136
24.6;76;0.172448
24.77244792;77;0.139552
24.912;78;0.136
25.048;79;0.147958
25.19595833;80;0.244042
25.44;81;0.192
25.632;82;0.435625
26.067625;83;0.228375
26.296;84;0.221333
26.51733333;85;0.437333
26.95466667;86;0.221333
27.176;87;0.216615
27.39261458;88;0.215385
27.608;89;0.232
27.84;90;0.405625
28.245625;91;0.426375
28.672;92;0.176
28.848;93;0.244656
29.09265625;94;0.243344
29.336;95;0.210667
29.54666667;96;0.405333
29.952;97;0.394667
30.34666667;98;0.197333
30.544;99;0.24
30.784;100;0.208
30.992;101;0.208
31.2;102;0.232
31.432;103;0.226667
31.65866667;104;0.197333
31.856;105;0.208
32.064;106;0.224
32.288;107;0.213333
32.50133333;108;0.448
32.94933333;109;0.194667
33.144;110;0.232
33.376;111;0.437333
33.81333333;112;0.674667
34.488;113;0.240656
34.72865625;114;0.191344
34.92;115;0.258667
35.17866667;116;0.189333
35.368;117;0.176
35.544;118;0.232
35.776;119;0.392
36.168;120;0.301333
36.46933333;121;0.186667
36.656;122;0.218667
36.87466667;123;0.205333
37.08;124;0.221333
37.30133333;125;0.202667
37.504;126;0.44
37.944;127;0.26049
38.20448958;128;0.18751
38.392;129;0.208
38.6;130;0.216
38.816;131;0.196156
39.01215625;132;0.219844
39.232;133;0.448
39.68;134;0.254229
39.93422917;135;0.193771
40.128;136;0.234667
40.36266667;137;0.237333
40.6;138;0.2
40.8;139;0.184
40.984;140;0.242667
41.22666667;141;0.181333
41.408;142;0.224
41.632;143;0.224
41.856;144;0.224
42.08;145;0.208
42.288;146;0.24
42.528;147;0.2
42.728;148;0.258667
42.98666667;149;0.261333
43.248;150;0.314667
43.56266667;151;0.725333
44.288;152;1.86667
46.15466667;153;0.533333
46.688;154;1.36533
48.05333333;155;0.512
48.56533333;156;0.426667
48.992;157;0.469333
49.46133333;158;0.475969
49.93730208;159;0.484031
50.42133333;160;0.544
50.96533333;161;0.45099
51.41632292;162;0.513854
