Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
2.174240362;1;2.00535;0;76.2
4.179591836;2;1.83438;29.9199;77.1
6.013968253;3;1.89243;32.7087;79.1
7.906394557;4;1.78794;31.7053;75.4
9.694331065;5;1.95048;33.5582;82.5
11.64480726;6;1.86921;30.7617;75.9
13.51401361;7;1.89243;32.0992;75
15.40643991;8;1.77633;31.7053;72.9
17.18276644;9;1.8576;33.7776;79.3
19.04036281;10;1.8122;32.2998;80.2
20.85256236;11;1.7985;33.1089;80.4
22.65106576;12;1.82277;33.3611;76.1
24.4738322;13;1.84599;32.917;80.7
26.31981859;14;1.75311;32.5029;78.2
28.07292517;15;1.77633;34.225;78.1
29.8492517;16;1.83438;33.7776;79.8
31.68362812;17;1.82277;32.7087;80.2
33.50639456;18;1.82277;32.917;78.9
35.329161;19;1.81116;32.917;79.7
37.14031746;20;1.82277;33.128;75.3
38.9630839;21;1.82875;32.917;77
40.79183673;22;1.78776;32.8092;81.2
42.57959184;23;1.8576;33.5616;79.6
44.43718821;24;1.82934;32.2998;82.2
46.26653061;25;1.94571;32.7987;80.7
48.2122449;26;1.93742;30.837;76.1
50.14965986;27;1.87465;30.9691;77.2
52.02430839;28;1.97569;32.006;79.3
54;29;1.96465;30.3691;80.4
55.96464853;30;1.84143;30.5398;80.5
57.8060771;31;1.96209;32.5834;85.7
59.76816327;32;1.82857;30.5797;81.5
61.59673469;33;1.82834;32.8125;81.7
63.42507937;34;1.91587;32.8166;82.1
65.34095238;35;1.88662;31.3173;83.5
67.2275737;36;1.80535;31.8029;80.7
69.03292517;37;1.99692;33.2345;80.2
71.02984127;38;1.87501;30.0463;69.4
72.90485261;39;1.89823;31.9998;77.8
74.8030839;40;1.93887;31.6084;80.6
76.74195011;41;1.93887;30.9459;83.5
78.68081633;42;2.10655;30.9459;83.1
80.78736961;43;1.9105;28.4825;73.2
82.69786848;44;1.92726;31.4054;59.8
84.62512472;45;1.76472;31.1323;69.1
86.38984127;46;1.79955;33.9998;68.1
88.18938776;47;1.8634;33.3417;75
90.05278912;48;1.84737;32.1992;73.1
91.90015873;49;1.87363;32.4786;75.8
93.77378685;50;1.96789;32.0234;78
95.741678;51;2.01433;30.4895;76.5
97.75600907;52;2.57741;29.7866;68.8
100.333424;53;2.61805;23.2791;68.3
102.9514739;54;2.07116;22.9178;76.7
105.0226304;55;2.17229;28.9693;81.5
107.1949206;56;2.05497;27.6206;77.7
109.2498866;57;2.24653;29.1976;73.5
111.4964172;58;2.52517;26.7078;72.3
114.0215873;59;2.25234;23.7608;68.7
116.2739229;60;2.15946;26.639;78.8
118.4333787;61;2.0898;27.7848;81.6
120.5231746;62;1.99111;28.7109;71.8
122.5142857;63;2.23492;30.1339;70.5
124.7492063;64;1.95628;26.8466;74.1
126.7054875;65;2.20009;30.6704;77.6
128.9055782;66;2.29297;27.2716;78
131.1985488;67;2.20009;26.1669;74.1
133.3986395;68;2.24073;27.2716;74.1
135.6393651;69;2.58322;26.777;73.9
138.222585;70;2.31039;23.2268;74.2
140.5329705;71;2.54839;25.9697;74.4
143.0813605;72;2.34522;23.5443;68.7
145.426576;73;2.2551;25.584;71.8
147.681678;74;2.52821;26.6063;80.8
150.2098866;75;2.6819;23.7322;69.4
152.8917914;76;1.83438;22.3722;68.5
154.7261678;77;1.82277;32.7087;71.5
156.5489342;78;1.76472;32.917;78
158.3136508;79;1.70796;33.9998;81.3
160.02161;80;1.79245;35.1296;83
161.814059;81;1.71247;33.4738;75.8
163.5265306;82;1.72408;35.0371;78.2
165.2506122;83;1.71247;34.8011;78.5
166.9630839;84;1.66023;35.0371;84.5
168.6233107;85;1.63313;36.1396;82.5
170.2564399;86;1.64483;36.7393;84.4
171.9012698;87;1.62145;36.4779;83.7
173.5227211;88;1.59882;37.0039;83.9
175.121542;89;1.62755;37.5277;84.1
176.749093;90;1.66485;36.8652;83.8
178.4139456;91;1.83095;36.0392;84.6
180.244898;92;1.72989;32.7698;80.6
181.9747846;93;1.70667;34.6844;84.5
183.6814512;94;1.90404;35.1562;81.2
185.5854875;95;2.16526;31.512;82.5
