Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
2.174240362;1.1;0.530884;0;76.2
2.705124716;1.2;0.592109;113.019;81.7
3.29723356;1.3;0.452789;101.333;74.4
3.750022675;1.4;0.429569;132.512;74.3
4.179591836;2.1;0.452789;139.675;77.1
4.632380952;2.2;0.476009;132.512;76.4
5.108390022;2.3;0.499229;126.048;71.8
5.607619047;2.4;0.406349;120.185;74.5
6.013968253;3.1;0.417959;147.656;79.1
6.431927437;3.2;0.522449;143.555;81.6
6.954376417;3.3;0.476009;114.844;75.9
7.430385487;3.4;0.476009;126.048;80
7.906394557;4.1;0.510839;126.048;75.4
8.41723356;4.2;0.429569;117.454;74.5
8.846802721;4.3;0.418503;139.675;78
9.265306122;4.4;0.429025;143.368;76.7
9.694331065;5.1;0.522449;139.852;82.5
10.21678005;5.2;0.499229;114.844;80.6
10.71600907;5.3;0.476009;120.185;74.7
11.19201814;5.4;0.452789;126.048;74.1
11.64480726;6.1;0.444989;132.512;75.9
12.08979592;6.2;0.507029;134.835;74.3
12.5968254;6.3;0.441179;118.336;74.4
13.03800454;6.4;0.476009;135.999;75.6
13.51401361;7.1;0.417959;126.048;75
13.93197279;7.2;0.510839;143.555;71.7
14.44281179;7.3;0.452789;117.454;72.6
14.89560091;7.4;0.510839;132.512;77
15.40643991;8.1;0.464399;117.454;72.9
15.870839;8.2;0.441179;129.199;73.2
16.31201814;8.3;0.441179;135.999;75.5
16.75319728;8.4;0.429569;135.999;75.4
17.18276644;9.1;0.464399;139.675;79.3
17.64716553;9.2;0.476009;129.199;80.3
18.1231746;9.3;0.464399;126.048;79
18.5875737;9.4;0.452789;129.199;79.1
19.04036281;10.1;0.43195;132.512;80.2
19.47231293;10.2;0.462018;138.905;77.1
19.93433107;10.3;0.457868;129.865;78
20.39219955;10.4;0.460363;131.042;79
20.85256236;11.1;0.428526;130.332;80.4
21.28108844;11.2;0.464399;140.015;75.7
21.74548753;11.3;0.464399;129.199;74.9
22.20988662;11.4;0.441179;129.199;78.9
22.65106576;12.1;0.464399;135.999;76.1
23.11546485;12.2;0.435374;129.199;79.7
23.550839;12.3;0.464399;137.812;79.7
24.0152381;12.4;0.458594;129.199;81.9
24.4738322;13.1;0.476009;130.835;80.7
24.94984127;13.2;0.454535;126.048;82.5
25.40437642;13.3;0.466825;132.003;77.4
25.87120181;13.4;0.448617;128.528;79.5
26.31981859;14.1;0.458594;133.744;78.2
26.7784127;14.2;0.435374;130.835;81.2
27.21378685;14.3;0.433469;137.812;80
27.64725624;14.4;0.425669;138.418;78.2
28.07292517;15.1;0.448776;140.955;78.1
28.52170068;15.2;0.433583;133.697;77.5
28.95528345;15.3;0.435374;138.382;77.2
29.3906576;15.4;0.458594;137.812;81.5
29.8492517;16.1;0.464399;130.835;79.8
30.31365079;16.2;0.464399;129.199;81.7
30.77804989;16.3;0.452789;129.199;80.4
31.230839;16.4;0.452789;132.512;79.3
31.68362812;17.1;0.441179;132.512;80.2
32.12480726;17.2;0.487619;135.999;81.4
32.6124263;17.3;0.429569;123.047;79.5
33.04199546;17.4;0.464399;139.675;80.4
33.50639456;18.1;0.417959;129.199;78.9
33.92435374;18.2;0.487619;143.555;79.6
34.41197279;18.3;0.441179;123.047;79.4
34.85315193;18.4;0.476009;135.999;81.9
35.329161;19.1;0.406349;126.048;79.7
35.7355102;19.2;0.499229;147.656;80.7
36.23473923;19.3;0.464399;120.185;77.9
36.69913832;19.4;0.441179;129.199;76.5
37.14031746;20.1;0.464399;135.999;75.3
37.60471655;20.2;0.473537;129.199;76.1
38.07825397;20.3;0.452902;126.706;75.4
38.53115646;20.4;0.431927;132.479;78.3
38.9630839;21.1;0.452789;138.912;77
39.41587302;21.2;0.476009;132.512;79
39.89188209;21.3;0.441179;126.048;79.6
40.33306122;21.4;0.458776;135.999;79.7
40.79183673;22.1;0.425828;130.783;81.2
41.2176644;22.2;0.479569;140.902;74.6
41.69723356;22.3;0.424807;125.112;80.7
42.12204082;22.4;0.457551;141.241;80.9
42.57959184;23.1;0.481814;131.133;79.6
43.0614059;23.2;0.458594;124.529;74.6
43.52;23.3;0.458594;130.835;79.7
43.9785941;23.4;0.458594;130.835;82.5
44.43718821;24.1;0.446984;130.835;82.2
44.88417234;24.2;0.458594;134.233;82.8
45.34276644;24.3;0.470204;130.835;82.6
45.81297052;24.4;0.45356;127.604;84.5
46.26653061;25.1;0.475238;132.287;80.7
46.74176871;25.2;0.499229;126.253;82
47.24099773;25.3;0.510839;120.185;82.1
47.75183673;25.4;0.460408;117.454;80
48.2122449;26.1;0.52644;130.319;76.1
48.73868481;26.2;0.464399;113.973;78.5
49.2030839;26.3;0.464399;129.199;81.5
49.66748299;26.4;0.482177;129.199;80
50.14965986;27.1;0.494626;124.436;77.2
50.64428571;27.2;0.451224;121.304;79.2
51.0955102;27.3;0.452789;132.972;81.4
51.54829932;27.4;0.476009;132.512;83.5
52.02430839;28.1;0.528254;126.048;79.3
52.55256236;28.2;0.467256;113.582;83.1
53.01981859;28.3;0.490567;128.409;79.3
53.51038549;28.4;0.489615;122.307;84.8
54;29.1;0.514648;122.545;80.4
54.51464853;29.2;0.470204;116.584;83.8
54.98485261;29.3;0.476009;127.604;79.5
55.46086168;29.4;0.503787;126.048;84.5
55.96464853;30.1;0.425011;119.098;80.5
56.38965986;30.2;0.452789;141.173;82.8
56.84244898;30.3;0.458594;132.512;84
57.30104308;30.4;0.505034;130.835;83.8
57.8060771;31.1;0.487619;118.804;85.7
58.29369615;31.2;0.568889;123.047;82.7
58.86258503;31.3;0.446984;105.469;81.7
59.30956916;31.4;0.458594;134.233;81.5
59.76816327;32.1;0.45;130.835;81.5
60.21816327;32.2;0.490408;133.333;77
60.70857143;32.3;0.441179;122.347;80.3
61.14975057;32.4;0.446984;135.999;82.8
61.59673469;33.1;0.403265;134.233;81.7
62;33.2;0.509637;148.785;76.6
62.50963719;33.3;0.43746;117.731;81.2
62.94709751;33.4;0.477982;137.155;80.2
63.42507937;34.1;0.387166;125.528;82.1
63.8122449;34.2;0.489615;154.972;80.9
64.30185941;34.3;0.487619;122.545;79.3
64.78947846;34.4;0.551474;123.047;81.8
65.34095238;35.1;0.465488;108.799;83.5
65.80643991;35.2;0.440091;128.897;80.1
66.24653061;35.3;0.545669;136.336;77
66.79219955;35.4;0.435374;109.957;79.8
67.2275737;36.1;0.388934;137.812;80.7
67.61650794;36.2;0.522449;154.268;80.6
68.13895692;36.3;0.480907;114.844;76.3
68.61986395;36.4;0.413061;124.764;79.5
69.03292517;37.1;0.443197;145.257;80.2
69.47612245;37.2;0.508821;135.38;77.7
69.98494331;37.3;0.487619;117.92;79.1
70.47256236;37.4;0.557279;123.047;76.2
71.02984127;38.1;0.510839;107.666;69.4
71.54068027;38.2;0.441179;117.454;71.9
71.98185941;38.3;0.417959;135.999;74.7
72.39981859;38.4;0.505034;143.555;79.4
72.90485261;39.1;0.505034;118.804;77.8
73.40988662;39.2;0.452789;118.804;79.2
73.86267574;39.3;0.429569;132.512;77.8
74.2922449;39.4;0.510839;139.675;78.2
74.8030839;40.1;0.476009;117.454;80.6
75.27909297;40.2;0.510839;126.048;79.8
75.78993197;40.3;0.446984;117.454;80.5
76.2369161;40.4;0.505034;134.233;81.1
76.74195011;41.1;0.474263;118.804;83.5
77.21621315;41.2;0.48356;126.512;83.1
77.69977324;41.3;0.470204;124.08;82.9
78.16997732;41.4;0.510839;127.604;82.3
78.68081633;42.1;0.513605;117.454;83.1
79.19442177;42.2;0.563016;116.821;82.4
79.75743764;42.3;0.560839;106.569;78.2
80.31827664;42.4;0.469093;106.983;78.5
80.78736961;43.1;0.470862;127.906;73.2
81.25823129;43.2;0.452789;127.426;69.8
81.71102041;43.3;0.499229;132.512;68.4
82.21024943;43.4;0.487619;120.185;65.6
82.69786848;44.1;0.487619;123.047;59.8
83.18548753;44.2;0.464399;123.047;69.7
83.64988662;44.3;0.476009;129.199;68.5
84.12589569;44.4;0.499229;126.048;70.4
84.62512472;45.1;0.429569;120.185;69.1
85.05469388;45.2;0.441179;139.675;78
85.49587302;45.3;0.452789;135.999;74.2
85.94866213;45.4;0.441179;132.512;66.5
86.38984127;46.1;0.429569;135.999;68.1
86.81941043;46.2;0.452789;139.675;69
87.27219955;46.3;0.481814;132.512;77.5
87.75401361;46.4;0.435374;124.529;69.1
88.18938776;47.1;0.487619;137.812;75
88.6770068;47.2;0.441179;123.047;66.8
89.11818594;47.3;0.452789;135.999;71.2
89.57097506;47.4;0.481814;132.512;70.7
90.05278912;48.1;0.452789;124.529;73.1
90.50557823;48.2;0.452789;132.512;71.1
90.95836735;48.3;0.481814;132.512;73.4
91.44018141;48.4;0.459977;124.529;70.8
91.90015873;49.1;0.457211;130.441;75.8
92.35736961;49.2;0.441179;131.23;75.1
92.79854875;49.3;0.522449;135.999;76.4
93.32099773;49.4;0.452789;114.844;75.6
93.77378685;50.1;0.472562;132.512;78
94.24634921;50.2;0.479456;126.967;73.5
94.72580499;50.3;0.464399;125.142;76.7
95.19020408;50.4;0.551474;129.199;78.1
95.741678;51.1;0.476009;108.799;76.5
96.21768707;51.2;0.539864;126.048;73.9
96.75755102;51.3;0.481814;111.139;70.5
97.23936508;51.4;0.516644;124.529;70.1
97.75600907;52.1;0.464399;116.134;68.8
98.22040816;52.2;0.696599;129.199;65.4
98.9170068;52.3;0.601973;86.1328;64.7
99.51897959;52.4;0.814444;99.6723;58.8
100.333424;53.1;0.818503;73.6699;68.3
101.1519274;53.2;0.528254;73.3045;67.3
101.6801814;53.3;0.661769;113.582;67.9
102.3419501;53.4;0.609524;90.6661;69.9
102.9514739;54.1;0.516644;98.4375;76.7
103.4681179;54.2;0.523787;116.134;80.6
103.9919048;54.3;0.521111;114.55;80.3
104.5130159;54.4;0.509615;115.139;76.2
105.0226304;55.1;0.628163;117.736;81.5
105.6507937;55.2;0.510839;95.5166;79.9
106.1616327;55.3;0.516644;117.454;78
106.6782766;55.4;0.516644;116.134;78.9
107.1949206;56.1;0.499229;116.134;77.7
107.6941497;56.2;0.472313;120.185;78
108.1664626;56.3;0.595805;127.034;78.6
108.7622676;56.4;0.487619;100.704;76.2
109.2498866;57.1;0.568889;123.047;73.5
109.8187755;57.2;0.557279;105.469;75
110.3760544;57.3;0.580499;107.666;72.6
