Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
0.719818594;1;1.93887;0;75.1
2.658684807;2;1.76472;30.9459;65.9
4.42340136;3;1.76635;33.9998;69.2
6.189750566;4;1.65859;33.9684;68.4
7.848344671;5;1.84943;36.1752;79.1
9.697777777;6;1.74966;32.4424;64
11.44743764;7;1.79297;34.2924;68
13.24040816;8;1.69002;33.464;62
14.93043084;9;1.82803;35.5025;68.1
16.75845805;10;1.82912;32.8223;67.6
18.5875737;11;1.71828;32.8027;69.1
20.30585034;12;1.78794;34.9187;73.2
22.09378685;13;1.80921;33.5582;68.2
23.9029932;14;1.66218;33.1637;70
25.56517007;15;1.77633;36.0972;77
27.3414966;16;1.78794;33.7776;77.6
29.12943311;17;1.81116;33.5582;75.7
30.94058957;18;1.84599;33.128;74.2
32.78657596;19;1.76472;32.5029;73.3
34.55129252;20;1.83438;33.9998;72.1
36.38566893;21;1.77551;32.7087;68.2
38.16117914;22;1.8327;33.7931;74.4
39.99387755;23;1.76721;32.7386;75.3
41.76108844;24;1.81116;33.9518;73.9
43.5722449;25;2.07819;33.128;78.3
45.65043084;26;1.79569;28.8713;72.9
47.44612245;27;1.74535;33.4133;75.1
49.19147392;28;1.95048;34.377;74.6
51.14195011;29;1.93887;30.7617;79.6
53.08081633;30;1.92726;30.9459;77
55.00807256;31;1.91565;31.1323;80.4
56.92371882;32;1.70667;31.321;79.8
58.63038549;33;1.75311;35.1562;81.4
60.38349206;34;1.93887;34.225;80
62.32235828;35;1.8576;30.9459;80.9
64.17995465;36;1.68345;32.2998;80
65.86340136;37;1.79955;35.6412;80.9
67.66294785;38;1.91565;33.3417;71.5
69.5785941;39;1.94955;31.321;80.1
71.52814059;40;2.06751;30.7764;77.9
73.59564626;41;2.12463;29.0205;79.1
75.72027211;42;2.28717;28.2403;79.1
78.00743764;43;1.9737;26.2333;72.2
79.98113379;44;2.01109;30.3998;57.8
81.99222222;45;1.82166;29.8346;60
83.81387755;46;1.84454;32.9371;61
85.6584127;47;1.77633;32.5285;64.1
87.43473923;48;1.76095;33.7776;66.4
89.19569161;49;1.78141;34.0725;70
90.97709751;50;2.07687;33.6813;72.1
93.05396825;51;2.38005;28.8896;73.4
95.43401361;52;2.68798;25.2096;63.5
98.12199546;53;2.60617;22.3216;58.7
100.7281633;54;2.22989;23.0223;72.7
102.9580499;55;2.15456;26.9072;74.5
105.1126077;56;2.04533;27.8479;72.6
107.1579365;57;2.23127;29.3351;67.3
109.3892063;58;2.47293;26.8905;68.2
111.8621315;59;2.1407;24.2628;64.2
114.0028345;60;2.06132;28.0282;66.9
116.0641497;61;2.32279;29.1076;69.2
118.3869388;62;2.03175;25.831;58.1
120.4186848;63;2.0898;29.5312;64.7
122.5084807;64;2.10141;28.7109;66.1
124.6098866;65;2.34011;28.5523;71.6
126.95;66;2.45481;25.6398;72.2
129.4048073;67;2.34522;24.4418;71.6
131.7500227;68;2.41844;25.584;67
134.168458;69;2.59707;24.8094;65.3
136.7655329;70;2.05497;23.1029;66.8
138.8204989;71;2.24771;29.1976;74.4
141.0682086;72;2.00154;26.6938;60.2
143.0697506;73;2.0898;29.9769;69.3
145.1595465;74;2.322;28.7109;74
147.481542;75;3.27401;25.8398;66.6
150.7555556;76;1.79041;18.3261;61.3
152.5459637;77;1.74612;33.5119;65.1
154.2920862;78;1.69957;34.3619;69.2
155.9916553;79;1.72129;35.3031;71.1
157.7129478;80;1.75009;34.8575;76.7
159.4630385;81;1.70667;34.2839;69.4
161.1697052;82;1.72315;35.1562;70.4
162.8928571;83;1.75984;34.8199;72.2
164.6526984;84;1.66422;34.094;75.2
166.3169161;85;1.66785;36.053;75.7
167.9847619;86;1.68345;35.9745;78.2
169.6682086;87;1.67184;35.6412;77.8
171.3400454;88;1.67184;35.8887;75.2
173.0118821;89;1.66193;35.8887;74.7
174.6738095;90;1.68175;36.1027;79
176.3555556;91;1.76506;35.6772;79.4
178.1206122;92;1.62975;33.9932;72.1
179.7503628;93;1.61973;36.8154;73.5
181.3700907;94;1.78891;37.0433;81.5
183.1590023;95;2.69351;33.5399;79.7
185.852517;96;2.0898;22.2757;70
187.9423129;97;1.89243;28.7109;71.2
189.8347392;98;1.67184;31.7053;71.1
191.506576;99;1.81118;35.8887;83
193.3177551;100;1.64859;33.1276;71.4
194.9663492;101;1.72989;36.3946;81.2
196.6962358;102;1.70667;34.6844;77.4
198.4029025;103;1.6695;35.1562;77.2
200.0724036;104;1.75544;35.9389;73.6
201.8278458;105;2.6819;34.1794;75.7
204.5097506;106;2.19429;22.3722;67.4
206.7040363;107;2.322;27.3438;64.6
209.0260317;108;2.31039;25.8398;69.3
211.3364172;109;2.07819;25.9697;66
213.4146032;110;2.0229;28.8713;73.9
215.4375057;111;2.02934;29.6604;70.8
217.4668481;112;1.99655;29.5662;70.7
219.4634014;113;1.98531;30.0518;72.4
221.4487075;114;2.04562;30.222;74.6
223.4943311;115;1.94975;29.3309;80.7
225.4440816;116;1.71433;30.7732;71.9
227.1584127;117;1.68585;34.9991;73.6
228.844263;118;1.66023;35.5903;72.3
230.5044898;119;1.78794;36.1396;84
232.2924263;120;1.69098;33.5582;80.1
233.9834014;121;1.69914;35.4825;80.4
235.6825397;122;1.71828;35.312;75.1
237.4008163;123;2.34522;34.9187;80.2
239.7460317;124;1.95519;25.584;70.2
241.7012245;125;2.01542;30.6875;70.9
243.716644;126;1.93887;29.7705;68
245.6555102;127;2.29878;30.9459;70.5
247.9542857;128;2.29866;26.1009;73.5
250.2529478;129;2.3105;26.1021;71.1
252.5634467;130;2.20429;25.9684;66.3
254.7677324;131;2.70673;27.2197;65.5
257.4744671;132;1.99692;22.1669;64.6
259.4713832;133;1.86921;30.0463;60.6
261.3405896;134;1.89243;32.0992;64.7
263.2330159;135;1.81116;31.7053;62.6
265.0441723;136;1.86921;33.128;65.3
266.9133787;137;1.84599;32.0992;66.2
268.7593651;138;1.88082;32.5029;66.4
270.6401814;139;1.83576;31.901;70.6
272.475941;140;1.8446;32.684;69.1
274.3205442;141;1.71828;32.5273;70.2
276.0388209;142;1.79955;34.9187;75.5
277.8383673;143;1.8461;33.3417;77.8
279.6844671;144;1.81104;32.501;75.1
281.4955102;145;1.82277;33.1301;73.8
283.3182766;146;1.79955;32.917;77.2
285.1178231;147;1.85141;33.3417;71.5
286.969229;148;1.81735;32.4078;70.5
288.786576;149;1.84599;33.0152;73.3
290.6325624;150;1.76472;32.5029;72.9
292.3972789;151;1.83862;33.9998;74.2
294.2358957;152;2.21327;32.6332;79
296.449161;153;1.81673;27.1093;74.8
298.2658957;154;1.81036;33.0263;74.5
300.0762585;155;1.91086;33.1425;75.5
301.9871202;156;1.99692;31.3994;76.6
303.9840363;157;1.91565;30.0463;73.6
305.8996825;158;1.9298;31.321;79.8
307.8294785;159;1.76218;31.0914;81
309.5916553;160;1.75311;34.0488;78.4
311.3447619;161;1.96209;34.225;80
313.3068481;162;1.84599;30.5797;82.9
315.1528345;163;1.7415;32.5029;81
316.8943311;164;1.88082;34.4531;81.6
318.7751474;165;1.88082;31.901;70.7
320.6559637;166;1.88082;31.901;78.3
322.53678;167;2.10141;31.901;79.5
324.6381859;168;2.0898;28.5523;78.4
326.7279819;169;2.44971;28.7109;80.2
329.1776871;170;2.34522;24.4927;75.9
331.5229025;171;2.322;25.584;73.8
333.844898;172;2.21163;25.8398;71.4
336.0565306;173;2.35109;27.1293;67.4
338.407619;174;3.28562;25.5201;67.2
341.6932426;175;1.61379;18.2614;63.1
343.3070295;176;1.50492;37.1796;64
344.8119501;177;1.57483;39.8692;72.3
346.38678;178;1.57585;38.0994;66.2
347.9626304;179;1.56735;38.0747;70.6
349.5299773;180;1.60218;38.2812;72
351.1321542;181;1.61379;37.449;76.4
352.745941;182;1.68914;37.1796;72.5
354.4350794;183;1.53844;35.5211;71.2
355.9735147;184;1.59045;39.0007;75.7
357.5639683;185;1.56746;37.7251;71.1
359.1314286;186;1.57896;38.2785;76.8
360.7103855;187;1.64862;37.9998;78.2
362.3590023;188;1.82277;36.3941;74.3
364.1817687;189;1.63701;32.917;76.5
365.8187755;190;1.5093;36.6523;75.5
367.3280726;191;1.46286;39.7536;76.2
368.7909297;192;1.46286;41.0156;77.9
370.2537868;193;1.50361;41.0156;78.4
371.7573923;194;1.49177;39.9041;80
373.249161;195;1.52045;40.2207;80
374.7696145;196;1.41687;39.4619;80.9
376.1864853;197;2.12463;42.3468;82.8
378.3111111;198;0;28.2403;83.1
