Onset;Bar.Minim;Duration (s);Tempo (bpm);Intensity (dB)
0.719818594;1.1;1.09134;0;75.1
1.811156462;1.2;0.847528;54.9784;73.5
2.658684807;2.1;0.917188;70.7941;65.9
3.575873015;2.2;0.847528;65.4173;70
4.42340136;3.1;0.847528;70.7941;69.2
5.270929705;3.2;0.918821;70.7941;72.5
6.189750566;4.1;0.834286;65.3011;68.4
7.024036281;4.2;0.824308;71.9178;63.9
7.848344671;5.1;0.928934;72.7883;79.1
8.777278911;5.2;0.920499;64.5901;68.5
9.697777777;6.1;0.87356;65.182;64
10.57133787;6.2;0.8761;68.6845;66.7
11.44743764;7.1;0.874785;68.4854;68
12.32222222;7.2;0.918186;68.5883;63.4
13.24040816;8.1;0.875079;65.3462;62
14.11548753;8.2;0.814943;68.5652;67.9
14.93043084;9.1;0.940408;73.6248;68.1
15.870839;9.2;0.887619;63.8021;71.3
16.75845805;10.1;0.904467;67.5966;67.6
17.66292517;10.2;0.924649;66.3374;68.2
18.5875737;11.1;0.847528;64.8895;69.1
19.43510204;11.2;0.870748;70.7941;71.2
20.30585034;12.1;0.928798;68.9062;73.2
21.23464853;12.2;0.859138;64.5996;65.7
22.09378685;13.1;0.891542;69.8374;68.2
22.9853288;13.2;0.917664;67.2991;66.4
23.9029932;14.1;0.849478;65.3834;70
24.75247166;14.2;0.812698;70.6316;67.5
25.56517007;15.1;0.91644;73.8281;77
26.48160998;15.2;0.859887;65.4707;73.9
27.3414966;16.1;0.928798;69.7766;77.6
28.27029478;16.2;0.859138;64.5996;77
29.12943311;17.1;0.882358;69.8374;75.7
30.01179138;17.2;0.928798;67.9996;75.8
30.94058957;18.1;0.986848;64.5996;74.2
31.92743764;18.2;0.859138;60.7996;73.6
32.78657596;19.1;0.859138;69.8374;73.3
33.64571429;19.2;0.905578;69.8374;73.4
34.55129252;20.1;0.952018;66.256;72.1
35.50331066;20.2;0.882358;63.024;70.6
36.38566893;21.1;0.917188;67.9996;68.2
37.30285714;21.2;0.858322;65.4173;70.9
38.16117914;22.1;0.929614;69.9038;74.4
39.09079365;22.2;0.903084;64.5429;69.9
39.99387755;23.1;0.894059;66.439;75.3
40.88793651;23.2;0.873152;67.1097;72.9
41.76108844;24.1;0.928798;68.7166;73.9
42.68988662;24.2;0.882358;64.5996;76.1
43.5722449;25.1;0.98839;67.9996;78.3
44.56063492;25.2;1.0898;60.7048;80.4
45.65043084;26.1;0.789478;55.0562;72.9
46.4399093;26.2;1.00621;75.9995;76.4
47.44612245;27.1;0.837642;59.6295;75.1
48.28376417;27.2;0.90771;71.6297;79.2
49.19147392;28.1;0.963628;66.1004;74.6
50.15510204;28.2;0.986848;62.2647;70.5
51.14195011;29.1;1.02168;60.7996;79.6
52.16362812;29.2;0.917188;58.7269;75.1
53.08081633;30.1;0.952018;65.4173;77
54.03283447;30.2;0.975238;63.024;79.8
55.00807256;31.1;1.0449;61.5234;80.4
56.05297052;31.2;0.870748;57.4219;78
56.92371882;32.1;0.881202;68.9062;79.8
57.80492063;32.2;0.825465;68.0888;76.9
58.63038549;33.1;0.893968;72.6863;81.4
59.52435374;33.2;0.859138;67.1165;78.6
60.38349206;34.1;0.882358;69.8374;80
61.26585034;34.2;1.05651;67.9996;76.4
62.32235828;35.1;1.01007;56.7909;80.9
63.3324263;35.2;0.847528;59.4019;67.4
64.17995465;36.1;0.859274;70.7941;80
65.03922902;36.2;0.824172;69.8264;70.6
65.86340136;37.1;0.847528;72.8003;80.9
66.71092971;37.2;0.952018;70.7941;80.8
67.66294785;38.1;0.963628;63.024;71.5
68.62657596;38.2;0.952018;62.2647;76.7
69.5785941;39.1;0.998458;63.024;80.1
70.57705215;39.2;0.951088;60.0927;79
71.52814059;40.1;1.02261;63.0856;77.9
72.5507483;40.2;1.0449;58.6735;77.9
73.59564626;41.1;1.02168;57.4219;79.1
74.61732426;41.2;1.10295;58.7269;79
75.72027211;42.1;1.10295;54.3997;79.1
76.82321995;42.2;1.18422;54.3997;78.6
78.00743764;43.1;0.963628;50.6664;72.2
78.97106576;43.2;1.01007;62.2647;68.1
79.98113379;44.1;1.03329;59.4019;57.8
81.01442177;44.2;0.9778;58.0671;60.4
81.99222222;45.1;0.879796;61.3622;60
82.87201814;45.2;0.941859;68.1976;67
83.81387755;46.1;0.904127;63.7038;61
84.71800454;46.2;0.940408;66.3624;69.7
85.6584127;47.1;0.835918;63.8021;64.1
86.49433107;47.2;0.940408;71.7773;74.8
87.43473923;48.1;0.852086;63.8021;66.4
88.2868254;48.2;0.908866;70.4154;74.8
89.19569161;49.1;0.862903;66.0163;70
90.0585941;49.2;0.918503;69.5328;74.1
90.97709751;50.1;0.973923;65.3237;72.1
91.95102041;50.2;1.10295;61.6065;72.4
93.05396825;51.1;1.23238;54.3997;73.4
94.28634921;51.2;1.14766;48.6862;68.7
95.43401361;52.1;1.24227;52.2801;63.5
96.67628118;52.2;1.44571;48.2988;61.6
98.12199546;53.1;1.48;41.502;58.7
99.60199546;53.2;1.12617;40.5405;61.3
100.7281633;54.1;1.1224;53.278;72.7
101.8505669;54.2;1.10748;53.4567;70.1
102.9580499;55.1;1.07896;54.1769;74.5
104.0370068;55.2;1.0756;55.6093;75.5
105.1126077;56.1;0.967823;55.7828;72.6
106.0804308;56.2;1.07751;61.9948;72.2
107.1579365;57.1;1.23281;55.6842;67.3
108.3907483;57.2;0.998458;48.6692;64
109.3892063;58.1;1.17782;60.0927;68.2
110.5670295;58.2;1.2951;50.9414;67.2
111.8621315;59.1;1.10295;46.3284;64.2
112.9650794;59.2;1.03776;54.3997;64
114.0028345;60.1;1.04912;57.8171;66.9
115.0519501;60.2;1.0122;57.191;68
116.0641497;61.1;1.26628;59.2768;69.2
117.3304308;61.2;1.05651;47.3828;57.7
118.3869388;62.1;1.03934;56.7909;58.1
119.4262812;62.2;0.992404;57.7288;58.5
120.4186848;63.1;1.11456;60.4593;64.7
121.5332426;63.2;0.975238;53.833;63.7
122.5084807;64.1;1.09134;61.5234;66.1
123.5998186;64.2;1.01007;54.9784;67.4
124.6098866;65.1;1.13122;59.4019;71.6
125.7411111;65.2;1.20889;53.0399;59.9
126.95;66.1;1.25639;49.6324;72.2
128.2063946;66.2;1.19841;47.7557;62
129.4048073;67.1;1.14864;50.0662;71.6
130.5534467;67.2;1.19658;52.2357;61.9
