Onset;Note;Duration (s);Bar
8.384;1;0.533333;5
8.917333333;2;0.730667;5
9.648;3;0.128;5
9.776;4;0.154667;5
9.930666667;5;0.149333;5
10.08;6;0.144;5
10.224;7;0.1935;5
10.4175;8;0.1345;6
10.552;9;0.12;6
10.672;10;0.233;6
10.905;11;0.687;6
11.592;12;0.144;6
11.736;13;0.189;6
11.925;14;0.131;6
12.056;15;0.136;6
12.192;16;0.170667;6
12.36266667;17;0.149333;7
12.512;18;0.144;7
12.656;19;0.197333;7
12.85333333;20;0.690667;7
13.544;21;0.144;7
13.688;22;0.189333;7
13.87733333;23;0.642667;7
14.52;24;0.176;8
14.696;25;0.162667;8
14.85866667;26;0.133333;8
14.992;27;0.144;8
15.136;28;0.192;8
15.328;29;0.16;8
15.488;30;0.144;8
15.632;31;0.1555;8
15.7875;32;0.1245;8
15.912;33;0.112;8
16.024;34;0.266;8
16.29;35;0.742;9
17.032;36;0.344;9
17.376;37;0.224;9
17.6;38;0.245333;9
17.84533333;39;0.250667;9
18.096;40;0.229333;9
18.32533333;41;0.274667;10
18.6;42;0.472;10
19.072;43;0.2705;10
19.3425;44;0.2175;10
19.56;45;0.258667;10
19.81866667;46;0.229333;10
20.048;47;0.2245;10
20.2725;48;0.2155;11
20.488;49;0.488;11
20.976;50;0.325333;11
21.30133333;51;0.202667;11
21.504;52;0.496;11
22;53;0.272;11
22.272;54;0.24;12
22.512;55;0.250667;12
22.76266667;56;0.197333;12
22.96;57;0.250667;12
23.21066667;58;0.229333;12
23.44;59;0.249917;12
23.68991667;60;0.238083;12
23.928;61;0.239375;12
24.167375;62;0.240625;13
24.408;63;0.274667;13
24.68266667;64;0.509833;13
25.1925;65;0.2235;13
25.416;66;0.2715;13
25.6875;67;0.509833;13
26.19733333;68;0.146667;14
26.344;69;0.16;14
26.504;70;0.152;14
26.656;71;0.144;14
26.8;72;0.16;14
26.96;73;0.165333;14
27.12533333;74;0.154667;14
27.28;75;0.144;14
27.424;76;0.149333;14
27.57333333;77;0.138667;14
27.712;78;0.152;14
27.864;79;0.157333;14
28.02133333;80;0.242667;15
28.264;81;0.269333;15
28.53333333;82;0.468937;15
29.00227083;83;0.229729;15
29.232;84;0.227667;15
29.45966667;85;0.260333;15
29.72;86;0.221333;16
29.94133333;87;0.250667;16
30.192;88;0.261333;16
30.45333333;89;0.521667;16
30.975;90;0.470333;16
31.44533333;91;0.544;16
31.98933333;92;0.226667;17
32.216;93;0.274667;17
32.49066667;94;0.261333;17
32.752;95;0.2555;17
33.0075;96;0.475167;17
33.48266667;97;0.533333;17
34.016;98;0.232;18
34.248;99;0.28;18
34.528;100;0.248;18
34.776;101;0.264;18
35.04;102;0.248;18
35.288;103;0.210667;18
35.49866667;104;0.237333;18
35.736;105;0.253333;18
35.98933333;106;0.258667;19
36.248;107;0.2545;19
36.5025;108;0.468167;19
36.97066667;109;0.213333;19
37.184;110;0.3085;19
37.4925;111;0.480833;19
37.97333333;112;0.778667;20
38.752;113;0.278;20
39.03;114;0.218;20
39.248;115;0.262;20
39.51;116;0.234;20
39.744;117;0.2685;20
40.0125;118;0.2515;21
40.264;119;0.488;21
40.752;120;0.293333;21
41.04533333;121;0.226667;21
41.272;122;0.2405;21
41.5125;123;0.2475;21
41.76;124;0.256198;21
42.01619792;125;0.263802;22
42.28;126;0.488;22
42.768;127;0.277333;22
43.04533333;128;0.226667;22
43.272;129;0.253333;22
43.52533333;130;0.226667;22
43.752;131;0.318;22
44.07;132;0.226;23
44.296;133;0.488;23
44.784;134;0.261333;23
45.04533333;135;0.234667;23
45.28;136;0.245;23
45.525;137;0.227;23
45.752;138;0.2905;23
46.0425;139;0.2295;24
46.272;140;0.243;24
46.515;141;0.245;24
46.76;142;0.2725;24
47.0325;143;0.2235;24
47.256;144;0.266302;24
47.52230208;145;0.229698;24
47.752;146;0.2555;24
48.0075;147;0.2405;25
48.248;148;0.274719;25
48.52271875;149;0.269281;25
48.792;150;0.3105;25
49.1025;151;0.66;25
49.7625;152;2.0775;25
51.84;153;0.586177;26
52.42617708;154;1.50632;27
53.9325;155;0.5925;27
54.525;156;0.48;28
55.005;157;0.6;28
55.605;158;0.48;28
56.085;159;0.52049;28
56.60548958;160;0.64951;29
57.255;161;0.555;29
57.81;162;0.57;29
58.38;163;0.5175;29
58.8975;164;0.2865;30
59.184;165;0.2835;30
59.4675;166;0.2925;30
59.76;167;0.2625;30
60.0225;168;0.2575;30
60.28;169;0.2825;30
60.5625;170;0.72;30
61.2825;171;0.5925;31
61.875;172;0.685;31
62.56;173;0.152;31
62.712;174;0.1905;31
62.9025;175;0.1375;31
63.04;176;0.128;31
63.168;177;0.1845;31
63.3525;178;0.1675;32
63.52;179;0.16;32
63.68;180;0.1975;32
63.8775;181;0.6905;32
64.568;182;0.136;32
64.704;183;0.14951;32
64.85351042;184;0.17049;32
65.024;185;0.152;32
65.176;186;0.149;32
65.325;187;0.155;33
65.48;188;0.184;33
65.664;189;0.1935;33
65.8575;190;0.465;33
66.3225;191;0.1655;33
66.488;192;0.144;33
66.632;193;0.185687;33
66.8176875;194;0.479813;33
67.2975;195;0.1585;34
67.456;196;0.128;34
67.584;197;0.201;34
67.785;198;0.255;34
68.04;199;0.2325;34
68.2725;200;0.2475;34
68.52;201;0.255;34
68.775;202;0.5775;34
69.3525;203;0.6155;35
69.968;204;0.672;35
70.64;205;0.152;35
70.792;206;0.150833;35
70.94283333;207;0.137167;35
71.08;208;0.16;35
71.24;209;0.175;35
71.415;210;0.129;36
71.544;211;0.144;36
71.688;212;0.237;36
71.925;213;0.683;36
72.608;214;0.144;36
72.752;215;0.193;36
72.945;216;0.143;36
73.088;217;0.152;36
73.24;218;0.17;36
73.41;219;0.15;37
73.56;220;0.128;37
73.688;221;0.232;37
73.92;222;0.688;37
74.608;223;0.168;37
74.776;224;0.1565;37
74.9325;225;0.5925;37
75.525;226;0.6075;38
76.1325;227;0.4875;38
76.62;228;0.5325;38
77.1525;229;0.4725;38
77.625;230;1.071;39
78.696;231;1.029;39
79.725;232;0.99;40
80.715;233;1.0425;40
81.7575;234;1.035;41
82.7925;235;1.00952;41
83.80202083;236;1.00798;42
84.81;237;1.48333;42
86.29333333;238;0.511667;43
86.805;239;0.530448;43
87.33544792;240;0.909552;43
88.245;241;0.504354;44
88.74935417;242;0.634646;44
89.384;243;0.152;44
89.536;244;0.144;44
89.68;245;0.168;45
89.848;246;0.112;45
89.96;247;0.196417;45
90.15641667;248;0.473583;45
90.63;249;0.626;45
91.256;250;0.16;45
91.416;251;0.159;45
91.575;252;0.129;46
91.704;253;0.144;46
91.848;254;0.66176;46
92.50976042;255;0.49024;46
93;256;0.632;46
93.632;257;0.144;47
93.776;258;0.1765;47
93.9525;259;0.1435;47
94.096;260;0.12;47
94.216;261;0.224;47
94.44;262;0.4575;47
94.8975;263;0.6305;47
95.528;264;0.168;48
95.696;265;0.169;48
95.865;266;0.119;48
95.984;267;0.144;48
96.128;268;0.1795;48
96.3075;269;0.495;48
96.8025;270;0.6295;48
97.432;271;0.16;49
97.592;272;0.1705;49
97.7625;273;0.1255;49
97.888;274;0.168;49
98.056;275;0.194;49
98.25;276;0.486146;49
98.73614583;277;0.942354;49
99.6785;278;0.536333;50
100.2148333;279;1.00517;50
101.22;280;1.0725;51
102.2925;281;0.472104;51
102.7646042;282;0.547896;51
103.3125;283;1.095;52
104.4075;284;1.17;52
105.5775;285;0.3745;53
