Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
0.452789115;1;2.03175;0;77.3
2.484535147;2;1.79955;29.5312;77.7
4.284081632;3;2.01796;33.3417;76.5
6.302040816;4;1.73878;29.733;68.3
8.040816326;5;1.91837;34.507;76.8
9.959183673;6;1.83651;31.2766;76.1
11.79569161;7;1.81363;32.6707;72.8
13.60931973;8;1.74578;33.0829;68.9
15.35510204;9;1.80512;34.3685;75.7
17.16022676;10;1.75406;33.2387;74
18.91428571;11;1.7454;34.2064;75.3
20.65968254;12;1.68952;34.3761;71.9
22.34920635;13;1.7415;35.513;69.6
24.09070295;14;1.68345;34.4531;74.3
25.77414966;15;1.69506;35.6412;73
27.46920635;16;1.82875;35.397;79.6
29.29795918;17;1.74005;32.8092;82.5
31.03800454;18;1.74567;34.4819;77.8
32.78367347;19;1.73061;34.3708;78.9
34.51428571;20;1.79565;34.6698;79.7
36.30993197;21;1.76567;33.4142;73.8
38.07560091;22;1.74481;33.9815;76.8
39.82040816;23;1.77959;34.3878;77.6
41.6;24;1.81224;33.7156;79.9
43.4122449;25;2.06531;33.1081;82.3
45.47755102;26;1.80408;29.0514;75
47.28163265;27;1.60816;33.2579;76.9
48.88979592;28;1.80846;37.3096;75.1
50.69825397;29;1.75073;33.1774;77.6
52.44897959;30;1.7551;34.2715;77.6
54.20408163;31;1.74694;34.186;85.2
55.95102041;32;1.69796;34.3458;81.9
57.64897959;33;1.70612;35.3365;81
59.35510204;34;1.87755;35.1675;79.9
61.23265306;35;1.77143;31.9565;79.2
63.00408163;36;1.69796;33.871;80.3
64.70204082;37;1.8449;35.3365;82
66.54693878;38;1.73061;32.5221;70.5
68.27755102;39;1.74694;34.6698;74.9
70.0244898;40;1.71621;34.3458;76
71.74070295;41;1.66338;34.9607;76.1
73.40408163;42;1.83673;36.0712;77.2
75.24081633;43;1.88571;32.6667;67.2
77.12653061;44;1.8449;31.8182;56.3
78.97142857;45;1.69796;32.5221;60
80.66938776;46;1.68163;35.3365;62.1
82.35102041;47;1.64898;35.6796;66
84;48;1.65714;36.3861;68.6
85.65714286;49;1.68163;36.2069;72.7
87.33877551;50;1.88571;35.6796;72
89.2244898;51;1.92653;31.8182;66.7
91.15102041;52;2.24302;31.1441;68
93.39403628;53;2.08351;26.7497;60.5
95.47755102;54;1.86939;28.7975;68.5
97.34693878;55;1.82567;32.0961;76.5
99.17260771;56;1.9417;32.8647;72.5
101.1143084;57;1.97957;30.9007;68.3
103.0938776;58;2.0995;30.3096;67.3
105.1933787;59;1.99029;28.5782;61.7
107.1836735;60;1.88571;30.1463;69.3
109.0693878;61;2.19592;31.8182;73.3
111.2653061;62;2.04082;27.3234;71.9
113.3061224;63;2.13061;29.4;62.1
115.4367347;64;1.99184;28.1609;72.9
117.4285714;65;2.06531;30.123;76.9
119.4938776;66;2.29388;29.0514;76.2
121.7877551;67;2.09796;26.1566;71.5
123.8857143;68;1.97551;28.5992;76.8
125.8612245;69;2.45714;30.3719;72.7
128.3183673;70;2.01633;24.4186;68.2
130.3346939;71;2.04082;29.7571;73.8
132.3755102;72;2.09796;29.4;65.3
134.4734694;73;2.07347;28.5992;66.4
136.5469388;74;2.31351;28.937;70.3
138.8604535;75;2.57628;25.9346;64.5
141.4367347;76;1.83732;23.2894;62.3
143.274059;77;1.66472;32.6562;66
144.9387755;78;1.64898;36.0422;70.4
146.5877551;79;1.6;36.3861;74.8
148.1877551;80;1.57551;37.5;78.1
149.7632653;81;1.48571;38.0829;75.4
151.2489796;82;1.54286;40.3846;73
152.7918367;83;1.4919;38.8889;77
154.2837415;84;1.47837;40.217;78.3
155.7621088;85;1.44605;40.5853;76.3
157.2081633;86;1.42884;41.4922;77.4
158.6370068;87;1.42014;41.992;80.3
160.0571429;88;1.37959;42.2495;81.3
161.4367347;89;1.4256;43.4911;79.1
162.8623356;90;1.42338;42.0875;82.5
164.2857143;91;1.6898;42.1532;82.9
165.9755102;92;1.4449;35.5072;74.6
167.4204082;93;1.42041;41.5254;80.6
168.8408163;94;1.54286;42.2414;82
