Onset;Note;Duration (s)
0.452789116;1;0.559456
1.012244898;2;0.798912
1.811156463;3;0.13932
1.95047619;4;0.15093
2.101405896;5;0.110295
2.21170068;6;0.156735
2.368435374;7;0.1161
2.484535147;8;0.145125
2.629659864;9;0.130612
2.760272109;10;0.129524
2.889795918;11;0.697687
3.587482993;12;0.148027
3.735510204;13;0.130612
3.866122449;14;0.148027
4.01414966;15;0.130612
4.144761905;16;0.13932
4.284081633;17;0.121905
4.405986395;18;0.130612
4.536598639;19;0.157279
4.693877551;20;0.722177
5.416054422;21;0.148027
5.564081633;22;0.159637
5.723718821;23;0.745941
6.469659864;24;0.191565
6.66122449;25;0.153832
6.815056689;26;0.124807
6.939863946;27;0.148027
7.087891156;28;0.128435
7.216326531;29;0.141497
7.357823129;30;0.13932
7.497142857;31;0.13551
7.632653061;32;0.134422
7.76707483;33;0.13932
7.906394558;34;0.134422
8.040816327;35;0.522449
8.563265306;36;0.283537
8.846802721;37;0.24381
9.090612245;38;0.217687
9.30829932;39;0.223991
9.532290249;40;0.202676
9.734965986;41;0.224218
9.959183673;42;0.211156
10.17034014;43;0.513741
10.68408163;44;0.205896
10.88997732;45;0.212063
11.10204082;46;0.252517
11.35455782;47;0.217687
11.5722449;48;0.223447
11.79569161;49;0.194512
11.99020408;50;0.478912
12.46911565;51;0.15093
12.62004535;52;0.19737
12.81741497;53;0.574694
13.39210884;54;0.217211
13.60931973;55;0.200748
13.81006803;56;0.255238
14.06530612;57;0.197551
14.26285714;58;0.212041
14.47489796;59;0.223333
14.69823129;60;0.207143
14.90537415;61;0.236939
15.14231293;62;0.212789
15.35510204;63;0.222585
15.57768708;64;0.259048
15.83673469;65;0.280816
16.11755102;66;0.182857
16.30040816;67;0.226395
16.52680272;68;0.0957823
16.62258503;69;0.119002
16.7415873;70;0.133515
16.87510204;71;0.130612
17.00571429;72;0.154512
17.16022676;73;0.150249
17.31047619;74;0.10449
17.41496599;75;0.0522449
17.46721088;76;0.149116
17.61632653;77;0.207891
17.82421769;78;0.216599
18.04081633;79;0.140408
18.18122449;80;0.130612
18.31183674;81;0.148027
18.45986395;82;0.148027
18.60789116;83;0.130612
18.7385034;84;0.175782
18.91428571;85;0.12898
19.04326531;86;0.0783673
19.12163265;87;0.0522449
19.17387755;88;0.145125
19.31900227;89;0.229297
19.54829932;90;0.218073
19.76637188;91;0.138934
19.90530612;92;0.0870748
19.99238095;93;0.0435374
20.03591837;94;0.177052
20.21297052;95;0.2322
20.44517007;96;0.214512
20.65968254;97;0.168617
20.82829932;98;0.0696599
20.89795918;99;0.0522449
20.95020408;100;0.16195
21.1121542;101;0.125397
21.23755102;102;0.121905
21.35945578;103;0.153832
21.51328798;104;0.142222
21.6555102;105;0.0522449
21.7077551;106;0.0609524
21.76870748;107;0.17415
21.94285714;108;0.13932
22.08217687;109;0.113197
22.19537415;110;0.153832
22.34920635;111;0.15093
22.50013605;112;0.0870748
22.58721088;113;0.0696599
22.65687075;114;0.154807
22.81167801;115;0.13254
22.94421769;116;0.130612
23.07482993;117;0.158413
23.23324263;118;0.128934
23.36217687;119;0.0957823
23.45795918;120;0.0609524
23.51891157;121;0.131134
23.65004535;122;0.130091
23.78013605;123;0.130612
23.9107483;124;0.179955
24.09070295;125;0.142222
24.23292517;126;0.0696599
24.30258503;127;0.0696599
24.3722449;128;0.159637
24.53188209;129;0.101587
24.63346939;130;0.156735
24.79020408;131;0.148027
24.93823129;132;0.121905
25.06013605;133;0.0783673
25.1385034;134;0.0696599
25.20816327;135;0.159637
25.36780045;136;0.12771
25.4955102;137;0.130612
25.62612245;138;0.148027
25.77414966;139;0.130612
25.90476191;140;0.0957823
26.00054422;141;0.0522449
26.05278912;142;0.12771
26.18049887;143;0.15093
26.33142857;144;0.0696599
26.40108844;145;0.0522449
26.45333333;146;0.169161
26.62249433;147;0.135601
26.75809524;148;0.0696599
26.8277551;149;0.0870748
26.91482993;150;0.131361
27.04619048;151;0.147279
27.19346939;152;0.0783673
27.27183674;153;0.0435374
27.31537415;154;0.153832
27.46920635;155;0.133515
27.60272109;156;0.13932
27.74204082;157;0.18449
27.92653061;158;0.268299
28.19482993;159;0.213333
28.40816327;160;0.152381
28.56054422;161;0.0522449
28.61278912;162;0.0522449
28.66503401;163;0.167619
28.83265306;164;0.154558
28.98721088;165;0.0522449
29.03945578;166;0.0957823
29.1352381;167;0.162721
29.29795918;168;0.142041
29.44;169;0.10449
29.5444898;170;0.0522449
29.59673469;171;0.149569
29.74630386;172;0.242268
29.98857143;173;0.207347
30.19591837;174;0.158367
30.35428571;175;0.0870748
30.44136054;176;0.0696599
30.51102041;177;0.125714
30.63673469;178;0.152925
30.78965986;179;0.0696599
30.85931973;180;0.0696599
30.92897959;181;0.109025
31.03800454;182;0.143492
31.1814966;183;0.0783673
31.25986395;184;0.0435374
31.30340136;185;0.17415
31.47755102;186;0.217687
31.6952381;187;0.214966
31.91020408;188;0.168163
32.07836735;189;0.0609524
32.13931973;190;0.0435374
32.18285714;191;0.18449
32.36734694;192;0.233469
32.60081633;193;0.182857
32.78367347;194;0.156735
32.94040816;195;0.10449
33.04489796;196;0.0435374
33.08843537;197;0.136054
33.2244898;198;0.142585
33.36707483;199;0.0696599
33.43673469;200;0.0609524
33.49768708;201;0.17551
33.67319728;202;0.129252
33.80244898;203;0.0522449
33.85469388;204;0.0609524
33.91564626;205;0.17415
34.08979592;206;0.10449
34.19428571;207;0.0783673
34.27265306;208;0.0522449
34.32489796;209;0.189388
34.51428571;210;0.237279
34.75156463;211;0.211701
34.96326531;212;0.206259
35.16952381;213;0.27576
35.44528345;214;0.440431
35.88571429;215;0.424218
36.30993197;216;0.235374
36.54530612;217;0.230204
36.7755102;218;0.179048
36.95455782;219;0.253605
37.20816327;220;0.44898
37.65714286;221;0.418458
38.07560091;222;0.219909
38.2955102;223;0.212766
38.50827664;224;0.17907
38.68734694;225;0.259592
38.94693878;226;0.440816
39.3877551;227;0.432653
39.82040816;228;0.207891
40.02829932;229;0.216599
40.24489796;230;0.192653
40.43755102;231;0.259274
40.6968254;232;0.454195
41.15102041;233;0.914286
42.06530612;234;0.897959
42.96326531;235;0.938776
43.90204082;236;0.514286
44.41632653;237;1.21088
45.62721088;238;0.156735
45.78394558;239;0.158912
45.94285714;240;0.128435
46.07129252;241;0.130612
46.20190476;242;0.140952
46.34285714;243;0.120272
46.46312925;244;0.13932
46.60244898;245;0.156984
46.75943311;246;0.644104
47.40353742;247;0.148027
47.55156463;248;0.121905
47.67346939;249;0.121905
47.79537415;250;0.130612
47.9259864;251;0.13932
48.06530612;252;0.121905
48.18721088;253;0.130612
48.31782313;254;0.13932
48.45714286;255;0.618231
49.07537415;256;0.130612
49.2059864;257;0.164807
49.37079365;258;0.601451
49.9722449;259;0.130612
50.10285714;260;0.142041
50.24489796;261;0.61551
50.86040816;262;0.13932
50.99972789;263;0.143129
51.14285714;264;0.597007
51.73986395;265;0.156735
51.89659864;266;0.144218
52.04081633;267;0.552381
52.59319728;268;0.200272
52.79346939;269;0.137143
52.93061225;270;0.158912
53.08952381;271;0.121905
53.21142857;272;0.15619
53.36761905;273;0.131156
53.49877551;274;0.130612
53.62938776;275;0.133878
53.76326531;276;0.136054
53.89931973;277;0.156735
54.05605442;278;0.148027
54.20408163;279;0.535079
54.739161;280;0.144104
54.88326531;281;0.130612
55.01387755;282;0.153469
55.16734694;283;0.127347
55.29469388;284;0.137143
55.43183674;285;0.143673
55.5755102;286;0.137143
55.71265306;287;0.10449
55.81714286;288;0.133878
55.95102041;289;0.551837
56.50285714;290;0.11102
56.61387755;291;0.12898
56.74285714;292;0.119184
56.86204082;293;0.143673
57.00571429;294;0.226939
57.23265306;295;0.125714
57.35836735;296;0.143673
57.50204082;297;0.146939
57.64897959;298;0.383673
58.03265306;299;0.233469
58.26612245;300;0.124082
58.39020408;301;0.140408
58.53061225;302;0.391837
58.92244898;303;0.16
59.08244898;304;0.143673
59.22612245;305;0.12898
59.35510204;306;0.44898
59.80408163;307;0.127347
59.93142857;308;0.11102
60.04244898;309;0.12898
60.17142857;310;0.282449
60.45387755;311;0.258844
60.71272109;312;0.263605
60.97632653;313;0.256327
61.23265306;314;0.67102
61.90367347;315;0.156735
62.06040816;316;0.119184
62.17959184;317;0.142041
62.32163265;318;0.156735
62.47836735;319;0.117551
62.59591837;320;0.143673
62.73959184;321;0.143673
62.88326531;322;0.120816
63.00408163;323;0.473469
63.47755102;324;0.143673
63.62122449;325;0.150204
63.77142857;326;0.130612
63.90204082;327;0.124082
64.02612245;328;0.130612
64.15673469;329;0.145306
64.30204082;330;0.12898
64.43102041;331;0.130612
64.56163265;332;0.140408
64.70204082;333;0.44898
