Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
0.661768707;1.1;0.592109;0;76.7
1.253877551;1.2;0.650159;101.333;83.1
1.904036281;1.3;0.441179;92.2852;74.8
2.345215419;1.4;0.441179;135.999;75
2.786394557;2.1;0.417959;135.999;76.5
3.204353741;2.2;0.557279;143.555;74.8
3.761632653;2.3;0.464399;107.666;71.1
4.226031746;2.4;0.394739;129.199;73.4
4.620770975;3.1;0.441179;151.999;74.9
5.061950113;3.2;0.557279;135.999;75.2
5.619229024;3.3;0.476009;107.666;67.3
6.095238095;3.4;0.592109;126.048;73.6
6.687346938;4.1;0.476009;101.333;65.7
7.163356009;4.2;0.406349;126.048;70.7
7.569705215;4.3;0.452789;147.656;74.2
8.022494331;4.4;0.439637;132.512;68.9
8.462131519;5.1;0.558821;136.476;79.8
9.02095238;5.2;0.522449;107.369;78.7
9.54340136;5.3;0.499229;114.844;75.1
10.04263039;5.4;0.464399;120.185;72.1
10.50702948;6.1;0.476009;129.199;75.4
10.98303855;6.2;0.506825;126.048;72.7
11.48986395;6.3;0.480023;118.384;71.5
11.96988662;6.4;0.39746;124.994;72.1
12.36734694;7.1;0.488413;150.958;75.9
12.85575964;7.2;0.51619;122.847;70.8
13.37195011;7.3;0.481179;116.236;72.2
13.85312925;7.4;0.498435;124.694;69.6
14.35156463;8.1;0.439546;120.377;66.6
14.79111111;8.2;0.476009;136.504;70.3
15.26712018;8.3;0.464399;126.048;74
15.73151927;8.4;0.452789;129.199;74
16.18430839;9.1;0.522449;132.512;76.6
16.70675737;9.2;0.441179;114.844;77.5
17.14793651;9.3;0.487619;135.999;74.4
17.63555556;9.4;0.447007;123.047;76.2
18.08256236;10.1;0.435351;134.226;75.2
18.51791383;10.2;0.49585;137.82;73.6
19.01376417;10.3;0.444558;121.004;75.4
19.458322;10.4;0.441179;134.966;76
19.89950113;11.1;0.464399;135.999;77.4
20.36390023;11.2;0.469841;129.199;71.6
20.8337415;11.3;0.470567;127.703;76.2
21.30430839;11.4;0.452789;127.506;76.6
21.75709751;12.1;0.510839;132.512;75.7
22.26793651;12.2;0.441179;117.454;76.1
22.70911565;12.3;0.46068;135.999;75.3
23.16979592;12.4;0.459546;130.242;74.7
23.6293424;13.1;0.475465;130.564;73.6
24.10480726;13.2;0.466916;126.192;75.6
24.57172336;13.3;0.461111;128.503;75.2
25.03283447;13.4;0.439456;130.12;76.6
25.47229025;14.1;0.487619;136.533;75.5
25.9599093;14.2;0.464399;123.047;77.4
26.42430839;14.3;0.429569;129.199;77.9
26.85387755;14.4;0.464399;139.675;77.2
27.31827664;15.1;0.455102;129.199;74.9
27.77337868;15.2;0.450476;131.839;77.4
28.22385488;15.3;0.452789;133.192;74
28.67664399;15.4;0.449116;132.512;77.3
29.12575964;16.1;0.514512;133.596;79.4
29.64027211;16.2;0.522449;116.615;82.7
30.16272109;16.3;0.477098;114.844;79.5
30.63981859;16.4;0.451701;125.76;77.4
31.09151927;17.1;0.441179;132.831;77.1
31.53269841;17.2;0.487619;135.999;79.6
32.02031746;17.3;0.452789;123.047;76.9
32.47310658;17.4;0.452789;132.512;79.7
32.92589569;18.1;0.481429;132.512;77.7
33.40732426;18.2;0.4822;124.629;78
33.88952381;18.3;0.452789;124.43;75.4
34.34231293;18.4;0.522449;132.512;77.5
34.8647619;19.1;0.499229;114.844;76.3
35.36399093;19.2;0.487619;120.185;76.8
35.85160998;19.3;0.383129;123.047;76.3
36.23473923;19.4;0.45932;156.605;75.4
36.69405896;20.1;0.469478;130.628;75
37.16353741;20.2;0.495964;127.801;75.5
37.65950113;20.3;0.479274;120.977;77.5
38.13877551;20.4;0.455488;125.189;78.7
38.59426304;21.1;0.519751;131.727;75.2
39.11401361;21.2;0.499229;115.44;77.6
39.61324263;21.3;0.476009;120.185;78.8
40.0892517;21.4;0.456893;126.048;77.8
40.54614512;22.1;0.495125;131.322;78.6
41.04126984;22.2;0.484603;121.182;74.7
41.52587302;22.3;0.467415;123.813;80.8
41.99328798;22.4;0.441179;128.366;79.7
42.43446712;23.1;0.522449;135.999;80.1
42.9569161;23.2;0.487619;114.844;77.9
43.44453515;23.3;0.478231;123.047;81.7
43.92276644;23.4;0.531837;125.462;83.4
44.45460317;24.1;0.489796;112.817;79.5
44.94439909;24.2;0.485442;122.5;81.3
45.42984127;24.3;0.501156;123.599;80.3
45.93099773;24.4;0.485692;119.723;82.6
46.41668934;25.1;0.513923;123.535;80.5
46.93061224;25.2;0.554195;116.749;82.4
47.48480726;25.3;0.557279;108.265;84.4
48.04208617;25.4;0.55195;107.666;77.5
48.59403628;26.1;0.499524;108.705;74.8
49.09356009;26.2;0.394218;120.114;79.2
49.48777778;26.3;0.458073;152.2;80
49.94585034;26.4;0.501043;130.984;79.8
50.44689342;27.1;0.502834;119.75;75.6
50.94972789;27.2;0.423878;119.324;78.6
51.37360544;27.3;0.42195;141.55;79.5
51.79555556;27.4;0.497619;142.197;79.5
52.2931746;28.1;0.485782;120.574;76.1
52.77895692;28.2;0.487619;123.512;80.9
53.26657596;28.3;0.452789;123.047;80.1
53.71936508;28.4;0.506304;132.512;81.8
54.22566893;29.1;0.468934;118.506;77.1
54.69460317;29.2;0.464399;127.95;80.6
55.15900227;29.3;0.493356;129.199;76.7
55.65235828;29.4;0.528322;121.616;81.1
