Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
0.326530612;1.1;0.644898;0;78.5
0.971428571;1.2;0.522449;93.038;82.3
1.493877551;1.3;0.473469;114.844;73.2
1.967346938;1.4;0.424308;126.724;73.6
2.391655328;2.1;0.429569;141.407;74.5
2.821224489;2.2;0.509388;139.675;80.3
3.330612244;2.3;0.432653;117.788;73.2
3.763265306;2.4;0.391837;138.679;72.5
4.15510204;3.1;0.432834;153.125;75.4
4.587936507;3.2;0.465125;138.621;80.4
5.053061224;3.3;0.465306;128.998;69.5
5.518367346;3.4;0.473469;128.947;79.4
5.991836734;4.1;0.489796;126.724;69.8
6.481632653;4.2;0.4;122.5;73
6.881632653;4.3;0.391837;150;75.1
7.273469387;4.4;0.440816;153.125;71.9
7.714285714;5.1;0.497959;136.111;81.2
8.212244897;5.2;0.497959;120.492;77.5
8.710204081;5.3;0.408503;120.492;69.3
9.118707482;5.4;0.39966;146.878;71.6
9.518367346;6.1;0.481633;150.128;68.8
10;6.2;0.400726;124.576;71.5
10.40072562;6.3;0.425329;149.728;67.4
10.82605442;6.4;0.396576;141.067;70.4
11.22263039;7.1;0.388186;151.295;71.3
11.61081633;7.2;0.455465;154.565;72.3
12.06628118;7.3;0.428753;131.734;71.7
12.49503401;7.4;0.411088;139.941;66.3
12.90612245;8.1;0.440816;145.954;72.4
13.34693878;8.2;0.400703;136.111;70.4
13.74764172;8.3;0.382971;149.737;68.5
14.13061224;8.4;0.416327;156.67;74.8
14.54693878;9.1;0.474898;144.118;76.9
15.02183673;9.2;0.489637;126.343;80
15.51147392;9.3;0.42322;122.54;77.9
15.93469388;9.4;0.4;141.77;77.6
16.33469388;10.1;0.44898;150;78.1
16.78367347;10.2;0.457143;133.636;77.8
17.24081633;10.3;0.432653;131.25;75.2
17.67346939;10.4;0.440816;138.679;77.7
18.11428571;11.1;0.432653;136.111;77.5
18.54693878;11.2;0.423764;138.679;76.3
18.97070295;11.3;0.433379;141.588;73.1
19.40408163;11.4;0.440816;138.447;72.2
19.84489796;12.1;0.432653;136.111;70.5
20.27755102;12.2;0.440816;138.679;72.8
20.71836735;12.3;0.416327;136.111;76.6
21.13469388;12.4;0.44898;144.118;77.9
21.58367347;13.1;0.481633;133.636;73.2
22.06530612;13.2;0.436735;124.576;76.1
22.50204082;13.3;0.493878;137.383;75
22.99591837;13.4;0.44898;121.488;75.2
23.44489796;14.1;0.432653;133.636;73
23.87755102;14.2;0.416327;138.679;74.1
24.29387755;14.3;0.429569;144.118;73
24.72344671;14.4;0.370431;139.675;76.4
25.09387755;15.1;0.473469;161.974;75.9
25.56734694;15.2;0.432653;126.724;76.4
26;15.3;0.440816;138.679;78.6
26.44081633;15.4;0.442086;136.111;74.7
26.88290249;16.1;0.48576;135.72;82.9
27.36866213;16.2;0.459909;123.518;81.8
27.82857143;16.3;0.456077;130.461;79.6
28.28464853;16.4;0.433719;131.557;77.9
28.71836735;17.1;0.44898;138.338;78.4
