Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
0.098684807;1.1;0.595193;0;77.7
0.693877551;1.2;0.579592;100.808;80.1
1.273469387;1.3;0.520272;103.521;71.7
1.793741496;1.4;0.417959;115.324;75.6
2.21170068;2.1;0.43746;143.555;74.3
2.649160997;2.2;0.534512;137.155;74.4
3.183673469;2.3;0.465306;112.252;68.1
3.648979591;2.4;0.440816;128.947;72.6
4.089795918;3.1;0.416327;136.111;74.8
4.506122448;3.2;0.546939;144.118;75.2
5.053061224;3.3;0.506122;109.701;72.2
5.559183673;3.4;0.473469;118.548;71.5
6.032653061;4.1;0.530612;126.724;60.4
6.563265306;4.2;0.457143;113.077;73.6
7.020408163;4.3;0.465306;131.25;73.3
7.485714285;4.4;0.465306;128.947;72.5
7.951020408;5.1;0.538776;128.947;79.3
8.489795918;5.2;0.538776;111.364;75.7
9.028571428;5.3;0.489796;111.364;74.2
9.518367346;5.4;0.530612;122.5;72.8
10.04897959;6.1;0.481633;113.077;76.8
10.53061224;6.2;0.538776;124.576;71.9
11.06938776;6.3;0.465306;111.364;72.5
11.53469388;6.4;0.506122;128.947;74
12.04081633;7.1;0.506122;118.548;79.3
12.54693878;7.2;0.514286;118.548;81.4
13.06122449;7.3;0.530612;116.667;74.8
13.59183673;7.4;0.506122;113.077;80.6
14.09795918;8.1;0.473469;118.548;73.2
14.57142857;8.2;0.514286;126.724;71.8
15.08571429;8.3;0.44898;116.667;75
15.53469388;8.4;0.546463;133.636;84.2
16.08115646;9.1;0.539252;109.797;82.2
16.62040816;9.2;0.506122;111.265;78.3
17.12653061;9.3;0.497959;118.548;74
17.6244898;9.4;0.481633;120.492;73.9
18.10612245;10.1;0.522449;124.576;73.8
18.62857143;10.2;0.457143;114.844;76.1
19.08571429;10.3;0.500862;131.25;70.9
19.58657596;10.4;0.50322;119.794;73.3
20.08979592;11.1;0.458277;119.232;73.9
20.54807256;11.2;0.472336;130.925;76.8
21.02040816;11.3;0.497959;127.028;75.3
21.51836735;11.4;0.497959;120.492;75.9
22.01632653;12.1;0.466485;120.492;73.8
22.48281179;12.2;0.471769;128.621;73.5
22.9545805;12.3;0.482154;127.181;80.9
23.43673469;12.4;0.465306;124.442;74.8
23.90204082;13.1;0.506122;128.947;77.4
24.40816327;13.2;0.465306;118.548;82.4
24.87346939;13.3;0.506122;128.947;73.9
25.37959184;13.4;0.507211;118.548;75.8
25.88680272;14.1;0.480544;118.294;81.6
26.36734694;14.2;0.465306;124.858;75.2
26.83265306;14.3;0.481633;128.947;74.1
27.31428571;14.4;0.489796;124.576;78.2
27.80408163;15.1;0.432653;122.5;77.5
28.23673469;15.2;0.489796;138.679;81.3
28.72653061;15.3;0.458118;122.5;77.8
29.18464853;15.4;0.470045;130.971;76.4
29.65469388;16.1;0.500408;127.647;82.1
30.15510204;16.2;0.506122;119.902;80.9
30.66122449;16.3;0.489796;118.548;79.9
31.15102041;16.4;0.465306;122.5;76
31.61632653;17.1;0.481633;128.947;80.5
32.09795918;17.2;0.522449;124.576;78.8
32.62040816;17.3;0.473469;114.844;79.1
33.09387755;17.4;0.473469;126.724;77.9
33.56734694;18.1;0.465306;126.724;77.8
34.03265306;18.2;0.488118;128.947;79.5
34.52077098;18.3;0.479229;122.921;77.9
35;18.4;0.453061;125.201;78.7
35.45306122;19.1;0.522449;132.432;75
35.9755102;19.2;0.44898;114.844;78.7
36.4244898;19.3;0.457143;133.636;78.2
36.88163265;19.4;0.489796;131.25;79.1
37.37142857;20.1;0.546939;122.5;83.5
37.91836735;20.2;0.514286;109.701;71.1
38.43265306;20.3;0.465306;116.667;69.8
38.89795918;20.4;0.473469;128.947;70.8
39.37142857;21.1;0.555102;126.724;76.6
39.92653061;21.2;0.473469;108.088;70.7
40.4;21.3;0.489796;126.724;73.7
40.88979592;21.4;0.481633;122.5;73.8
41.37142857;22.1;0.473469;124.576;76.4
41.84489796;22.2;0.530612;126.724;69.1
42.3755102;22.3;0.481633;113.077;77.3
42.85714286;22.4;0.465306;124.576;75.4
43.32244898;23.1;0.487483;128.947;76.7
43.80993197;23.2;0.500272;123.081;73.6
44.31020408;23.3;0.460499;119.935;76.4
44.77070295;23.4;0.486961;130.293;80
45.2576644;24.1;0.489274;123.213;79.3
45.74693878;24.2;0.473469;122.631;79.9
46.22040816;24.3;0.44898;126.724;80.2
46.66938776;24.4;0.482313;133.636;79.7
47.15170068;25.1;0.497279;124.401;78
47.64897959;25.2;0.542063;120.657;80.7
48.19104308;25.3;0.597143;110.688;82.8
48.78818594;25.4;0.542426;100.478;77.6
49.33061224;26.1;0.506122;110.614;78
