Onset;Bar.Minim;Duration (s);Tempo (bpm);Intensity (dB)
0.098684807;1.1;1.17478;0;77.7
1.273469387;1.2;0.938231;51.0732;71.7
2.21170068;2.1;0.971973;63.9501;74.3
3.183673469;2.2;0.906122;61.7301;68.1
4.089795918;3.1;0.963265;66.2162;74.8
5.053061224;3.2;0.979592;62.2881;72.2
6.032653061;4.1;0.987755;61.25;60.4
7.020408163;4.2;0.930612;60.7438;73.3
7.951020408;5.1;1.07755;64.4737;79.3
9.028571428;5.2;1.02041;55.6818;74.2
10.04897959;6.1;1.02041;58.8;76.8
11.06938776;6.2;0.971429;58.8;72.5
12.04081633;7.1;1.02041;61.7647;79.3
13.06122449;7.2;1.03673;58.8;74.8
14.09795918;8.1;0.987755;57.874;73.2
15.08571429;8.2;0.995442;60.7438;75
16.08115646;9.1;1.04537;60.2747;82.2
17.12653061;9.2;0.979592;57.3957;74
18.10612245;10.1;0.979592;61.25;73.8
19.08571429;10.2;1.00408;61.25;70.9
20.08979592;11.1;0.930612;59.7561;73.9
21.02040816;11.2;0.995918;64.4737;75.3
22.01632653;12.1;0.938254;60.2459;73.8
22.9545805;12.2;0.94746;63.9486;80.9
23.90204082;13.1;0.971429;63.3272;77.4
24.87346939;13.2;1.01333;61.7647;73.9
25.88680272;14.1;0.94585;59.2105;81.6
26.83265306;14.2;0.971429;63.435;74.1
27.80408163;15.1;0.922449;61.7647;77.5
28.72653061;15.2;0.928163;65.0443;77.8
29.65469388;16.1;1.00653;64.6438;82.1
30.66122449;16.2;0.955102;59.6107;79.9
31.61632653;17.1;1.00408;62.8205;80.5
32.62040816;17.2;0.946939;59.7561;79.1
33.56734694;18.1;0.953424;63.3621;77.8
34.52077098;18.2;0.93229;62.9311;77.9
35.45306122;19.1;0.971429;64.3576;75
36.4244898;19.2;0.946939;61.7647;78.2
37.37142857;20.1;1.06122;63.3621;83.5
38.43265306;20.2;0.938776;56.5385;69.8
39.37142857;21.1;1.02857;63.913;76.6
40.4;21.2;0.971429;58.3333;73.7
41.37142857;22.1;1.00408;61.7647;76.4
42.3755102;22.2;0.946939;59.7561;77.3
43.32244898;23.1;0.987755;63.3621;76.7
44.31020408;23.2;0.94746;60.7438;76.4
45.2576644;24.1;0.962744;63.3272;79.3
46.22040816;24.2;0.931293;62.3219;80.2
47.15170068;25.1;1.03934;64.4266;78
48.19104308;25.2;1.13957;57.7288;82.8
49.33061224;26.1;0.975442;52.6515;78
50.30605442;26.2;1.04088;61.5106;82.1
51.34693878;27.1;0.991043;57.6433;76.5
52.33798186;27.2;1.01401;60.5423;80
53.35199546;28.1;0.990862;59.1708;75.6
54.34285714;28.2;1.02857;60.5534;75.7
55.37142857;29.1;0.979592;58.3333;83.1
56.35102041;29.2;0.938776;61.25;79
57.28979592;30.1;1.02041;63.913;79.3
58.31020408;30.2;1.00628;58.8;80.3
59.31648526;31.1;1.09984;59.6255;80.1
60.41632653;31.2;0.95585;54.5533;82.8
61.37217687;32.1;0.987007;62.7713;83
62.35918367;32.2;0.947347;60.7899;83.9
63.30653061;33.1;0.987347;63.3348;84.4
64.29387755;33.2;0.938776;60.7689;86.5
65.23265306;34.1;0.971429;63.913;83.8
66.20408163;34.2;1.12354;61.7647;81.4
67.32761905;35.1;1.04789;53.4028;86.7
68.3755102;35.2;0.955102;57.2579;75.2
69.33061224;36.1;0.972426;62.8205;82.8
70.30303855;36.2;0.970499;61.7013;74.5
71.27353741;37.1;0.99585;61.8239;81.2
72.26938776;37.2;1.05306;60.25;81.4
73.32244898;38.1;0.995918;56.9767;72.5
74.31836735;38.2;0.971429;60.2459;77
75.28979592;39.1;1.01224;61.7647;82.8
76.30204082;39.2;0.987755;59.2742;79.4
77.28979592;40.1;0.996531;60.7438;79.4
78.28632653;40.2;0.970816;60.2089;79.4
79.25714286;41.1;1.05306;61.8037;79.6
80.31020408;41.2;0.946939;56.9767;78.9
81.25714286;42.1;1.06122;63.3621;77.7
82.31836735;42.2;1.10887;56.5385;78.5
83.42723356;43.1;0.940113;54.1093;70.1
84.36734694;43.2;1.14286;63.8221;66.5
85.51020408;44.1;1.03041;52.5;59.9
86.54061224;44.2;0.936939;58.2294;63.1
87.47755102;45.1;1.02041;64.0383;66.5
88.49795918;45.2;0.979252;58.8;68.2
89.47721088;46.1;0.955442;61.2713;63.1
90.43265306;46.2;1.01224;62.7981;75.4
91.44489796;47.1;0.938776;59.2742;68.2
92.38367347;47.2;1.02041;63.913;69.3
93.40408163;48.1;1.01224;58.8;68.8
94.41632653;48.2;0.968957;59.2742;71.3
95.38528345;49.1;1.02288;61.9223;66.8
96.40816327;49.2;1.03673;58.6579;72.4
97.44489796;50.1;0.971429;57.874;74
98.41632653;50.2;1.14286;61.7647;72.1
99.55918367;51.1;1.08571;52.5;74.4
100.644898;51.2;1.14286;55.2632;73.4
101.7877551;52.1;1.19184;52.5;72.8
102.9795918;52.2;1.46503;50.3425;69.2
104.4446259;53.1;1.25333;40.9547;65.9
105.6979592;53.2;1.1102;47.8723;64.6
106.8081633;54.1;1.09388;54.0441;71.6
107.9020408;54.2;0.963265;54.8507;72.1
108.8653061;55.1;1.1102;62.2881;75.9
109.9755102;55.2;0.995918;54.0441;74.2
110.9714286;56.1;1.06939;60.2459;73
112.0408163;56.2;1.07755;56.1069;70.2
113.1183673;57.1;1.19184;55.6818;70.6
114.3102041;57.2;1.20816;50.3425;71.3
115.5183673;58.1;1.15537;49.6622;71.9
116.6737415;58.2;1.26617;51.9312;71.3
117.9399093;59.1;1.15397;47.3871;70.7
119.0938776;59.2;1.06939;51.9945;69.5
120.1632653;60.1;1.01224;56.1069;69.8
121.1755102;60.2;1.01224;59.2742;76.1
122.1877551;61.1;1.17551;59.2742;74
123.3632653;61.2;1.01224;51.0417;62.7
124.3755102;62.1;1.02857;59.2742;64.6
125.4040816;62.2;1.00408;58.3333;68
126.4081633;63.1;1.02041;59.7561;70.8
127.4285714;63.2;1.00408;58.8;70.6
128.4326531;64.1;1.01224;59.7561;65
129.444898;64.2;1.15102;59.2742;68.1
130.5959184;65.1;1.18367;52.1277;73.4
131.7795918;65.2;1.06939;50.6897;68.5
132.8489796;66.1;1.17864;56.1069;77.5
134.027619;66.2;1.14789;50.9062;74.6
135.1755102;67.1;1.11095;52.2698;78.6
136.2864626;67.2;1.12937;54.0077;73.9
137.4158277;68.1;1.16376;53.1272;76.2
138.5795918;68.2;1.07755;51.5568;70.9
139.6571429;69.1;1.23265;55.6818;74.2
140.8897959;69.2;1.19184;48.6755;69.5
142.0816327;70.1;1.03673;50.3425;72.8
143.1183673;70.2;1.02857;57.874;70.7
144.1469388;71.1;1.09388;58.3333;76
145.2408163;71.2;1.21633;54.8507;76.5
146.4571429;72.1;1.02857;49.3289;71.7
147.4857143;72.2;1.15102;58.3333;73.8
148.6367347;73.1;1.03952;52.1277;71.4
149.6762585;73.2;0.976803;57.7187;68.4
150.6530612;74.1;1.06122;61.4249;71.5
151.7142857;74.2;1.17551;56.5385;79.1
152.8897959;75.1;1.28163;51.0417;71.2
154.1714286;75.2;1.47755;46.8153;67.4
155.6489796;76.1;0.995918;40.6077;64.4
156.644898;76.2;0.922449;60.2459;65.3
157.5673469;77.1;0.930612;65.0443;70.8
158.4979592;77.2;0.938776;64.4737;66.9
159.4367347;78.1;0.889796;63.913;72.2
160.3265306;78.2;0.914286;67.4312;73.4
161.2408163;79.1;0.873469;65.625;68.3
162.1142857;79.2;0.84898;68.6916;73.3
162.9632653;80.1;0.930612;70.6731;78.3
163.8938776;80.2;0.906122;64.4737;74.7
164.8;81.1;0.930612;66.2162;79.8
165.7306122;81.2;0.906735;64.4737;74.2
166.6373469;82.1;0.90551;66.1715;75.2
167.5428571;82.2;0.920794;66.261;70.1
168.4636508;83.1;0.915941;65.1612;73.7
169.3795918;83.2;0.873469;65.5064;73.8
170.2530612;84.1;0.906122;68.6916;80.3
171.1591837;84.2;0.889796;66.2162;80.7
172.0489796;85.1;0.881633;67.4312;77.6
172.9306122;85.2;0.857143;68.0556;84.3
173.7877551;86.1;0.914286;70;76.5
174.7020408;86.2;0.840816;65.625;77.6
175.5428571;87.1;0.881633;71.3592;78.3
176.4244898;87.2;0.837143;68.0556;78
177.2616327;88.1;0.860816;71.6724;79.6
178.122449;88.2;0.840816;69.7013;75.7
178.9632653;89.1;0.881633;71.3592;79.1
179.844898;89.2;0.833379;68.0556;78.8
180.6782766;90.1;0.880907;71.9961;77.2
181.5591837;90.2;0.858526;68.1116;80.8
182.4177098;91.1;0.880249;69.8872;83.2
183.2979592;91.2;0.897959;68.1625;80.1
184.1959184;92.1;0.832653;66.8182;79.9
185.0285714;92.2;0.865306;72.0588;79.1
185.8938776;93.1;0.84898;69.3396;76.4
186.7428571;93.2;0.857143;70.6731;75.2
187.6;94.1;0.857143;70;78.5
188.4571429;94.2;0.914286;70;80.4
189.3714286;95.1;1.0449;65.625;79.8
190.4163265;95.2;1.07755;57.4219;69.5
191.4938776;96.1;0.955102;55.6818;70.4
192.4489796;96.2;1.01224;62.8205;62.2
193.4612245;97.1;1.02857;59.2742;72.2
194.4897959;97.2;0.979592;58.3333;76.7
195.4693878;98.1;0.938776;61.25;77.2
196.4081633;98.2;0.933651;63.913;79.7
197.3418141;99.1;0.9439;64.2639;85.6
198.2857143;99.2;0.897959;63.566;78.1
199.1836735;100.1;0.857143;66.8182;73.4
200.0408163;100.2;0.979592;70;80.5
201.0204082;101.1;1.05306;61.25;83.8
202.0734694;101.2;0.938776;56.9767;78.8
203.0122449;102.1;0.987755;63.913;83.3
204;102.2;0.906122;60.7438;82
204.9061224;103.1;0.955102;66.2162;81.8
205.8612245;103.2;0.979592;62.8205;82
206.8408163;104.1;0.953152;61.25;81.9
207.7939683;104.2;0.981542;62.949;80.9
208.7755102;105.1;1.11726;61.1283;79.3
209.8927664;105.2;1.08683;53.703;63.8
210.9795918;106.1;0.963265;55.2067;66.9
211.9428571;106.2;1.0449;62.2881;63.8
212.9877551;107.1;1.07553;57.4219;72.7
214.063288;107.2;1.02243;55.7863;68.3
