Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
1.157333333;1.1;0.565333;0;76.3
1.722666666;1.2;0.602333;106.132;82.1
2.325;1.3;0.45;99.6126;78.7
2.775;1.4;0.421979;133.333;79
3.196979166;2.1;0.414;142.187;76.3
3.610979166;2.2;0.499021;144.928;78.3
4.11;2.3;0.416938;120.235;72.7
4.5269375;2.4;0.408062;143.906;79.3
4.935;3.1;0.42;147.036;76.7
5.355;3.2;0.483146;142.857;80.2
5.838145833;3.3;0.4605;124.186;76.5
6.298645833;3.4;0.473854;130.293;81.3
6.7725;4.1;0.42;126.621;73.1
7.1925;4.2;0.39;142.857;77.9
7.5825;4.3;0.4275;153.846;75.9
8.01;4.4;0.3975;140.351;75.4
8.4075;5.1;0.4725;150.943;81.3
8.88;5.2;0.495;126.984;81.3
9.375;5.3;0.411667;121.212;74.6
9.786666666;5.4;0.375833;145.749;71.9
10.1625;6.1;0.425563;159.645;75.7
10.5880625;6.2;0.451937;140.99;71.1
11.04;6.3;0.405;132.762;73.2
11.445;6.4;0.345;148.148;73.5
11.79;7.1;0.418;173.913;76.8
12.208;7.2;0.467;143.541;77.2
12.675;7.3;0.4275;128.48;72.4
13.1025;7.4;0.435;140.351;69.2
13.5375;8.1;0.4125;137.931;67
13.95;8.2;0.3825;145.455;72.4
14.3325;8.3;0.3825;156.863;73.6
14.715;8.4;0.42;156.863;76.4
15.135;9.1;0.450375;142.857;80.4
15.585375;9.2;0.472125;133.222;83.4
16.0575;9.3;0.3975;127.085;79.8
16.455;9.4;0.410646;150.943;81.5
16.86564583;10.1;0.421854;146.111;76.3
17.2875;10.2;0.4125;142.229;80.9
17.7;10.3;0.4125;145.455;79.9
18.1125;10.4;0.39;145.455;82.3
18.5025;11.1;0.405;153.846;76.9
18.9075;11.2;0.425833;148.148;81.6
19.33333333;11.3;0.429167;140.9;78
19.7625;11.4;0.4275;139.806;78.5
20.19;12.1;0.42;140.351;75.3
20.61;12.2;0.405;142.857;82
21.015;12.3;0.42;148.148;78.9
21.435;12.4;0.42;142.857;82.4
21.855;13.1;0.435;142.857;78.2
22.29;13.2;0.4275;137.931;79.7
22.7175;13.3;0.423229;140.351;77
23.14072917;13.4;0.431771;141.767;79.4
23.5725;14.1;0.3975;138.963;78.4
23.97;14.2;0.4125;150.943;81
24.3825;14.3;0.3975;145.455;79.9
24.78;14.4;0.393333;150.943;80.7
25.17333333;15.1;0.407021;152.542;79.2
