Onset;Note;Duration (s)
8.4075;1;0.4725
8.88;2;0.664
9.544;3;0.104
9.648;4;0.096
9.744;5;0.144
9.888;6;0.136
10.024;7;0.1385
10.1625;8;0.1095
10.272;9;0.112
10.384;10;0.204063
10.5880625;11;0.571938
11.16;12;0.12
11.28;13;0.165
11.445;14;0.099
11.544;15;0.112
11.656;16;0.134
11.79;17;0.098
11.888;18;0.136
12.024;19;0.184
12.208;20;0.632
12.84;21;0.12
12.96;22;0.1425
13.1025;23;0.5855
13.688;24;0.144
13.832;25;0.118
13.95;26;0.138
14.088;27;0.12
14.208;28;0.1245
14.3325;29;0.1235
14.456;30;0.136
14.592;31;0.123
14.715;32;0.109
14.824;33;0.152
14.976;34;0.159
15.135;35;0.697
15.832;36;0.2255
16.0575;37;0.1825
16.24;38;0.215
16.455;39;0.217
16.672;40;0.193646
16.86564583;41;0.206354
17.072;42;0.408
17.48;43;0.22
17.7;44;0.204
17.904;45;0.2085
18.1125;46;0.1915
18.304;47;0.1985
18.5025;48;0.1775
18.68;49;0.448
19.128;50;0.205333
19.33333333;51;0.226667
19.56;52;0.424
19.984;53;0.206
20.19;54;0.202
20.392;55;0.218
20.61;56;0.198
20.808;57;0.207
21.015;58;0.249
21.264;59;0.171
21.435;60;0.189
21.624;61;0.231
21.855;62;0.201
22.056;63;0.234
22.29;64;0.4275
22.7175;65;0.2025
22.92;66;0.220729
23.14072917;67;0.379271
23.52;68;0.16
23.68;69;0.112
23.792;70;0.178
23.97;71;0.142
24.112;72;0.088
24.2;73;0.152
24.352;74;0.128
24.48;75;0.104
24.584;76;0.152
24.736;77;0.12
24.856;78;0.144
25;79;0.173333
25.17333333;80;0.194667
25.368;81;0.212354
25.58035417;82;0.392979
25.97333333;83;0.210667
26.184;84;0.205333
26.38933333;85;0.394667
26.784;86;0.216
27;87;0.2325
27.2325;88;0.2075
27.44;89;0.2125
27.6525;90;0.438167
28.09066667;91;0.410667
28.50133333;92;0.210667
28.712;93;0.194667
28.90666667;94;0.221333
29.128;95;0.144
29.272;96;0.408
29.68;97;0.416
30.096;98;0.248
30.344;99;0.168
30.512;100;0.256
30.768;101;0.16
30.928;102;0.264
31.192;103;0.1955
31.3875;104;0.1965
31.584;105;0.16
31.744;106;0.256
32;107;0.181333
32.18133333;108;0.391167
32.5725;109;0.2195
32.792;110;0.1855
32.9775;111;0.435
33.4125;112;0.6675
34.08;113;0.2475
34.3275;114;0.1765
34.504;115;0.236
34.74;116;0.18
34.92;117;0.2175
35.1375;118;0.1825
35.32;119;0.392
35.712;120;0.228
35.94;121;0.204
36.144;122;0.2235
36.3675;123;0.1765
36.544;124;0.2135
36.7575;125;0.2025
36.96;126;0.408
37.368;127;0.237
37.605;128;0.171
37.776;129;0.250667
38.02666667;130;0.181333
38.208;131;0.20525
38.41325;132;0.22675
38.64;133;0.392
39.032;134;0.223
39.255;135;0.193
39.448;136;0.232
39.68;137;0.216
39.896;138;0.199
40.095;139;0.177
40.272;140;0.247917
40.51991667;141;0.216083
40.736;142;0.2065
40.9425;143;0.1855
41.128;144;0.205333
41.33333333;145;0.218667
41.552;146;0.2305
41.7825;147;0.1855
41.968;148;0.1895
42.1575;149;0.2745
42.432;150;0.228
42.66;151;0.5025
43.1625;152;1.8675
45.03;153;0.525
45.555;154;1.229
46.784;155;0.4585
47.2425;156;0.400167
47.64266667;157;0.474667
48.11733333;158;0.415167
48.5325;159;0.4575
48.99;160;0.460667
49.45066667;161;0.448979
49.89964583;162;0.440354
50.34;163;0.4275
50.7675;164;0.2245
50.992;165;0.218
51.21;166;0.19
51.4;167;0.230687
51.6306875;168;0.209312
51.84;169;0.208
52.048;170;0.527
52.575;171;0.54
53.115;172;0.613
53.728;173;0.112
53.84;174;0.1375
53.9775;175;0.1185
54.096;176;0.12
54.216;177;0.152
54.368;178;0.136
54.504;179;0.104
54.608;180;0.172
54.78;181;0.524
55.304;182;0.136
55.44;183;0.135
55.575;184;0.113
55.688;185;0.144
55.832;186;0.1405
55.9725;187;0.1235
56.096;188;0.136
56.232;189;0.183
56.415;190;0.422812
56.8378125;191;0.138187
56.976;192;0.128
57.104;193;0.164958
57.26895833;194;0.436042
57.705;195;0.143
57.848;196;0.096
57.944;197;0.1885
58.1325;198;0.2355
58.368;199;0.177
58.545;200;0.255
58.8;201;0.277167
59.07716667;202;0.562833
59.64;203;0.506604
60.14660417;204;0.613396
60.76;205;0.152
60.912;206;0.123
61.035;207;0.149
61.184;208;0.12
61.304;209;0.151
61.455;210;0.105
61.56;211;0.12
61.68;212;0.1875
61.8675;213;0.5805
62.448;214;0.136
62.584;215;0.1235
62.7075;216;0.1165
62.824;217;0.136
62.96;218;0.144
63.104;219;0.12
63.224;220;0.136
63.36;221;0.128
63.488;222;0.592
64.08;223;0.144
64.224;224;0.12
64.344;225;0.5085
64.8525;226;0.450375
