Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
2.986666666;1.1;0.544;0;84
3.530666666;1.2;0.624;110.294;80.1
4.154666666;1.3;0.490667;96.1538;77.8
4.645333333;2.1;0.544;122.283;78.2
5.189333333;2.2;0.56;110.294;78.2
5.749333333;2.3;0.524875;107.143;76.6
6.274208333;3.1;0.520458;114.313;78.6
6.794666666;3.2;0.535271;115.283;78.1
7.3299375;3.3;0.552729;112.093;74.3
7.882666666;4.1;0.528;108.552;75.2
8.410666666;4.2;0.656;113.636;73.2
9.066666666;4.3;0.714667;91.4634;64.9
9.781333333;5.1;0.64;83.9552;63.4
10.42133333;5.2;0.533333;93.75;69.6
10.95466667;5.3;0.624;112.5;76.1
11.57866667;6.1;0.597333;96.1538;71.6
12.176;6.2;0.682667;100.446;75.3
12.85866667;6.3;0.618667;87.8906;76.6
13.47733333;7.1;0.586667;96.9828;77
14.064;7.2;0.634667;102.273;81.7
14.69866667;7.3;0.597333;94.5378;80.3
15.296;8.1;0.72;100.446;79.8
16.016;8.2;0.650667;83.3333;80.3
16.66666667;8.3;1.024;92.2131;82.3
17.69066667;9.1;0.624;58.5938;84.5
18.31466667;9.2;0.549333;96.1538;80.4
18.864;9.3;0.576;109.223;80.6
19.44;10.1;0.538667;104.167;77
19.97866667;10.2;0.568313;111.386;76.6
20.54697917;10.3;0.599688;105.576;76.7
21.14666667;11.1;0.602667;100.052;80.6
21.74933333;11.2;0.482969;99.5575;79.4
22.23230208;11.3;0.530365;124.232;77.6
22.76266667;12.1;0.549333;113.13;76.9
23.312;12.2;0.565333;109.223;76.9
23.87733333;12.3;0.501333;106.132;73.9
24.37866667;13.1;0.597333;119.681;75.3
24.976;13.2;0.511885;100.446;73.3
25.48788542;13.3;0.533448;117.214;69.6
26.02133333;14.1;0.624;112.476;72.7
26.64533333;14.2;0.522667;96.1538;70.6
27.168;14.3;0.576;114.796;66.6
27.744;15.1;0.522667;104.167;70
28.26666667;15.2;0.512;114.796;68.3
28.77866667;15.3;0.426667;117.188;70.3
29.20533333;16.1;0.725333;140.625;75.3
29.93066667;16.2;0.581333;82.7206;64.8
30.512;16.3;0.672;103.211;70.5
31.184;17.1;0.464;89.2857;62.5
31.648;17.2;0.570667;129.31;73.7
32.21866667;17.3;0.485333;105.14;69.7
32.704;18.1;0.490667;123.626;66.2
33.19466667;18.2;0.576;122.283;74
33.77066667;18.3;0.528;104.167;70.2
34.29866667;19.1;0.458667;113.636;74.5
34.75733333;19.2;0.544;130.814;76.4
35.30133333;19.3;0.496;110.294;69.5
35.79733333;20.1;0.535615;120.968;67.7
36.33294792;20.2;0.504385;112.021;70.8
36.83733333;20.3;0.592;118.957;66
37.42933333;21.1;0.490667;101.351;68.6
37.92;21.2;0.650667;122.283;69
38.57066667;21.3;0.533333;92.2131;60.4
39.104;22.1;0.56;112.5;56.3
39.664;22.2;0.538667;107.143;71.4
40.20266667;22.3;0.533333;111.386;73.7
40.736;23.1;0.56;112.5;71.6
41.296;23.2;0.576;107.143;66.7
41.872;23.3;0.565333;104.167;67.2
42.43733333;24.1;0.56;106.132;68.1
42.99733333;24.2;0.56;107.143;65.3
43.55733333;24.3;0.485333;107.143;70.8
44.04266667;25.1;0.538667;123.626;71
44.58133333;25.2;0.56;111.386;70.6
45.14133333;25.3;0.666667;107.143;67.6
45.808;26.1;0.629333;90;62
46.43733333;26.2;0.613333;95.339;73.9
47.05066667;26.3;0.55926;97.8261;71.4
47.60992708;27.1;0.502073;107.285;69.5
48.112;27.2;0.512;119.505;69.3
48.624;27.3;0.592;117.188;68.7
49.216;28.1;0.538667;101.351;61.1
49.75466667;28.2;0.571917;111.386;74.4
50.32658333;28.3;0.54275;104.91;68.8
50.86933333;29.1;0.549333;110.548;69.9
51.41866667;29.2;0.565333;109.223;67.8
51.984;29.3;0.544;106.132;70
52.528;30.1;0.672;110.294;60.2
53.2;30.2;0.565333;89.2857;73.5
53.76533333;30.3;0.544;106.132;72.2
54.30933333;31.1;0.581333;110.294;69.8
54.89066667;31.2;0.48;103.211;75.6
