Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
0.847528344;1.1;0.754762;0;76.4
1.602290249;1.2;0.591995;79.4953;72.8
2.194285714;1.3;0.673379;101.352;75.2
2.867664399;2.1;0.634376;89.1029;73.4
3.502040816;2.2;0.67093;94.5811;72.1
4.172970521;2.3;0.63356;89.4281;70.1
4.806530612;3.1;0.589388;94.7029;73.9
5.395918367;3.2;0.64127;101.801;73.5
6.037188208;3.3;0.650159;93.5644;71.2
6.687346938;4.1;0.643265;92.2852;70.3
7.330612244;4.2;0.633832;93.2741;69.5
7.964444444;4.3;0.606463;94.6623;69.9
8.570907029;5.1;0.629093;98.9344;66.1
9.2;5.2;0.647392;95.3754;69.6
9.84739229;5.3;0.682857;92.6795;76.8
10.53024943;6.1;0.638549;87.8661;69.4
11.16879819;6.2;0.638549;93.9631;68.5
11.80734694;6.3;0.696599;93.9631;70.8
12.50394558;7.1;0.615329;86.1328;72.9
13.11927438;7.2;0.603719;97.5088;73.7
13.7229932;7.3;0.650159;99.384;73.8
14.37315193;8.1;0.592109;92.2852;72.5
14.96526077;8.2;0.615329;101.333;74.9
15.58058957;8.3;0.684989;97.5088;75.9
16.26557823;9.1;0.638549;87.5927;80.6
16.90412698;9.2;0.615329;93.9631;71.7
17.51945578;9.3;0.660136;97.5088;70.4
18.17959184;10.1;0.628571;90.8904;76.5
18.80816327;10.2;0.615329;95.4545;72.8
19.42349206;10.3;0.603719;97.5088;74.8
20.02721088;11.1;0.638549;99.384;74.7
20.66575964;11.2;0.580499;93.9631;72.8
21.2462585;11.3;0.568889;103.359;71
21.81514739;12.1;0.719819;105.469;71.8
22.53496599;12.2;0.557279;83.3543;69
23.0922449;12.3;0.615329;107.666;71.4
23.7075737;13.1;0.592109;97.5088;72.4
24.29968254;13.2;0.580499;101.333;71.7
24.88018141;13.3;0.673379;103.359;71.5
25.55356009;14.1;0.601542;89.1029;67.7
26.15510204;14.2;0.742857;99.7437;71
26.89795918;14.3;0.533379;80.7692;67.2
27.43133787;15.1;0.548707;112.49;62
27.98004535;15.2;0.664014;109.348;66.4
28.64405896;15.3;0.624694;90.3596;63.1
29.26875283;16.1;0.607642;96.047;68
29.87639456;16.2;0.602381;98.7424;67.7
30.47877551;16.3;0.705624;99.6047;64.6
31.18439909;17.1;0.56254;85.0312;62.2
31.74693878;17.2;0.653061;106.659;69.7
32.4;17.3;0.607166;91.875;71
33.00716553;18.1;0.626939;98.8198;66.3
33.63410431;18.2;0.586304;95.7031;67.3
34.22040816;18.3;0.644354;102.336;65.5
34.8647619;19.1;0.568889;93.1166;69.8
35.43365079;19.2;0.545669;105.469;71.2
35.97931973;19.3;0.632925;109.957;66.6
36.6122449;20.1;0.579592;94.7979;61.3
37.19183673;20.2;0.645079;103.521;71.8
37.8369161;20.3;0.626939;93.0118;69.2
38.46385488;21.1;0.580499;95.7031;65
39.04435374;21.2;0.661769;103.359;65.7
39.70612245;21.3;0.580499;90.6661;57.6
40.28662132;22.1;0.595011;103.359;55.2
40.88163265;22.2;0.530612;100.838;69.1
41.4122449;22.3;0.612245;113.077;68.1
42.0244898;23.1;0.555102;98;69.9
42.57959184;23.2;0.595918;108.088;69.7
43.1755102;23.3;0.579592;100.685;69
43.75510204;24.1;0.644898;103.521;67.9
44.4;24.2;0.571429;93.038;69.3
44.97142857;24.3;0.612245;105;74.4
45.58367347;25.1;0.579592;98;72.1
46.16326531;25.2;0.710204;103.521;68.4
46.87346939;25.3;0.653061;84.4828;63.8
47.52653061;26.1;0.579592;91.875;61.5
48.10612245;26.2;0.644898;103.521;70.6
48.75102041;26.3;0.538776;93.038;67.3
49.28979592;27.1;0.543923;111.364;65.5
49.83371882;27.2;0.517302;110.31;66.2
50.35102041;27.3;0.563265;115.986;70
50.91428571;28.1;0.579592;106.522;66.1
51.49387755;28.2;0.612245;103.521;74.3
52.10612245;28.3;0.555102;98;66.4
52.66122449;29.1;0.506122;108.088;64.4
53.16734694;29.2;0.514286;118.548;65.5
53.68163265;29.3;0.620408;116.667;71
54.30204082;30.1;0.563265;96.7105;65.8
54.86530612;30.2;0.530612;106.522;76.5
55.39591837;30.3;0.595918;113.077;73.2
55.99183673;31.1;0.530612;100.685;75.2
56.52244898;31.2;0.489796;113.077;75.2
57.0122449;31.3;0.555102;122.5;76.5
57.56734694;32.1;0.620408;108.088;73.4
58.1877551;32.2;0.604082;96.7105;79.8
58.79183673;32.3;0.514286;99.3243;73.5
59.30612245;33.1;0.552245;116.667;78.1
59.85836735;33.2;0.517143;108.647;74.6
60.3755102;33.3;0.696054;116.022;80.1
61.07156463;34.1;0.659048;86.2002;77.2
61.73061224;34.2;0.644898;91.0405;82.5
62.3755102;34.3;0.620408;93.038;72.5
62.99591837;35.1;0.653061;96.7105;76.2
63.64897959;35.2;0.628571;91.875;77.2
64.27755102;35.3;0.77551;95.4545;70.9
65.05306122;36.1;0.661224;77.3684;73.6
65.71428571;36.2;0.563265;90.7407;73.9
66.27755102;36.3;0.587755;106.522;79.9
66.86530612;37.1;0.685714;102.083;77.3
67.55102041;37.2;0.538776;87.5;77
68.08979592;37.3;0.644898;111.364;79.4
68.73469388;38.1;0.644898;93.038;80.9
69.37959184;38.2;0.612245;93.038;80.5
69.99183673;38.3;0.606327;98;81.2
70.59816327;39.1;0.601383;98.9566;71.9
71.19954649;39.2;0.547392;99.77;77.4
71.74693878;39.3;0.759184;109.611;81.7
72.50612245;40.1;0.624921;79.0323;71.5
73.13104308;40.2;0.624059;96.0122;79.3
73.75510204;40.3;0.636735;96.1448;78.1
74.39183673;41.1;0.628571;94.2308;70.5
75.02040816;41.2;0.669388;95.4545;74.9
75.68979592;41.3;0.938776;89.6341;79.1
76.62857143;42.1;0.710204;63.913;66.6
77.33877551;42.2;0.571429;84.4828;64.8
77.91020408;42.3;0.710204;105;69.5
78.62040816;43.1;0.661224;84.4828;65.1
79.28163265;43.2;0.546939;90.7407;75.2
79.82857143;43.3;0.644898;109.701;70.7
80.47346939;44.1;0.636735;93.038;66.1
81.11020408;44.2;0.595918;94.2308;71.2
81.70612245;44.3;0.612245;100.685;68.3
82.31836735;45.1;0.710204;98;72.4
83.02857143;45.2;0.783673;84.4828;77.5
83.8122449;45.3;0.816327;76.5625;77
84.62857143;46.1;0.728662;73.5;70.4
85.35723356;46.2;0.67093;82.3427;73.5
86.02816327;46.3;0.592245;89.4281;77.3
86.62040816;47.1;0.604082;101.309;78
87.2244898;47.2;0.590748;99.3243;77.5
87.8152381;47.3;0.641905;101.566;80.4
88.45714286;48.1;0.595918;93.4718;81.5
89.05306122;48.2;0.579592;100.685;79.9
89.63265306;48.3;0.522449;103.521;77.2
90.15510204;49.1;0.563265;114.844;81
90.71836735;49.2;0.555102;106.522;80.5
91.27346939;49.3;0.563265;108.088;76.2
91.83673469;50.1;0.538776;106.522;81.1
92.3755102;50.2;0.548866;111.364;75.6
92.92437642;50.3;0.538617;109.316;75.5
93.4629932;51.1;0.595556;111.396;73.2
94.05854875;51.2;0.602676;100.746;70.1
94.66122449;51.3;0.587755;99.556;67.2
95.24897959;52.1;0.636735;102.083;64.3
95.88571429;52.2;0.595918;94.2308;72
96.48163265;52.3;0.555102;100.685;68.4
97.03673469;53.1;0.579592;108.088;73
97.61632653;53.2;0.546939;103.521;76.4
98.16326531;53.3;0.578458;109.701;69.7
98.74172336;54.1;0.523583;103.724;70.2
99.26530612;54.2;0.516644;114.595;72.6
99.78195011;54.3;0.560907;116.134;75.9
100.3428571;55.1;0.530612;106.97;78.2
100.8734694;55.2;0.544785;113.077;77.2
101.418254;55.3;0.532766;110.135;80.1
101.9510204;56.1;0.571429;112.62;77.5
102.522449;56.2;0.546939;105;78
103.0693878;56.3;0.527211;109.701;78.9
103.5965986;57.1;0.534014;113.806;73.7
104.1306122;57.2;0.579592;112.357;80.3
104.7102041;57.3;0.583129;103.521;80.6
105.2933333;58.1;0.625034;102.893;73.1
105.9183673;58.2;0.563265;95.9948;77.5
