Onset;Note;Duration (s)
2.052063492;1;0.147302
2.199365079;2;1.79302
3.992380952;3;0.177778
4.17015873;4;1.69143
5.861587302;5;0.182857
6.044444444;6;1.20381
7.248253968;7;0.690794
7.939047619;8;1.04635
8.985396825;9;0.198095
9.183492063;10;0.980317
10.16380952;11;0.863492
11.02730159;12;0.121905
11.14920635;13;1.00571
12.15492064;14;0.766984
12.92190476;15;0.147302
13.06920635;16;0.929524
13.99873016;17;0.965079
14.96380952;18;1.0819
16.04571429;19;1.32571
17.37142857;20;0.152381
17.52380952;21;1.7219
19.24571429;22;0.172698
19.4184127;23;1.6
21.0184127;24;0.177778
21.19619048;25;1.68635
22.88253968;26;0.187937
23.07047619;27;1.65587
24.72634921;28;0.147302
24.87365079;29;1.06667
25.94031746;30;0.218413
26.15873016;31;0.995556
27.15428571;32;0.248889
27.4031746;33;0.909206
28.31238095;34;0.340317
28.65269841;35;0.944762
29.59746032;36;0.279365
29.8768254;37;0.970159
30.84698413;38;0.624762
31.47174603;39;0.289524
31.76126984;40;0.309841
32.07111111;41;0.284444
32.35555556;42;0.965079
33.32063492;43;0.309841
33.63047619;44;0.279365
33.90984127;45;0.304762
34.21460318;46;0.360635
34.5752381;47;0.248889
34.82412698;48;0.259048
35.0831746;49;0.294603
35.37777778;50;0.253968
35.63174603;51;0.345397
35.97714286;52;0.939683
36.9168254;53;0.380952
37.29777778;54;0.23873
37.53650794;55;0.284444
37.82095238;56;0.345397
38.16634921;57;0.299683
38.46603175;58;0.299683
38.76571429;59;0.274286
39.04;60;0.335238
39.3752381;61;0.299683
39.67492064;62;0.299683
39.97460318;63;0.309841
40.28444444;64;1.74222
42.02666667;65;2.06222
44.08888889;66;0.309841
44.39873016;67;0.314921
44.71365079;68;0.253968
44.96761905;69;0.294603
45.26222222;70;0.32
45.58222222;71;0.279365
45.8615873;72;0.299683
46.16126984;73;0.32
46.48126984;74;0.391111
46.87238095;75;0.304762
47.17714286;76;0.355556
47.53269841;77;1.75238
49.28507937;78;1.6254
50.91047619;79;1.7473
52.65777778;80;1.64063
54.2984127;81;1.69651
55.99492064;82;1.56952
57.56444444;83;1.73714
59.3015873;84;2.01651
61.31809524;85;0.411429
61.72952381;86;0.650159
62.37968254;87;0.893968
63.27365079;88;0.375873
63.64952381;89;0.624762
64.27428571;90;7.76127
72.03555556;91;0.441905
72.47746032;92;0.634921
73.11238095;93;0.939683
74.05206349;94;0.330159
74.38222222;95;0.629841
75.01206349;96;1.18349
76.19555556;97;0.436825
76.63238095;98;0.406349
77.03873016;99;0.299683
77.3384127;100;0.269206
77.60761905;101;0.299683
77.90730159;102;0.32
78.22730159;103;0.375873
78.6031746;104;0.375873
78.97904762;105;0.294603
79.27365079;106;0.248889
79.52253968;107;0.309841
79.83238095;108;0.294603
80.12698413;109;0.350476
80.47746032;110;0.325079
80.80253968;111;0.299683
81.10222222;112;0.253968
81.35619048;113;0.345397
81.7015873;114;0.64
82.3415873;115;0.264127
82.60571429;116;0.193016
82.79873016;117;0.208254
83.00698413;118;1.62032
84.62730159;119;0.391111
85.0184127;120;0.335238
85.35365079;121;0.345397
85.69904762;122;0.269206
85.96825397;123;0.345397
86.31365079;124;0.284444
86.59809524;125;0.330159
86.92825397;126;0.299683
87.22793651;127;0.304762
87.53269841;128;0.253968
87.78666667;129;0.289524
88.07619048;130;0.386032
88.46222222;131;1.16317
89.62539683;132;0.147302
89.77269841;133;0.116825
89.88952381;134;0.101587
89.99111111;135;0.167619
90.15873016;136;1.11238
91.27111111;137;0.137143
91.40825397;138;0.0914286
91.49968254;139;0.111746
91.61142857;140;0.15746
91.76888889;141;2.83429
94.6031746;142;0.924444
95.52761905;143;0.289524
95.81714286;144;0.619683
96.4368254;145;0.787302
97.22412698;146;0.309841
97.53396825;147;0.579048
98.11301587;148;0.772063
98.88507937;149;0.299683
99.18476191;150;0.573968
99.75873016;151;0.518095
100.2768254;152;0.568889
100.8457143;153;0.56381
101.4095238;154;3.31683
104.7263492;155;0.573968
105.3003175;156;0.589206
105.8895238;157;0.137143
106.0266667;158;0.15746
106.184127;159;0.126984
106.3111111;160;0.152381
106.4634921;161;0.142222
106.6057143;162;0.147302
106.7530159;163;0.101587
106.8546032;164;0.121905
106.9765079;165;0.137143
107.1136508;166;0.142222
107.255873;167;0.116825
107.3726984;168;0.177778
107.5504762;169;0.137143
107.687619;170;0.132063
107.8196825;171;0.137143
107.9568254;172;0.15746
108.1142857;173;0.629841
108.744127;174;0.106667
108.8507937;175;0.106667
108.9574603;176;0.106667
109.064127;177;0.0812698
109.1453968;178;0.0965079
109.2419048;179;0.132063
109.3739683;180;0.0761905
109.4501587;181;0.106667
109.5568254;182;0.0812698
109.6380952;183;0.0914286
109.7295238;184;0.0965079
109.8260317;185;0.116825
109.9428571;186;0.0711111
110.0139683;187;0.101587
110.1155556;188;0.0914286
110.2069841;189;0.0965079
110.3034921;190;0.0761905
110.3796825;191;0.106667
110.4863492;192;0.0965079
110.5828571;193;0.106667
110.6895238;194;0.0863492
110.775873;195;0.0965079
110.872381;196;0.0914286
110.9638095;197;0.0812698
111.0450794;198;0.0914286
111.1365079;199;0.0914286
111.2279365;200;0.0863492
111.3142857;201;0.0914286
111.4057143;202;0.0812698
111.4869841;203;0.0711111
111.5580952;204;0.0863492
111.6444444;205;0.0914286
111.735873;206;0.116825
111.8526984;207;0.101587
111.9542857;208;0.111746
112.0660317;209;0.116825
112.1828571;210;0.111746
112.2946032;211;0.0761905
112.3707937;212;0.121905
112.4926984;213;0.0863492
112.5790476;214;0.0914286
112.6704762;215;0.101587
112.7720635;216;0.0965079
112.8685714;217;0.0965079
