Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
0.522448979;1;2.00272;0;78.2
2.525170068;2;1.74574;29.9592;74.3
4.270907029;3;1.79531;34.3694;73.3
6.066213151;4;1.9795;33.4205;72
8.045714285;5;1.88082;30.3107;68.7
9.926530612;6;1.99692;31.901;69.6
11.92344671;7;1.81696;30.0463;74.2
13.74040816;8;1.96209;33.0222;79.2
15.70249433;9;1.78794;30.5797;80.4
17.49043084;10;1.82277;33.5582;75.9
19.31319728;11;1.7415;32.917;80.4
21.05469388;12;1.90404;34.4531;74.2
22.95873016;13;1.78374;31.512;72.4
24.74247166;14;1.81263;33.6372;66.7
26.55510204;15;1.78776;33.1011;67.5
28.34285714;16;2;33.5616;69.4
30.34285714;17;1.8449;30;64
32.1877551;18;2.02449;32.5221;69.4
34.2122449;19;1.99184;29.6371;68.7
36.20408163;20;1.95918;30.123;70.3
38.16326531;21;2.01633;30.625;68.3
40.17959184;22;1.99184;29.7571;54.7
42.17142857;23;1.82041;30.123;70.7
43.99183673;24;1.97551;32.9596;73.7
45.96734694;25;1.92653;30.3719;67.7
47.89387755;26;2;31.1441;62.3
49.89387755;27;1.89388;30;71.4
51.7877551;28;1.92653;31.681;65.7
53.71428571;29;1.89952;31.1441;69.8
55.61380952;30;2.00252;31.5869;61
57.61632653;31;1.68163;29.9623;65.5
59.29795918;32;1.82041;35.6796;74.8
61.11836735;33;1.97551;32.9596;79.1
63.09387755;34;1.89388;30.3719;80.9
64.9877551;35;2.04082;31.681;80.4
67.02857143;36;1.91837;29.4;74.4
68.94693878;37;1.86068;31.2766;79.5
70.80761905;38;1.85361;32.2463;79.8
72.66122449;39;2.12245;32.3693;75.3
74.78367347;40;1.95102;28.2692;72
76.73469388;41;2.27755;30.7531;72.5
79.0122449;42;1.93011;26.3441;62.7
80.94235828;43;2.05356;31.0863;70.1
82.99591837;44;2.00816;29.2176;68.4
85.00408163;45;1.89388;29.878;72.4
86.89795918;46;1.81224;31.681;70.2
88.71020408;47;1.74694;33.1081;72.6
90.45714286;48;1.63265;34.3458;74.7
92.08979592;49;1.62224;36.75;80
93.71204082;50;1.57701;36.9858;82.1
95.28904762;51;1.69054;38.0468;79.7
96.97959184;52;1.64082;35.4915;74
98.62040816;53;1.64082;36.5672;74
100.2612245;54;1.69796;36.5672;80.5
101.9591837;55;1.76327;35.3365;82.1
103.722449;56;1.81224;34.0278;80.8
105.5346939;57;1.82041;33.1081;76.9
107.355102;58;1.81224;32.9596;75.4
109.1673469;59;1.6898;33.1081;82
110.8571429;60;1.73878;35.5072;81
112.5959184;61;1.72245;34.507;81.6
114.3183673;62;1.85306;34.8341;79.9
116.1714286;63;1.86939;32.3789;78.8
118.0408163;64;1.82041;32.0961;77.5
119.8612245;65;2.39673;32.9596;80.7
122.2579592;1;2.01959;25.0341;78.7
124.277551;2;1.77959;29.709;72.8
126.0571429;3;1.82041;33.7156;73
127.877551;4;2.04082;32.9596;71.7
129.9183673;5;1.99184;29.4;66.3
131.9102041;6;1.99184;30.123;72.5
133.9020408;7;1.76327;30.123;75.5
135.6653061;8;1.98984;34.0278;79.3
137.6551474;9;1.77342;30.1532;80.8
139.4285714;10;1.82041;33.8329;75.5
141.2489796;11;1.70612;32.9596;79.6
142.955102;12;1.92653;35.1675;75.2
144.8816327;13;1.82372;31.1441;72.5
146.7053515;14;1.76812;32.8998;66.6
148.4734694;15;1.78776;33.9344;67.5
150.2612245;16;2;33.5616;69.5
152.2612245;17;1.83673;30;62.7
154.0979592;18;2;32.6667;68.1
156.0979592;19;2;30;67.5
158.0979592;20;2.05714;30;68.4
160.155102;21;2.02054;29.1667;66.9
162.1756463;22;1.99578;29.695;53.1
164.1714286;23;1.82485;30.0634;69.5
165.9962812;24;1.95474;32.8794;73.8
167.9510204;25;1.97551;30.6946;67.4
169.9265306;26;1.94286;30.3719;61.5
171.8693878;27;1.90204;30.8824;71.1
173.7714286;28;1.9102;31.5451;65.5
175.6816327;29;1.89388;31.4103;69.6
177.5755102;30;1.98367;31.681;61
179.5591837;31;1.7219;30.2469;65.4
181.2810884;32;1.7883;34.8451;74.4
183.0693878;33;1.97551;33.5514;79
185.044898;34;1.87755;30.3719;80.9
186.922449;35;2.03639;31.9565;80.3
188.9588435;36;1.90646;29.4638;74.6
190.8653061;37;1.86939;31.4719;79.7
192.7346939;38;1.85306;32.0961;79.6
194.5877551;39;2.11429;32.3789;75.2
196.7020408;40;1.89388;28.3784;70.2
198.5959184;41;2.27755;31.681;69.4
200.8734694;42;2.10612;26.3441;64.5
202.9795918;43;2.03293;28.4884;70.2
205.012517;44;2.16299;29.5141;70
207.1755102;45;2.17143;27.7393;73.5
209.3469388;46;1.89388;27.6316;65.4
211.2408163;47;1.79592;31.681;72.4
213.0367347;48;1.69796;33.4091;76.7
214.7346939;49;1.58367;35.3365;82.1
216.3183673;50;1.56735;37.8866;81.7
217.8857143;51;1.74694;38.2812;79.4
219.6326531;52;1.74694;34.3458;72.2
221.3795918;53;1.70612;34.3458;74
223.0857143;54;1.69796;35.1675;80.5
224.7836735;55;1.73878;35.3365;82.1
226.522449;56;1.82857;34.507;80.6
228.3510204;57;1.82642;32.8125;76.8
230.1774376;58;1.78175;32.8512;75.1
231.9591837;59;1.6898;33.6748;81.9
233.6489796;60;1.82857;35.5072;81.3
235.477551;61;1.78776;32.8125;79.9
237.2653061;62;1.82857;33.5616;82
239.0938776;63;1.82041;32.8125;80.1
240.9142857;64;1.89388;32.9596;80.6
242.8081633;65;2.31837;31.681;76.1
245.1265306;66;1.99932;25.8803;82.4
247.1258503;67;1.7854;30.0102;74.5
248.9112472;68;1.72549;33.606;73.4
250.6367347;69;1.90204;34.7728;74.2
252.5387755;70;1.86122;31.5451;83.8
254.4;71;1.60816;32.2368;75
256.0081633;72;1.71429;37.3096;69.8
257.722449;73;1.68578;35;71.9
259.4082313;74;1.77544;35.5918;68.1
261.1836735;75;1.95102;33.7944;69.7
263.1346939;76;2.21224;30.7531;70.5
265.3469388;77;2;27.1218;67.1
267.3469388;78;2.0898;30;71.2
269.4367347;79;2.02449;28.7109;74.4
271.4612245;80;1.9102;29.6371;73.3
273.3714286;81;2.11587;31.4103;76.9
275.4873016;82;2.16984;28.3571;70.9
277.6571429;83;2.26122;27.6518;69
279.9183673;84;2.26939;26.5343;71
282.1877551;85;2.13878;26.4388;69.4
284.3265306;86;2.22857;28.0534;71.8
286.555102;87;1.95918;26.9231;75.4
288.5142857;88;2.06531;30.625;75
290.5795918;89;1.89388;29.0514;72.8
292.4734694;90;2.04082;31.681;76.7
294.5142857;91;1.77143;29.4;75.2
296.2857143;92;1.90036;33.871;83.4
298.1860771;93;2.068;31.5729;73.4
300.2540816;94;1.86837;29.0135;69.7
302.122449;95;1.98367;32.1136;69.8
304.1061224;96;1.92798;30.2469;70.2
306.0341043;97;1.94141;31.1206;65.1
307.9755102;98;2.07347;30.9054;69.3
310.0489796;99;2.09796;28.937;68.8
312.1469388;100;1.95102;28.5992;68.6
314.0979592;101;1.8866;30.7531;63
315.9845578;102;2.12973;31.8033;70
318.1142857;103;1.88571;28.1726;69
320;104;1.81986;31.8182;76
321.8198639;105;1.82912;32.9695;77.9
323.6489796;106;1.83673;32.8027;79.1
325.4857143;107;1.96735;32.6667;80.2
327.4530612;108;2.03265;30.4979;74.5
329.4857143;109;2;29.5181;72.8
331.4857143;110;1.89388;30;60.1
333.3795918;111;2.31837;31.681;66.9
335.6979592;112;1.89429;25.8803;67.4
337.5922449;113;1.81184;31.6742;71.8
339.4040816;114;1.78776;33.1156;68.8
341.1918367;115;1.86939;33.5616;67.8
343.0612245;116;1.83673;32.0961;68.2
344.8979592;117;1.77959;32.6667;63.8
346.677551;118;1.97551;33.7156;59.9
348.6530612;119;1.92653;30.3719;68.9
350.5795918;120;1.82857;31.1441;68.3
352.4081633;121;2.13061;32.8125;66.5
354.5387755;122;2.16327;28.1609;66.7
356.7020408;123;2.12245;27.7358;75.7
358.8244898;124;1.71635;28.2692;76.9
360.540839;125;1.58161;34.9579;75.1
362.122449;126;1.73878;37.936;77.1
363.8612245;127;1.88898;34.507;79.9
365.7502041;128;1.73612;31.7632;80.3
367.4863265;129;1.59939;34.5598;76.7
369.0857143;130;1.66054;37.5144;72.1
370.7462585;131;1.73537;36.1327;71.8
372.4816327;132;1.89388;34.5747;71.5
374.3755102;133;1.85306;31.681;73.2
376.2285714;134;1.71195;32.3789;76.8
377.9405215;135;1.89621;35.0477;77.1
379.8367347;136;1.77959;31.642;79.4
381.6163265;137;1.77959;33.7156;72.8
383.3959184;138;1.6898;33.7156;77.5
385.0857143;139;1.8449;35.5072;78.7
386.9306122;140;1.82857;32.5221;73.3
388.7591837;141;1.82041;32.8125;72.8
390.5795918;142;1.81224;32.9596;73
392.3918367;143;1.7551;33.1081;73.4
394.1469388;144;1.95918;34.186;72.9
396.1061224;145;1.85306;30.625;79.3
397.9591837;146;1.82857;32.3789;78.9
399.7877551;147;1.67347;32.8125;78.4
401.4612245;148;1.70612;35.8537;73.7
403.1673469;149;1.74694;35.1675;80.4
404.9142857;150;1.86939;34.3458;75.4
406.7836735;151;1.86122;32.0961;72.4
408.644898;152;2.14694;32.2368;68.8
410.7918367;153;1.96179;27.9468;65.9
412.7536281;154;2.00556;30.5843;73.8
414.7591837;155;2.13878;29.9169;72.4
416.8979592;156;2.04082;28.0534;73.7
418.9387755;157;1.8449;29.4;65.6
420.7836735;158;1.79592;32.5221;72
422.5795918;159;1.62449;33.4091;79.9
424.2040816;160;1.63265;36.9347;81.3
425.8367347;161;1.56735;36.75;82.6
427.4040816;162;1.67463;38.2812;76.5
429.0787075;163;1.75395;35.8289;74
430.8326531;164;1.73878;34.2086;74.6
432.5714286;165;1.67354;34.507;75.5
434.244966;166;1.71422;35.8522;81
435.9591837;167;1.77143;35.0014;81
437.7306122;168;1.85306;33.871;75.8
439.5836735;169;1.77959;32.3789;77.1
441.3632653;170;1.77143;33.7156;79.8
443.1346939;171;1.83673;33.871;79.5
444.9714286;172;1.83673;32.6667;80.6
446.8081633;173;1.86122;32.6667;80
448.6693878;174;1.92653;32.2368;78.1
450.5959184;175;1.96735;31.1441;78.6
452.5632653;176;1.93145;30.4979;76.5
454.4947166;177;1.93794;31.0647;79.5
456.4326531;178;1.9237;30.9608;81
458.3563492;179;1.77426;31.19;73.9
460.1306122;180;1.73878;33.8169;72.8
461.8693878;181;1.87755;34.507;75.2
463.7469388;182;1.85306;31.9565;81.3
465.6;183;1.82041;32.3789;77.3
467.4204082;184;1.86939;32.9596;71.3
469.2897959;185;1.81224;32.0961;68.7
471.1020408;186;2.05714;33.1081;70.5
473.1591837;187;2.21224;29.1667;67.7
475.3714286;188;2.35918;27.1218;70.9
477.7306122;189;2.03265;25.4325;66.6
479.7632653;190;2.03265;29.5181;67.6
481.7959184;191;2.04898;29.5181;71.2
483.844898;192;2.02449;29.2829;67.3
485.8693878;193;2.39184;29.6371;68.7
488.2612245;194;2.35918;25.0853;68
490.6204082;195;2.53061;25.4325;67.8
493.1510204;196;2.51429;23.7097;65
495.6653061;197;2.53878;23.8636;66.6
498.2040816;198;2.47347;23.6334;69.2
500.677551;199;2.57143;24.2574;68.3
503.2489796;200;2.54694;23.3333;76
505.7959184;201;2.6449;23.5577;74.1
508.4408163;202;3.24082;22.6852;71.5
511.6816327;203;2.61519;18.5139;65.4
514.2968254;204;2.82154;22.9429;65
517.1183673;205;2.44082;21.265;67.9
519.5591837;206;3.06122;24.5819;68.7
522.6204082;207;1.54286;19.6;80
524.1632653;208;1.61669;38.8889;83.5
525.7799546;209;1.54406;37.1129;77.3
527.3240136;210;1.71272;38.8586;70.4
529.0367347;211;0;35.032;81.1
