Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
0.444557823;1.1;0.615057;0;79.1
1.059614512;1.2;0.821202;97.552;72.2
1.880816326;1.3;0.650159;73.0636;75.2
2.530975056;2.1;0.708209;92.2852;73.5
3.239183673;2.2;0.603719;84.7208;73.6
3.842902494;2.3;0.708209;99.384;72
4.551111111;3.1;0.673379;84.7208;71.9
5.224489795;3.2;0.650159;89.1029;77.4
5.874648526;3.3;0.626939;92.2852;71.7
6.501587301;4.1;0.719819;95.7031;72.4
7.221405895;4.2;0.626939;83.3543;67.9
7.848344671;4.3;0.743039;95.7031;69.4
8.591383219;5.1;0.615329;80.7495;67.6
9.206712018;5.2;0.696599;97.5088;71.6
9.903310657;5.3;0.708209;86.1328;78.1
10.61151927;6.1;0.696599;84.7208;69.8
11.30811791;6.2;0.615329;86.1328;70.8
11.92344671;6.3;0.708209;97.5088;72.9
12.63165533;7.1;0.684989;84.7208;74.5
13.31664399;7.2;0.650159;87.5927;73.6
13.96680272;7.3;0.650159;92.2852;74.5
14.61696145;8.1;0.638549;92.2852;72.8
15.2555102;8.2;0.626939;93.9631;76.2
15.88244898;8.3;0.719819;95.7031;77.9
16.60226757;9.1;0.626939;83.3543;78.1
17.22920635;9.2;0.615329;95.7031;79.4
17.84453515;9.3;0.615329;97.5088;77.8
18.45986395;10.1;0.626939;97.5088;77.2
19.08680272;10.2;0.609569;95.7031;76.7
19.69637188;10.3;0.702358;98.4302;76.4
20.39873016;11.1;0.603719;85.4265;76
21.00244898;11.2;0.661769;99.384;77.5
21.66421769;11.3;0.673379;90.6661;75.5
22.33759637;12.1;0.650159;89.1029;75.3
22.9877551;12.2;0.638549;92.2852;71
23.62630385;12.3;0.602744;93.9631;75.4
24.22904762;13.1;0.732404;99.5448;77.7
24.96145125;13.2;0.650159;81.922;70.2
25.61160998;13.3;0.603719;92.2852;65.3
26.2153288;14.1;0.615329;99.384;72.8
26.8306576;14.2;0.615329;97.5088;71.3
27.44598639;14.3;0.615329;97.5088;68.2
28.06131519;15.1;0.592109;97.5088;68.9
28.65342404;15.2;0.650159;101.333;70.5
29.30358277;15.3;0.673379;92.2852;64.1
29.97696145;16.1;0.615329;89.1029;70.2
30.59229025;16.2;0.696599;97.5088;70.5
31.28888889;16.3;0.580499;86.1328;69
31.86938776;17.1;0.661769;103.359;66.9
32.53115646;17.2;0.719819;90.6661;71.8
33.25097506;17.3;0.73517;83.3543;70.8
33.98614512;18.1;0.681247;81.6138;76.2
34.66739229;18.2;0.580499;88.0738;72.4
35.24789116;18.3;0.603719;103.359;68.2
35.85160998;19.1;0.592109;99.384;69.2
