Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
1.462857142;1;1.88082;0;77.6
3.343673469;2;1.82277;31.901;74.3
5.166439909;3;1.81116;32.917;72.7
6.977596371;4;1.92726;33.128;70.3
8.904852607;5;1.91565;31.1323;66.9
10.82049887;6;1.9737;31.321;72.1
12.79419501;7;1.90404;30.3998;73
14.69823129;8;2.18268;31.512;73.8
16.88090703;9;1.99692;27.4892;77.3
18.87782313;10;2.00853;30.0463;73.7
20.88634921;11;1.90404;29.8727;78.9
22.79038549;12;2.10141;31.512;74.1
24.89179138;13;1.93639;28.5523;70.5
26.82818594;14;1.92973;30.9854;70.1
28.75791383;15;1.96209;31.0925;68.2
30.72;16;2.24073;30.5797;70.5
32.96072562;17;1.96209;26.777;63
34.92281179;18;1.72989;30.5797;66.4
36.65269841;19;1.83971;34.6844;72.6
38.49240363;20;1.68973;32.6139;65.9
40.18213152;21;1.76472;35.5087;63.1
41.94684807;22;1.90404;33.9998;57.9
43.85088435;23;1.96596;31.512;70.7
45.81684807;24;2.23982;30.5194;66.6
48.05666667;25;1.91268;26.7879;70.4
49.9693424;26;1.8576;31.3697;66.4
51.82693878;27;1.74338;32.2998;68.6
53.57031746;28;1.78605;34.4159;67.1
55.35637188;29;1.63701;33.5936;70.3
56.99337868;30;1.74336;36.6523;69.7
58.73673469;31;1.62998;34.4164;71.5
60.36671202;32;1.6654;36.8103;71
62.03210884;33;1.77633;36.0275;71.8
63.80843537;34;1.83438;33.7776;79.5
65.64281179;35;2.40327;32.7087;76.1
68.0460771;36;1.98054;24.966;68.3
70.02662132;37;1.98633;30.2947;71.5
72.01294785;38;1.97744;30.2065;76.6
73.99038549;39;1.7415;30.3423;75.2
75.73188209;40;1.8576;34.4531;76.1
77.58947846;41;2.11302;32.2998;71.3
79.70249433;42;1.82277;28.3954;69.4
81.52526077;43;1.82277;32.917;70.1
83.34802721;44;1.88082;32.917;70.2
85.22884354;45;2.24177;31.901;74.6
87.47061224;46;1.96104;26.7646;72.3
89.43165533;47;1.82277;30.596;73.4
91.25442177;48;1.52091;32.917;77.7
92.7753288;49;1.47642;39.4501;76.8
