Onset;Note;Duration (s);Bar
0.405333333;1;3.19467;1
3.6;2;2.74667;1
6.346666667;3;0.501333;1
6.848;4;4.20267;2
11.05066667;5;0.864;2
11.91466667;6;0.725333;2
12.64;7;0.821333;2
13.46133333;8;0.8;3
14.26133333;9;0.826667;3
15.088;10;0.826667;3
15.91466667;11;0.8;3
16.71466667;12;1.568;3
18.28266667;13;0.841156;3
19.12382292;14;0.780177;3
19.904;15;0.853333;4
20.75733333;16;0.864948;4
21.62228125;17;0.863052;4
22.48533333;18;1.90886;4
24.39419792;19;0.917802;4
25.312;20;0.970667;4
26.28266667;21;1.184;4
27.46666667;22;0.896;5
28.36266667;23;0.821333;5
29.184;24;0.810667;5
29.99466667;25;0.789333;5
30.784;26;0.773333;5
31.55733333;27;0.762021;5
32.31935417;28;0.774312;5
33.09366667;29;0.783667;5
33.87733333;30;0.832;6
34.70933333;31;0.704;6
35.41333333;32;0.746667;6
36.16;33;0.725333;6
36.88533333;34;0.816;6
37.70133333;35;0.794667;6
38.496;36;0.810667;6
39.30666667;37;0.842667;6
40.14933333;38;0.874667;7
41.024;39;0.725333;7
41.74933333;40;0.768;7
42.51733333;41;0.725333;7
43.24266667;42;0.736;7
43.97866667;43;0.725333;7
44.704;44;0.746667;7
45.45066667;45;0.853333;7
46.304;46;0.757333;8
47.06133333;47;0.682667;8
47.744;48;0.714667;8
48.45866667;49;0.682667;8
49.14133333;50;0.512;8
49.65333333;51;0.501333;8
50.15466667;52;0.48;8
50.63466667;53;0.48;8
51.11466667;54;0.394667;8
51.50933333;55;0.426667;8
51.936;56;0.804;9
52.74;57;1.20133;9
53.94133333;58;2.45333;9
56.39466667;59;0.757333;9
57.152;60;0.938667;9
58.09066667;61;0.789333;9
58.88;62;1.48267;10
60.36266667;63;0.597333;10
60.96;64;0.437333;10
61.39733333;65;0.544;10
61.94133333;66;0.48;10
62.42133333;67;0.597333;10
63.01866667;68;0.554667;10
63.57333333;69;0.405333;10
63.97866667;70;0.586667;10
64.56533333;71;0.489667;10
65.055;72;0.481;10
65.536;73;0.586667;10
66.12266667;74;0.629333;11
66.752;75;0.586667;11
67.33866667;76;0.501333;11
67.84;77;0.725333;11
68.56533333;78;0.704;11
69.26933333;79;0.736;11
70.00533333;80;0.874667;11
70.88;81;3.36;11
74.24;82;1.20533;11
75.44533333;83;0.757333;11
76.20266667;84;0.725333;12
76.928;85;0.896;12
77.824;86;0.832;12
78.656;87;0.896;12
79.552;88;0.768;12
80.32;89;0.821333;12
81.14133333;90;0.8;12
81.94133333;91;0.789333;12
82.73066667;92;0.810667;13
83.54133333;93;0.828906;13
84.37023958;94;0.760427;13
85.13066667;95;1.00267;13
86.13333333;96;1.024;13
87.15733333;97;1.10933;13
88.26666667;98;0.784;13
89.05066667;99;0.784;13
89.83466667;100;0.522667;14
90.35733333;101;0.256;14
90.61333333;102;0.149333;14
90.76266667;103;0.330667;14
91.09333333;104;0.736667;14
91.83;105;0.628667;14
92.45866667;106;0.309333;14
92.768;107;0.256;14
93.024;108;0.138667;14
93.16266667;109;0.437333;14
93.6;110;0.469333;15
94.06933333;111;0.362667;15
94.432;112;0.16;15
94.592;113;0.533333;15
95.12533333;114;0.704;15
