Onset;Note;Duration (s)
0.310204082;1;0.850794
1.160997732;2;0.777869
1.938866213;3;0.743039
2.681904762;4;0.714014
3.395918367;5;0.841723
4.237641723;6;0.743039
4.980680272;7;0.743039
5.723718821;8;0.824308
6.548027211;9;0.859138
7.407165533;10;0.708209
8.11537415;11;0.661769
8.777142857;12;0.754649
9.531791383;13;6.80905
16.340839;14;0.818707
17.15954649;15;0.754649
17.91419501;16;0.861315
18.7755102;17;1.63483
20.41034014;18;2.02231
22.43265306;19;3.39955
25.83219955;20;2.91882
28.75102041;21;2.46676
31.21777778;22;0.477415
31.69519274;23;3.41338
35.10857143;24;0.842449
35.95102041;25;0.772789
36.72380952;26;0.975238
37.69904762;27;3.58603
41.28507937;28;0.80254
42.08761905;29;0.880907
42.96852608;30;0.975238
43.94376417;31;6.54512
50.48888889;32;1.16825
51.65714286;33;0.897959
52.55510204;34;0.798549
53.35365079;35;0.751746
54.10539683;36;0.788186
54.89358277;37;0.985238
55.87882086;38;2.61224
58.49106576;39;1.74122
60.23229025;40;1.79692
62.02920635;41;1.84889
63.87809524;42;1.78794
65.66603175;43;2.05497
67.72099773;44;3.03456
70.75555556;45;1.51655
72.27210884;46;2.29297
74.56507937;47;0.589206
75.15428571;48;0.53551
75.68979592;49;2.24798
77.93777778;50;0.579048
78.5168254;51;0.617868
79.13469388;52;0.59102
79.72571429;53;0.497778
80.22349206;54;0.796916
81.02040816;55;2.36057
83.38097506;56;0.78229
84.16326531;57;0.946576
85.10984127;58;1.08263
86.19247166;59;0.796735
86.98920635;60;0.72127
87.71047619;61;0.855714
88.56619048;62;0.749365
89.31555556;63;0.801973
90.11752835;64;0.630408
90.74793651;65;0.64
91.38793651;66;0.911383
92.29931973;67;0.884354
93.18367347;68;0.868753
94.0524263;69;2.36844
96.42086168;70;0.905578
97.32643991;71;0.952018
98.27845805;72;0.975238
99.25369615;73;4.90141
104.155102;74;0.799093
104.954195;75;0.789478
105.7436735;76;0.696599
106.4402721;77;0.777869
107.2181406;78;0.696599
107.9147392;79;0.696599
108.6113379;80;0.824308
109.4356463;81;0.583401
110.0190476;82;0.416508
110.4355556;83;0.520998
110.9565533;84;0.790567
111.7471202;85;10.6801
122.4272109;86;1.55574
123.9829478;87;1.81102
125.7939683;88;1.24095
127.0349206;89;0.426667
127.4615873;90;1.81497
129.2765533;91;1.03365
130.3102041;92;0.8
131.1102041;93;0.744308
131.8545125;94;0.557279
132.4117914;95;0.638549
133.0503401;96;0.685283
133.7356236;97;0.707914
134.4435374;98;0.592812
135.0363492;99;0.695896
135.7322449;100;0.843628
136.575873;101;1.48041
138.0562812;102;1.20975
139.2660317;103;0.492041
139.7580726;104;1.60519
141.3632653;105;1.09388
142.4571429;106;0.709478
143.1666213;107;0.609887
143.7765079;108;0.590839
144.3673469;109;0.696372
145.0637188;110;0.601587
145.6653061;111;0.587755
146.2530612;112;0.722721
146.9757823;113;0.650249
147.6260317;114;0.782857
148.4088889;115;1.4502
149.859093;116;1.08948
150.9485714;117;0.390204
151.3387755;118;1.551
152.8897732;119;2.3124
155.2021769;120;0.732517
155.9346939;121;1.93778
157.8724717;122;0.696599
158.5690703;123;1.64862
160.2176871;124;1.46141
161.679093;125;1.27601
162.955102;126;1.45379
164.4088889;127;2.64417
167.0530612;128;0.582517
167.6355782;129;0.617483
168.2530612;130;0.669388
168.922449;131;0.620408
169.5428571;132;0.751837
170.2946939;133;1.11501
171.4097052;134;3.79646
175.2061678;135;1.43057
176.6367347;136;1.37959
178.0163265;137;1.05161
179.0679365;138;0.295329
179.3632653;139;0.693878
180.0571429;140;0.756644
180.8137868;141;0.77805
181.5918367;142;0.951837
182.5436735;143;0.754286
183.2979592;144;1.49388
184.7918367;145;1.59252
186.3843537;146;1.66243
188.04678;147;1.37363
189.4204082;148;1.43673
190.8571429;149;1.38776
192.244898;150;1.68268
193.9275737;151;1.66372
195.5912925;152;1.49494
197.0862358;153;1.58061
198.6668481;154;2.04336
200.7102041;155;1.87755
202.5877551;156;0.75102
203.3387755;157;0.685714
204.0244898;158;3.66531
207.6897959;159;0.686077
208.375873;160;0.701678
209.077551;161;0.653061
209.7306122;162;3.4634
213.1940136;163;0.773333
213.9673469;164;0.666304
214.6336508;165;0.754649
215.3882993;166;0.696599
216.084898;167;0.743039
216.8279365;168;0.714921
217.5428571;169;0.771156
218.3140136;170;0.777869
219.0918821;171;0.736689
219.8285714;172;0.691338
220.5199093;173;0.801088
221.3209977;174;0.731429
222.0524263;175;0.673379
222.725805;176;0.68644
223.4122449;177;0.846077
224.258322;178;0.859138
225.1174603;179;0.650159
225.767619;180;0.365714
226.1333333;181;0.389116
226.522449;182;0.433742
226.9561905;183;0.365714
227.3219048;184;0.571973
227.8938776;185;2.65306
230.5469388;186;2.37186
232.9187982;187;2.22406
235.1428571;188;4.44063
239.5834921;189;0.592109
240.1756009;190;0.626939
240.8025397;191;0.673379
241.4759184;192;1.28871
242.7646259;193;0.684989
243.4496145;194;0.661769
244.1113832;195;0.762086
244.8734694;196;0.689161
245.5626304;197;0.638549
246.2011791;198;0.673379
246.8745578;199;1.36998
248.2445351;200;0.661769
248.9063039;201;0.661769
249.5680726;202;0.731429
250.2995011;203;0.745397
251.044898;204;0.67102
251.7159184;205;0.719819
252.435737;206;1.41642
253.8521542;207;0.684989
254.5371429;208;0.731429
255.2685714;209;1.56735
256.8359184;210;0.731429
257.5673469;211;0.789478
258.3568254;212;1.6254
259.9822222;213;0.766258
260.7484807;214;0.917188
261.6656689;215;2.33361
263.9992744;216;0.859138
264.8584127;217;0.743039
265.6014512;218;0.812698
266.4141497;219;0.777869
267.1920181;220;0.708209
267.9002268;221;0.754649
268.6548753;222;0.940408
269.5952834;223;0.928798
270.5240816;224;0.708209
271.2322902;225;0.708209
271.9404989;226;0.847528
272.7880272;227;6.9519
279.739932;228;0.7339
280.4738322;229;0.775147
281.2489796;230;0.832653
282.0816327;231;1.67782
283.7594558;232;2.01236
285.7718141;233;3.42111
289.1929252;234;2.92571
292.1186395;235;2.5658
294.6844444;236;0.531882
295.2163265;237;3.54322
298.7595465;238;0.902676
299.6622222;239;0.827211
300.4894331;240;0.986848
301.4762812;241;3.75002
305.2263039;242;0.765533
305.9918367;243;0.871474
306.8633107;244;1.06812
307.9314286;245;6.64
314.5714286;246;1.31429
315.8857143;247;0.963265
316.8489796;248;0.783673
317.6326531;249;0.75102
318.3836735;250;0.826893
319.2105669;251;0.830068
320.0406349;252;2.13624
322.1768707;253;1.04762
323.2244898;254;0.949297
324.1737868;255;0.88941
325.0631973;256;4.98379
330.0469841;257;1.95048
331.9974603;258;1.94032
333.9377778;259;1.84889
335.7866667;260;1.81841
337.6050794;261;2.00127
339.6063492;262;3.16662
342.7729705;263;1.59057
344.3635374;264;3.00408
347.367619;265;0.761905
348.1295238;266;0.541315
348.670839;267;2.41488
351.0857143;268;0.609524
