Onset;Note;Duration (s);Bar
0.310204082;1;3.08571;1
3.395918367;2;2.62676;1
6.022675737;3;0.525351;1
6.548027211;4;3.8429;2
10.39092971;5;0.847528;2
11.23845805;6;0.708209;2
11.94666667;7;0.650159;2
12.5968254;8;0.754649;3
13.35147392;9;0.673379;3
14.02485261;10;0.743039;3
14.76789116;11;0.731429;3
15.49931973;12;1.66023;3
17.15954649;13;0.754649;3
17.91419501;14;0.861315;3
18.7755102;15;0.775692;4
19.55120181;16;0.859138;4
20.41034014;17;0.992313;4
21.40265306;18;1.86374;4
23.26639456;19;0.766258;4
24.03265306;20;0.835918;4
24.86857143;21;0.963628;4
25.83219955;22;0.789478;5
26.62167801;23;0.719819;5
27.3414966;24;0.673379;5
28.01487528;25;0.736145;5
28.75102041;26;0.738322;5
29.4893424;27;0.615329;5
30.1046712;28;0.708209;5
30.81287982;29;0.882313;5
31.69519274;30;0.789524;6
32.48471655;31;0.633651;6
33.11836735;32;0.597007;6
33.71537415;33;0.64966;6
34.36503401;34;0.743537;6
35.10857143;35;0.842449;6
35.95102041;36;0.875828;6
36.82684807;37;0.933946;6
37.76079365;38;0.761111;7
38.52190476;39;0.696599;7
39.2185034;40;0.74068;7
39.95918367;41;0.664127;7
40.62331066;42;0.735986;7
41.35929705;43;0.820295;7
42.17959184;44;0.788934;7
42.96852608;45;0.975238;7
43.94376417;46;0.847528;8
44.79129252;47;0.673379;8
45.4646712;48;0.801088;8
46.26575964;49;0.640363;8
46.90612245;50;0.43356;8
47.33968254;51;0.507937;8
47.84761905;52;0.484717;8
48.3323356;53;0.531156;8
48.86349206;54;0.377324;8
49.24081633;55;0.426667;8
49.66748299;56;0.766258;9
50.4337415;57;1.04381;9
51.47755102;58;2.68571;9
54.16326531;59;0.730317;9
54.89358277;60;0.985238;9
55.87882086;61;0.999819;9
56.87863946;62;0.503673;10
57.38231293;63;0.536961;10
57.91927438;64;0.571791;10
58.49106576;65;0.632744;10
59.12380952;66;0.478912;10
59.60272109;67;0.629569;10
60.23229025;68;0.560454;10
60.79274376;69;0.609524;10
61.40226757;70;0.624036;10
62.02630386;71;0.595011;10
62.62131519;72;0.667574;10
63.28888889;73;0.705306;10
63.99419501;74;0.528254;11
64.52244898;75;0.565986;11
65.08843537;76;0.565986;11
65.65442177;77;0.609524;11
66.26394558;78;0.740136;11
67.00408163;79;0.716916;11
67.72099773;80;0.763356;11
68.48435374;81;0.595011;11
69.07936508;82;0.749206;11
69.82857143;83;2.44354;11
72.27210884;84;0.976871;12
73.24897959;85;0.82449;12
74.07346939;86;0.82449;12
