Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
0.166893424;1;5.89932;0;68.3
6.066213152;2;5.79773;10.1707;77.2
11.86394558;3;5.77596;10.3489;60.6
17.6399093;4;6.36372;10.3879;70.3
24.00362812;5;5.64535;9.42845;61.7
29.64897959;6;5.60907;10.6282;63.2
35.25804989;7;5.20272;10.697;64.3
40.46077098;8;5.18821;11.5324;73.3
45.64897959;9;6.08073;11.5647;71.8
51.72970522;10;5.43492;9.86724;72.4
57.16462585;11;7.7424;11.0397;67
64.90702948;12;5.85578;7.74953;61.1
70.76281179;13;5.77596;10.2463;65.8
76.53877551;14;5.09388;10.3879;65.6
81.63265306;15;5.76871;11.7788;71.9
87.40136054;16;5.30431;10.4009;66.6
92.70566893;17;5.2361;11.3116;66.2
97.94176871;18;5.64825;11.4589;66.8
103.5900227;19;6.12426;10.6228;62.9
109.7142857;20;5.65986;9.7971;64.4
115.3741497;21;4.61497;10.601;64.1
119.9891156;22;5.24626;13.0012;75.3
125.2353742;23;4.50547;11.4367;58
129.740839;24;5.18161;13.3172;70.3
134.922449;25;4.39728;11.5794;77.8
139.3197279;26;4.75283;13.6448;80.2
144.0725624;27;4.30295;12.624;72
148.3755102;28;5.0068;13.9439;81.2
153.3823129;29;4.5424;11.9837;79
157.9247166;30;5.73243;13.2089;76.9
163.6571429;31;5.39864;10.4668;64.2
169.0557823;32;5.7034;11.1139;64.3
174.7591837;33;5.4059;10.52;60.4
180.1650794;34;5.36961;11.099;58.2
185.5346939;35;4.89796;11.174;57.7
190.4326531;36;5.01406;12.25;62.6
195.446712;37;4.51338;11.9664;63.9
199.9600907;38;3.74422;13.2938;73.2
203.7043084;39;4.39728;16.0247;77
208.1015873;40;5.20272;13.6448;80.7
213.3043084;41;5.08662;11.5324;80.8
218.3909297;42;5.39138;11.7956;79.9
223.7823129;43;6.71927;11.1289;72.5
230.5015873;44;5.82676;8.92954;66.5
236.3283447;45;5.77596;10.2973;74.9
242.1043084;46;5.59456;10.3879;59.7
247.6988662;47;6.03719;10.7247;68.4
253.7360544;48;5.46395;9.9384;60.9
259.2;49;5.18095;10.9811;63
264.3809524;50;4.97778;11.5809;63.6
269.3587302;51;4.90522;12.0536;74
274.2639456;52;5.84853;12.2319;74.2
280.1124717;53;5.68163;10.259;75.5
285.7941043;54;5.31156;10.5603;70.2
291.1056689;55;7.05306;11.2961;70.6
298.1587302;56;5.90658;8.50694;56.7
304.0653061;57;5.65986;10.1582;61.7
309.7251701;58;5.24063;10.601;66.6
314.965805;59;5.81787;11.449;74.2
320.7836735;60;5.27528;10.3131;65
326.0589569;61;5.31882;11.3738;66.6
331.3777778;62;7.00227;11.2807;66
338.3800454;63;5.50748;8.56865;65.8
343.8875283;64;5.10113;10.8943;78.7
348.9886621;65;5.46395;11.7621;78.8
354.4526077;66;6.2681;10.9811;76.5
360.7207029;67;5.70469;9.57229;61.4
366.4253968;68;6.04113;10.5177;55.3
372.4665306;69;6.91125;9.93191;60.7
379.3777778;70;7.96009;8.6815;61.2
387.3378685;71;0;7.5376;65.5
