Onset;Note;Duration (s);Bar
0.166893424;1;0.783673;1
0.950566893;2;0.725624;1
1.676190476;3;0.754649;1
2.430839002;4;0.740136;1
3.170975057;5;0.718367;1
3.889342404;6;0.718367;1
4.607709751;7;0.704127;1
5.311836735;8;0.754376;1
6.066213152;9;0.754649;2
6.820861678;10;0.667574;2
7.488435374;11;0.73288;2
8.221315193;12;0.79093;2
9.012244898;13;6.46531;2
15.47755102;14;0.718367;3
16.19591837;15;0.667574;3
16.86349206;16;0.776417;3
17.6399093;17;1.55283;4
19.19274376;18;1.5746;4
20.76734694;19;3.23628;4
24.00362812;20;2.81542;5
26.81904762;21;2.45841;5
29.27746032;22;0.371519;5
29.64897959;23;3.37415;6
33.02312925;24;0.725624;6
33.74875283;25;0.718367;6
34.46712018;26;0.79093;6
35.25804989;27;3.25079;7
38.50884354;28;0.61678;7
39.12562358;29;0.638549;7
39.76417234;30;0.696599;7
40.46077098;31;5.91383;8
46.37460318;32;0.856236;9
47.230839;33;0.928798;9
48.15963719;34;0.740136;9
48.89977324;35;0.67483;9
49.57460318;36;0.711111;9
50.28571429;37;0.660317;9
50.94603175;38;2.16961;9
53.11564626;39;1.29161;10
54.40725624;40;1.37868;10
55.78594104;41;1.37868;10
57.16462585;42;1.4585;11
58.62312925;43;1.77778;11
60.40090703;44;3.14195;11
63.54285714;45;1.36417;11
64.90702948;46;2.02884;12
66.93587302;47;0.47746;12
67.41333333;48;0.497778;12
67.91111111;49;1.82857;12
69.73968254;50;0.528254;12
70.26793651;51;0.494875;12
70.76281179;52;0.531156;13
71.29396825;53;0.386032;13
71.68;54;0.403447;13
72.08344671;55;2.10576;13
74.18920635;56;0.751746;13
74.94095238;57;0.763356;13
75.70430839;58;0.834467;13
76.53877551;59;0.67483;14
77.21360544;60;0.61678;14
77.83038549;61;0.676009;14
78.50639456;62;0.651882;14
79.15827664;63;0.624036;14
79.78231293;64;0.631111;14
80.41342404;65;0.612608;14
81.02603175;66;0.606621;14
81.63265306;67;0.638549;15
82.27120181;68;0.59356;15
82.86476191;69;2.04045;15
