Onset;Note;Duration (s);Bar
0.166893424;1;3.00408;1
3.170975057;2;2.45986;1
5.630839002;3;0.435374;1
6.066213152;4;3.72245;2
9.788662132;5;0.725624;2
10.51428571;6;0.67483;2
11.18911565;7;0.67483;2
11.86394558;8;0.696599;3
12.56054422;9;0.711111;3
13.27165533;10;0.682086;3
13.9537415;11;0.783673;3
14.73741497;12;1.4585;3
16.19591837;13;0.667574;3
16.86349206;14;0.776417;3
17.6399093;15;0.761905;4
18.40181406;16;0.79093;4
19.19274376;17;0.776417;4
19.969161;18;1.55283;4
21.52199547;19;0.747392;4
22.26938776;20;0.783673;4
23.05306122;21;0.950567;4
24.00362812;22;0.740136;5
24.74376417;23;0.725624;5
25.46938776;24;0.660317;5
26.12970522;25;0.689342;5
26.81904762;26;0.667574;5
27.48662132;27;0.725624;5
28.2122449;28;0.725624;5
28.93786848;29;0.711111;5
29.64897959;30;0.725624;6
30.37460318;31;0.67483;6
31.04943311;32;0.624036;6
31.67346939;33;0.689342;6
32.36281179;34;0.660317;6
33.02312925;35;0.725624;6
33.74875283;36;0.718367;6
34.46712018;37;0.79093;6
35.25804989;38;0.688027;7
35.9460771;39;0.64712;7
36.59319728;40;0.638549;7
37.23174603;41;0.645805;7
37.87755102;42;0.631293;7
38.50884354;43;0.61678;7
39.12562358;44;0.638549;7
39.76417234;45;0.696599;7
40.46077098;46;0.631293;8
41.09206349;47;0.653061;8
41.74512472;48;0.645805;8
42.39092971;49;0.631293;8
43.02222222;50;0.44263;8
43.46485261;51;0.420862;8
43.88571429;52;0.478912;8
44.36462585;53;0.420862;8
44.78548753;54;0.377324;8
45.16281179;55;0.486168;8
45.64897959;56;0.725624;9
46.37460318;57;0.856236;9
47.230839;58;2.34376;9
49.57460318;59;0.711111;9
50.28571429;60;0.660317;9
50.94603175;61;0.783673;9
51.72970522;62;0.44263;10
52.1723356;63;0.464399;10
52.63673469;64;0.478912;10
53.11564626;65;0.435374;10
53.55102041;66;0.391837;10
53.94285714;67;0.464399;10
54.40725624;68;0.391837;10
54.79909297;69;0.507937;10
55.30702948;70;0.478912;10
55.78594104;71;0.406349;10
56.19229025;72;0.519547;10
56.71183674;73;0.452789;10
57.16462585;74;0.448435;11
57.61306122;75;0.53551;11
58.14857143;76;0.474558;11
58.62312925;77;0.478912;11
59.10204082;78;0.64;11
59.74204082;79;0.658866;11
60.40090703;80;0.516644;11
60.91755102;81;0.600816;11
61.51836735;82;0.841723;11
62.3600907;83;2.54694;11
64.90702948;84;0.805442;12
65.71247166;85;0.754649;12
66.46712018;86;0.697664;12
67.16478458;87;0.746327;12
67.91111111;88;0.672109;12
68.58321996;89;0.663039;12
69.2462585;90;0.725624;12
69.97188209;91;0.79093;12
70.76281179;92;0.718367;13
71.48117914;93;0.602268;13
72.08344671;94;0.754649;13
72.83809524;95;0.718367;13
73.55646259;96;0.67483;13
74.23129252;97;0.776417;13
75.00770975;98;0.696599;13
75.70430839;99;0.834467;13
76.53877551;100;0.67483;14
77.21360544;101;0.956372;14
78.16997732;102;0.336417;14
78.50639456;103;0.174422;14
78.68081633;104;0.47746;14
79.15827664;105;0.624036;14
79.78231293;106;0.918639;14
80.70095238;107;0.343946;14
81.04489796;108;0.213333;14
81.25823129;109;0.374422;14
81.63265306;110;0.322177;15
81.95482993;111;0.316372;15
82.27120181;112;0.171247;15
82.44244898;113;0.496327;15
82.93877551;114;0.61678;15
83.55555556;115;0.711111;15
84.26666667;116;0.638549;15
84.90521542;117;0.769161;15
85.67437642;118;0.79093;15
86.46530612;119;0.936054;15
87.40136054;120;0.683492;16
88.08485261;121;0.644399;16
88.7292517;122;0.631293;16
89.36054422;123;0.660317;16
90.02086168;124;0.668594;16
90.68945578;125;0.644785;16
91.33424036;126;0.45424;16
91.78848073;127;0.256871;16
92.04535147;128;0.172698;16
92.21804989;129;0.487619;16
92.70566893;130;0.663379;17
93.36904762;131;0.635488;17
94.00453515;132;0.638549;17
94.6430839;133;0.660317;17
95.30340136;134;0.638549;17
95.94195011;135;0.667574;17
96.60952381;136;0.67483;17
97.28435374;137;0.602268;17
97.88662132;138;0.73288;18
98.61950113;139;0.645805;18
99.26530612;140;0.696599;18
99.96190476;141;0.638549;18
100.6004535;142;0.703855;18
101.3043084;143;0.696599;18
102.000907;144;0.718367;18
102.7192744;145;0.870748;18
103.5900227;146;1.77778;19
105.3678005;147;2.9678;19
108.3356009;148;2.12608;19
110.461678;149;1.18277;20
111.6444444;150;1.47302;20
113.1174603;151;0.899773;20
114.0172336;152;2.01723;20
116.0344671;153;1.10295;21
117.137415;154;1.10295;21
118.2403628;155;1.09569;21
119.3360544;156;1.2263;21
120.5623583;157;1.16825;22
121.7306122;158;1.31338;22
123.0439909;159;0.711111;22
123.755102;160;2.02449;22
125.7795918;161;1.17045;23
126.9500454;162;1.03544;23
127.9854875;163;1.12472;23
129.1102041;164;1.18277;23
130.2929705;165;1.21179;24
131.5047619;166;1.32789;24
132.8326531;167;1.10005;24
133.9326984;168;0.438277;24
134.3709751;169;0.269932;24
134.640907;170;0.281542;24
134.922449;171;0.275737;25
135.1981859;172;0.268481;25
135.4666667;173;0.242358;25
135.7090249;174;0.301859;25
136.0108844;175;0.2322;25
136.2430839;176;0.268481;25
136.5115646;177;0.207528;25
136.719093;178;0.300408;25
137.0195011;179;0.245261;25
137.2647619;180;0.233651;25
137.4984127;181;0.207528;25
137.705941;182;0.343946;25
138.0498866;183;0.251066;25
138.3009524;184;0.293152;25
138.5941043;185;0.296054;25
138.8901587;186;0.429569;25
139.3197279;187;0.271383;26
139.5911111;188;0.309116;26
139.9002268;189;0.280091;26
140.1803175;190;0.343946;26
140.524263;191;0.265578;26
140.7898413;192;0.278639;26
141.0684807;193;0.219138;26
141.287619;194;0.346848;26
141.6344671;195;0.333787;26
141.968254;196;0.319274;26
142.2875283;197;0.249615;26
142.5371429;198;0.374422;26
142.9115646;199;0.296054;26
143.207619;200;0.327982;26
143.5356009;201;0.22059;26
143.7561905;202;0.316372;26
144.0725624;203;0.252517;27
144.3250794;204;0.277188;27
144.6022676;205;0.251066;27
144.8533333;206;0.293152;27
145.1464853;207;0.224943;27
145.3714286;208;0.290249;27
145.661678;209;0.248163;27
145.9098413;210;0.281542;27
146.1913832;211;0.317823;27
146.5092063;212;0.255419;27
146.7646259;213;0.2322;27
146.9968254;214;0.268481;27
147.2653061;215;0.219138;27
147.4844444;216;0.281542;27
147.7659864;217;0.195918;27
147.9619048;218;0.413605;27
148.3755102;219;1.13197;28
149.507483;220;1.2263;28
150.7337868;221;1.25533;28
151.9891156;222;0.970884;28
152.96;223;0.422313;28
153.3823129;224;0.653061;29
154.0353742;225;0.551474;29
154.5868481;226;0.539751;29
155.1265986;227;0.555941;29
155.6825397;228;0.515193;29
156.1977324;229;0.574014;29
156.771746;230;0.565215;29
157.3369615;231;0.587755;29
157.9247166;232;1.32789;30
159.2526077;233;1.02168;30
160.2742857;234;0.473107;30
160.7473923;235;1.45125;30
162.1986395;236;2.85896;30
165.0575964;237;1.30612;31
166.3637188;238;1.29161;31
167.6553288;239;1.40045;31
169.0557823;240;2.65578;32
171.7115646;241;3.04762;32
174.7591837;242;2.70658;33
177.4657596;243;0.609524;33
178.0752834;244;0.703855;33
178.7791383;245;0.667574;33
179.446712;246;0.718367;33
180.1650794;247;2.62676;34
182.7918367;248;0.653061;34
183.444898;249;0.696599;34
184.1414966;250;0.624036;34
184.7655329;251;0.769161;34
185.5346939;252;1.21905;35
186.7537415;253;0.638549;35
187.3922902;254;0.573243;35
187.9655329;255;1.19728;35
189.1628118;256;0.595011;35
189.7578231;257;0.67483;35
190.4326531;258;1.161;36
191.5936508;259;0.631293;36
192.2249433;260;0.660317;36
192.8852608;261;1.15374;36
194.0390023;262;0.645805;36
194.6848073;263;0.761905;36
195.446712;264;2.45986;37
197.906576;265;0.412154;37
198.3187302;266;0.386032;37
198.7047619;267;0.268481;37
198.9732426;268;0.300408;37
199.2736508;269;0.335238;37
199.6088889;270;0.351202;37
199.9600907;271;0.349751;38
200.3098413;272;0.294603;38
200.6044444;273;0.313469;38
200.9179138;274;0.285896;38
201.2038095;275;0.355556;38
201.5593651;276;0.294603;38
201.8539683;277;0.284444;38
202.1384127;278;0.304762;38
202.4431746;279;0.346848;38
202.7900227;280;0.293152;38
203.0831746;281;0.325079;38
203.408254;282;0.296054;38
203.7043084;283;0.282993;39
203.9873016;284;0.284444;39
204.271746;285;0.325079;39
204.5968254;286;0.294603;39
204.8914286;287;0.294603;39
205.1860317;288;0.41941;39
205.6054422;289;0.200272;39
205.8057143;290;0.182857;39
205.9885714;291;0.146576;39
206.1351474;292;0.188662;39
206.3238095;293;0.172698;39
206.4965079;294;0.161088;39
206.6575964;295;0.194467;39
206.8520635;296;0.213333;39
207.0653968;297;0.194467;39
207.2598639;298;0.242358;39
207.5022222;299;0.172698;39
207.6749206;300;0.426667;39
208.1015873;301;2.63401;40
210.7356009;302;2.18122;40
212.9168254;303;0.387483;40
213.3043084;304;2.45986;41
215.7641723;305;2.17107;41
217.9352381;306;0.455692;41
218.3909297;307;2.65578;42
221.046712;308;2.7356;42
223.7823129;309;3.01134;43
226.7936508;310;3.70794;43
230.5015873;311;3.01134;44
233.5129252;312;2.34231;44
235.8552381;313;0.473107;44
236.3283447;314;3.6644;45
239.9927438;315;0.754649;45
240.7473923;316;0.667574;45
241.414966;317;0.689342;45
242.1043084;318;0.689342;46
242.7936508;319;0.703855;46
243.4975057;320;0.645805;46
244.1433107;321;0.776417;46
244.9197279;322;1.3932;46
246.3129252;323;0.67483;46
246.9877551;324;0.711111;46
247.6988662;325;0.67483;47
248.3736961;326;0.73288;47
249.106576;327;0.703855;47
249.8104308;328;1.50204;47
251.3124717;329;0.754649;47
252.0671202;330;0.783673;47
252.8507937;331;0.885261;47
253.7360544;332;0.323628;48
254.0596825;333;0.394739;48
254.4544218;334;0.316372;48
254.7707937;335;0.351202;48
255.1219955;336;0.309116;48
255.4311111;337;0.343946;48
255.7750567;338;0.275737;48
256.0507937;339;0.377324;48
256.4281179;340;0.303311;48
256.7314286;341;0.342494;48
257.0739229;342;0.297506;48
257.3714286;343;0.348299;48
257.7197279;344;0.322177;48
258.0419048;345;0.381678;48
258.4235828;346;0.339592;48
258.7631746;347;0.436825;48
259.2;348;0.294603;49
259.4946032;349;0.322177;49
259.81678;350;0.267029;49
260.0838095;351;0.284444;49
260.368254;352;0.294603;49
260.6628571;353;0.343946;49
261.0068027;354;0.296054;49
261.3028571;355;0.327982;49
261.630839;356;0.332336;49
261.9631746;357;0.291701;49
262.2548753;358;0.317823;49
262.5726984;359;0.349751;49
262.922449;360;0.351202;49
263.2736508;361;0.367166;49
263.6408163;362;0.740136;49
264.3809524;363;0.365714;50
264.7466667;364;0.309116;50
265.0557823;365;0.280091;50
265.335873;366;0.300408;50
265.6362812;367;0.278639;50
265.9149206;368;0.352653;50
266.2675737;369;0.297506;50
266.5650794;370;0.312018;50
266.8770975;371;0.297506;50
267.1746032;372;0.304762;50
267.4793651;373;0.294603;50
267.7739683;374;0.322177;50
268.0961451;375;0.307664;50
268.4038095;376;0.316372;50
268.7201814;377;0.282993;50
269.0031746;378;0.355556;50
269.3587302;379;0.274286;51
269.6330159;380;0.298957;51
269.9319728;381;0.259773;51
270.191746;382;0.349751;51
270.5414966;383;0.269932;51
270.8114286;384;0.325079;51
271.1365079;385;0.274286;51
271.4107937;386;0.306213;51
271.7170068;387;0.272834;51
271.9898413;388;0.322177;51
272.3120181;389;0.338141;51
272.6501587;390;0.329433;51
272.9795918;391;0.351202;51
273.3307937;392;0.301859;51
273.6326531;393;0.277188;51
273.9098413;394;0.354104;51
274.2639456;395;0.336689;52
274.6006349;396;0.345397;52
274.9460317;397;0.518095;52
275.464127;398;0.468753;52
275.9328798;399;0.415057;52
276.3479365;400;0.383129;52
276.7310658;401;0.267029;52
276.9980952;402;0.4078;52
277.4058957;403;0.303311;52
277.7092063;404;0.342494;52
278.0517007;405;0.327982;52
278.3796825;406;0.325079;52
278.7047619;407;0.335238;52
279.04;408;0.361361;52
279.4013605;409;0.319274;52
279.7206349;410;0.391837;52
280.1124717;411;0.370068;53
280.4825397;412;0.44263;53
280.9251701;413;0.370068;53
281.2952381;414;0.471655;53
281.7668934;415;0.330884;53
282.0977778;416;0.336689;53
282.4344671;417;0.282993;53
282.7174603;418;0.348299;53
283.0657596;419;0.362812;53
283.4285714;420;0.420862;53
283.8494331;421;0.341043;53
284.1904762;422;0.316553;53
284.5070295;423;0.323447;53
284.8304762;424;0.303311;53
285.1337868;425;0.296054;53
285.4298413;426;0.364263;53
285.7941043;427;0.316372;54
286.1104762;428;0.336689;54
286.4471655;429;0.252517;54
286.6996825;430;0.378776;54
287.0784581;431;0.332336;54
287.4107937;432;0.335238;54
287.7460317;433;0.314921;54
288.0609524;434;0.345397;54
288.4063492;435;0.365714;54
288.7720635;436;0.352653;54
289.1247166;437;0.317823;54
289.4425397;438;0.306213;54
289.7487528;439;0.343946;54
290.0926984;440;0.381678;54
290.4743764;441;0.319274;54
290.7936508;442;0.312018;54
291.1056689;443;0.348299;55
291.4539683;444;0.362812;55
291.81678;445;0.338141;55
292.1549206;446;0.311043;55
292.4659637;447;0.400068;55
292.8660317;448;0.423764;55
293.2897959;449;0.388934;55
293.6787302;450;0.423764;55
294.1024943;451;0.378776;55
294.4812698;452;0.435488;55
294.9167574;453;0.377211;55
295.2939683;454;0.441179;55
295.7351474;455;0.401995;55
296.1371429;456;0.577596;55
296.7147392;457;1.44399;55
298.1587302;458;0.457143;56
298.615873;459;0.457143;56
299.0730159;460;0.355556;56
299.4285714;461;0.362812;56
299.7913832;462;0.358458;56
300.1498413;463;0.332834;56
300.4826757;464;0.398594;56
300.8812698;465;0.361361;56
301.2426304;466;0.359909;56
301.6025397;467;0.285896;56
301.8884354;468;0.374422;56
302.2628571;469;0.416508;56
302.6793651;470;0.365714;56
303.0450794;471;0.374422;56
303.4195011;472;0.285896;56
303.7053968;473;0.359909;56
304.0653061;474;0.422313;57
304.487619;475;0.325079;57
304.8126984;476;0.294603;57
305.1073016;477;0.307664;57
305.414966;478;0.494875;57
305.9098413;479;0.416508;57
306.3263492;480;0.438277;57
306.7646259;481;0.415057;57
307.1796825;482;0.507937;57
307.687619;483;0.455692;57
308.1433107;484;0.438277;57
308.5815873;485;0.548571;57
309.1301587;486;0.595011;57
309.7251701;487;1.3424;58
311.0675737;488;0.460045;58
311.527619;489;0.39619;58
311.9238095;490;0.516984;58
312.4407937;491;0.895079;58
313.335873;492;0.278639;58
