Onset;Note;Duration (s);Bar
0.52244898;1;0.684989;1
1.207437642;2;0.673379;1
1.880816327;3;0.684989;1
2.565804989;4;0.650159;1
3.215963719;5;0.661769;1
3.877732426;6;0.638549;1
4.516281179;7;0.626939;1
5.143219955;8;0.708209;1
5.851428571;9;0.631179;2
6.48260771;10;0.623152;2
7.105759637;11;0.661315;2
7.76707483;12;0.661769;2
8.428843537;13;6.26703;2
14.69587302;14;0.733787;3
15.42965986;15;0.673379;3
16.10303855;16;0.719819;3
16.82285714;17;1.3932;4
18.21605442;18;1.54413;4
19.76018141;19;3.11147;4
22.87165533;20;2.64707;5
25.51873016;21;2.32635;5
27.84507937;22;0.390385;5
28.23546485;23;3.1463;6
31.38176871;24;0.780771;6
32.16253968;25;0.693696;6
32.85623583;26;0.708209;6
33.56444444;27;3.20435;7
36.76879819;28;0.68644;7
37.4552381;29;0.590658;7
38.04589569;30;0.79093;7
38.8368254;31;6.12862;8
44.96544218;32;0.931701;9
45.89714286;33;0.972336;9
46.86947846;34;0.615329;9
47.48480726;35;0.592109;9
48.0769161;36;0.684807;9
48.76172336;37;0.762086;9
49.52380952;38;2.00127;9
51.52507937;39;1.65587;10
53.18095238;40;1.49043;10
54.67138322;41;1.49934;10
56.17072562;42;1.36832;11
57.53904762;43;1.47302;11
59.01206349;44;2.82268;11
61.83473923;45;1.161;11
62.99573696;46;2.05061;12
65.04634921;47;0.416508;12
65.46285714;48;0.403243;12
65.86609977;49;1.79104;12
67.65714286;50;0.426667;12
68.08380952;51;0.495079;12
68.57888889;52;0.561429;13
69.14031746;53;0.365714;13
69.50603175;54;0.384739;13
69.89077098;55;1.91694;13
71.80770975;56;0.679206;13
72.4869161;57;0.686417;13
73.17333333;58;0.700952;13
73.87428571;59;0.711678;14
74.58596372;60;0.602404;14
75.18836735;61;0.59458;14
75.78294785;62;0.668753;14
76.45170068;63;0.659524;14
77.11122449;64;0.586644;14
77.69786848;65;0.682812;14
78.38068027;66;0.596712;14
78.97739229;67;0.774921;15
79.75231293;68;0.680499;15
80.43281179;69;1.88193;15
82.31473923;70;0.673379;15
82.98811791;71;0.708209;15
83.69632653;72;0.824308;15
84.52063492;73;4.76009;16
89.28072562;74;0.661769;16
89.94249433;75;0.703855;17
90.64634921;76;0.608073;17
91.25442177;77;0.719819;17
91.97424036;78;0.568889;17
92.54312925;79;0.650159;17
93.19328798;80;0.638549;17
93.83183674;81;0.624036;17
94.45587302;82;0.699637;17
95.1555102;83;0.742903;17
95.8984127;84;8.89905;18
104.7974603;85;1.60798;18
106.4054422;86;1.29742;19
107.7028571;87;1.11746;20
108.8203175;88;0.329433;20
109.1497506;89;1.60943;20
110.7591837;90;0.733401;20
111.492585;91;0.706236;20
112.1988209;92;0.62907;20
112.8278912;93;0.566757;21
113.3946485;94;0.638549;21
114.0331973;95;0.708209;21
114.7414059;96;0.557279;21
115.2986848;97;0.638549;21
115.9372336;98;0.638549;21
116.5757823;99;0.684989;21
117.260771;100;1.25388;21
118.5146485;101;1.01297;22
119.527619;102;0.403447;22
119.9310658;103;1.5093;22
121.4403628;104;0.812698;22
122.2530612;105;0.580499;22
122.8335601;106;0.564535;22
123.3980952;107;0.619683;23
124.0177778;108;0.673379;23
124.6911565;109;0.719819;23
125.4109751;110;0.592109;23
126.0030839;111;0.592109;23
126.5951927;112;0.545669;23
127.1408617;113;0.651202;23
127.7920635;114;1.21565;23
129.0077098;115;0.963084;24
129.9707937;116;0.290726;24
130.2615193;117;1.56977;24
131.8312925;118;1.95048;24
133.7817687;119;0.564943;24
134.346712;120;1.53646;25
135.8831746;121;0.499229;25
136.3824036;122;1.17261;25
137.5550113;123;1.17261;25
138.727619;124;1.13778;26
139.8653968;125;1.33515;26
141.2005442;126;2.322;26
143.5225397;127;0.476009;26
143.9985488;128;0.532721;27
144.5312698;129;0.559297;27
145.0905669;130;0.499501;27
145.590068;131;0.475057;27
146.0651247;132;0.696599;27
146.7617234;133;3.47138;27
150.2331066;134;1.20744;28
151.4405442;135;1.161;28
152.601542;136;0.886712;29
153.488254;137;0.239456;29
153.7277098;138;0.743039;29
154.4707483;139;0.510839;29
154.9815873;140;0.626939;29
155.6085261;141;0.626939;29
156.2354649;142;0.688413;29
156.9238776;143;1.38977;30
158.3136508;144;1.41642;30
159.730068;145;1.28871;30
161.0187755;146;1.26549;30
162.284263;147;1.32964;30
163.6139002;148;1.20134;31
164.8152381;149;1.20823;31
166.0234694;150;1.31113;31
167.3346032;151;1.20744;31
168.5420408;152;1.31091;32
169.8529478;153;1.36995;32
171.2229025;154;1.42907;32
172.6519728;155;0.601474;32
173.2534467;156;0.617574;33
173.8710204;157;3.16952;33
177.0405442;158;0.789478;33
177.8300227;159;0.615329;34
178.4453515;160;0.580499;34
179.0258503;161;3.32045;34
182.3463039;162;0.789478;34
183.1357823;163;0.603719;35
183.7395011;164;0.671927;35
184.4114286;165;0.57034;35
184.9817687;166;0.684989;35
185.6667574;167;0.615329;35
186.2820862;168;0.719819;35
187.0019048;169;0.638549;35
187.6404535;170;0.708209;35
188.3486621;171;0.650159;36
188.9988209;172;0.638549;36
189.6373696;173;0.650159;36
190.2875283;174;0.673379;36
190.960907;175;0.615329;36
191.5762358;176;0.750998;36
192.3272336;177;0.804739;36
193.1319728;178;0.574694;36
193.7066667;179;0.386032;37
194.0926984;180;0.304762;37
194.3974603;181;0.294603;37
194.6920635;182;0.375873;37
195.0679365;183;0.478912;37
195.5468481;184;2.19429;37
197.7411338;185;1.90404;37
199.6451701;186;1.8337;38
201.4788662;187;3.70426;38
205.1831293;188;0.580499;39
205.7636281;189;0.568889;40
206.332517;190;0.592109;40
206.9246259;191;1.12617;40
208.0507937;192;0.580499;40
208.6312925;193;0.568889;40
209.2001814;194;0.592109;40
209.7922902;195;0.534059;40
210.3263492;196;0.545669;41
210.8720181;197;0.568889;41
211.440907;198;1.12617;41
212.5670748;199;0.592109;41
213.1591837;200;0.545669;41
213.7048526;201;0.626939;41
214.3317914;202;0.625034;41
214.9568254;203;0.501134;42
215.4579592;204;0.615329;42
216.073288;205;1.1881;42
217.2613832;206;0.611451;42
217.8728345;207;0.638549;42
218.5113832;208;1.30032;42
219.8117007;209;0.615329;42
220.4270295;210;0.615329;43
221.0423583;211;1.31193;43
222.3542857;212;0.638549;43
222.9928345;213;0.708209;43
223.7010431;214;1.92726;43
225.6282993;215;0.754649;43
226.3829478;216;0.673379;44
227.0563265;217;0.638549;44
