Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
1.253877551;1.1;3.43075;0;62.4
4.68462585;1.2;3.27401;17.4889;69.7
7.958639456;2.1;3.23918;18.3261;75.8
11.19782313;2.2;3.6049;18.5232;54.9
14.80272109;3.1;3.54712;16.644;62.8
18.34984127;3.2;3.90649;16.9151;63.8
22.25632653;4.1;3.9532;15.3591;74.4
26.20952381;4.2;3.9532;15.1776;65.6
30.16272109;5.1;3.37939;15.1776;63.6
33.54210884;5.2;3.53193;17.7547;69.5
37.07403628;6.1;3.27644;16.9879;62.9
40.35047619;6.2;3.74422;18.3126;68.9
44.09469388;7.1;3.18694;16.0247;59.9
47.28163265;7.2;3.32626;18.8268;71.2
50.60789116;8.1;3.29143;18.0383;73.6
53.89931973;8.2;3.15211;18.2292;67.6
57.05142857;9.1;3.74422;19.0349;69.5
60.79564626;9.2;3.01279;16.0247;62.6
63.80843537;10.1;3.09986;19.9151;68.1
66.90829932;10.2;3.08245;19.3557;69.4
69.9907483;11.1;3.20435;19.465;68
73.19510204;11.2;4.26667;18.7245;61.3
77.46176871;12.1;2.92571;14.0625;60.9
80.38748299;12.2;2.78639;20.5078;65.1
83.17387755;13.1;2.91889;21.5332;66.8
86.09276644;13.2;3.31567;20.5558;64.9
89.40843537;14.1;2.9083;18.0959;65.1
92.31673469;14.2;2.75156;20.6306;67.2
95.06829932;15.1;3.16952;21.8058;68.5
98.23782313;15.2;3.51066;18.9303;64.3
101.7484807;16.1;3.22893;17.0908;55.9
104.977415;16.2;3.2566;18.582;64.1
108.2340136;17.1;2.91503;18.4241;63.2
111.1490476;17.2;2.93819;20.583;62.6
114.0872336;18.1;2.92392;20.4208;62.3
117.0111565;18.2;3.21581;20.5204;58
120.2269615;19.1;3.43671;18.6578;62.1
123.6636735;19.2;3.13424;17.4585;41.1
126.7979138;20.1;2.81349;19.1434;54.4
129.6114059;20.2;3.06281;21.3258;59.1
132.6742177;21.1;2.41234;19.5898;57.8
135.0865533;21.2;2.64841;24.8722;71
137.734966;22.1;3.01279;22.6551;71.8
140.7477551;22.2;3.20435;19.9151;71.7
143.9521088;23.1;2.54259;18.7245;64.3
146.4946939;23.2;2.75156;23.598;73.2
149.2462585;24.1;2.85605;21.8058;74.2
152.1023129;24.2;3.23918;21.008;72.3
155.3414966;25.1;2.24653;18.5232;71.9
157.5880272;25.2;2.33361;26.7078;72.1
159.9216327;26.1;2.19429;25.7113;78.1
162.1159184;26.2;2.22875;27.3438;79.5
164.3446712;27.1;2.26431;26.9209;68.8
166.6089796;27.2;2.38744;26.4982;73.6
168.9964172;28.1;2.47134;25.1315;81.4
171.4677551;28.2;2.59483;24.2783;79.3
174.062585;29.1;2.57741;23.1229;75.3
176.64;29.2;2.67109;23.2791;76.7
179.3110884;30.1;2.7798;22.4628;74.3
182.0908844;30.2;2.80381;21.5843;81.2
184.8946939;31.1;3.16952;21.3995;75.4
188.0642177;31.2;3.16952;18.9303;73.2
191.2337415;32.1;3.27401;18.9303;72.2
194.5077551;32.2;3.56122;18.3261;70.3
198.0689796;33.1;2.84748;16.8481;64.3
200.9164626;33.2;2.87347;21.0712;61.8
203.789932;34.1;2.62519;20.8807;59.7
206.4151247;34.2;2.86052;22.8555;63.4
209.2756463;35.1;2.54259;20.9752;56.1
211.8182313;35.2;2.56;23.598;62.4
214.3782313;36.1;2.6819;23.4375;62.2
217.0601361;36.2;2.73415;22.3722;61.3
219.7942857;37.1;2.80381;21.9447;63
222.5980952;37.2;2.19429;21.3995;59.7
224.792381;38.1;1.91565;27.3438;65.2
226.7080272;38.2;1.75891;31.321;68.5
228.4669388;39.1;1.79374;34.112;75.1
230.2606803;39.2;1.82857;33.4496;75.7
232.0892517;40.1;2.40327;32.8125;79.8
234.492517;40.2;2.36844;24.966;74.7
236.8609524;41.1;2.36844;25.3332;79
239.2293878;41.2;2.73415;25.3332;79.2
241.9635374;42.1;2.73415;21.9447;80.1
244.6976871;42.2;3.18265;21.9447;70.8
247.8803401;43.1;3.17401;18.8522;67.7
251.0543537;43.2;4.47544;18.9035;63.2
255.5297959;44.1;3.58354;13.4065;63.1
259.1133333;44.2;3.27796;16.7432;69.2
262.3912925;45.1;3.15211;18.3041;69.2
265.5434014;45.2;3.62231;19.0349;54.3
269.1657143;46.1;3.3785;16.564;63.9
272.5442177;46.2;3.58748;17.7593;62.5
276.1317007;47.1;3.98639;16.7248;67.6
280.1180952;47.2;3.88517;15.0512;61.6
284.0032653;48.1;3.09986;15.4433;59
287.1031293;48.2;3.08839;19.3557;64.6
290.1915193;49.1;3.00685;19.4276;60.3
293.1983673;49.2;3.46558;19.9545;67.9
296.6639456;50.1;2.99537;17.3131;57.3
299.6593197;50.2;2.92571;20.0309;71.4
302.585034;51.1;2.9083;20.5078;73.3
305.4933333;51.2;2.75156;20.6306;70.3
308.244898;52.1;3.63973;21.8058;73.3
311.8846259;52.2;2.66449;16.4847;72.8
314.5491156;53.1;3.15211;22.5184;71
317.7012245;53.2;3.20435;19.0349;63.6
320.9055782;54.1;3.20435;18.7245;70.1
324.109932;54.2;3.08245;18.7245;72.5
327.192381;55.1;3.11728;19.465;69.7
330.3096599;55.2;3.98803;19.2476;63.4
334.2976871;56.1;2.99537;15.045;59.8
337.2930612;56.2;2.73415;20.0309;62.8
340.0272109;57.1;2.83834;21.9447;65.1
342.8655556;57.2;3.01308;21.1391;67.4
345.8786395;58.1;3.22177;19.9132;67.7
