Onset;Note;Duration (s)
1.253877551;1;3.43075
4.68462585;2;2.76027
7.444897959;3;0.513741
7.958639456;4;4.23184
12.19047619;5;0.888163
13.07863946;6;0.853333
13.93197279;7;0.870748
14.80272109;8;0.905578
15.70829932;9;0.835918
16.54421769;10;0.835918
17.38013605;11;0.969705
18.34984127;12;2.02567
20.3755102;13;0.905578
21.28108844;14;0.975238
22.25632653;15;0.957823
23.21414966;16;0.922993
24.13714286;17;1.07973
25.21687075;18;1.90163
27.1185034;19;0.937007
28.0555102;20;0.957823
29.01333333;21;1.14939
30.16272109;22;0.905578
31.06829932;23;0.818503
31.88680272;24;0.760454
32.64725624;25;0.894853
33.54210884;26;0.83356
34.37566893;27;0.766258
35.14192744;28;0.872222
36.01414966;29;1.05989
37.07403628;30;0.865918
37.93995465;31;0.738685
38.67863946;32;0.905578
39.58421769;33;0.766258
40.35047619;34;0.801088
41.15156463;35;0.940408
42.09197279;36;0.922993
43.01496599;37;1.07973
44.09469388;38;0.816145
44.910839;39;0.803447
45.71428571;40;0.801088
46.51537415;41;0.766258
47.28163265;42;0.731429
48.01306122;43;0.766258
48.77931973;44;0.801088
49.58040816;45;1.02748
50.60789116;46;0.975238
51.58312925;47;0.714014
52.29714286;48;0.801088
53.09823129;49;0.801088
53.89931973;50;0.522449
54.42176871;51;0.478912
54.90068027;52;0.583401
55.48408163;53;0.519547
56.00362812;54;0.478912
56.48253968;55;0.568889
57.05142857;56;0.870748
57.92217687;57;1.14939
59.07156463;58;2.4381
61.50965986;59;0.714014
62.22367347;60;0.748844
62.97251701;61;0.835918
63.80843537;62;0.496327
64.30476191;63;0.420862
64.72562358;64;0.493424
65.21904762;65;0.638549
65.85759637;66;0.435374
66.29297052;67;0.615329
66.90829932;68;0.603719
67.51201814;69;0.406349
67.91836735;70;0.592109
68.51047619;71;0.568889
69.07936508;72;0.406349
69.48571429;73;0.505034
69.9907483;74;0.612426
70.6031746;75;0.377324
70.98049887;76;0.507937
71.48843537;77;0.624036
72.11247166;78;0.420862
72.53333333;79;0.661769
73.19510204;80;0.499229
73.69433107;81;0.522449
74.21678005;82;0.789478
75.0062585;83;2.45551
77.46176871;84;0.801088
78.26285714;85;0.714014
78.97687075;86;0.676712
79.65358277;87;0.7339
80.38748299;88;0.748844
81.13632653;89;0.714014
81.85034014;90;0.679184
82.52952381;91;0.644354
83.17387755;92;0.674308
83.84818594;93;0.823379
84.67156463;94;0.766258
85.43782313;95;0.654943
86.09276644;96;0.755669
86.84843537;97;0.679184
87.52761905;98;0.831179
88.35879819;99;1.04964
89.40843537;100;0.780204
90.18863946;101;1.08029
91.26893424;102;0.322177
91.59111111;103;0.12771
91.71882086;104;0.597914
92.31673469;105;0.686848
93.00358277;106;1.00821
94.01179138;107;0.214785
94.22657596;108;0.278639
94.50521542;109;0.563084
95.06829932;110;0.481814
95.55011338;111;0.249615
95.79972789;112;0.258322
96.05804989;113;0.612426
96.67047619;114;0.801088
97.47156463;115;0.766258
98.23782313;116;0.818503
99.05632653;117;0.766258
99.82258503;118;0.888163
100.7107483;119;1.03773
101.7484807;120;0.964989
102.7134694;121;0.770952
103.4844218;122;0.761565
104.2459864;123;0.731429
104.977415;124;0.870748
105.8481633;125;0.731429
