Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
0.77786848;1.1;3.0302;0;65.8
3.808072562;1.2;3.11147;19.8006;71.9
6.919546485;2.1;3.11147;19.2835;76.1
10.03102041;2.2;2.96054;19.2835;60.4
12.99156463;3.1;3.11147;20.2665;66.1
16.10303855;3.2;3.29723;19.2835;67.9
19.40027211;4.1;3.55265;18.1971;72.1
22.95292517;4.2;3.75002;16.8888;62.6
26.70294785;5.1;3.1463;15.9999;59.4
29.8492517;5.2;3.22757;19.07;64.8
33.0768254;6.1;2.96054;18.5898;63.1
36.03736961;6.2;3.44816;20.2665;68.3
39.48553288;7.1;3.04181;17.4006;63
42.52734694;7.2;3.34367;19.7251;68.3
45.87102041;8.1;3.09986;17.9443;70.6
48.97088435;8.2;2.84444;19.3557;66.4
51.8153288;9.1;3.70358;21.0938;70.7
55.51891156;9.2;3.94739;16.2005;61.1
59.46630385;10.1;3.03624;15.1999;64
62.50253968;10.2;3.09383;19.7613;69.9
65.59637188;11.1;3.77324;19.3934;65.3
69.36961451;11.2;4.73687;15.9014;59.5
74.10648526;12.1;3.07664;12.6666;63.2
77.18312925;12.2;3.01859;19.5018;65.5
80.20172336;13.1;2.84025;19.8768;65.2
83.04197279;13.2;3.09245;21.1249;64.6
86.13442177;14.1;2.9141;19.4021;67.4
89.04852608;14.2;2.9141;20.5895;71.1
91.96263039;15.1;2.57741;20.5895;72.6
94.54004535;15.2;3.1463;23.2791;70.7
97.68634921;16.1;2.798;19.07;63.4
100.4843537;16.2;2.84444;21.4439;65.4
103.3287982;17.1;2.83283;21.0938;66
106.1616327;17.2;2.76317;21.1802;64.6
108.9248073;18.1;2.69351;21.7142;62.6
111.618322;18.2;2.94893;22.2757;60.2
114.5672562;19.1;2.6819;20.3463;62.1
117.249161;19.2;2.65868;22.3722;49.7
119.9078458;20.1;2.96596;22.5675;58.7
122.8738095;20.2;3.32664;20.2295;62.3
126.2004535;21.1;2.62385;18.0362;65
128.8243084;21.2;2.97823;22.8671;66.6
131.8025397;22.1;3.33537;20.1462;65.8
135.1379138;22.2;3.12531;17.989;67
138.26322;23.1;3.13469;19.1981;63.7
141.3979138;23.2;3.49288;19.1406;67.5
144.8907937;24.1;3.45687;17.1778;65.8
148.3476644;24.2;3.26703;17.3567;68.7
151.6146939;25.1;2.71673;18.3653;72.2
154.3314286;25.2;2.72834;22.0853;72.8
157.0597732;26.1;2.6819;21.9914;78.3
159.741678;26.2;2.93732;22.3722;77
162.6790023;27.1;2.82578;20.4268;75.4
165.5047846;27.2;3.17658;21.2331;72.2
168.6813605;28.1;2.54259;18.8883;78
171.2239456;28.2;2.83283;23.598;76.7
174.05678;29.1;2.89088;21.1802;74.2
176.9476644;29.2;3.20435;20.7549;72.4
180.1520181;30.1;3.47138;18.7245;73.5
183.6234014;30.2;3.0019;17.2842;72.8
186.6253061;31.1;3.24517;19.9873;61.4
189.8704762;31.2;3.21506;18.489;65.5
193.0855329;32.1;3.00698;18.6622;63.5
196.092517;32.2;3.47138;19.9535;66.7
199.5639002;33.1;3.48299;17.2842;61.6
203.0468934;33.2;3.08397;17.2266;64.2
206.1308617;34.1;3.40601;19.4555;57.8
209.5368707;34.2;3.28562;17.6159;59.4
212.8224943;35.1;3.25456;18.2614;58.5
216.0770522;35.2;3.33991;18.4357;60.5
219.4169615;36.1;3.22757;17.9646;65.7
222.6445351;36.2;3.0302;18.5898;62.4
225.6747392;37.1;2.86766;19.8006;66.1
228.5424036;37.2;2.92571;20.923;63.4
231.4681179;38.1;3.01859;20.5078;68.2
234.486712;38.2;2.75156;19.8768;70.3
237.2382766;39.1;2.87927;21.8058;73.1
240.117551;39.2;3.23918;20.8386;78.3
243.3567347;40.1;2.46132;18.5232;79.9
245.8180499;40.2;2.41488;24.3772;79.1
248.2329252;41.1;2.31039;24.846;80
250.5433107;41.2;2.62385;25.9697;76.2
253.1671655;42.1;2.50776;22.8671;77.3
255.6749206;42.2;2.64707;23.9258;68.6
258.3219955;43.1;2.798;22.6665;66
261.12;43.2;3.40172;21.4439;62.9
264.5217234;44.1;3.01859;17.6381;65.4
267.5403175;44.2;3.25079;19.8768;71.2
270.7911111;45.1;3.09986;18.457;75.8
273.8909751;45.2;2.72834;19.3557;62.4
276.6193197;46.1;2.97215;21.9914;64
279.5914739;46.2;3.23918;20.1874;63.3
282.8306576;47.1;3.82859;18.5232;67.4
286.6592517;47.2;3.69467;15.6715;61.6
290.3539229;48.1;2.73995;16.2396;56.9
293.0938776;48.2;2.6819;21.8982;66.1
295.7757823;49.1;2.54259;22.3722;66.6
298.3183673;49.2;2.67029;23.598;69
300.9886621;50.1;2.57741;22.4694;66.9
303.5660771;50.2;2.42649;23.2791;72
305.9925624;51.1;2.75156;24.7271;74.1
308.744127;51.2;3.00698;21.8058;68.4
311.7511111;52.1;3.45417;19.9535;71.4
315.2052834;52.2;3.36088;17.3703;68.1
318.5661678;53.1;3.57587;17.8524;69.7
322.1420408;53.2;3.35528;16.7791;63.8
325.4973243;54.1;3.25079;17.8822;68.4
328.7481179;54.2;3.22757;18.457;67
331.9756916;55.1;3.58748;18.5898;66.1
335.5631746;55.2;4.5395;16.7248;63
340.1026757;56.1;3.68036;13.2173;57.6
343.7830385;56.2;3.34367;16.3027;64
347.126712;57.1;3.32045;17.9443;63.7
350.4471655;57.2;3.39011;18.0698;63.8
353.8372789;58.1;2.98376;17.6985;67.9
356.8210431;58.2;2.92571;20.1088;69.7
359.7467574;59.1;3.00698;20.5078;69.8
362.7537415;59.2;3.85451;19.9535;68.7
366.608254;60.1;3.80807;15.5662;63.7
370.4163265;60.2;4.07472;15.756;68.3
374.4910431;61.1;3.99422;14.725;66.5
378.4852608;61.2;4.41245;15.0217;67.5
382.8977098;62.1;4.94853;13.5979;65.6
387.8462358;62.2;5.19794;12.1248;65.8
393.0441723;63.1;2.96054;11.543;70.1
396.0047166;63.2;3.04181;20.2665;69.8
399.0465306;64.1;2.61224;19.7251;77.9
401.6587755;64.2;2.71673;22.9688;70.1
404.3755102;65.1;3.00698;22.0853;74.3
407.3824943;65.2;3.43816;19.9535;73.4
410.8206576;66.1;3.99222;17.4512;68.6
414.8128798;66.2;4.29569;15.0292;71.6
419.1085714;67.1;3.68036;13.9675;57.5
422.7889342;67.2;4.48145;16.3027;66.4
427.2703855;68.1;3.50621;13.3885;54.5
430.7765986;68.2;4.06349;17.1125;63.1
434.8400907;69.1;4.09832;14.7656;60.1
438.9384127;69.2;4.04027;14.6401;63.2
442.9786848;70.1;3.56426;14.8505;58.9
446.5429478;70.2;5.30576;16.8338;61.9
451.8487075;71.1;0;11.3085;60.4
