Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
0.77786848;1.1;1.52091;0;65.8
2.29877551;1.2;1.5093;39.4501;67.5
3.808072562;1.3;1.54413;39.7536;71.9
5.352199546;1.4;1.56735;38.8569;70.5
6.919546485;2.1;1.49769;38.2812;76.1
8.41723356;2.2;1.61379;40.0618;61.3
10.03102041;2.3;1.53252;37.1796;60.4
11.56353741;2.4;1.42803;39.1513;62.4
12.99156463;3.1;1.5093;42.016;66.1
14.50086168;3.2;1.60218;39.7536;68.5
16.10303855;3.3;1.63701;37.449;67.9
17.74004535;3.4;1.66023;36.6523;73.6
19.40027211;4.1;1.56735;36.1396;72.1
20.96761905;4.2;1.98531;38.2812;71.5
22.95292517;4.3;1.63701;30.222;62.6
24.58993197;4.4;2.11302;36.6523;63.6
26.70294785;5.1;1.56735;28.3954;59.4
28.27029478;5.2;1.57896;38.2812;62.6
29.8492517;5.3;1.52091;37.9998;64.8
31.37015873;5.4;1.70667;39.4501;64.9
33.0768254;6.1;1.48608;35.1562;63.1
34.56290249;6.2;1.47447;40.3748;67
36.03736961;6.3;1.61379;40.6927;68.3
37.65115646;6.4;1.83438;37.1796;67.2
39.48553288;7.1;1.42803;32.7087;63
40.91356009;7.2;1.61379;42.016;69.4
42.52734694;7.3;1.53252;37.1796;68.3
44.05986395;7.4;1.81116;39.1513;70.3
45.87102041;8.1;1.49769;33.128;70.6
47.36870748;8.2;1.60218;40.0618;74.5
48.97088435;8.3;1.41642;37.449;66.4
50.38730159;8.4;1.42803;42.3604;70.6
51.8153288;9.1;1.75311;42.016;70.7
53.56843537;9.2;1.95048;34.225;70.5
55.51891156;9.3;1.76472;30.7617;61.1
57.28362812;9.4;2.18268;33.9998;63.9
59.46630385;10.1;1.53252;27.4892;64
60.99882086;10.2;1.50372;39.1513;67.6
62.50253968;10.3;1.52649;39.9011;69.9
64.02902494;10.4;1.56735;39.306;72.5
65.59637188;11.1;1.72989;38.2812;65.3
67.3262585;11.2;2.04336;34.6844;62.9
69.36961451;11.3;2.14785;29.3635;59.5
71.51746032;11.4;2.58903;27.935;63.2
74.10648526;12.1;1.55574;23.1747;63.2
75.66222222;12.2;1.52091;38.5669;65.1
77.18312925;12.3;1.48608;39.4501;65.5
78.66920635;12.4;1.53252;40.3748;66.1
80.20172336;13.1;1.47447;39.1513;65.2
81.67619048;13.2;1.36578;40.6927;62.2
83.04197279;13.3;1.43893;43.9309;64.6
84.48090703;13.4;1.65351;41.6975;65.7
86.13442177;14.1;1.48608;36.2863;67.4
87.62049887;14.2;1.42803;40.3748;60.4
89.04852608;14.3;1.46286;42.016;71.1
90.51138322;14.4;1.45125;41.0156;64.4
91.96263039;15.1;1.35837;41.3438;72.6
93.32099773;15.2;1.21905;44.1707;71.7
94.54004535;15.3;1.53252;49.2188;70.7
96.07256236;15.4;1.61379;39.1513;65.4
97.68634921;16.1;1.3932;37.1796;63.4
99.07954649;16.2;1.40481;43.0664;63.8
100.4843537;16.3;1.41642;42.7105;65.4
101.900771;16.4;1.42803;42.3604;63.6
103.3287982;17.1;1.40481;42.016;66
104.7336054;17.2;1.42803;42.7105;68.4
106.1616327;17.3;1.32354;42.016;64.6
107.4851701;17.4;1.43964;45.3331;61.9
108.9248073;18.1;1.32354;41.6772;62.6
110.2483447;18.2;1.36998;45.3331;61.4
111.618322;18.3;1.38159;43.7963;60.2
112.9999093;18.4;1.56735;43.4283;59.2
114.5672562;19.1;1.41642;38.2812;62.1
115.9836735;19.2;1.26549;42.3604;58.2
117.249161;19.3;1.18422;47.4126;49.7
118.4333787;19.4;1.47447;50.6664;59.9
119.9078458;20.1;1.31193;40.6927;58.7
121.2197732;20.2;1.65404;45.7342;62.5
122.8738095;20.3;1.48066;36.2749;62.3
124.3544671;20.4;1.84599;40.5225;65.7
126.2004535;21.1;1.20744;32.5029;65
127.4078912;21.2;1.41642;49.692;65.3
128.8243084;21.3;1.17261;42.3604;66.6
129.9969161;21.4;1.80562;51.168;65.6
131.8025397;22.1;1.42195;33.2295;65.8
133.2244898;22.2;1.91342;42.1956;66.8
135.1379138;22.3;1.61601;31.3574;67
136.7539229;22.4;1.5093;37.1285;67.5
138.26322;23.1;1.39837;39.7536;63.7
139.6615873;23.2;1.73633;42.9072;65.7
141.3979138;23.3;1.51508;34.5557;67.5
142.9129932;23.4;1.9778;39.6019;65.9
144.8907937;24.1;1.47707;30.3367;65.8
146.3678685;24.2;1.9798;40.6208;67.8
148.3476644;24.3;1.56104;30.3062;68.7
149.9087075;24.4;1.70599;38.4358;65.6
151.6146939;25.1;1.4059;35.1703;72.2
153.0205896;25.2;1.31084;42.6774;73.2
154.3314286;25.3;1.2771;45.7722;72.8
155.6085261;25.4;1.45125;46.9815;74.6
157.0597732;26.1;1.38159;41.3438;78.3
158.4413605;26.2;1.30032;43.4283;76.8
