Onset;Bar.Semiquaver;Duration (s);Tempo (bpm);Intensity (dB)
0.163265306;1.1;0.991927;0;72.1
1.155192743;1.2;0.893968;60.4883;65.4
2.049160997;1.3;0.946213;67.1165;63.1
2.995374149;1.4;0.917188;63.4107;69
3.912562358;1.5;0.922993;65.4173;75.9
4.835555555;1.6;0.847528;65.0059;72.7
5.6830839;1.7;0.911383;70.7941;74.7
6.59446712;1.8;0.94;65.834;69.2
7.53446712;2.1;0.91;63.8298;79.9
8.44446712;2.2;0.82;65.9341;68.3
9.26446712;2.3;0.8;73.1707;66.8
10.06446712;2.4;0.85;75;66
10.91446712;2.5;0.85;70.5882;66.6
11.76446712;2.6;0.9;70.5882;53.2
12.66446712;2.7;0.8;66.6667;64.1
13.46446712;2.8;0.92;75;64.3
14.38446712;3.1;0.85;65.2174;68.3
15.23446712;3.2;0.88;70.5882;56.3
16.11446712;3.3;0.86;68.1818;69.4
16.97446712;3.4;0.97;69.7674;70
17.94446712;3.5;0.945261;61.8557;74.4
18.88972789;3.6;0.889864;63.4745;66.9
19.77959184;3.7;0.926463;67.426;73.5
20.70605442;3.8;0.975578;64.7625;74.7
21.68163265;4.1;0.806893;61.502;72.7
22.48852608;4.2;0.917188;74.3593;69
23.40571429;4.3;0.865306;65.4173;67.8
24.27102041;4.4;1.02939;69.3396;65.2
25.30040816;4.5;0.813878;58.2871;60.1
26.11428571;4.6;0.967347;73.7212;65
27.08163265;4.7;1.04043;62.0253;61.7
28.12206349;4.8;1.51821;57.6684;55.1
29.64027211;5.1;0.899773;39.5203;63.1
30.54004535;5.2;0.847528;66.6835;62.3
31.3875737;5.3;0.835918;70.7941;69.1
32.22349206;5.4;0.975238;71.7773;65.7
33.19873016;5.5;0.928798;61.5234;65.9
34.12752834;5.6;0.789478;64.5996;65.7
34.9170068;5.7;0.903401;75.9995;67.7
35.82040816;5.8;0.946939;66.4157;66.5
36.76734694;6.1;0.767347;63.3621;68.3
37.53469388;6.2;0.8;78.1915;67.4
38.33469388;6.3;0.77551;75;70.5
39.11020408;6.4;0.783787;77.3684;70.6
39.89399093;6.5;0.934218;76.5514;74.6
40.82820862;6.6;0.820091;64.2249;67.7
41.64829932;6.7;0.763878;73.1626;71.1
42.41217687;6.8;0.967415;78.5466;68.8
43.37959184;7.1;0.948662;62.021;67.6
44.32825397;7.2;0.75746;63.247;67.7
45.08571429;7.3;0.75102;79.2121;72.4
45.83673469;7.4;0.771519;79.8913;74
46.60825397;7.5;0.792494;77.7686;76.3
47.4007483;7.6;0.803878;75.7103;71
48.20462585;7.7;0.821905;74.6382;76
49.02653061;7.8;0.991837;73.0012;77.5
50.01836735;8.1;0.812404;60.4938;76.8
50.83077098;8.2;0.798798;73.8549;75.8
51.62956916;8.3;0.719116;75.1128;77.8
52.34868481;8.4;0.78;83.4358;73.5
53.12868481;8.5;0.777642;76.9231;72.3
53.90632653;8.6;0.852132;77.1564;71.5
54.75845805;8.7;0.859138;70.4117;77.7
55.61759637;8.8;0.864943;69.8374;70.2
56.48253968;9.1;0.893968;69.3687;69.4
57.37650794;9.2;1.07392;67.1165;64.1
58.45043084;9.3;0.926803;55.8699;68
59.37723356;9.4;0.751746;64.7387;59.8
60.12897959;9.5;0.800181;79.8142;56.5
60.929161;9.6;0.806893;74.983;64.1
61.73605442;9.7;0.864943;74.3593;67.2
62.60099773;9.8;0.905578;69.3687;69.4
63.50657596;10.1;0.847528;66.256;69.4
64.35410431;10.2;0.928798;70.7941;65.2
65.28290249;10.3;0.795283;64.5996;69.1
66.07818594;10.4;0.795283;75.4448;61.4
66.87346939;10.5;0.787755;75.4448;64.9
67.66122449;10.6;0.831837;76.1658;58.6
68.49306122;10.7;0.684989;72.1295;64.9
69.17804989;10.8;0.684989;87.5927;64
69.86303855;11.1;0.731429;87.5927;66.6
70.59446712;11.2;0.684989;82.0312;65.7
71.27945578;11.3;0.753197;87.5927;63.6
72.03265306;11.4;0.82576;79.6604;65.5
72.8584127;11.5;0.830113;72.6604;62.6
73.68852608;11.6;1.01007;72.2793;63.9
74.6985941;11.7;0.975238;59.4019;64.9
75.6738322;11.8;1.66603;61.5234;58.7
77.33986395;12.1;1.14939;36.0137;61.4
78.4892517;12.2;1.11075;52.2017;64.2
