Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
1.149387755;1;8.04571;0;65.6
9.19510204;2;8.10376;7.45739;79
17.29886621;3;8.78875;7.40397;61.6
26.08761905;4;10.3561;6.82691;68.6
36.44371882;5;7.02404;5.79369;63.3
43.4677551;6;6.95438;8.5421;63.1
50.42213152;7;7.17497;8.62766;60
57.59709751;8;6.59594;8.36241;69.3
64.19303855;9;6.47689;9.0965;66.6
70.66993197;10;5.75855;9.2637;65.1
76.42848073;11;7.36073;10.4193;64
83.78920635;12;5.83982;8.15137;60.9
89.62902494;13;5.67728;10.2743;63.6
95.30630385;14;5.77016;10.5684;67.3
101.0764626;15;6.38549;10.3983;71
107.4619501;16;5.67728;9.39631;61.7
113.139229;17;5.56068;10.5684;60.4
118.6999093;18;5.97964;10.79;61.7
124.6795465;19;5.73345;10.0341;57.9
130.4129932;20;4.40206;10.4649;65.1
134.8150567;21;4.12567;13.63;68.4
138.9407256;22;4.65147;14.5431;68.5
143.5921995;23;4.24925;12.8991;64.4
147.8414512;24;5.27093;14.1201;64.4
153.112381;25;4.44662;11.3832;70.4
157.5590023;26;4.95746;13.4934;81.1
162.5164626;27;4.78331;12.103;67
167.2997732;28;5.2361;12.5436;83.4
172.535873;29;5.31737;11.4589;81.5
177.8532426;30;5.75855;11.2838;74.5
183.6117914;31;5.94431;10.4193;64.4
189.5560998;32;6.11939;10.0937;66.2
195.6754875;33;6.38456;9.8049;61.8
202.0600454;34;6.38041;9.39768;61.8
208.4404535;35;5.09025;9.40379;54.7
213.5307029;36;5.28254;11.7872;60.5
218.8132426;37;4.66721;11.3582;64.1
223.4804535;38;3.87893;12.8556;66.8
227.3593878;39;4.94465;15.4682;71.8
232.3040363;40;5.38703;12.1343;76.9
237.6910658;41;5.12;11.1379;80.9
242.8110658;42;5.28254;11.7188;80.6
248.0936054;43;6.00236;11.3582;67.5
254.0959637;44;6.01397;9.99607;64.9
260.109932;45;6.11846;9.97677;75.3
266.22839;46;6.10685;9.80639;53.7
272.3352381;47;7.66259;9.82504;68.5
279.9978231;48;5.42186;7.83026;61.7
285.4196825;49;5.19739;11.0663;63
290.6170748;50;5.12388;11.5443;65.4
295.7409524;51;5.26252;11.7099;72.9
301.0034694;52;5.03832;11.4014;65.1
306.0417914;53;6.09245;11.9087;68.4
312.1342404;54;5.32898;9.84826;66.5
317.46322;55;6.90794;11.2592;63.6
324.3711565;56;5.61878;8.68566;59.8
329.989932;57;5.13197;10.6785;65.4
335.1219048;58;5.00399;11.6914;68.4
340.1258957;59;5.90948;11.9904;68.3
346.0353741;60;5.3598;10.1532;63.8
351.3951701;61;5.02896;11.1945;70.1
356.424127;62;7.92018;11.9309;69
364.3443084;63;6.25778;7.57558;65.2
370.6020862;64;4.64399;9.58807;77.9
375.2460771;65;4.41163;12.9199;81.5
379.6577098;66;5.63977;13.6004;76.5
385.297483;67;6.35349;10.6387;62.5
391.6509751;68;6.45515;9.44363;56.4
398.1061224;69;9.4273;9.29491;63.6
407.533424;70;8.80036;6.36449;58.4
416.3337868;71;0;6.8179;60.2
